time;ckpt;id;money
280;gate-keeper;0;
284;vege_1;0;
448;final-crs_3;0;1087
587;gate-keeper;1;
588;vege_0;1;
588;gate-keeper;2;
624;meat_0;2;
695;final-crs_0;1;2561
698;final-crs_3;2;1907
907;gate-keeper;3;
908;gate-keeper;4;
910;meat_1;3;
911;vege_0;4;
914;final-crs_3;3;938
941;final-crs_1;4;2347
1046;gate-keeper;5;
1050;vege_0;5;
1160;final-crs_5;5;562
1166;gate-keeper;6;
1168;vege_0;6;
1183;final-crs_4;6;2393
1447;gate-keeper;7;
1478;meat_1;7;
1604;final-crs_4;7;2836
1754;gate-keeper;8;
1755;gate-keeper;9;
1757;frui_0;9;
1760;vege_1;8;
1847;final-crs_5;9;1217
1856;final-crs_4;8;692
1930;gate-keeper;10;
1934;vege_0;10;
1969;final-crs_1;10;1203
2293;gate-keeper;11;
2294;gate-keeper;12;
2298;vege_0;12;
2298;frui_1;11;
2332;final-crs_4;12;2316
2338;final-crs_5;11;1498
2563;gate-keeper;13;
2566;frui_1;13;
2569;final-crs_5;13;2658
2844;gate-keeper;14;
2845;gate-keeper;15;
2846;vege_1;14;
2853;vege_0;15;
2890;final-crs_1;14;183
2900;final-crs_2;15;3430
3199;gate-keeper;16;
3200;gate-keeper;17;
3205;vege_0;16;
3208;vege_1;17;
3304;final-crs_4;16;2278
3318;final-crs_5;17;1930
3524;gate-keeper;18;
3525;gate-keeper;19;
3527;vege_0;18;
3532;vege_1;19;
3545;final-crs_4;18;1720
3556;final-crs_0;19;5775
3721;gate-keeper;20;
3722;vege_1;20;
3783;final-crs_4;20;3501
3843;gate-keeper;21;
3847;vege_0;21;
3862;final-crs_1;21;650
4196;gate-keeper;22;
4197;frui_1;22;
4252;final-crs_5;22;522
4526;gate-keeper;23;
4527;gate-keeper;24;
4528;vege_1;24;
4528;gate-keeper;25;
4530;meat_0;23;
4531;vege_0;25;
4554;final-crs_1;24;1334
4560;final-crs_3;23;610
4620;final-crs_2;25;648
4753;gate-keeper;26;
4755;vege_0;26;
4770;final-crs_1;26;3924
5058;gate-keeper;27;
5059;vege_1;27;
5068;final-crs_0;27;2659
5374;gate-keeper;28;
5375;gate-keeper;29;
5377;frui_0;29;
5381;vege_1;28;
5450;final-crs_5;29;3878
5454;final-crs_1;28;170
5489;gate-keeper;30;
5498;vege_0;30;
5503;final-crs_4;30;884
5668;gate-keeper;31;
5692;meat_0;31;
5723;final-crs_1;31;1948
6005;gate-keeper;32;
6006;gate-keeper;33;
6009;vege_1;32;
6011;final-crs_0;32;2474
6013;vege_0;33;
6022;final-crs_3;33;1478
6331;gate-keeper;34;
6332;gate-keeper;35;
6337;frui_1;35;
6339;vege_0;34;
6407;final-crs_1;35;3419
6429;final-crs_5;34;1210
6657;gate-keeper;36;
6662;vege_0;36;
6663;final-crs_5;36;1681
6972;gate-keeper;37;
6973;gate-keeper;38;
6978;vege_0;37;
6981;vege_1;38;
6988;final-crs_3;37;2305
7020;final-crs_2;38;1921
7181;gate-keeper;39;
7194;meat_1;39;
7254;final-crs_2;39;563
7300;gate-keeper;40;
7322;meat_1;40;
7357;final-crs_5;40;1611
7638;gate-keeper;41;
7639;gate-keeper;42;
7648;vege_1;41;
7649;vege_0;42;
7659;final-crs_0;41;4324
7718;final-crs_3;42;1306
7974;gate-keeper;43;
7975;gate-keeper;44;
7999;meat_0;43;
8006;meat_1;44;
8017;final-crs_2;43;4069
8039;final-crs_5;44;1194
8277;gate-keeper;45;
8278;gate-keeper;46;
8284;vege_0;45;
8284;vege_1;46;
8312;final-crs_1;45;1872
8366;final-crs_0;46;4454
8591;gate-keeper;47;
8592;gate-keeper;48;
8594;frui_1;47;
8597;vege_0;48;
8605;final-crs_1;47;465
8703;final-crs_3;48;1217
8869;gate-keeper;49;
8872;vege_0;49;
8883;final-crs_1;49;115
8935;gate-keeper;50;
8936;frui_0;50;
8985;final-crs_4;50;2722
9164;gate-keeper;51;
9167;vege_1;51;
9239;final-crs_4;51;2333
9414;gate-keeper;52;
9417;vege_0;52;
9467;final-crs_4;52;2034
9770;gate-keeper;53;
9771;gate-keeper;54;
9772;vege_1;54;
9772;gate-keeper;55;
9773;frui_0;53;
9776;vege_0;55;
9815;final-crs_1;54;2272
9912;final-crs_3;53;1841
9938;final-crs_4;55;860
10026;gate-keeper;56;
10029;vege_1;56;
10037;final-crs_1;56;1184
10333;gate-keeper;57;
10334;gate-keeper;58;
