time;ckpt;id;money
283;gate-keeper;0;
287;vege_0;0;
460;final-crs_4;0;1158
610;gate-keeper;1;
616;vege_1;1;
667;final-crs_4;1;768
880;gate-keeper;2;
883;vege_0;2;
912;final-crs_4;2;1183
1263;gate-keeper;3;
1264;gate-keeper;4;
1265;frui_1;3;
1270;vege_1;4;
1278;final-crs_2;3;757
1383;final-crs_5;4;479
1575;gate-keeper;5;
1576;vege_0;5;
1606;final-crs_5;5;960
1873;gate-keeper;6;
1878;vege_0;6;
1890;final-crs_1;6;4232
1898;gate-keeper;7;
1899;vege_0;7;
1904;final-crs_4;7;2983
2160;gate-keeper;8;
2167;vege_1;8;
2205;final-crs_0;8;329
2697;gate-keeper;9;
2698;gate-keeper;10;
2700;meat_0;9;
2703;frui_0;10;
2768;final-crs_5;9;688
2813;final-crs_4;10;668
3007;gate-keeper;11;
3010;vege_1;11;
3052;final-crs_4;11;1498
3284;gate-keeper;12;
3290;vege_1;12;
3339;final-crs_1;12;2523
3546;gate-keeper;13;
3552;vege_0;13;
3579;final-crs_4;13;1134
3626;gate-keeper;14;
3632;vege_1;14;
3655;final-crs_0;14;2322
3863;gate-keeper;15;
3870;vege_1;15;
3881;final-crs_5;15;608
4119;gate-keeper;16;
4126;meat_1;16;
4130;final-crs_5;16;1674
4420;gate-keeper;17;
4422;meat_1;17;
4464;gate-keeper;18;
4469;vege_0;18;
4493;final-crs_1;17;554
4539;final-crs_3;18;1024
4972;gate-keeper;19;
4978;vege_0;19;
4992;final-crs_1;19;1771
5253;gate-keeper;20;
5254;gate-keeper;21;
5255;vege_0;20;
5257;vege_1;21;
5317;final-crs_4;20;2615
5323;final-crs_5;21;753
5564;gate-keeper;22;
5569;frui_0;22;
5577;final-crs_4;22;2263
5885;gate-keeper;23;
5897;meat_1;23;
5924;final-crs_0;23;769
6210;gate-keeper;24;
6211;gate-keeper;25;
6213;vege_1;24;
6220;final-crs_5;24;1778
6224;meat_0;25;
6277;final-crs_4;25;405
6479;gate-keeper;26;
6485;vege_0;26;
6514;final-crs_4;26;1448
6831;gate-keeper;27;
6832;gate-keeper;28;
6862;meat_0;27;
6892;meat_1;28;
6936;final-crs_3;27;230
6972;final-crs_5;28;699
7070;gate-keeper;29;
7071;vege_1;29;
7175;final-crs_3;29;2495
7363;gate-keeper;30;
7419;meat_0;30;
7446;gate-keeper;31;
7475;meat_0;31;
7484;final-crs_4;30;664
7485;final-crs_0;31;859
7743;gate-keeper;32;
7746;meat_0;32;
7821;final-crs_1;32;1162
7903;gate-keeper;33;
7904;vege_1;33;
7926;final-crs_0;33;1797
8304;gate-keeper;34;
8305;gate-keeper;35;
8308;frui_0;34;
8321;meat_1;35;
8341;final-crs_5;34;1267
8358;final-crs_4;35;351
8606;gate-keeper;36;
8635;meat_1;36;
8642;final-crs_0;36;411
8704;gate-keeper;37;
8707;vege_0;37;
8804;final-crs_1;37;881
9246;gate-keeper;38;
9247;gate-keeper;39;
9250;vege_1;38;
9251;vege_0;39;
9270;final-crs_5;38;502
9291;final-crs_1;39;2573
9595;gate-keeper;40;
9596;gate-keeper;41;
9599;vege_1;40;
9603;vege_0;41;
9606;final-crs_4;40;353
9611;final-crs_3;41;2188
9878;gate-keeper;42;
9880;vege_1;42;
9916;final-crs_2;42;1109
10190;gate-keeper;43;
10191;gate-keeper;44;
10192;frui_1;44;
10211;meat_1;43;
10260;final-crs_1;44;543
10301;final-crs_0;43;2016
10405;gate-keeper;45;
10409;vege_1;45;
10490;final-crs_1;45;2134
10791;gate-keeper;46;
10798;vege_0;46;
10806;final-crs_4;46;1578
11127;gate-keeper;47;
11128;gate-keeper;48;
11131;vege_0;47;
11131;vege_1;48;
11134;final-crs_3;47;1463
11249;final-crs_1;48;230
11464;gate-keeper;49;
11468;vege_0;49;
11491;final-crs_1;49;1400
11602;gate-keeper;50;
11608;vege_1;50;
11624;final-crs_0;50;645
12041;gate-keeper;51;
12042;gate-keeper;52;
12074;meat_1;51;
12076;final-crs_2;51;1592
12094;meat_0;52;
12173;final-crs_1;52;1629
12322;gate-keeper;53;
12342;meat_0;53;
12357;final-crs_0;53;1257
12493;gate-keeper;54;
12502;meat_1;54;
12520;final-crs_4;54;1221
12902;gate-keeper;55;
12904;vege_0;55;
12930;final-crs_1;55;371
13128;gate-keeper;56;
13132;vege_1;56;
13180;final-crs_1;56;3110
13400;gate-keeper;57;
13404;frui_1;57;
13422;final-crs_5;57;3783
13453;gate-keeper;58;
13456;vege_0;58;
13467;final-crs_1;58;724
13769;gate-keeper;59;
13771;vege_1;59;
13807;final-crs_2;59;147
13958;gate-keeper;60;
13961;vege_0;60;
14034;final-crs_2;60;217
14084;gate-keeper;61;
14088;vege_0;61;
14099;final-crs_5;61;798
14296;gate-keeper;62;
14300;vege_1;62;
14305;final-crs_4;62;1080
14637;gate-keeper;63;
14639;vege_1;63;
14663;final-crs_1;63;951
14935;gate-keeper;64;
14939;frui_1;64;
14975;final-crs_2;64;1080
15144;gate-keeper;65;
15148;vege_0;65;
15218;final-crs_2;65;2545
15221;gate-keeper;66;
15226;vege_0;66;
15263;final-crs_4;66;803
15522;gate-keeper;67;
15530;vege_1;67;
15574;final-crs_5;67;192
15831;gate-keeper;68;
15833;vege_0;68;
15876;final-crs_1;68;1210
16004;gate-keeper;69;
16009;meat_1;69;
16026;final-crs_3;69;1640
16159;gate-keeper;70;
16160;vege_1;70;
16186;final-crs_2;70;1823
16460;gate-keeper;71;
16461;frui_1;71;
16523;final-crs_5;71;374
16726;gate-keeper;72;
16732;vege_1;72;
16748;final-crs_0;72;617
16847;gate-keeper;73;
16896;meat_0;73;
16904;final-crs_2;73;1157
16964;gate-keeper;74;
16971;vege_1;74;
16984;final-crs_0;74;960
17307;gate-keeper;75;
17311;vege_0;75;
17353;final-crs_4;75;802
17606;gate-keeper;76;
17612;meat_0;76;
17640;final-crs_2;76;1738
17720;gate-keeper;77;
17730;meat_0;77;
17743;final-crs_1;77;1233
17938;gate-keeper;78;
17969;meat_0;78;
18010;final-crs_1;78;1862
18214;gate-keeper;79;
18216;vege_0;79;
18268;final-crs_5;79;2336
18512;gate-keeper;80;
18513;gate-keeper;81;
18517;frui_0;81;
18526;final-crs_1;81;1631
18534;meat_1;80;
18554;final-crs_2;80;1575
18848;gate-keeper;82;
18849;gate-keeper;83;
18850;gate-keeper;84;
18854;vege_0;82;
18854;meat_0;84;
18857;vege_1;83;
18956;final-crs_5;82;3300
18958;final-crs_3;84;1133
18996;final-crs_2;83;2850
19118;gate-keeper;85;
19119;gate-keeper;86;
19120;gate-keeper;87;
19123;vege_0;85;
19157;meat_0;86;
19171;meat_1;87;
19188;final-crs_2;85;1336
19193;final-crs_5;86;1646
19224;final-crs_0;87;814
19431;gate-keeper;88;
19432;vege_1;88;
19436;final-crs_2;88;792
19526;gate-keeper;89;
19527;vege_0;89;
19556;final-crs_4;89;1927
19744;gate-keeper;90;
19745;vege_0;90;
19745;gate-keeper;91;
19746;gate-keeper;92;
19753;meat_0;91;
19780;final-crs_4;90;511
19788;meat_1;92;
19792;final-crs_1;91;1103
19880;final-crs_2;92;1122
20075;gate-keeper;93;
20076;gate-keeper;94;
20077;gate-keeper;95;
20083;vege_1;95;
