time;ckpt;id;money
542;gate-keeper;0;
550;meat_0;0;
693;final-crs_5;0;842
816;gate-keeper;1;
820;vege_1;1;
939;final-crs_5;1;749
1142;gate-keeper;2;
1144;vege_0;2;
1146;final-crs_5;2;1130
1441;gate-keeper;3;
1445;vege_1;3;
1454;final-crs_4;3;163
1714;gate-keeper;4;
1732;meat_1;4;
1771;final-crs_2;4;834
2064;gate-keeper;5;
2069;vege_1;5;
2075;final-crs_4;5;1877
2370;gate-keeper;6;
2371;vege_1;6;
2390;final-crs_0;6;1099
2747;gate-keeper;7;
2752;vege_1;7;
2774;final-crs_4;7;1643
3039;gate-keeper;8;
3066;meat_0;8;
3080;final-crs_5;8;1283
3361;gate-keeper;9;
3369;vege_0;9;
3484;final-crs_4;9;1251
3669;gate-keeper;10;
3710;meat_1;10;
3733;final-crs_4;10;958
4009;gate-keeper;11;
4014;vege_1;11;
4052;final-crs_1;11;1288
4301;gate-keeper;12;
4305;vege_1;12;
4337;final-crs_5;12;1805
4837;gate-keeper;13;
4839;vege_0;13;
4842;final-crs_0;13;1291
5026;gate-keeper;14;
5028;frui_0;14;
5033;final-crs_5;14;1530
5444;gate-keeper;15;
5449;frui_1;15;
5472;final-crs_1;15;443
5715;gate-keeper;16;
5717;vege_1;16;
5781;final-crs_2;16;931
5968;gate-keeper;17;
5971;vege_1;17;
6015;final-crs_5;17;1075
6171;gate-keeper;18;
6172;frui_1;18;
6257;final-crs_5;18;932
6780;gate-keeper;19;
6787;meat_1;19;
6814;final-crs_0;19;138
7040;gate-keeper;20;
7044;vege_1;20;
7085;final-crs_0;20;703
7122;gate-keeper;21;
7126;vege_0;21;
7131;final-crs_1;21;340
7599;gate-keeper;22;
7601;vege_1;22;
7631;final-crs_4;22;167
7975;gate-keeper;23;
7981;frui_1;23;
7987;final-crs_0;23;669
8296;gate-keeper;24;
8300;vege_1;24;
8311;final-crs_4;24;389
8611;gate-keeper;25;
8612;vege_0;25;
8642;final-crs_1;25;1070
8878;gate-keeper;26;
8885;vege_0;26;
8912;final-crs_3;26;157
9197;gate-keeper;27;
9215;meat_1;27;
9261;final-crs_5;27;1471
9741;gate-keeper;28;
9745;vege_1;28;
9779;final-crs_1;28;916
10055;gate-keeper;29;
10074;meat_0;29;
10078;final-crs_3;29;701
10373;gate-keeper;30;
10374;vege_1;30;
10479;final-crs_5;30;862
10643;gate-keeper;31;
10647;vege_0;31;
10761;final-crs_1;31;1278
10935;gate-keeper;32;
10940;vege_0;32;
10991;final-crs_0;32;681
11262;gate-keeper;33;
11279;meat_1;33;
11318;final-crs_2;33;86
11608;gate-keeper;34;
11611;vege_1;34;
11718;final-crs_3;34;1670
11887;gate-keeper;35;
11914;meat_1;35;
11944;final-crs_0;35;1041
12201;gate-keeper;36;
12202;vege_0;36;
12216;final-crs_5;36;157
12523;gate-keeper;37;
12546;meat_1;37;
12559;final-crs_4;37;1045
13121;gate-keeper;38;
13148;meat_1;38;
13157;final-crs_3;38;853
13173;gate-keeper;39;
13176;meat_0;39;
13180;final-crs_5;39;670
13729;gate-keeper;40;
13756;meat_1;40;
13763;final-crs_4;40;774
14015;gate-keeper;41;
14017;vege_0;41;
14029;final-crs_4;41;1287
14397;gate-keeper;42;
14404;vege_1;42;
14415;final-crs_5;42;1003
14608;gate-keeper;43;
14611;vege_0;43;
14628;final-crs_5;43;86
14954;gate-keeper;44;
