time;ckpt;id;money
290;gate-keeper;0;
295;frui_0;0;
480;final-crs_4;0;1058
569;gate-keeper;1;
571;frui_0;1;
702;final-crs_4;1;879
846;gate-keeper;2;
847;frui_1;2;
925;final-crs_4;2;1055
1213;gate-keeper;3;
1214;gate-keeper;4;
1215;frui_0;3;
1222;final-crs_5;3;845
1231;meat_0;4;
1249;final-crs_0;4;325
1503;gate-keeper;5;
1506;frui_0;5;
1631;final-crs_4;5;492
1780;gate-keeper;6;
1784;vege_1;6;
1866;final-crs_4;6;774
2114;gate-keeper;7;
2115;vege_1;7;
2134;final-crs_4;7;1457
2401;gate-keeper;8;
2402;gate-keeper;9;
2404;frui_1;9;
2413;meat_0;8;
2450;final-crs_5;9;333
2461;final-crs_1;8;402
2662;gate-keeper;10;
2664;frui_0;10;
2713;final-crs_1;10;244
2981;gate-keeper;11;
2987;vege_1;11;
3094;final-crs_0;11;112
3299;gate-keeper;12;
3300;gate-keeper;13;
3302;frui_1;12;
3304;meat_0;13;
3366;final-crs_1;12;244
3381;final-crs_3;13;196
3593;gate-keeper;14;
3598;frui_0;14;
3606;final-crs_1;14;436
3876;gate-keeper;15;
3879;vege_1;15;
3880;final-crs_3;15;1039
4207;gate-keeper;16;
4208;gate-keeper;17;
4210;vege_0;16;
4212;vege_1;17;
4297;final-crs_0;16;769
4299;final-crs_3;17;1301
4476;gate-keeper;18;
4483;meat_0;18;
4537;final-crs_3;18;100
4795;gate-keeper;19;
4797;frui_1;19;
4804;final-crs_3;19;391
5070;gate-keeper;20;
5098;meat_1;20;
5139;final-crs_2;20;1002
5321;gate-keeper;21;
5322;gate-keeper;22;
5325;vege_0;21;
5327;vege_1;22;
5358;final-crs_5;21;214
5361;final-crs_2;22;709
5638;gate-keeper;23;
5642;frui_0;23;
5741;final-crs_1;23;1227
5928;gate-keeper;24;
5929;vege_1;24;
5964;final-crs_0;24;1293
6243;gate-keeper;25;
6244;gate-keeper;26;
6284;meat_0;25;
6291;meat_1;26;
6312;final-crs_2;25;548
6317;final-crs_3;26;413
6547;gate-keeper;27;
6550;vege_0;27;
6563;final-crs_3;27;1257
