time;ckpt;id;money
279;gate-keeper;0;
280;vege_0;0;
440;final-crs_0;0;577
856;gate-keeper;1;
857;gate-keeper;2;
860;frui_0;1;
862;frui_1;2;
882;final-crs_0;1;596
940;final-crs_2;2;180
1188;gate-keeper;3;
1189;vege_0;3;
1230;final-crs_5;3;805
1472;gate-keeper;4;
1475;vege_0;4;
1479;final-crs_3;4;476
1798;gate-keeper;5;
1800;meat_1;5;
1838;final-crs_2;5;1471
2014;gate-keeper;6;
2016;frui_1;6;
2026;final-crs_3;6;307
2343;gate-keeper;7;
2344;gate-keeper;8;
2345;vege_0;8;
2346;frui_0;7;
2386;final-crs_4;8;554
2435;final-crs_5;7;565
2660;gate-keeper;9;
2661;frui_0;9;
2663;final-crs_1;9;93
2863;gate-keeper;10;
2864;vege_0;10;
2868;final-crs_4;10;1075
3218;gate-keeper;11;
3219;frui_1;11;
3255;final-crs_3;11;499
3490;gate-keeper;12;
3492;frui_1;12;
3501;final-crs_3;12;438
3800;gate-keeper;13;
3804;vege_0;13;
3884;final-crs_1;13;1088
4068;gate-keeper;14;
4072;vege_1;14;
4136;final-crs_1;14;803
4372;gate-keeper;15;
4373;vege_1;15;
4385;final-crs_1;15;892
4694;gate-keeper;16;
4695;frui_1;16;
4727;final-crs_3;16;613
5055;gate-keeper;17;
5063;vege_1;17;
5068;final-crs_1;17;62
5350;gate-keeper;18;
5351;vege_1;18;
5356;final-crs_3;18;883
5394;gate-keeper;19;
5395;frui_0;19;
5407;final-crs_4;19;222
5975;gate-keeper;20;
5976;gate-keeper;21;
5983;vege_0;20;
5983;vege_1;21;
6036;final-crs_2;20;517
6061;final-crs_3;21;1231
6261;gate-keeper;22;
6294;meat_0;22;
6296;final-crs_1;22;339
6595;gate-keeper;23;
6596;vege_0;23;
6726;final-crs_4;23;775
6863;gate-keeper;24;
6868;meat_1;24;
6983;final-crs_1;24;225
7250;gate-keeper;25;
7268;meat_0;25;
7272;final-crs_3;25;226
7561;gate-keeper;26;
7563;vege_0;26;
7617;final-crs_0;26;187
7864;gate-keeper;27;
7865;vege_0;27;
7907;final-crs_1;27;225
8261;gate-keeper;28;
8262;frui_1;28;
8262;gate-keeper;29;
8284;final-crs_0;28;636
8292;meat_0;29;
8364;final-crs_2;29;443
8536;gate-keeper;30;
8538;frui_0;30;
8634;final-crs_1;30;451
8782;gate-keeper;31;
8787;frui_0;31;
8875;final-crs_3;31;699
9193;gate-keeper;32;
9219;meat_0;32;
9265;final-crs_0;32;953
9456;gate-keeper;33;
9457;frui_0;33;
9501;final-crs_2;33;280
9827;gate-keeper;34;
9828;vege_1;34;
9828;gate-keeper;35;
9833;meat_1;35;
9842;final-crs_3;34;391
9848;final-crs_4;35;880
10165;gate-keeper;36;
10170;vege_1;36;
10218;final-crs_0;36;400
10420;gate-keeper;37;
10425;vege_1;37;
10443;final-crs_2;37;716
10763;gate-keeper;38;
10764;frui_0;38;
10770;final-crs_5;38;165
11041;gate-keeper;39;
11045;frui_0;39;
11165;gate-keeper;40;
11168;vege_1;40;
11203;final-crs_2;39;1415
11210;final-crs_0;40;908
11579;gate-keeper;41;
11580;frui_0;41;
11677;final-crs_0;41;696
11895;gate-keeper;42;
11896;gate-keeper;43;
11901;vege_0;43;
11908;final-crs_1;43;1116
11939;meat_1;42;
11992;final-crs_2;42;95
12182;gate-keeper;44;
12210;meat_0;44;
12245;final-crs_5;44;515
12501;gate-keeper;45;
12502;meat_0;45;
12524;final-crs_5;45;1325
12775;gate-keeper;46;
12780;frui_1;46;
12811;final-crs_1;46;226
12961;gate-keeper;47;
12970;meat_0;47;
13003;final-crs_5;47;1089
13329;gate-keeper;48;
13330;vege_0;48;
13347;final-crs_0;48;405
13654;gate-keeper;49;
13657;vege_0;49;
13687;final-crs_2;49;510
13918;gate-keeper;50;
13919;frui_0;50;
13976;final-crs_5;50;776
14197;gate-keeper;51;
14221;meat_1;51;
14250;final-crs_3;51;457
14474;gate-keeper;52;
14475;meat_0;52;
14478;final-crs_3;52;770
14750;gate-keeper;53;
14754;vege_1;53;
14795;final-crs_1;53;427
15093;gate-keeper;54;
15094;gate-keeper;55;
15096;meat_1;54;
15103;vege_1;55;
15148;final-crs_2;54;259
15167;final-crs_3;55;196
15589;gate-keeper;56;
15590;gate-keeper;57;
15591;gate-keeper;58;
15592;frui_0;57;
15595;final-crs_3;57;703
15595;vege_0;58;
15599;meat_1;56;
15643;final-crs_4;58;428
15694;final-crs_2;56;207
15712;gate-keeper;59;
15713;gate-keeper;60;
15714;frui_0;59;
15714;gate-keeper;61;
15720;vege_1;60;
15729;meat_0;61;
15746;final-crs_5;59;802
15773;final-crs_0;60;1862
15808;final-crs_1;61;1602
16050;gate-keeper;62;
16052;frui_1;62;
16073;final-crs_3;62;1238
16401;gate-keeper;63;
16402;frui_0;63;
16422;final-crs_5;63;376
16693;gate-keeper;64;
16723;meat_0;64;
16770;final-crs_4;64;555
16945;gate-keeper;65;
16947;frui_1;65;
16961;final-crs_0;65;287
17211;gate-keeper;66;
17217;vege_1;66;
17237;final-crs_1;66;267
17537;gate-keeper;67;
17539;frui_0;67;
17598;final-crs_0;67;1877
17890;gate-keeper;68;
17929;meat_0;68;
17955;final-crs_4;68;152
18006;gate-keeper;69;
18011;frui_0;69;
18035;final-crs_2;69;748
18214;gate-keeper;70;
18218;vege_1;70;
18250;final-crs_0;70;757
18520;gate-keeper;71;
18523;frui_0;71;
18526;final-crs_2;71;1594
18835;gate-keeper;72;
18838;vege_1;72;
18874;final-crs_5;72;1085
19046;gate-keeper;73;
19049;meat_1;73;
19117;final-crs_5;73;862
19440;gate-keeper;74;
19443;frui_0;74;
19472;final-crs_1;74;202
19734;gate-keeper;75;
19740;vege_0;75;
19796;final-crs_4;75;514
20029;gate-keeper;76;
20032;vege_0;76;
20052;final-crs_5;76;1513
20378;gate-keeper;77;
20379;gate-keeper;78;
20380;gate-keeper;79;
20385;meat_1;78;
20387;vege_0;77;
20387;vege_1;79;
20390;final-crs_1;78;1460
20467;final-crs_4;77;851
20476;final-crs_3;79;1145
20677;gate-keeper;80;
20678;gate-keeper;81;
20679;vege_1;80;
20679;gate-keeper;82;
20681;final-crs_3;80;827
20685;vege_0;81;
20689;vege_1;82;
20701;final-crs_5;81;1358
20742;final-crs_4;82;952
21012;gate-keeper;83;
21013;gate-keeper;84;
21014;vege_1;83;
21014;gate-keeper;85;
21017;frui_1;85;
21024;meat_1;84;
21038;final-crs_0;83;1060
21062;final-crs_2;85;501
21076;gate-keeper;86;
21077;gate-keeper;87;
21078;vege_1;87;
21078;gate-keeper;88;
21085;vege_0;88;
21107;final-crs_1;84;563
21123;meat_0;86;
21131;final-crs_3;87;1687
21176;final-crs_5;88;812
21240;final-crs_4;86;748
21288;gate-keeper;89;
21289;gate-keeper;90;
21290;gate-keeper;91;
21295;vege_1;89;
21296;vege_0;90;
21303;vege_1;91;
21338;final-crs_1;89;693
21385;final-crs_3;90;414
21438;final-crs_5;91;1563
21603;gate-keeper;92;
21604;vege_0;92;
21604;gate-keeper;93;
21605;gate-keeper;94;
21606;meat_1;94;
21609;vege_1;93;
21631;final-crs_3;92;300
21654;final-crs_5;94;880
21720;final-crs_4;93;1122
21742;gate-keeper;95;
21743;gate-keeper;96;
21744;gate-keeper;97;
21745;gate-keeper;98;
21750;vege_0;95;
21751;vege_1;96;
21752;final-crs_0;95;1565
21760;vege_1;98;
21777;meat_1;97;
21872;final-crs_3;96;1392
21898;gate-keeper;99;
21899;gate-keeper;100;
21900;vege_0;99;
21900;gate-keeper;101;
21901;frui_1;101;
21902;vege_1;100;
21917;final-crs_5;98;1112
21955;final-crs_0;97;873
21956;final-crs_4;99;283
21993;final-crs_2;101;619
22007;final-crs_1;100;68
22044;gate-keeper;102;
22045;frui_1;102;
22045;gate-keeper;103;
22046;frui_0;103;
22104;final-crs_3;102;124
22172;final-crs_5;103;1218
22254;gate-keeper;104;
22259;frui_0;104;
22267;final-crs_2;104;765
22544;gate-keeper;105;
22549;vege_0;105;
22613;final-crs_3;105;1583
22774;gate-keeper;106;
22775;vege_0;106;
22859;final-crs_3;106;322
23090;gate-keeper;107;
23091;gate-keeper;108;
23092;gate-keeper;109;
23096;frui_0;107;
23097;frui_1;108;
23103;frui_0;109;
23132;final-crs_0;107;1492
23135;final-crs_5;108;1724
23154;final-crs_2;109;1086
23390;gate-keeper;110;
23391;gate-keeper;111;
23392;gate-keeper;112;
23393;vege_1;111;
23393;frui_0;110;
23396;frui_1;112;
23426;final-crs_2;111;1070
23456;final-crs_4;110;598
23470;final-crs_1;112;106
23646;gate-keeper;113;
23647;gate-keeper;114;
23648;frui_1;113;
23648;gate-keeper;115;
23649;frui_0;114;
23653;vege_1;115;
23662;final-crs_2;113;203
23705;final-crs_4;114;752
23758;final-crs_1;115;117
23762;gate-keeper;116;
23763;gate-keeper;117;
23764;gate-keeper;118;
23765;vege_0;118;
23773;meat_0;116;
23782;final-crs_3;118;1203
23812;final-crs_0;116;446
23814;meat_1;117;
23844;final-crs_5;117;698
24057;gate-keeper;119;
24058;frui_0;119;
24058;gate-keeper;120;
24059;gate-keeper;121;
24063;vege_1;121;
24079;meat_0;120;
24163;final-crs_4;119;1207
24217;final-crs_2;121;1174
24225;final-crs_3;120;893
24398;gate-keeper;122;
24399;gate-keeper;123;
24401;frui_1;123;
24403;vege_1;122;
24409;final-crs_4;123;731
24434;final-crs_2;122;1767
24482;gate-keeper;124;
24483;gate-keeper;125;
24484;gate-keeper;126;
24486;vege_0;124;
24486;meat_0;125;
24487;frui_0;126;
24490;final-crs_0;124;1306
24491;final-crs_1;125;1299
24634;final-crs_4;126;1318
24701;gate-keeper;127;
24702;gate-keeper;128;
24703;frui_1;127;
24705;final-crs_5;127;631
24707;frui_0;128;
24895;final-crs_2;128;329
25006;gate-keeper;129;
25007;gate-keeper;130;
25008;vege_1;129;
25009;vege_0;130;
25129;final-crs_4;129;462
25145;final-crs_0;130;1037
25330;gate-keeper;131;
25343;meat_0;131;
25367;final-crs_0;131;575
25658;gate-keeper;132;
25659;frui_1;132;
25700;final-crs_5;132;2066
25937;gate-keeper;133;
25940;meat_0;133;
25943;final-crs_5;133;674
26240;gate-keeper;134;
26244;frui_1;134;
26286;final-crs_0;134;1037
26556;gate-keeper;135;
26558;frui_0;135;
26562;final-crs_2;135;869
26819;gate-keeper;136;
26821;vege_1;136;
