time;ckpt;id;money
306;gate-keeper;0;
344;meat_1;0;
442;final-crs_4;0;825
585;gate-keeper;1;
588;frui_0;1;
671;final-crs_4;1;652
839;gate-keeper;2;
843;vege_0;2;
902;final-crs_4;2;299
1164;gate-keeper;3;
1168;frui_0;3;
1184;final-crs_3;3;1819
1421;gate-keeper;4;
1422;gate-keeper;5;
1424;frui_1;5;
1448;meat_0;4;
1465;final-crs_1;5;589
1480;final-crs_0;4;503
1719;gate-keeper;6;
1722;frui_1;6;
1735;final-crs_0;6;423
1995;gate-keeper;7;
1998;frui_0;7;
2058;final-crs_5;7;905
2339;gate-keeper;8;
2343;meat_1;8;
2404;final-crs_1;8;767
2471;gate-keeper;9;
2478;meat_0;9;
2515;final-crs_5;9;1755
2873;gate-keeper;10;
2874;vege_1;10;
2874;gate-keeper;11;
2876;final-crs_1;10;524
2876;frui_0;11;
2916;final-crs_0;11;1667
3151;gate-keeper;12;
3155;frui_1;12;
3173;final-crs_4;12;539
3276;gate-keeper;13;
3278;frui_1;13;
3313;final-crs_3;13;437
3532;gate-keeper;14;
3535;vege_0;14;
3608;final-crs_1;14;1580
3917;gate-keeper;15;
3918;vege_1;15;
4021;final-crs_2;15;609
4032;gate-keeper;16;
4035;frui_1;16;
4048;final-crs_3;16;632
4225;gate-keeper;17;
4227;frui_0;17;
4241;final-crs_2;17;606
4572;gate-keeper;18;
4574;frui_1;18;
4592;final-crs_0;18;1187
4854;gate-keeper;19;
4855;vege_1;19;
4870;final-crs_4;19;535
5091;gate-keeper;20;
5097;frui_1;20;
5115;final-crs_4;20;564
5206;gate-keeper;21;
5234;meat_0;21;
5265;final-crs_0;21;488
5423;gate-keeper;22;
5427;frui_1;22;
5447;final-crs_1;22;1456
5670;gate-keeper;23;
5675;vege_1;23;
5731;final-crs_3;23;166
5926;gate-keeper;24;
5930;frui_1;24;
5972;final-crs_5;24;551
6176;gate-keeper;25;
6177;vege_0;25;
6221;final-crs_0;25;349
6422;gate-keeper;26;
6479;meat_1;26;
6513;final-crs_3;26;432
6739;gate-keeper;27;
6746;vege_0;27;
6750;final-crs_1;27;554
7044;gate-keeper;28;
7071;meat_1;28;
7182;final-crs_5;28;1819
7306;gate-keeper;29;
7311;meat_1;29;
7433;final-crs_0;29;724
7627;gate-keeper;30;
7628;gate-keeper;31;
7634;vege_1;30;
7638;vege_0;31;
7687;final-crs_5;30;762
7717;final-crs_0;31;265
7904;gate-keeper;32;
7909;frui_0;32;
7932;final-crs_5;32;337
8242;gate-keeper;33;
8243;frui_0;33;
8243;gate-keeper;34;
8245;vege_0;34;
8265;final-crs_4;33;1371
8278;final-crs_1;34;716
8544;gate-keeper;35;
8549;vege_0;35;
8566;final-crs_2;35;818
8858;gate-keeper;36;
8860;frui_1;36;
8889;final-crs_3;36;1478
9156;gate-keeper;37;
9160;vege_0;37;
9161;final-crs_4;37;812
9423;gate-keeper;38;
9429;vege_0;38;
9445;gate-keeper;39;
9447;vege_0;39;
9464;final-crs_0;38;533
9514;final-crs_5;39;790
9690;gate-keeper;40;
9692;meat_0;40;
9718;final-crs_0;40;102
10015;gate-keeper;41;
10016;frui_0;41;
10019;final-crs_5;41;589
10308;gate-keeper;42;
10313;frui_1;42;
10321;final-crs_4;42;537
10607;gate-keeper;43;
10608;gate-keeper;44;
10609;vege_0;44;
10610;frui_0;43;
10616;final-crs_4;44;567
10682;final-crs_0;43;505
10898;gate-keeper;45;
10905;vege_0;45;
10932;final-crs_0;45;1508
11119;gate-keeper;46;
11121;vege_0;46;
11150;final-crs_0;46;762
11401;gate-keeper;47;
11405;vege_0;47;
11444;final-crs_5;47;771
11694;gate-keeper;48;
11695;gate-keeper;49;
11703;meat_1;48;
11712;meat_0;49;
11741;final-crs_1;48;556
11763;final-crs_2;49;1224
11980;gate-keeper;50;
11997;meat_0;50;
12006;final-crs_0;50;64
12267;gate-keeper;51;
12270;vege_0;51;
12337;final-crs_3;51;461
12537;gate-keeper;52;
12544;vege_1;52;
12579;final-crs_3;52;480
12873;gate-keeper;53;
12877;vege_1;53;
12908;final-crs_5;53;697
12966;gate-keeper;54;
12968;vege_1;54;
13027;final-crs_3;54;2181
13162;gate-keeper;55;
13164;meat_1;55;
13201;final-crs_1;55;1567
13491;gate-keeper;56;
13493;frui_1;56;
13519;final-crs_3;56;1335
13813;gate-keeper;57;
13814;gate-keeper;58;
13816;frui_1;57;
13819;vege_1;58;
13820;final-crs_4;57;1038
13890;final-crs_1;58;358
14094;gate-keeper;59;
14141;meat_0;59;
14172;final-crs_5;59;588
14415;gate-keeper;60;
14445;meat_1;60;
14446;final-crs_0;60;1161
14671;gate-keeper;61;
14676;frui_0;61;
14720;final-crs_0;61;1589
14943;gate-keeper;62;
14947;vege_0;62;
14950;final-crs_3;62;697
15057;gate-keeper;63;
15059;frui_0;63;
15092;final-crs_1;63;679
15562;gate-keeper;64;
15563;gate-keeper;65;
15565;frui_0;64;
15566;vege_0;65;
15575;final-crs_2;64;531
15615;final-crs_4;65;321
15829;gate-keeper;66;
15832;frui_1;66;
15893;final-crs_1;66;65
15954;gate-keeper;67;
15959;vege_1;67;
16008;final-crs_2;67;474
16165;gate-keeper;68;
16167;vege_0;68;
16173;final-crs_5;68;663
16504;gate-keeper;69;
16506;frui_0;69;
16579;final-crs_0;69;591
16747;gate-keeper;70;
16749;vege_0;70;
16812;final-crs_3;70;718
17168;gate-keeper;71;
17169;gate-keeper;72;
17174;frui_1;72;
