time;ckpt;id;money
292;gate-keeper;18;
296;frui_1;18;
407;final-crs_2;18;2649
604;gate-keeper;39;
607;vege_0;39;
648;final-crs_10;39;90
899;gate-keeper;60;
905;vege_1;60;
908;final-crs_2;60;2932
1470;gate-keeper;98;
1471;vege_0;98;
1474;final-crs_4;98;2088
1784;gate-keeper;118;
1785;gate-keeper;119;
1789;vege_1;118;
1793;vege_0;119;
1799;final-crs_0;118;3050
1817;final-crs_5;119;2408
1899;gate-keeper;126;
1900;gate-keeper;127;
1903;vege_1;126;
1904;vege_0;127;
1937;final-crs_11;126;404
1940;final-crs_2;127;4852
2421;gate-keeper;156;
2422;gate-keeper;157;
2423;gate-keeper;158;
2424;frui_0;156;
2424;gate-keeper;159;
2425;gate-keeper;160;
2426;gate-keeper;161;
2427;frui_1;157;
2431;vege_1;158;
2432;vege_0;159;
2441;vege_0;160;
2441;vege_1;161;
2454;final-crs_1;156;1523
2462;final-crs_7;157;2061
2481;final-crs_8;158;1510
2486;final-crs_9;159;457
2506;final-crs_6;160;1950
2510;final-crs_0;161;373
3050;gate-keeper;202;
3054;vege_0;202;
3060;final-crs_2;202;1139
3321;gate-keeper;220;
3322;gate-keeper;221;
3323;frui_0;220;
3324;final-crs_3;220;1720
3331;vege_0;221;
3336;final-crs_4;221;2589
3348;gate-keeper;222;
3350;vege_0;222;
3371;final-crs_11;222;3368
3814;gate-keeper;253;
3815;gate-keeper;254;
3823;vege_1;253;
3824;vege_0;254;
3843;final-crs_4;253;1425
3869;final-crs_9;254;4963
3936;gate-keeper;261;
3937;gate-keeper;262;
3939;vege_0;261;
3942;meat_0;262;
3977;final-crs_3;261;692
4009;final-crs_5;262;851
4213;gate-keeper;281;
4217;vege_1;281;
4247;final-crs_5;281;2606
4741;gate-keeper;313;
4742;frui_0;313;
4742;gate-keeper;314;
4743;gate-keeper;315;
4744;vege_0;315;
4744;frui_1;314;
4774;final-crs_4;313;3433
4775;final-crs_2;315;1743
4798;final-crs_6;314;770
4843;gate-keeper;322;
4847;vege_0;322;
4880;final-crs_0;322;1802
5159;gate-keeper;343;
5160;gate-keeper;344;
5163;vege_1;343;
5165;vege_0;344;
5169;final-crs_3;343;3810
5179;final-crs_9;344;1150
5495;gate-keeper;365;
5496;frui_0;365;
5496;gate-keeper;366;
5503;final-crs_6;365;1206
5503;vege_0;366;
5526;final-crs_10;366;638
5776;gate-keeper;383;
5777;gate-keeper;384;
5778;gate-keeper;385;
5779;frui_1;383;
5780;vege_1;384;
5781;final-crs_7;383;3206
5783;vege_0;385;
5800;gate-keeper;387;
5803;vege_0;387;
5814;final-crs_8;384;2968
5839;final-crs_1;385;2454
5873;final-crs_3;387;1303
6084;gate-keeper;405;
6085;gate-keeper;406;
6087;frui_1;406;
6088;vege_1;405;
6167;final-crs_9;406;1504
6176;final-crs_5;405;777
6372;gate-keeper;425;
6373;vege_0;425;
6373;gate-keeper;426;
6376;vege_1;426;
6406;final-crs_9;425;1794
6408;gate-keeper;428;
6411;vege_0;428;
6424;final-crs_5;426;368
6445;final-crs_10;428;322
6711;gate-keeper;449;
6713;frui_0;449;
6714;final-crs_8;449;105
6732;gate-keeper;450;
6733;gate-keeper;451;
6737;vege_0;450;
6739;vege_1;451;
6747;final-crs_3;450;983
6764;final-crs_1;451;1279
7053;gate-keeper;470;
7054;vege_1;470;
7054;gate-keeper;471;
7055;gate-keeper;472;
7058;final-crs_10;470;703
7062;vege_0;471;
7064;vege_1;472;
7123;final-crs_9;471;1910
7166;final-crs_2;472;2348
7357;gate-keeper;492;
7358;gate-keeper;493;
7359;frui_1;492;
7362;vege_1;493;
7417;final-crs_5;492;2702
7424;final-crs_7;493;547
7686;gate-keeper;515;
7687;frui_1;515;
7695;final-crs_11;515;4151
7980;gate-keeper;535;
7987;vege_0;535;
7989;final-crs_1;535;1120
8275;gate-keeper;554;
8281;meat_1;554;
8302;gate-keeper;556;
