time;ckpt;id;money
303;gate-keeper;12;
304;vege_1;12;
424;final-crs_8;12;96
579;gate-keeper;15;
580;gate-keeper;16;
581;gate-keeper;17;
582;frui_1;15;
582;gate-keeper;18;
583;gate-keeper;19;
584;gate-keeper;20;
585;vege_1;16;
585;gate-keeper;21;
586;frui_0;17;
586;gate-keeper;22;
587;gate-keeper;23;
588;frui_1;19;
590;vege_0;18;
593;frui_0;23;
596;vege_1;20;
600;vege_0;21;
605;vege_1;22;
655;final-crs_2;15;591
657;final-crs_8;16;318
684;final-crs_3;17;677
693;final-crs_0;19;234
693;final-crs_5;18;679
710;final-crs_10;23;289
716;final-crs_6;20;749
723;final-crs_11;21;166
724;final-crs_4;22;575
743;gate-keeper;27;
744;gate-keeper;28;
745;vege_0;27;
745;gate-keeper;29;
746;gate-keeper;30;
747;vege_1;28;
747;gate-keeper;31;
749;frui_1;31;
753;meat_1;29;
760;final-crs_9;27;854
761;final-crs_1;28;1135
783;meat_0;30;
885;gate-keeper;37;
895;final-crs_6;31;279
899;meat_0;37;
906;final-crs_8;29;62
920;final-crs_5;30;737
921;final-crs_3;37;415
1166;gate-keeper;49;
1167;frui_0;49;
1168;final-crs_8;49;238
1493;gate-keeper;62;
1494;gate-keeper;63;
1498;vege_1;62;
1502;vege_0;63;
1583;final-crs_3;62;989
1591;final-crs_1;63;219
1715;gate-keeper;72;
1720;frui_0;72;
1724;final-crs_7;72;992
1778;gate-keeper;74;
1779;frui_0;74;
1779;gate-keeper;75;
1783;vege_1;75;
1815;final-crs_5;74;820
1823;final-crs_3;75;723
2425;gate-keeper;103;
2464;meat_0;103;
2484;final-crs_3;103;165
2611;gate-keeper;111;
2630;meat_1;111;
2650;final-crs_11;111;859
3016;gate-keeper;129;
3018;vege_0;129;
3019;final-crs_7;129;921
3456;gate-keeper;149;
3459;frui_0;149;
3463;final-crs_5;149;461
3979;gate-keeper;172;
3980;vege_1;172;
3982;final-crs_0;172;789
4422;gate-keeper;191;
4426;frui_1;191;
4452;final-crs_7;191;247
4855;gate-keeper;210;
4892;meat_1;210;
4942;final-crs_3;210;611
5460;gate-keeper;237;
5461;vege_0;237;
5466;final-crs_6;237;689
5748;gate-keeper;249;
5761;meat_1;249;
5808;final-crs_9;249;426
6750;gate-keeper;288;
6751;gate-keeper;289;
6752;gate-keeper;290;
6753;gate-keeper;291;
6754;gate-keeper;292;
6755;frui_0;288;
6757;frui_1;289;
6759;vege_0;290;
6761;final-crs_9;288;628
6761;vege_1;292;
6762;frui_0;291;
6816;final-crs_5;289;797
6837;final-crs_1;290;424
6838;final-crs_10;292;1488
6839;final-crs_3;291;103
7055;gate-keeper;306;
7061;vege_0;306;
7095;final-crs_1;306;426
7191;gate-keeper;312;
7192;vege_1;312;
7205;final-crs_6;312;1003
7337;gate-keeper;315;
7338;frui_0;315;
7338;gate-keeper;316;
7339;gate-keeper;317;
7340;gate-keeper;318;
7344;vege_1;316;
7344;frui_0;318;
7348;vege_0;317;
7357;final-crs_1;315;398
7409;final-crs_11;316;1101
7424;final-crs_0;318;759
7447;final-crs_6;317;1876
7637;gate-keeper;330;
7638;vege_0;330;
7638;gate-keeper;331;
7645;vege_1;331;
7652;final-crs_11;330;817
7660;final-crs_0;331;2195
7916;gate-keeper;341;
7917;gate-keeper;342;
7918;gate-keeper;343;
7919;frui_0;342;
7922;meat_1;341;
7924;frui_1;343;
7929;final-crs_8;342;889
7944;final-crs_9;341;1242
7956;final-crs_4;343;1051
8097;gate-keeper;351;
8102;frui_1;351;
8124;final-crs_1;351;628
8753;gate-keeper;375;
8754;frui_0;375;
8754;gate-keeper;376;
8755;gate-keeper;377;
8756;frui_1;376;
8756;gate-keeper;378;
8757;gate-keeper;379;
8758;vege_0;379;
8762;frui_0;377;
8764;frui_1;378;
8833;final-crs_11;375;1165
8859;final-crs_6;376;249
8863;final-crs_4;379;462
8893;final-crs_9;377;203
8893;final-crs_10;378;899
9031;gate-keeper;388;
9032;gate-keeper;389;
9033;frui_1;389;
9033;gate-keeper;390;
9034;vege_1;388;
9034;gate-keeper;391;
9035;vege_0;390;
9044;vege_0;391;
9108;final-crs_1;389;239
9112;final-crs_6;388;998
9123;final-crs_4;390;90
9168;final-crs_3;391;908
9641;gate-keeper;416;
9642;vege_1;416;
9642;gate-keeper;417;
9669;meat_1;417;
9685;final-crs_0;416;587
9685;final-crs_8;417;799
9823;gate-keeper;425;
9830;vege_1;425;
9858;final-crs_6;425;244
9979;gate-keeper;428;
9980;frui_0;428;
9980;gate-keeper;429;
9981;gate-keeper;430;
9982;final-crs_7;428;1688
9982;gate-keeper;431;
9983;vege_1;429;
9983;gate-keeper;432;
9984;vege_0;430;
9993;vege_1;431;
10007;final-crs_1;429;885
10012;meat_0;432;
10023;final-crs_10;430;170
10036;final-crs_4;431;1089
10099;final-crs_9;432;768
10252;gate-keeper;442;
10253;vege_0;442;
10253;gate-keeper;443;
10259;meat_1;443;
10262;final-crs_10;442;154
10316;final-crs_4;443;585
10495;gate-keeper;453;
10499;meat_1;453;
10540;final-crs_10;453;2283
10598;gate-keeper;455;
10599;frui_0;455;
10599;gate-keeper;456;
10600;gate-keeper;457;
10601;gate-keeper;458;
10603;frui_1;458;
10606;vege_0;456;
10607;final-crs_6;455;363
10608;vege_1;457;
10624;final-crs_7;458;99
10629;final-crs_1;456;1387
10629;gate-keeper;459;
10631;vege_1;459;
10632;final-crs_3;457;1004
10656;final-crs_2;459;1240
10829;gate-keeper;467;
10858;meat_1;467;
10867;final-crs_1;467;503
11471;gate-keeper;494;
11472;gate-keeper;495;
11474;frui_0;494;
11474;frui_1;495;
11498;final-crs_7;494;1237
11508;final-crs_1;495;863
11752;gate-keeper;506;
11753;vege_0;506;
11753;gate-keeper;507;
11757;frui_0;507;
11774;final-crs_0;506;1377
11802;final-crs_8;507;1094
12014;gate-keeper;518;
12015;gate-keeper;519;
12017;vege_0;518;
12033;final-crs_2;518;927
12063;meat_1;519;
12066;final-crs_3;519;129
12274;gate-keeper;530;
12276;frui_0;530;
12279;final-crs_2;530;1686
13155;gate-keeper;567;
13156;vege_0;567;
13159;final-crs_1;567;913
13358;gate-keeper;575;
13365;vege_0;575;
13371;final-crs_10;575;1074
13733;gate-keeper;591;
13734;gate-keeper;592;
13739;vege_0;592;
13761;final-crs_8;592;1796
13779;meat_1;591;
13793;final-crs_11;591;794
14028;gate-keeper;604;
14029;gate-keeper;605;
14033;frui_1;605;
14035;vege_0;604;
14039;final-crs_5;605;1798
14055;final-crs_1;604;1240
14133;gate-keeper;609;
14140;vege_1;609;
14149;final-crs_4;609;1654
14270;gate-keeper;615;
14276;frui_0;615;
14319;final-crs_1;615;645
14592;gate-keeper;629;
14593;frui_0;629;
14599;final-crs_11;629;288
14892;gate-keeper;640;
14893;gate-keeper;641;
14894;frui_1;640;
14898;vege_1;641;
14964;final-crs_9;640;179
14974;final-crs_5;641;704
