time;ckpt;id;money
355;gate-keeper;14;
368;meat_0;14;
443;final-crs_1;14;71
812;gate-keeper;33;
813;gate-keeper;34;
816;frui_1;33;
816;meat_0;34;
849;final-crs_1;33;1622
899;final-crs_10;34;379
968;gate-keeper;41;
969;frui_0;41;
975;final-crs_0;41;897
1299;gate-keeper;55;
1313;meat_0;55;
1339;final-crs_1;55;943
1623;gate-keeper;68;
1626;frui_1;68;
1627;final-crs_10;68;587
2443;gate-keeper;104;
2445;vege_0;104;
2469;final-crs_2;104;81
2537;gate-keeper;106;
2538;gate-keeper;107;
2539;gate-keeper;108;
2540;vege_1;106;
2546;vege_0;107;
2550;vege_1;108;
2567;final-crs_7;106;84
2577;final-crs_4;107;769
2582;final-crs_5;108;529
2787;gate-keeper;119;
2790;vege_0;119;
2803;final-crs_8;119;1226
3135;gate-keeper;134;
3136;vege_1;134;
3169;final-crs_2;134;787
3207;gate-keeper;136;
3208;gate-keeper;137;
3209;vege_0;136;
3209;gate-keeper;138;
3210;frui_0;137;
3216;vege_1;138;
3235;final-crs_10;136;1286
3255;final-crs_9;137;353
3262;final-crs_5;138;130
3622;gate-keeper;153;
3623;gate-keeper;154;
3624;gate-keeper;155;
3625;gate-keeper;156;
3626;vege_0;153;
3629;final-crs_0;153;937
3630;vege_1;154;
3635;vege_0;155;
3638;vege_1;156;
3642;final-crs_11;154;924
3645;final-crs_3;155;153
3648;final-crs_7;156;794
3959;gate-keeper;171;
3964;frui_0;171;
3999;final-crs_1;171;1530
4315;gate-keeper;187;
4317;vege_1;187;
4363;final-crs_11;187;491
4520;gate-keeper;192;
4521;gate-keeper;193;
4522;gate-keeper;194;
4523;gate-keeper;195;
4524;frui_0;193;
4524;gate-keeper;196;
4525;vege_0;192;
4525;vege_1;195;
4535;vege_0;196;
4535;meat_0;194;
4580;final-crs_4;193;1116
4588;final-crs_11;192;853
4590;gate-keeper;198;
4591;gate-keeper;199;
4592;frui_1;198;
4595;vege_0;199;
4605;final-crs_0;195;198
4613;final-crs_7;196;806
4646;final-crs_10;194;578
4655;final-crs_2;198;495
4670;final-crs_9;199;767
4887;gate-keeper;211;
4888;frui_0;211;
4894;final-crs_9;211;377
5152;gate-keeper;223;
5155;vege_1;223;
5186;final-crs_1;223;866
