time;ckpt;id;money
326;gate-keeper;13;
333;vege_0;13;
421;final-crs_9;13;216
1866;gate-keeper;79;
1870;vege_0;79;
1873;final-crs_0;79;236
2168;gate-keeper;92;
2205;meat_0;92;
2242;final-crs_9;92;1317
2667;gate-keeper;112;
2668;vege_0;112;
2668;gate-keeper;113;
2670;final-crs_1;112;525
2674;frui_0;113;
2681;final-crs_9;113;1650
2801;gate-keeper;120;
2807;vege_0;120;
2808;final-crs_8;120;1050
3109;gate-keeper;133;
3114;vege_0;133;
3143;final-crs_6;133;267
3681;gate-keeper;159;
3683;vege_0;159;
3687;final-crs_9;159;1355
3940;gate-keeper;168;
3941;gate-keeper;169;
3942;vege_0;168;
3942;gate-keeper;170;
3943;vege_1;170;
3945;final-crs_5;168;245
3949;final-crs_9;170;106
3967;meat_1;169;
3983;final-crs_4;169;593
4219;gate-keeper;178;
4220;gate-keeper;179;
4221;frui_1;178;
4221;gate-keeper;180;
4222;vege_0;179;
4222;vege_1;180;
4222;gate-keeper;181;
4223;gate-keeper;182;
4224;final-crs_9;178;546
4224;gate-keeper;183;
4225;frui_0;181;
4227;frui_1;182;
4229;vege_0;183;
4247;final-crs_4;179;477
4269;final-crs_0;180;735
4283;final-crs_1;181;544
4335;final-crs_3;182;536
4350;final-crs_7;183;1829
4656;gate-keeper;202;
4658;frui_0;202;
4663;final-crs_6;202;817
5138;gate-keeper;220;
5139;gate-keeper;221;
5140;gate-keeper;222;
5143;frui_0;220;
5144;frui_1;221;
5147;vege_1;222;
5170;final-crs_6;220;177
5176;final-crs_8;221;100
5188;final-crs_0;222;83
5376;gate-keeper;233;
5380;meat_0;233;
5383;final-crs_8;233;108
5411;gate-keeper;234;
5414;frui_0;234;
5447;final-crs_9;234;372
5655;gate-keeper;245;
5658;vege_0;245;
5718;final-crs_7;245;161
5972;gate-keeper;258;
5975;vege_0;258;
5995;final-crs_0;258;902
6255;gate-keeper;271;
6256;vege_1;271;
6294;final-crs_3;271;274
6552;gate-keeper;283;
6553;frui_0;283;
6561;final-crs_8;283;693
7365;gate-keeper;319;
7370;vege_0;319;
7372;final-crs_11;319;938
7525;gate-keeper;326;
7526;frui_0;326;
7529;final-crs_4;326;631
8286;gate-keeper;359;
8292;frui_0;359;
8301;final-crs_2;359;1024
8569;gate-keeper;370;
8570;vege_0;370;
8570;gate-keeper;371;
8580;vege_0;371;
8582;final-crs_0;370;1098
8587;final-crs_11;371;893
8831;gate-keeper;382;
8837;vege_1;382;
8846;final-crs_4;382;1231
8907;gate-keeper;386;
8920;meat_0;386;
8922;final-crs_5;386;344
9251;gate-keeper;400;
9252;gate-keeper;401;
9254;vege_1;401;
9254;frui_0;400;
9259;final-crs_7;401;155
9287;final-crs_2;400;552
9548;gate-keeper;412;
9549;vege_0;412;
9549;gate-keeper;413;
9550;frui_0;413;
9558;final-crs_1;412;530
9591;final-crs_4;413;76
9792;gate-keeper;424;
9795;vege_0;424;
9809;final-crs_1;424;383
10100;gate-keeper;437;
10102;vege_1;437;
10107;final-crs_3;437;561
10896;gate-keeper;468;
10897;gate-keeper;469;
10898;gate-keeper;470;
10899;vege_0;468;
10901;vege_1;469;
10928;final-crs_0;468;795
10928;meat_0;470;
10932;final-crs_1;469;262
10993;final-crs_9;470;502
11195;gate-keeper;482;
11196;gate-keeper;483;
11198;vege_0;482;
11201;vege_1;483;
11241;final-crs_2;482;1066
11244;final-crs_9;483;345
11563;gate-keeper;497;
11564;gate-keeper;498;
11565;frui_0;497;
11565;gate-keeper;499;
11566;frui_1;498;
11572;frui_1;499;
11579;final-crs_10;497;622
11597;final-crs_3;498;1882
11600;final-crs_6;499;472
11652;gate-keeper;502;
11653;gate-keeper;503;
11657;vege_0;503;
11657;frui_0;502;
11703;final-crs_0;503;1234
11721;final-crs_4;502;509
11823;gate-keeper;508;
11824;gate-keeper;509;
11825;gate-keeper;510;
11826;frui_1;508;
11826;gate-keeper;511;
11828;vege_1;509;
11832;vege_0;510;
11846;meat_1;511;
11868;final-crs_6;508;890
11870;final-crs_3;509;775
11876;gate-keeper;512;
11877;final-crs_5;510;1234
11877;gate-keeper;513;
11879;vege_0;512;
11879;frui_0;513;
11927;final-crs_0;511;1046
11950;final-crs_9;512;1098
11983;final-crs_1;513;1213
12172;gate-keeper;523;
12173;gate-keeper;524;
12174;frui_0;523;
12174;gate-keeper;525;
12176;final-crs_0;523;1007
12178;frui_1;524;
12199;meat_1;525;
12207;final-crs_1;524;558
12235;final-crs_11;525;152
12556;gate-keeper;542;
12557;vege_0;542;
12566;final-crs_3;542;1597
13136;gate-keeper;566;
13167;meat_1;566;
13186;final-crs_11;566;252
13453;gate-keeper;580;
13460;vege_0;580;
13470;final-crs_4;580;192
14426;gate-keeper;619;
14427;frui_1;619;
14427;gate-keeper;620;
14428;gate-keeper;621;
14429;vege_0;620;
14429;gate-keeper;622;
14432;final-crs_10;619;332
14432;frui_0;622;
14436;vege_1;621;
14491;final-crs_6;620;350
14494;final-crs_4;622;97
14496;final-crs_3;621;528
15067;gate-keeper;649;
15073;vege_0;649;
15087;final-crs_0;649;592
15283;gate-keeper;658;
15305;meat_1;658;
15322;final-crs_9;658;713
15378;gate-keeper;662;
15382;frui_1;662;
15419;final-crs_4;662;531
15683;gate-keeper;675;
15690;vege_0;675;
15725;final-crs_6;675;306
16567;gate-keeper;752;
16568;frui_0;752;
16572;final-crs_7;752;1545
16890;gate-keeper;767;
16899;meat_1;767;
16924;final-crs_1;767;248
17211;gate-keeper;780;
17243;meat_1;780;
17249;final-crs_9;780;1148
17491;gate-keeper;792;
17495;vege_0;792;
17497;final-crs_9;792;385
17798;gate-keeper;805;
17799;gate-keeper;806;
17800;frui_0;805;
17803;frui_1;806;
17839;final-crs_5;805;344
17869;final-crs_6;806;1266
17878;gate-keeper;808;
17879;gate-keeper;809;
17880;vege_1;808;
17880;frui_1;809;
17893;final-crs_10;808;77
17903;final-crs_3;809;2376
18429;gate-keeper;872;
18431;vege_1;872;
18445;final-crs_0;872;505
18773;gate-keeper;884;
18774;gate-keeper;885;
18775;gate-keeper;886;
18776;gate-keeper;887;
18777;vege_1;884;
18778;gate-keeper;888;
18779;frui_0;886;
18780;frui_1;888;
18781;meat_1;887;
18782;vege_0;885;
18791;final-crs_5;884;1046
18819;final-crs_3;886;883
18822;final-crs_1;888;695
18825;final-crs_10;887;661
18829;final-crs_6;885;1257
19075;gate-keeper;899;
19076;vege_0;899;
19076;gate-keeper;900;
19077;gate-keeper;901;
19080;frui_0;901;
19085;vege_1;900;
19115;final-crs_7;899;818
19169;final-crs_2;901;397
19176;final-crs_8;900;165
19357;gate-keeper;913;
19361;vege_1;913;
19393;final-crs_0;913;1105
19502;gate-keeper;918;
19503;gate-keeper;919;
19506;frui_1;919;
19508;final-crs_1;919;250
19554;gate-keeper;920;
19557;meat_0;918;
19560;final-crs_11;918;170
19561;vege_0;920;
19564;final-crs_5;920;223
20189;gate-keeper;987;
20203;meat_1;987;
20222;final-crs_9;987;818
20324;gate-keeper;993;
20326;vege_0;993;
20352;final-crs_2;993;1606
20476;gate-keeper;1000;
20480;frui_1;1000;
20490;final-crs_6;1000;533
20776;gate-keeper;1013;
20777;gate-keeper;1014;
20778;gate-keeper;1015;
20779;gate-keeper;1016;
20780;gate-keeper;1017;
20781;gate-keeper;1018;
20782;gate-keeper;1019;
20783;vege_1;1013;
20783;gate-keeper;1020;
20784;frui_0;1016;
20784;gate-keeper;1021;
20785;frui_1;1017;
20785;gate-keeper;1022;
20786;vege_0;1018;
20786;meat_0;1014;
20786;gate-keeper;1023;
20787;gate-keeper;1024;
20788;gate-keeper;1025;
20789;gate-keeper;1026;
20790;frui_0;1023;
20790;gate-keeper;1027;
20791;gate-keeper;1028;
20792;vege_1;1020;
20792;frui_1;1026;
20792;gate-keeper;1029;
20793;gate-keeper;1030;
20794;gate-keeper;1031;
20795;gate-keeper;1032;
20796;vege_0;1021;
20796;frui_1;1029;
20796;gate-keeper;1033;
20797;frui_0;1033;
20797;gate-keeper;1034;
20798;gate-keeper;1035;
20799;gate-keeper;1036;
20800;final-crs_5;1013;113
20800;gate-keeper;1037;
20801;gate-keeper;1038;
20802;gate-keeper;1039;
20803;vege_1;1022;
20803;frui_0;1034;
20803;frui_1;1037;
20803;gate-keeper;1040;
