time;ckpt;id;money
674;gate-keeper;47;
675;gate-keeper;48;
676;gate-keeper;49;
677;gate-keeper;50;
678;vege_1;47;
680;vege_0;48;
687;meat_1;49;
704;final-crs_3;47;342
712;final-crs_9;48;747
714;final-crs_10;49;544
735;meat_0;50;
743;final-crs_5;50;260
840;gate-keeper;62;
842;frui_0;62;
889;final-crs_8;62;740
1045;gate-keeper;73;
1046;gate-keeper;74;
1047;vege_1;74;
1047;frui_1;73;
1047;gate-keeper;75;
1048;gate-keeper;76;
1049;gate-keeper;77;
1056;vege_0;77;
1066;final-crs_11;74;727
1080;meat_0;75;
1091;meat_1;76;
1099;final-crs_8;73;1526
1209;final-crs_10;77;1442
1210;final-crs_3;75;537
1219;final-crs_2;76;207
1276;gate-keeper;95;
1282;frui_0;95;
1290;final-crs_4;95;993
1605;gate-keeper;116;
1606;gate-keeper;117;
1607;frui_0;116;
1607;gate-keeper;118;
1608;gate-keeper;119;
1609;meat_1;119;
1609;gate-keeper;120;
1611;vege_1;117;
1612;frui_0;120;
1614;vege_0;118;
1684;final-crs_3;116;510
1684;final-crs_6;119;2720
1687;final-crs_2;117;964
1699;final-crs_10;120;1394
1706;gate-keeper;124;
1707;gate-keeper;125;
1708;gate-keeper;126;
1709;gate-keeper;127;
1710;frui_0;124;
1712;frui_1;125;
1716;final-crs_7;118;1236
1716;frui_0;127;
1720;final-crs_9;124;1014
1727;meat_1;126;
1732;final-crs_11;125;402
1740;final-crs_8;127;236
1749;final-crs_1;126;168
1898;gate-keeper;140;
1899;gate-keeper;141;
1902;meat_0;140;
1938;final-crs_10;140;763
1960;meat_0;141;
1961;final-crs_11;141;244
2458;gate-keeper;184;
2460;vege_0;184;
2480;final-crs_1;184;746
3000;gate-keeper;221;
3001;gate-keeper;222;
3002;vege_1;221;
3002;gate-keeper;223;
3003;frui_1;222;
3003;gate-keeper;224;
3004;frui_0;224;
3004;gate-keeper;225;
3005;gate-keeper;226;
3006;vege_0;223;
3009;frui_1;225;
3014;vege_1;226;
3017;final-crs_0;221;836
3101;final-crs_11;222;721
3119;final-crs_10;224;170
3155;final-crs_9;223;1097
3158;final-crs_2;225;1006
3160;final-crs_8;226;536
3344;gate-keeper;250;
3345;gate-keeper;251;
3348;vege_0;251;
3357;final-crs_11;251;880
3365;meat_1;250;
3378;final-crs_10;250;238
3624;gate-keeper;272;
3625;frui_0;272;
3634;final-crs_7;272;1177
4230;gate-keeper;317;
4231;vege_0;317;
4231;gate-keeper;318;
4233;frui_0;318;
4271;gate-keeper;321;
4275;frui_1;321;
4276;final-crs_6;317;199
4282;gate-keeper;322;
4287;vege_1;322;
4316;final-crs_8;318;631
4327;final-crs_9;321;1123
4332;final-crs_1;322;1021
4579;gate-keeper;344;
4583;frui_0;344;
4588;final-crs_2;344;76
4875;gate-keeper;366;
4877;meat_0;366;
4921;final-crs_0;366;575
5187;gate-keeper;389;
5188;vege_0;389;
5195;final-crs_4;389;1566
5227;gate-keeper;390;
5228;gate-keeper;391;
5229;gate-keeper;392;
5233;vege_1;390;
5233;frui_0;392;
5236;vege_0;391;
5252;final-crs_3;390;606
5254;final-crs_10;392;489
5261;final-crs_9;391;615
5475;gate-keeper;410;
5487;meat_1;410;
5499;final-crs_7;410;809
6094;gate-keeper;455;
6095;gate-keeper;456;
6124;meat_1;455;
6141;meat_0;456;
6165;final-crs_0;455;1562
6166;final-crs_6;456;1391
6379;gate-keeper;476;
6380;frui_0;476;
6380;gate-keeper;477;
6381;gate-keeper;478;
6385;frui_1;478;
6386;meat_0;477;
6388;final-crs_3;476;79
6408;final-crs_0;478;236
6427;final-crs_4;477;1344
6951;gate-keeper;518;
6952;gate-keeper;519;
6953;gate-keeper;520;
6957;vege_1;518;
6960;vege_0;519;
6977;meat_1;520;
6979;final-crs_5;518;175
6989;final-crs_7;519;375
7031;final-crs_11;520;1593
7101;gate-keeper;531;
7106;frui_0;531;
7125;final-crs_1;531;1432
7274;gate-keeper;542;
7275;vege_0;542;
7275;gate-keeper;543;
7276;gate-keeper;544;
7281;vege_1;543;
7285;vege_0;544;
7383;final-crs_1;542;510
7393;final-crs_3;543;255
7400;final-crs_9;544;1238
7562;gate-keeper;563;
7563;gate-keeper;564;
7567;meat_1;563;
7590;final-crs_6;563;791
7596;meat_0;564;
7598;final-crs_9;564;1626
7861;gate-keeper;584;
7862;gate-keeper;585;
7863;gate-keeper;586;
7864;gate-keeper;587;
7867;vege_1;584;
7867;frui_0;585;
7870;vege_0;586;
7877;vege_1;587;
7890;final-crs_7;584;367
7901;final-crs_11;585;405
7931;final-crs_8;586;1208
7939;final-crs_0;587;1421
7970;gate-keeper;593;
7971;gate-keeper;594;
7974;vege_1;593;
7976;final-crs_2;593;1788
7976;meat_0;594;
7986;final-crs_5;594;173
8142;gate-keeper;607;
8143;gate-keeper;608;
8148;vege_1;608;
8152;final-crs_0;608;796
8152;meat_0;607;
8170;final-crs_8;607;934
8449;gate-keeper;630;
8450;gate-keeper;631;
8451;vege_0;630;
8453;frui_1;631;
8502;final-crs_10;630;945
8505;final-crs_3;631;909
8765;gate-keeper;655;
8768;frui_1;655;
8773;final-crs_1;655;814
8868;gate-keeper;662;
8869;gate-keeper;663;
8872;frui_0;662;
8875;vege_1;663;
8887;final-crs_0;662;604
8888;final-crs_6;663;1587
9109;gate-keeper;681;
9110;frui_0;681;
9110;gate-keeper;682;
9116;vege_1;682;
9117;final-crs_6;681;184
9118;final-crs_0;682;1975
9434;gate-keeper;705;
9435;gate-keeper;706;
9436;vege_1;705;
9437;meat_0;706;
9460;final-crs_7;705;1311
9467;final-crs_3;706;1136
9709;gate-keeper;727;
9711;frui_1;727;
9721;final-crs_4;727;1430
9762;gate-keeper;730;
9763;gate-keeper;731;
9768;meat_0;731;
9769;vege_0;730;
9770;final-crs_6;731;249
9786;final-crs_2;730;298
10290;gate-keeper;770;
10295;vege_0;770;
10328;final-crs_5;770;1241
10540;gate-keeper;789;
10543;vege_1;789;
10575;final-crs_5;789;874
10920;gate-keeper;814;
10921;gate-keeper;815;
10922;gate-keeper;816;
10923;frui_1;816;
10923;gate-keeper;817;
10924;vege_0;814;
10924;gate-keeper;818;
10925;frui_0;818;
10931;vege_1;815;
10939;final-crs_4;816;1440
10940;final-crs_2;814;186
10940;meat_1;817;
10957;gate-keeper;821;
10960;vege_1;821;
10978;final-crs_0;818;369
11013;final-crs_6;815;1440
11025;final-crs_1;817;739
11055;final-crs_5;821;167
11284;gate-keeper;844;
11285;gate-keeper;845;
11286;vege_1;844;
11290;meat_0;845;
11301;final-crs_5;844;1112
11304;final-crs_1;845;613
11380;gate-keeper;852;
11383;vege_0;852;
11452;final-crs_6;852;1567
11588;gate-keeper;868;
11598;meat_1;868;
11603;final-crs_2;868;158
11860;gate-keeper;887;
11861;gate-keeper;888;
11863;frui_1;888;
11874;final-crs_6;888;1514
11881;meat_0;887;
11898;final-crs_0;887;395
12177;gate-keeper;911;
12183;vege_0;911;
12238;final-crs_4;911;1101
12361;gate-keeper;924;
12362;gate-keeper;925;
12363;vege_0;925;
12364;meat_1;924;
12406;final-crs_3;925;899
12449;final-crs_10;924;1332
12748;gate-keeper;947;
12749;gate-keeper;948;
12750;vege_1;947;
12750;gate-keeper;949;
12751;gate-keeper;950;
12752;gate-keeper;951;
12753;gate-keeper;952;
12754;gate-keeper;953;
12755;frui_0;950;
12758;vege_0;948;
12760;vege_1;949;
12765;final-crs_5;947;1084
12775;meat_0;951;
12779;final-crs_1;950;873
12784;final-crs_2;948;400
12788;final-crs_6;949;519
12796;meat_1;952;
12835;final-crs_11;951;447
12839;meat_0;953;
12845;final-crs_9;952;228
12898;final-crs_3;953;131
13024;gate-keeper;972;
13025;gate-keeper;973;
13027;vege_1;972;
13032;vege_0;973;
13045;final-crs_11;972;528
13094;final-crs_9;973;521
13252;gate-keeper;990;
13254;vege_0;990;
13261;final-crs_1;990;1143
13299;gate-keeper;993;
13300;gate-keeper;994;
13301;frui_0;994;
13304;meat_0;993;
13343;final-crs_9;994;2097
13364;final-crs_10;993;1031
13834;gate-keeper;1034;
13839;frui_1;1034;
13861;final-crs_10;1034;1092
14101;gate-keeper;1054;
14102;gate-keeper;1055;
14104;vege_0;1055;
14107;meat_0;1054;
14118;final-crs_10;1055;1195
14140;gate-keeper;1056;
14141;gate-keeper;1057;
14142;frui_1;1056;
14142;gate-keeper;1058;
14144;vege_0;1057;
14146;vege_1;1058;
14149;final-crs_7;1054;1576
14159;final-crs_0;1056;708
14163;final-crs_6;1057;1218
14173;final-crs_4;1058;702
14508;gate-keeper;1086;
14510;vege_0;1086;
14514;final-crs_9;1086;893
14653;gate-keeper;1094;
14654;gate-keeper;1095;
14655;gate-keeper;1096;
14656;gate-keeper;1097;
14658;frui_0;1095;
14658;frui_1;1096;
14659;vege_1;1094;
14661;final-crs_5;1095;139
14662;final-crs_6;1096;376
14663;final-crs_7;1094;713
14700;meat_1;1097;
14732;final-crs_2;1097;1341
