time;ckpt;id;money
294;gate-keeper;15;
295;gate-keeper;16;
296;vege_1;16;
305;meat_1;15;
405;final-crs_7;16;1390
451;final-crs_5;15;1546
558;gate-keeper;31;
563;vege_0;31;
610;final-crs_7;31;754
766;gate-keeper;36;
767;frui_1;36;
767;gate-keeper;37;
768;vege_0;37;
768;gate-keeper;38;
769;final-crs_3;36;139
769;gate-keeper;39;
770;gate-keeper;40;
771;frui_0;38;
771;gate-keeper;41;
772;gate-keeper;42;
777;vege_1;39;
778;vege_0;41;
787;vege_0;42;
807;meat_0;40;
840;final-crs_7;37;735
883;gate-keeper;49;
889;vege_0;49;
911;final-crs_1;38;1364
931;final-crs_4;39;869
946;final-crs_0;41;2068
950;final-crs_5;42;536
955;final-crs_9;40;598
961;final-crs_6;49;1406
1482;gate-keeper;82;
1483;gate-keeper;83;
1484;vege_1;83;
1486;frui_1;82;
1501;final-crs_11;83;1327
1553;final-crs_7;82;1217
1678;gate-keeper;91;
1679;gate-keeper;92;
1680;gate-keeper;93;
1681;gate-keeper;94;
1682;frui_0;91;
1684;frui_1;92;
1688;frui_0;93;
1690;frui_1;94;
1697;final-crs_3;91;1088
1704;final-crs_2;92;792
1724;final-crs_6;93;300
1777;final-crs_11;94;269
1804;gate-keeper;101;
1807;vege_0;101;
1840;final-crs_4;101;330
2390;gate-keeper;135;
2407;meat_1;135;
2424;final-crs_8;135;963
2557;gate-keeper;144;
2580;meat_1;144;
2620;final-crs_1;144;1048
3048;gate-keeper;169;
3049;gate-keeper;170;
3050;vege_0;169;
3050;gate-keeper;171;
3051;gate-keeper;172;
3052;gate-keeper;173;
3053;frui_0;172;
3057;vege_1;170;
3060;vege_0;171;
3064;final-crs_7;169;369
3068;vege_0;173;
3088;final-crs_1;172;836
3092;final-crs_9;170;715
3102;final-crs_10;171;1683
3112;final-crs_4;173;1303
3360;gate-keeper;191;
3373;meat_1;191;
3378;final-crs_1;191;1772
3481;gate-keeper;198;
3487;vege_1;198;
3560;final-crs_9;198;422
3610;gate-keeper;206;
3613;vege_0;206;
3617;final-crs_7;206;581
3891;gate-keeper;221;
3895;vege_1;221;
3910;final-crs_2;221;1432
4202;gate-keeper;237;
4203;frui_0;237;
4203;gate-keeper;238;
4204;gate-keeper;239;
4206;vege_1;238;
4207;frui_1;239;
4230;final-crs_10;237;279
4271;final-crs_4;238;485
4283;final-crs_9;239;523
4546;gate-keeper;256;
4547;gate-keeper;257;
4548;frui_0;257;
4548;gate-keeper;258;
4551;vege_0;256;
4557;meat_1;258;
4558;final-crs_6;257;818
4560;final-crs_5;256;144
4580;final-crs_0;258;269
4809;gate-keeper;272;
4811;frui_0;272;
4876;final-crs_8;272;488
5116;gate-keeper;288;
5117;vege_0;288;
5117;gate-keeper;289;
5123;vege_1;289;
5149;final-crs_2;288;110
5150;final-crs_8;289;593
5239;gate-keeper;295;
5240;gate-keeper;296;
5241;vege_0;295;
5248;vege_1;296;
5279;final-crs_6;295;186
5292;final-crs_11;296;1673
5424;gate-keeper;305;
5425;gate-keeper;306;
5427;frui_0;305;
5429;vege_1;306;
5433;final-crs_1;305;964
5441;final-crs_4;306;993
5702;gate-keeper;322;
5706;vege_0;322;
5707;final-crs_6;322;150
5974;gate-keeper;333;
5975;gate-keeper;334;
5976;vege_1;333;
5976;gate-keeper;335;
5977;gate-keeper;336;
5978;gate-keeper;337;
5986;vege_0;336;
5988;vege_1;337;
5998;meat_1;334;
6020;gate-keeper;340;
6021;vege_0;340;
6031;meat_0;335;
6037;final-crs_11;333;738
6090;final-crs_0;336;951
6116;final-crs_2;337;594
6137;final-crs_3;334;1325
6164;final-crs_9;340;197
6166;final-crs_7;335;1499
6229;gate-keeper;351;
6230;gate-keeper;352;
6235;frui_0;352;
6237;meat_1;351;
6295;final-crs_11;352;2125
6330;final-crs_0;351;922
6528;gate-keeper;367;
6529;frui_1;367;
6529;gate-keeper;368;
6556;meat_0;368;
6563;final-crs_0;367;418
6577;final-crs_2;368;322
6802;gate-keeper;383;
6804;frui_0;383;
6805;final-crs_0;383;153
6992;gate-keeper;393;
6993;vege_0;393;
6993;gate-keeper;394;
6998;frui_0;394;
7015;final-crs_9;393;427
7047;final-crs_7;394;673
7081;gate-keeper;399;
7118;meat_0;399;
7154;final-crs_6;399;375
7390;gate-keeper;415;
7391;vege_0;415;
7391;gate-keeper;416;
7392;final-crs_11;415;231
7392;vege_1;416;
7407;final-crs_6;416;113
7632;gate-keeper;429;
7633;gate-keeper;430;
7638;vege_0;430;
7638;frui_0;429;
7648;final-crs_11;430;454
7652;final-crs_6;429;623
7959;gate-keeper;448;
7960;gate-keeper;449;
7961;vege_1;448;
7968;vege_0;449;
7969;final-crs_9;448;1230
7979;final-crs_4;449;713
8308;gate-keeper;467;
8309;vege_0;467;
8309;gate-keeper;468;
8317;final-crs_10;467;450
8333;meat_1;468;
8338;final-crs_2;468;2003
8657;gate-keeper;488;
8661;frui_0;488;
8682;final-crs_4;488;1374
8697;gate-keeper;489;
8698;gate-keeper;490;
8699;frui_0;490;
8700;vege_0;489;
8701;final-crs_0;490;753
8711;final-crs_5;489;1427
9278;gate-keeper;522;
9279;gate-keeper;523;
9280;frui_1;522;
9282;vege_1;523;
9288;final-crs_3;522;753
9374;final-crs_4;523;1334
9547;gate-keeper;538;
9551;frui_0;538;
9559;final-crs_6;538;1421
9881;gate-keeper;557;
9883;vege_1;557;
9884;final-crs_1;557;379
10208;gate-keeper;574;
10209;vege_1;574;
10209;gate-keeper;575;
10217;vege_0;575;
10224;final-crs_5;574;1083
10226;final-crs_8;575;109
10485;gate-keeper;592;
10487;vege_0;592;
10504;final-crs_10;592;391
10509;gate-keeper;593;
10529;meat_0;593;
10539;final-crs_6;593;1259
10805;gate-keeper;610;
10807;frui_0;610;
10814;final-crs_9;610;1280
11096;gate-keeper;623;
11097;gate-keeper;624;
11098;gate-keeper;625;
11099;vege_0;624;
11099;gate-keeper;626;
11100;frui_0;623;
11100;frui_1;625;
11100;gate-keeper;627;
11106;final-crs_0;624;1092
11132;meat_0;626;
11156;meat_1;627;
11180;final-crs_4;623;982
11182;final-crs_11;625;2336
11207;final-crs_10;626;642
11216;final-crs_6;627;323
11324;gate-keeper;640;
11330;frui_0;640;
11340;final-crs_3;640;571
11647;gate-keeper;656;
11648;frui_1;656;
11648;gate-keeper;657;
11649;gate-keeper;658;
11652;vege_0;657;
11652;vege_1;658;
11657;final-crs_10;656;1100
11665;final-crs_4;657;276
11690;gate-keeper;661;
11692;final-crs_11;658;1532
11693;frui_0;661;
11701;final-crs_6;661;279
11981;gate-keeper;677;
11987;vege_1;677;
12019;final-crs_3;677;131
12273;gate-keeper;693;
12278;vege_1;693;
12287;final-crs_7;693;209
12330;gate-keeper;695;
12331;gate-keeper;696;
12332;frui_1;696;
12337;meat_0;695;
12375;final-crs_4;696;1741
12378;final-crs_6;695;823
12943;gate-keeper;730;
12947;frui_0;730;
12948;final-crs_3;730;406
13230;gate-keeper;747;
