time;ckpt;id;money
556;gate-keeper;42;
557;gate-keeper;43;
562;vege_0;42;
564;vege_1;43;
659;final-crs_3;42;1394
668;final-crs_2;43;390
828;gate-keeper;62;
829;gate-keeper;63;
830;gate-keeper;64;
834;vege_0;63;
838;meat_0;62;
839;meat_1;64;
875;gate-keeper;65;
876;gate-keeper;66;
877;gate-keeper;67;
878;vege_0;67;
879;frui_0;66;
892;final-crs_2;63;558
893;meat_0;65;
922;final-crs_5;62;1955
939;final-crs_9;64;703
943;final-crs_3;67;116
957;final-crs_1;66;901
962;final-crs_0;65;1712
1087;gate-keeper;84;
1089;vege_1;84;
1103;final-crs_2;84;415
1358;gate-keeper;104;
1359;vege_0;104;
1359;gate-keeper;105;
1365;vege_1;105;
1392;final-crs_9;104;1756
1398;final-crs_5;105;1003
1672;gate-keeper;129;
1673;gate-keeper;130;
1680;vege_0;129;
1682;vege_1;130;
1689;final-crs_6;129;204
1690;final-crs_0;130;472
1791;gate-keeper;140;
1793;vege_0;140;
1819;final-crs_9;140;1353
1990;gate-keeper;155;
1991;gate-keeper;156;
1992;vege_1;155;
1993;final-crs_7;155;1157
2024;meat_0;156;
2084;final-crs_9;156;1186
2295;gate-keeper;171;
2296;vege_1;171;
2296;gate-keeper;172;
2297;gate-keeper;173;
2298;gate-keeper;174;
2299;gate-keeper;175;
2300;gate-keeper;176;
2301;vege_0;172;
2301;gate-keeper;177;
2302;frui_1;177;
2302;gate-keeper;178;
2303;gate-keeper;179;
2306;vege_1;173;
2310;vege_0;175;
2311;final-crs_9;171;64
2316;vege_1;176;
2318;meat_0;174;
2320;vege_0;178;
2326;vege_1;179;
2346;final-crs_6;172;1034
2361;final-crs_0;177;900
2362;final-crs_1;173;2177
2381;final-crs_8;175;147
2390;final-crs_3;176;69
2411;final-crs_5;174;526
2478;final-crs_11;178;267
2504;final-crs_4;179;623
2594;gate-keeper;202;
2595;gate-keeper;203;
2598;vege_0;202;
2598;frui_1;203;
2611;final-crs_6;202;1876
2618;final-crs_8;203;309
2805;gate-keeper;219;
2806;gate-keeper;220;
2808;frui_1;220;
2827;meat_0;219;
2849;final-crs_8;220;1310
2861;final-crs_6;219;768
2926;gate-keeper;229;
2927;gate-keeper;230;
2933;vege_1;230;
2936;final-crs_1;230;742
2940;meat_0;229;
2962;final-crs_11;229;889
3252;gate-keeper;254;
3253;vege_1;254;
3253;gate-keeper;255;
3254;gate-keeper;256;
3261;vege_0;255;
3276;final-crs_10;254;1155
3277;final-crs_7;255;279
3282;meat_1;256;
3287;final-crs_2;256;1155
3336;gate-keeper;261;
3337;gate-keeper;262;
3338;gate-keeper;263;
3339;frui_0;262;
3344;frui_1;263;
3344;meat_1;261;
3373;final-crs_5;262;626
3396;final-crs_4;263;176
3426;final-crs_11;261;472
3580;gate-keeper;281;
3581;vege_1;281;
3581;gate-keeper;282;
3585;meat_0;282;
3590;final-crs_8;281;1040
3599;final-crs_5;282;1604
3813;gate-keeper;292;
3814;gate-keeper;293;
3815;gate-keeper;294;
3816;vege_0;292;
3816;vege_1;293;
3816;gate-keeper;295;
3817;gate-keeper;296;
3818;gate-keeper;297;
3819;gate-keeper;298;
3820;final-crs_2;292;1058
3820;meat_1;295;
3820;gate-keeper;299;
3821;gate-keeper;300;
3822;gate-keeper;301;
3824;vege_1;294;
3825;vege_0;296;
3832;vege_1;298;
3833;vege_0;299;
3834;final-crs_4;293;684
3838;final-crs_5;295;124
3841;vege_1;300;
3845;gate-keeper;303;
3846;gate-keeper;304;
3850;frui_1;303;
3854;final-crs_8;294;1277
3873;meat_1;297;
3877;meat_0;301;
3900;final-crs_11;296;1636
3927;final-crs_1;298;517
3932;final-crs_9;299;794
3937;meat_0;304;
3974;final-crs_10;300;1909
3992;final-crs_6;303;268
4015;final-crs_7;297;70
4020;final-crs_0;301;475
4029;final-crs_3;304;874
4135;gate-keeper;326;
4136;gate-keeper;327;
4143;vege_0;326;
4144;final-crs_11;326;1116
4173;meat_0;327;
4182;final-crs_1;327;1042
4454;gate-keeper;350;
4455;gate-keeper;351;
4460;vege_0;350;
4464;vege_1;351;
4484;final-crs_10;350;189
4486;final-crs_7;351;1068
4549;gate-keeper;357;
4550;gate-keeper;358;
4551;vege_1;357;
4551;gate-keeper;359;
4556;vege_0;358;
4559;vege_1;359;
4576;final-crs_8;357;661
4585;final-crs_6;358;1193
4622;final-crs_11;359;671
5076;gate-keeper;401;
5081;vege_0;401;
5095;final-crs_9;401;679
5348;gate-keeper;416;
5349;gate-keeper;417;
5350;gate-keeper;418;
5351;gate-keeper;419;
5352;vege_0;416;
5352;gate-keeper;420;
5353;gate-keeper;421;
5354;gate-keeper;422;
5355;vege_1;417;
5355;gate-keeper;423;
5361;vege_0;418;
5364;vege_1;419;
5370;vege_0;420;
5370;meat_0;422;
5374;vege_1;421;
5379;final-crs_10;416;885
5381;vege_0;423;
5387;final-crs_1;417;939
5429;gate-keeper;429;
5432;meat_0;429;
5441;final-crs_7;418;133
5442;final-crs_2;419;701
5450;final-crs_5;420;2380
5469;final-crs_0;422;964
5494;final-crs_4;421;334
5495;final-crs_6;423;121
5530;final-crs_8;429;1215
5670;gate-keeper;448;
5674;vege_0;448;
5687;final-crs_2;448;844
5925;gate-keeper;469;
5927;frui_0;469;
5928;final-crs_7;469;976
6235;gate-keeper;492;
6236;gate-keeper;493;
6284;meat_1;492;
6292;meat_0;493;
6343;final-crs_0;492;805
6369;final-crs_5;493;322
6404;gate-keeper;506;
6405;gate-keeper;507;
6406;vege_0;506;
6413;final-crs_6;506;737
6421;meat_0;507;
6438;final-crs_2;507;1423
6583;gate-keeper;520;
6584;gate-keeper;521;
6588;frui_0;520;
6589;vege_0;521;
6605;final-crs_5;520;817
6610;final-crs_6;521;572
6850;gate-keeper;539;
6851;gate-keeper;540;
6852;gate-keeper;541;
6853;gate-keeper;542;
6854;gate-keeper;543;
6857;vege_1;542;
6859;vege_0;543;
6864;final-crs_0;542;571
6868;meat_0;539;
6869;meat_1;540;
6899;final-crs_3;543;486
6903;gate-keeper;547;
6906;final-crs_2;539;724
6906;final-crs_11;540;306
6906;vege_0;547;
6911;final-crs_4;547;552
6922;meat_0;541;
6923;final-crs_7;541;822
7199;gate-keeper;567;
7200;gate-keeper;568;
7201;gate-keeper;569;
7202;gate-keeper;570;
7204;vege_0;570;
7204;frui_0;569;
7224;final-crs_5;570;698
7226;meat_0;567;
7246;meat_1;568;
7280;final-crs_8;569;447
7331;final-crs_3;567;1105
7344;final-crs_11;568;627
7379;gate-keeper;581;
7380;meat_1;581;
7380;gate-keeper;582;
7381;gate-keeper;583;
7382;gate-keeper;584;
7383;frui_0;582;
7383;gate-keeper;585;
7385;vege_1;585;
7387;final-crs_1;581;425
7420;meat_0;583;
7423;final-crs_2;582;1340
7434;final-crs_10;585;1312
7440;meat_1;584;
7442;final-crs_5;583;1187
7442;final-crs_9;584;576
7524;gate-keeper;596;
7525;gate-keeper;597;
7530;vege_0;596;
7532;vege_1;597;
7582;final-crs_7;596;274
7593;final-crs_3;597;991
8210;gate-keeper;650;
8211;gate-keeper;651;
8219;vege_0;650;
8219;vege_1;651;
8231;final-crs_5;650;1079
8232;gate-keeper;652;
8233;gate-keeper;653;
8236;vege_0;652;
8254;final-crs_7;651;962
8272;meat_1;653;
8289;final-crs_8;652;772
8294;final-crs_1;653;813
8510;gate-keeper;674;
8515;meat_1;674;
8518;final-crs_7;674;198
9112;gate-keeper;722;
9113;vege_0;722;
9113;gate-keeper;723;
9115;vege_1;723;
9151;final-crs_4;722;1209
9169;final-crs_2;723;225
9364;gate-keeper;743;
9370;vege_1;743;
9376;final-crs_2;743;826
9645;gate-keeper;764;
9646;gate-keeper;765;
9647;vege_0;764;
9671;final-crs_6;764;198
9682;meat_0;765;
9733;final-crs_7;765;1075
9961;gate-keeper;785;
9962;gate-keeper;786;
9963;gate-keeper;787;
9964;gate-keeper;788;
9965;gate-keeper;789;
9966;gate-keeper;790;
9968;vege_0;789;
9971;vege_1;790;
9973;meat_0;785;
9995;final-crs_5;789;590
9996;meat_1;786;
10001;final-crs_3;790;1266
10001;final-crs_9;785;102
10003;final-crs_1;786;233
10027;meat_0;787;
10059;meat_1;788;
10060;final-crs_11;787;714
10092;final-crs_4;788;838
10152;gate-keeper;801;
10153;gate-keeper;802;
10154;gate-keeper;803;
10155;gate-keeper;804;
10156;vege_1;802;
10156;gate-keeper;805;
10158;final-crs_6;802;658
10158;vege_0;804;
10164;vege_1;805;
10170;meat_1;801;
10176;final-crs_7;804;166
10193;meat_0;803;
10221;final-crs_3;805;670
10235;final-crs_1;801;1330
10235;final-crs_9;803;1489
10589;gate-keeper;840;
10592;vege_1;840;
10595;final-crs_8;840;230
11076;gate-keeper;879;
11080;vege_0;879;
11090;final-crs_8;879;1060
11168;gate-keeper;886;
11169;vege_1;886;
11237;final-crs_3;886;422
11844;gate-keeper;935;
11845;gate-keeper;936;
11846;gate-keeper;937;
11847;frui_1;937;
11847;gate-keeper;938;
11849;vege_0;936;
11850;final-crs_4;937;578
11852;final-crs_8;936;815
11852;frui_0;938;
11863;meat_0;935;
11866;gate-keeper;939;
11867;final-crs_3;938;831
11867;vege_0;939;
11867;gate-keeper;940;
11868;final-crs_0;935;361
11872;vege_1;940;
11875;final-crs_11;939;730
11889;final-crs_1;940;925
12094;gate-keeper;958;
12095;gate-keeper;959;
12096;frui_1;958;
12097;vege_1;959;
12112;final-crs_4;958;279
12122;final-crs_11;959;255
12388;gate-keeper;983;
12389;vege_0;983;
12398;final-crs_3;983;914
12676;gate-keeper;1004;
12677;gate-keeper;1005;
12684;vege_0;1005;
12687;gate-keeper;1006;
12688;frui_0;1006;
12690;final-crs_6;1005;987
12718;final-crs_2;1006;96
12725;meat_1;1004;
12777;final-crs_7;1004;466
12981;gate-keeper;1030;
12984;vege_1;1030;
12996;final-crs_7;1030;830
13122;gate-keeper;1033;
13123;gate-keeper;1034;
13124;gate-keeper;1035;
13125;gate-keeper;1036;
13126;gate-keeper;1037;
13127;vege_0;1036;
13127;meat_0;1033;
13127;gate-keeper;1038;
13128;gate-keeper;1039;
13129;gate-keeper;1040;
13130;final-crs_6;1036;1282
13135;vege_1;1037;
13136;vege_0;1038;
13143;final-crs_10;1033;786
13146;vege_0;1040;
13162;final-crs_4;1037;915
13163;final-crs_2;1038;574
13180;meat_1;1034;
13189;meat_0;1035;
13224;gate-keeper;1048;
13225;vege_0;1048;
13235;final-crs_7;1040;527
13239;meat_1;1039;
13279;final-crs_1;1034;309
13287;final-crs_0;1035;107
13291;final-crs_8;1048;1158
13314;final-crs_9;1039;1189
13519;gate-keeper;1071;
13520;gate-keeper;1072;
13524;vege_0;1072;
13549;meat_0;1071;
13558;final-crs_6;1072;1925
13567;final-crs_11;1071;767
13841;gate-keeper;1097;
13842;vege_0;1097;
13885;final-crs_3;1097;189
14189;gate-keeper;1124;
14190;gate-keeper;1125;
14195;vege_0;1125;
14196;frui_1;1124;
14203;final-crs_7;1125;186
14229;final-crs_0;1124;389
14483;gate-keeper;1148;
14486;vege_1;1148;
14489;final-crs_0;1148;395
14492;gate-keeper;1149;
14496;vege_1;1149;
14509;final-crs_1;1149;644
14770;gate-keeper;1168;
14771;vege_0;1168;
14771;gate-keeper;1169;
14772;gate-keeper;1170;
14773;gate-keeper;1171;
14774;vege_1;1169;
14779;vege_0;1171;
14780;final-crs_1;1168;272
14797;meat_1;1170;
14824;final-crs_10;1169;1298
14853;final-crs_3;1171;417
14867;final-crs_5;1170;292
15111;gate-keeper;1195;
15112;gate-keeper;1196;
15113;gate-keeper;1197;
15156;meat_0;1195;
15158;meat_1;1196;
15166;final-crs_0;1195;1419
15180;final-crs_11;1196;1078
15205;meat_1;1197;
15238;final-crs_1;1197;511
15366;gate-keeper;1216;
15367;gate-keeper;1217;
15368;frui_1;1216;
15368;gate-keeper;1218;
15369;vege_0;1217;
15373;meat_1;1218;
15389;final-crs_6;1216;990
15398;final-crs_7;1217;1238
15399;final-crs_11;1218;454
15455;gate-keeper;1224;
15456;vege_1;1224;
15456;gate-keeper;1225;
15463;vege_0;1225;
15484;final-crs_1;1224;333
15560;final-crs_3;1225;343
15925;gate-keeper;1262;
15932;vege_1;1262;
15976;final-crs_5;1262;1764
16249;gate-keeper;1287;
16250;gate-keeper;1288;
16251;frui_1;1288;
16271;meat_0;1287;
16272;final-crs_4;1288;1578
16276;final-crs_10;1287;561
16355;gate-keeper;1296;
16359;frui_0;1296;
16363;final-crs_8;1296;1136
16535;gate-keeper;1307;
16536;gate-keeper;1308;
16537;vege_1;1308;
16537;gate-keeper;1309;
16538;gate-keeper;1310;
16539;vege_0;1309;
16542;final-crs_8;1308;300
16543;meat_1;1307;
16548;final-crs_3;1309;882
16569;final-crs_9;1307;256
16569;meat_0;1310;
16603;final-crs_11;1310;1091
16815;gate-keeper;1332;
16823;vege_0;1332;
16855;final-crs_7;1332;234
17113;gate-keeper;1355;
17114;gate-keeper;1356;
17116;vege_0;1355;
17134;meat_1;1356;
17138;gate-keeper;1357;
17139;gate-keeper;1358;
17141;frui_0;1357;
17145;vege_0;1358;
17150;final-crs_0;1355;889
17165;final-crs_6;1356;1642
17187;final-crs_2;1357;842
17187;final-crs_4;1358;1195
17414;gate-keeper;1379;
17415;gate-keeper;1380;
17421;vege_0;1379;
17424;vege_1;1380;
17433;final-crs_1;1379;1111
17442;final-crs_5;1380;823
17715;gate-keeper;1404;
17720;vege_0;1404;
17770;final-crs_9;1404;767
18016;gate-keeper;1428;
18047;meat_1;1428;
18053;final-crs_9;1428;203
18290;gate-keeper;1449;
18294;frui_0;1449;
18302;final-crs_9;1449;463
18866;gate-keeper;1561;
18867;gate-keeper;1562;
18868;gate-keeper;1563;
18869;vege_1;1561;
18869;gate-keeper;1564;
18870;gate-keeper;1565;
18871;vege_0;1564;
18898;final-crs_4;1561;213
18906;meat_0;1562;
18909;final-crs_5;1564;1044
18913;final-crs_1;1562;735
18923;meat_1;1563;
18941;final-crs_9;1563;136
18963;meat_0;1565;
19002;gate-keeper;1576;
19007;vege_0;1576;
19050;final-crs_11;1565;102
19052;final-crs_3;1576;430
20051;gate-keeper;1726;
20056;meat_0;1726;
20061;final-crs_8;1726;65
20647;gate-keeper;1842;
20652;vege_1;1842;
20677;final-crs_7;1842;887
20696;gate-keeper;1844;
20697;gate-keeper;1845;
20699;vege_0;1844;
20705;meat_0;1845;
20717;final-crs_3;1844;971
20717;final-crs_10;1845;802
20903;gate-keeper;1931;
20904;gate-keeper;1932;
20909;meat_1;1931;
20922;final-crs_6;1931;539
20944;meat_0;1932;
20976;final-crs_9;1932;966
21234;gate-keeper;1957;
21235;gate-keeper;1958;
21237;vege_0;1957;
21240;final-crs_9;1957;483
21241;vege_1;1958;
21252;final-crs_3;1958;1200
21546;gate-keeper;1972;
21547;gate-keeper;1973;
21548;gate-keeper;1974;
21549;gate-keeper;1975;
21550;gate-keeper;1976;
21551;vege_0;1973;
21551;gate-keeper;1977;
21552;gate-keeper;1978;
21553;gate-keeper;1979;
21554;gate-keeper;1980;
21555;gate-keeper;1981;
21556;gate-keeper;1982;
21557;gate-keeper;1983;
21558;vege_1;1974;
21558;gate-keeper;1984;
21559;gate-keeper;1985;
21560;vege_0;1977;
21560;gate-keeper;1986;
21561;gate-keeper;1987;
21562;gate-keeper;1988;
21563;frui_1;1987;
21563;gate-keeper;1989;
21564;gate-keeper;1990;
21565;gate-keeper;1991;
21566;gate-keeper;1992;
21567;meat_0;1972;
21567;gate-keeper;1993;
21568;vege_1;1984;
21568;gate-keeper;1994;
21569;gate-keeper;1995;
21570;vege_0;1988;
21570;frui_1;1992;
21570;gate-keeper;1996;
21571;gate-keeper;1997;
21572;gate-keeper;1998;
21573;gate-keeper;1999;
21574;gate-keeper;2000;
21575;gate-keeper;2001;
21576;vege_1;1990;
21576;frui_1;1997;
21576;gate-keeper;2002;
21577;frui_0;2000;
21577;gate-keeper;2003;
21578;gate-keeper;2004;
21579;gate-keeper;2005;
21580;gate-keeper;2006;
21581;vege_0;1991;
21581;gate-keeper;2007;
21582;gate-keeper;2008;
21583;gate-keeper;2009;
21584;gate-keeper;2010;
21585;gate-keeper;2011;
21586;vege_1;1994;
21586;gate-keeper;2012;
21587;gate-keeper;2013;
21588;frui_1;2009;
21588;gate-keeper;2014;
21589;vege_0;1995;
21589;frui_0;2012;
21589;gate-keeper;2015;
21590;gate-keeper;2016;
21591;gate-keeper;2017;
21592;gate-keeper;2018;
21593;gate-keeper;2019;
21594;frui_0;2013;
21594;gate-keeper;2020;
21595;gate-keeper;2021;
21596;vege_1;1999;
21596;gate-keeper;2022;
21597;gate-keeper;2023;
21598;vege_0;2002;
21598;gate-keeper;2024;
21599;gate-keeper;2025;
21600;gate-keeper;2026;
21601;gate-keeper;2027;
21602;gate-keeper;2028;
21603;final-crs_6;1973;376
21603;gate-keeper;2029;
21604;gate-keeper;2030;
21605;gate-keeper;2031;
21606;vege_1;2003;
21606;gate-keeper;2032;
21607;vege_0;2004;
21607;gate-keeper;2033;
21608;frui_1;2033;
21608;gate-keeper;2034;
21609;gate-keeper;2035;
21610;gate-keeper;2036;
21611;gate-keeper;2037;
21612;meat_1;1975;
21612;gate-keeper;2038;
21613;frui_0;2035;
21613;gate-keeper;2039;
21615;vege_1;2005;
21616;final-crs_11;1974;2242
21616;vege_0;2006;
21625;vege_0;2007;
21625;vege_1;2010;
21626;meat_0;1976;
21633;final-crs_7;1977;156
21635;vege_0;2011;
21636;vege_1;2016;
21637;gate-keeper;2059;
21638;gate-keeper;2060;
21643;vege_0;2017;
21646;vege_1;2018;
21653;vege_0;2019;
21656;vege_1;2020;
21660;vege_0;2021;
21664;final-crs_3;1987;1799
21666;vege_1;2023;
21668;vege_0;2025;
21669;final-crs_10;1972;163
21676;vege_1;2026;
21679;vege_0;2027;
21682;meat_0;1978;
21683;meat_1;1979;
21687;vege_1;2028;
21689;vege_0;2029;
21694;final-crs_4;1984;1212
21695;vege_1;2030;
21697;vege_0;2031;
21705;vege_0;2034;
21705;vege_1;2059;
21719;final-crs_9;1988;113
21740;final-crs_8;1992;777
21741;meat_0;1980;
21741;meat_1;1981;
21757;final-crs_0;1990;962
21764;final-crs_2;1997;1397
21768;final-crs_1;2000;844
21802;meat_0;1982;
21808;meat_1;1983;
21812;final-crs_5;1991;1021
21816;final-crs_6;1994;365
21835;final-crs_11;2009;1943
21859;gate-keeper;2078;
21863;vege_0;2078;
21863;meat_1;1985;
21874;meat_0;1986;
21911;final-crs_3;1995;135
21921;meat_0;1989;
21921;meat_1;1993;
21926;final-crs_10;2012;577
21928;final-crs_7;2013;635
21938;final-crs_4;1999;822
21941;final-crs_1;2002;600
21954;final-crs_9;2003;291
21973;meat_0;1996;
21976;final-crs_8;2004;120
21979;meat_1;1998;
22000;final-crs_2;2033;80
22028;final-crs_5;1975;860
22030;final-crs_0;2035;160
22034;meat_0;2001;
22049;meat_1;2008;
22083;final-crs_6;2005;1022
22083;final-crs_11;2006;203
22095;meat_0;2014;
22102;meat_1;2015;
22137;final-crs_3;2007;1028
22153;meat_0;2022;
22154;gate-keeper;2170;
22159;meat_1;2024;
22185;final-crs_4;2010;1327
22190;final-crs_10;1976;530
22191;final-crs_2;2011;343
22192;final-crs_9;2016;738
22194;final-crs_7;2017;65
22198;final-crs_1;2018;618
22211;meat_1;2032;
22214;meat_0;2036;
22234;final-crs_8;2019;263
22260;final-crs_0;2020;556
22260;final-crs_5;2021;111
22267;meat_0;2037;
22268;meat_1;2038;
22279;final-crs_6;2023;123
22324;meat_0;2039;
22327;meat_1;2060;
22350;final-crs_11;2025;807
22360;final-crs_3;2026;624
22386;meat_0;2170;
22413;final-crs_9;2027;1193
22418;final-crs_1;1978;1935
22427;final-crs_4;1979;293
22428;final-crs_7;2028;941
22446;final-crs_2;2029;369
22452;final-crs_10;2030;306
22460;gate-keeper;2264;
22468;vege_0;2264;
22473;final-crs_8;2031;1125
22483;gate-keeper;2266;
22487;vege_1;2266;
22505;final-crs_0;2034;764
22523;final-crs_5;2059;1086
22527;final-crs_6;1980;771
22574;final-crs_11;1981;1205
22579;final-crs_3;1982;745
22643;final-crs_7;1983;1259
22647;final-crs_1;2078;413
22659;final-crs_9;1985;1038
22694;final-crs_2;1986;507
22694;final-crs_10;1989;864
22708;final-crs_8;1993;624
22726;final-crs_4;1996;439
22766;final-crs_5;1998;74
22782;final-crs_0;2001;813
22783;final-crs_6;2008;543
22785;gate-keeper;2290;
22787;vege_0;2290;
22809;final-crs_3;2014;873
22814;final-crs_11;2015;789
22877;final-crs_1;2022;1183
22884;final-crs_7;2024;1180
22903;final-crs_8;2032;103
22917;final-crs_2;2036;421
22937;final-crs_9;2037;941
22948;final-crs_10;2038;1223
22983;final-crs_6;2039;994
23010;final-crs_0;2060;495
23013;final-crs_4;2170;379
23039;final-crs_5;2264;1298
23053;gate-keeper;2311;
23054;frui_1;2311;
23054;gate-keeper;2312;
23055;gate-keeper;2313;
23056;vege_1;2313;
23056;gate-keeper;2314;
23057;gate-keeper;2315;
23058;gate-keeper;2316;
23059;vege_0;2314;
23059;gate-keeper;2317;
23060;gate-keeper;2318;
23061;gate-keeper;2319;
23062;final-crs_3;2266;1034
23062;gate-keeper;2320;
23063;vege_1;2315;
