time;ckpt;id;money
316;gate-keeper;9;
318;frui_0;9;
429;final-crs_7;9;142
626;gate-keeper;18;
629;frui_0;18;
668;final-crs_7;18;660
801;gate-keeper;19;
802;vege_0;19;
802;gate-keeper;20;
803;gate-keeper;21;
804;frui_1;21;
804;gate-keeper;22;
805;gate-keeper;23;
808;vege_1;20;
811;vege_0;22;
818;vege_1;23;
924;final-crs_10;19;1375
927;final-crs_5;21;1524
927;final-crs_6;20;2067
932;final-crs_3;22;1169
938;final-crs_7;23;1561
953;gate-keeper;28;
959;vege_1;28;
979;final-crs_2;28;1202
1643;gate-keeper;48;
1644;gate-keeper;49;
1645;gate-keeper;50;
1646;vege_1;48;
1646;frui_1;49;
1648;vege_0;50;
1655;final-crs_9;48;1482
1662;final-crs_6;49;2588
1676;final-crs_1;50;1263
2455;gate-keeper;76;
2461;vege_1;76;
2520;final-crs_9;76;2316
2721;gate-keeper;85;
2722;frui_0;85;
2804;final-crs_9;85;1637
2969;gate-keeper;93;
2973;vege_0;93;
3012;final-crs_5;93;848
3214;gate-keeper;98;
3215;gate-keeper;99;
3216;gate-keeper;100;
3217;gate-keeper;101;
3220;vege_1;98;
3223;vege_0;99;
3229;vege_1;100;
3233;vege_0;101;
3251;final-crs_5;98;2167
3277;final-crs_0;99;920
3305;final-crs_9;100;2036
3327;final-crs_7;101;621
4126;gate-keeper;130;
4130;frui_0;130;
4215;final-crs_8;130;1153
4452;gate-keeper;140;
4454;vege_0;140;
4460;final-crs_8;140;1917
4847;gate-keeper;152;
4848;gate-keeper;153;
4852;vege_1;152;
4854;vege_0;153;
4858;final-crs_6;152;113
4900;final-crs_8;153;284
5095;gate-keeper;161;
5098;vege_1;161;
5114;final-crs_6;161;815
5420;gate-keeper;171;
5429;meat_0;171;
5453;final-crs_3;171;211
5741;gate-keeper;181;
5742;gate-keeper;182;
5743;vege_1;181;
5745;vege_0;182;
5789;final-crs_11;181;899
5790;final-crs_1;182;496
6013;gate-keeper;191;
6020;vege_1;191;
6021;final-crs_2;191;132
6330;gate-keeper;201;
6331;vege_1;201;
6368;final-crs_3;201;1286
6692;gate-keeper;212;
6720;gate-keeper;213;
6722;meat_1;212;
6723;vege_1;213;
6744;final-crs_11;212;1998
6765;final-crs_8;213;2599
7039;gate-keeper;224;
7041;vege_0;224;
7044;final-crs_10;224;1348
7607;gate-keeper;243;
7608;vege_0;243;
7674;final-crs_3;243;1602
7930;gate-keeper;253;
7931;vege_0;253;
7948;final-crs_6;253;1685
8276;gate-keeper;263;
8280;frui_0;263;
8336;final-crs_7;263;2434
8533;gate-keeper;271;
8534;vege_1;271;
8570;final-crs_7;271;121
8839;gate-keeper;281;
8840;frui_0;281;
8840;gate-keeper;282;
8843;vege_1;282;
8846;final-crs_8;281;2994
8850;final-crs_3;282;2440
9176;gate-keeper;291;
9177;gate-keeper;292;
9180;vege_1;291;
9188;final-crs_0;291;1427
9203;meat_0;292;
9257;final-crs_10;292;1726
9754;gate-keeper;310;
9759;vege_0;310;
9759;gate-keeper;311;
9760;frui_0;311;
9790;final-crs_7;310;1290
9802;final-crs_3;311;1928
10094;gate-keeper;321;
10095;vege_0;321;
10110;final-crs_1;321;2831
10394;gate-keeper;329;
10395;gate-keeper;330;
10402;vege_1;330;
10407;meat_0;329;
10424;final-crs_11;330;541
10450;final-crs_10;329;1781
10681;gate-keeper;340;
10682;frui_1;340;
10688;final-crs_10;340;263
11006;gate-keeper;350;
11011;frui_1;350;
11031;final-crs_5;350;1267
11321;gate-keeper;360;
11322;vege_0;360;
11345;final-crs_1;360;1395
11627;gate-keeper;370;
11628;vege_1;370;
11651;final-crs_6;370;2886
11937;gate-keeper;380;
11939;meat_0;380;
11985;final-crs_2;380;1962
12089;gate-keeper;385;
12090;vege_0;385;
12095;final-crs_10;385;1319
12238;gate-keeper;389;
12240;vege_0;389;
12248;final-crs_9;389;1552
12501;gate-keeper;398;
12509;vege_0;398;
12545;final-crs_3;398;987
12932;gate-keeper;411;
12933;gate-keeper;412;
12934;vege_0;411;
12937;final-crs_0;411;462
12942;vege_1;412;
12943;final-crs_6;412;1926
13356;gate-keeper;425;
13359;vege_1;425;
13389;final-crs_9;425;452
13657;gate-keeper;435;
13662;vege_1;435;
13670;final-crs_0;435;1212
14267;gate-keeper;455;
14270;vege_1;455;
14310;final-crs_9;455;1435
15207;gate-keeper;485;
15208;vege_0;485;
15226;final-crs_9;485;2659
15974;gate-keeper;505;
15975;vege_1;505;
15975;gate-keeper;506;
15976;gate-keeper;507;
15977;gate-keeper;508;
15978;gate-keeper;509;
15979;gate-keeper;510;
15982;final-crs_3;505;1883
15984;vege_0;506;
15986;final-crs_0;506;2473
15986;vege_1;507;
15992;vege_0;508;
15997;vege_1;509;
16001;vege_0;510;
16012;final-crs_4;507;2294
16024;final-crs_7;508;2354
16030;final-crs_2;509;1233
16054;final-crs_6;510;1388
16081;gate-keeper;513;
16083;frui_0;513;
16087;final-crs_8;513;1825
16370;gate-keeper;521;
16371;gate-keeper;522;
16373;vege_0;521;
16373;vege_1;522;
16378;final-crs_9;521;1014
16387;final-crs_5;522;1101
16984;gate-keeper;542;
16986;vege_0;542;
17003;final-crs_2;542;1062
17248;gate-keeper;551;
17251;frui_0;551;
17260;final-crs_2;551;881
17551;gate-keeper;589;
17561;meat_0;589;
17641;final-crs_1;589;365
17851;gate-keeper;599;
17852;frui_0;599;
17873;final-crs_0;599;565
18785;gate-keeper;658;
18788;frui_0;658;
18814;final-crs_9;658;491
19613;gate-keeper;713;
19614;frui_0;713;
19641;final-crs_11;713;698
19763;gate-keeper;718;
19766;vege_1;718;
19779;final-crs_10;718;1319
19880;gate-keeper;722;
19884;vege_0;722;
19896;final-crs_8;722;2424
20140;gate-keeper;730;
20144;vege_1;730;
20174;final-crs_8;730;1726
20681;gate-keeper;745;
20682;frui_1;745;
20682;gate-keeper;746;
20683;gate-keeper;747;
20687;vege_1;746;
20691;vege_0;747;
20700;final-crs_10;745;1124
20711;final-crs_7;746;1096
20716;final-crs_0;747;350
21353;gate-keeper;828;
21358;vege_0;828;
21375;final-crs_7;828;2690
21496;gate-keeper;832;
21499;frui_0;832;
21511;final-crs_4;832;1546
21805;gate-keeper;869;
21806;gate-keeper;870;
21807;gate-keeper;871;
21809;frui_1;869;
21812;vege_0;870;
21816;vege_1;871;
21830;final-crs_7;869;1852
21859;final-crs_8;870;445
21899;final-crs_9;871;2990
22167;gate-keeper;882;
22168;gate-keeper;883;
22171;vege_1;883;
22171;frui_0;882;
