time;ckpt;id;money
590;gate-keeper;22;
592;frui_1;22;
652;final-crs_6;22;1685
885;gate-keeper;34;
890;meat_1;34;
899;final-crs_4;34;863
1493;gate-keeper;59;
1498;vege_1;59;
1540;final-crs_6;59;407
2174;gate-keeper;86;
2185;meat_0;86;
2188;final-crs_11;86;310
2482;gate-keeper;98;
2487;vege_1;98;
2491;final-crs_6;98;1855
2668;gate-keeper;105;
2671;vege_0;105;
2688;final-crs_6;105;591
2771;gate-keeper;109;
2772;vege_1;109;
2774;final-crs_3;109;76
3020;gate-keeper;119;
3027;vege_1;119;
3032;final-crs_0;119;471
3594;gate-keeper;143;
3610;meat_0;143;
3620;gate-keeper;144;
3627;vege_1;144;
3630;final-crs_6;143;346
3680;final-crs_11;144;948
3841;gate-keeper;151;
3842;gate-keeper;152;
3843;gate-keeper;153;
3846;vege_1;152;
3856;meat_1;151;
3871;final-crs_1;152;1277
3891;meat_0;153;
3896;final-crs_0;151;1053
3923;final-crs_10;153;459
4120;gate-keeper;163;
4121;gate-keeper;164;
4123;vege_0;163;
4134;final-crs_10;163;1547
4135;meat_0;164;
4173;final-crs_6;164;169
4439;gate-keeper;176;
4440;vege_0;176;
4442;final-crs_2;176;449
4760;gate-keeper;189;
4768;meat_0;189;
4775;final-crs_9;189;295
5226;gate-keeper;207;
5227;gate-keeper;208;
5235;vege_0;207;
5235;vege_1;208;
5259;final-crs_3;207;851
5278;final-crs_9;208;989
5365;gate-keeper;212;
5366;gate-keeper;213;
5369;frui_0;213;
5370;vege_1;212;
5394;final-crs_2;213;824
5420;final-crs_6;212;1609
5959;gate-keeper;235;
5960;gate-keeper;236;
5961;gate-keeper;237;
5963;vege_1;236;
5965;vege_0;237;
5973;meat_0;235;
5991;final-crs_9;236;547
6006;final-crs_0;237;972
6006;final-crs_5;235;1160
6843;gate-keeper;273;
6846;vege_1;273;
6877;final-crs_8;273;337
7000;gate-keeper;279;
7002;vege_0;279;
7024;final-crs_7;279;286
7134;gate-keeper;284;
7139;frui_0;284;
7162;final-crs_9;284;902
7891;gate-keeper;314;
7892;gate-keeper;315;
7896;vege_1;314;
7899;vege_0;315;
7926;final-crs_10;314;1027
7931;final-crs_5;315;1635
7991;gate-keeper;319;
7996;frui_1;319;
7999;final-crs_7;319;330
8321;gate-keeper;332;
8323;frui_1;332;
8324;final-crs_1;332;355
9109;gate-keeper;363;
9116;vege_0;363;
9120;final-crs_8;363;643
9443;gate-keeper;376;
9447;vege_0;376;
9448;final-crs_10;376;1008
9772;gate-keeper;388;
9773;gate-keeper;389;
9780;vege_0;388;
9781;vege_1;389;
9793;final-crs_0;388;328
9814;final-crs_3;389;1124
10665;gate-keeper;425;
10694;meat_1;425;
10706;final-crs_2;425;538
10757;gate-keeper;426;
10758;vege_1;426;
10758;gate-keeper;427;
10759;final-crs_3;426;804
10759;gate-keeper;428;
10760;gate-keeper;429;
10763;vege_0;427;
10767;vege_1;429;
10771;final-crs_0;427;1301
10772;final-crs_8;429;769
10789;meat_0;428;
10830;final-crs_6;428;1371
11047;gate-keeper;440;
11048;gate-keeper;441;
11049;vege_0;440;
11050;vege_1;441;
11060;final-crs_10;440;846
11077;final-crs_9;441;996
11330;gate-keeper;452;
11339;vege_0;452;
11341;final-crs_4;452;1405
11610;gate-keeper;463;
11614;frui_0;463;
11628;final-crs_11;463;730
11879;gate-keeper;475;
11891;meat_0;475;
11893;final-crs_0;475;117
12431;gate-keeper;497;
12433;frui_0;497;
12435;final-crs_11;497;595
12523;gate-keeper;500;
12524;vege_0;500;
12529;final-crs_2;500;940
13159;gate-keeper;525;
13171;meat_0;525;
13184;final-crs_11;525;2047
13406;gate-keeper;535;
13416;meat_1;535;
13430;gate-keeper;536;
13433;final-crs_4;535;459
13460;meat_0;536;
13472;final-crs_10;536;1313
13689;gate-keeper;546;
13695;vege_0;546;
13700;final-crs_4;546;1422
13922;gate-keeper;556;
13925;frui_0;556;
13929;final-crs_4;556;1632
13978;gate-keeper;557;
13979;gate-keeper;558;
13984;vege_0;558;
13989;final-crs_0;558;117
13997;meat_0;557;
14034;final-crs_7;557;1207
14248;gate-keeper;568;
14249;vege_0;568;
14278;final-crs_8;568;1260
14584;gate-keeper;581;
14585;gate-keeper;582;
14596;meat_0;581;
14624;meat_1;582;
14635;final-crs_4;581;65
14648;final-crs_11;582;455
14842;gate-keeper;589;
14843;gate-keeper;590;
14844;gate-keeper;591;
14845;gate-keeper;592;
14846;vege_0;589;
14852;vege_1;590;
14852;meat_1;591;
14854;vege_0;592;
14857;final-crs_11;589;677
14885;final-crs_4;590;75
14885;final-crs_10;591;555
14906;final-crs_0;592;1397
15238;gate-keeper;607;
15239;vege_0;607;
15239;gate-keeper;608;
15243;final-crs_8;607;1146
15251;meat_1;608;
15310;final-crs_5;608;166
15416;gate-keeper;615;
15419;frui_0;615;
15432;final-crs_7;615;1508
15741;gate-keeper;628;
15742;vege_1;628;
15773;final-crs_4;628;1706
16050;gate-keeper;676;
16051;vege_0;676;
16070;final-crs_1;676;108
16326;gate-keeper;686;
16327;gate-keeper;687;
16329;frui_1;687;
16330;vege_1;686;
16364;final-crs_11;687;347
16373;final-crs_0;686;1653
16644;gate-keeper;700;
16648;frui_1;700;
16653;final-crs_0;700;1860
16978;gate-keeper;714;
17005;meat_1;714;
17020;final-crs_3;714;114
17348;gate-keeper;728;
17349;vege_0;728;
17360;final-crs_0;728;523
17586;gate-keeper;738;
17587;vege_0;738;
17604;final-crs_0;738;766
17779;gate-keeper;745;
17780;frui_0;745;
17803;final-crs_1;745;293
18583;gate-keeper;812;
18587;meat_1;812;
18605;final-crs_2;812;1089
19071;gate-keeper;831;
19099;meat_0;831;
19114;final-crs_10;831;730
19459;gate-keeper;847;
19463;vege_1;847;
19465;final-crs_9;847;764
19997;gate-keeper;904;
20004;vege_1;904;
20031;final-crs_2;904;1061
20400;gate-keeper;918;
20401;vege_0;918;
20401;gate-keeper;919;
20402;gate-keeper;920;
20403;frui_0;919;
20412;meat_0;920;
20420;final-crs_4;918;730
20475;final-crs_6;919;393
20516;final-crs_7;920;441
20919;gate-keeper;940;
20920;vege_0;940;
20964;final-crs_6;940;216
21152;gate-keeper;949;
21153;gate-keeper;950;
21157;vege_0;949;
21166;meat_1;950;
21180;final-crs_4;949;303
21211;final-crs_7;950;683
21815;gate-keeper;1009;
21816;gate-keeper;1010;
21817;gate-keeper;1011;
21818;vege_0;1011;
21841;meat_0;1009;
21844;final-crs_8;1011;1080
21851;final-crs_5;1009;677
21861;meat_1;1010;
21864;final-crs_11;1010;949
22061;gate-keeper;1021;
22063;vege_1;1021;
22088;final-crs_5;1021;983
22142;gate-keeper;1024;
22147;vege_0;1024;
22163;final-crs_10;1024;905
22416;gate-keeper;1035;
22417;frui_1;1035;
22430;final-crs_10;1035;222
22785;gate-keeper;1121;
22786;gate-keeper;1122;
22805;meat_1;1121;
22809;meat_0;1122;
22816;final-crs_8;1121;183
22837;final-crs_0;1122;1482
22890;gate-keeper;1126;
22891;gate-keeper;1127;
22892;vege_1;1126;
22892;gate-keeper;1128;
22893;gate-keeper;1129;
22894;gate-keeper;1130;
22895;gate-keeper;1131;
22896;gate-keeper;1132;
22897;vege_0;1129;
22897;gate-keeper;1133;
22898;gate-keeper;1134;
22899;gate-keeper;1135;
22900;gate-keeper;1136;
22901;vege_1;1130;
22901;gate-keeper;1137;
22902;gate-keeper;1138;
22903;gate-keeper;1139;
22904;gate-keeper;1140;
22905;gate-keeper;1141;
22906;gate-keeper;1142;
22907;vege_0;1131;
22907;frui_1;1142;
22907;gate-keeper;1143;
22908;gate-keeper;1144;
22909;gate-keeper;1145;
22910;vege_1;1132;
22910;gate-keeper;1146;
22911;gate-keeper;1147;
22912;gate-keeper;1148;
22913;gate-keeper;1149;
22914;gate-keeper;1150;
22915;vege_0;1133;
22915;gate-keeper;1151;
22916;gate-keeper;1152;
22917;gate-keeper;1153;
22918;gate-keeper;1154;
22919;gate-keeper;1155;
22920;vege_1;1135;
22920;gate-keeper;1156;
22921;gate-keeper;1157;
22922;gate-keeper;1158;
22923;gate-keeper;1159;
22924;vege_0;1137;
22924;gate-keeper;1160;
22931;vege_1;1139;
22933;final-crs_7;1126;859
