time;ckpt;id;money
308;gate-keeper;29;
312;frui_0;29;
396;final-crs_9;29;446
612;gate-keeper;58;
613;gate-keeper;59;
615;vege_1;58;
618;final-crs_9;58;307
653;meat_0;59;
665;final-crs_10;59;392
865;gate-keeper;83;
866;gate-keeper;84;
884;meat_0;83;
892;meat_1;84;
897;gate-keeper;86;
898;gate-keeper;87;
899;vege_0;86;
899;frui_0;87;
901;final-crs_8;83;1164
914;final-crs_4;84;1009
930;final-crs_6;86;67
947;final-crs_7;87;1242
1207;gate-keeper;118;
1208;vege_1;118;
1219;final-crs_5;118;981
1513;gate-keeper;143;
1514;gate-keeper;144;
1515;vege_0;143;
1515;gate-keeper;145;
1516;gate-keeper;146;
1517;gate-keeper;147;
1519;frui_1;147;
1522;vege_1;144;
1524;vege_0;146;
1539;final-crs_3;143;1187
1565;meat_0;145;
1586;final-crs_7;147;373
1593;final-crs_10;144;1298
1594;final-crs_8;146;390
1615;final-crs_6;145;717
2649;gate-keeper;255;
2650;gate-keeper;256;
2651;gate-keeper;257;
2652;frui_0;257;
2655;final-crs_4;257;1102
2688;meat_0;255;
2689;meat_1;256;
2694;final-crs_5;255;907
2737;final-crs_3;256;732
3074;gate-keeper;298;
3093;meat_1;298;
3095;final-crs_0;298;397
3389;gate-keeper;329;
3390;frui_1;329;
3397;final-crs_4;329;794
3419;gate-keeper;330;
3420;gate-keeper;331;
3421;gate-keeper;332;
3422;vege_0;331;
3422;frui_0;330;
3422;frui_1;332;
3434;final-crs_10;331;680
3436;final-crs_5;330;995
3445;final-crs_3;332;1291
3785;gate-keeper;365;
3786;gate-keeper;366;
3787;vege_1;366;
3787;frui_0;365;
3787;gate-keeper;367;
3788;gate-keeper;368;
3789;vege_0;367;
3794;final-crs_0;366;323
3796;vege_1;368;
3829;final-crs_1;365;773
3857;final-crs_6;367;425
3892;final-crs_4;368;868
3972;gate-keeper;386;
3973;vege_0;386;
3991;final-crs_0;386;605
4296;gate-keeper;416;
4297;gate-keeper;417;
4303;vege_0;417;
4305;meat_0;416;
4335;gate-keeper;421;
4338;frui_1;421;
4346;final-crs_6;417;662
4378;final-crs_3;416;401
4405;final-crs_4;421;330
4560;gate-keeper;442;
4561;gate-keeper;443;
4562;gate-keeper;444;
4610;meat_0;442;
4617;meat_1;443;
4641;final-crs_11;442;1090
4642;final-crs_3;443;1298
4667;meat_0;444;
4698;final-crs_5;444;585
4865;gate-keeper;467;
4866;gate-keeper;468;
4867;gate-keeper;469;
4868;vege_0;467;
4868;gate-keeper;470;
4869;frui_0;468;
4869;gate-keeper;471;
4870;gate-keeper;472;
4871;gate-keeper;473;
4872;gate-keeper;474;
4873;vege_1;471;
4874;frui_1;472;
4876;final-crs_0;467;306
4892;meat_1;469;
4909;final-crs_11;468;228
4910;meat_0;470;
4915;final-crs_9;471;322
4922;final-crs_4;472;548
4930;final-crs_5;469;518
4949;meat_1;473;
4971;meat_0;474;
4981;final-crs_2;470;246
4985;final-crs_8;473;703
5002;final-crs_7;474;485
5136;gate-keeper;499;
5137;gate-keeper;500;
5138;gate-keeper;501;
5141;vege_1;500;
5142;final-crs_9;500;1509
5145;vege_0;501;
5150;final-crs_4;501;244
5158;meat_0;499;
5201;gate-keeper;508;
5202;final-crs_5;499;835
5216;meat_0;508;
5220;final-crs_8;508;512
5509;gate-keeper;539;
5511;frui_1;539;
5524;final-crs_7;539;69
5827;gate-keeper;567;
5828;gate-keeper;568;
5829;gate-keeper;569;
5830;gate-keeper;570;
5831;vege_1;567;
5831;gate-keeper;571;
5832;vege_0;568;
5835;meat_1;570;
5840;vege_1;569;
5842;vege_0;571;
5854;final-crs_10;567;524
5859;final-crs_6;568;897
5879;final-crs_4;570;582
5884;final-crs_1;569;665
5914;final-crs_5;571;1334
5994;gate-keeper;587;
5995;meat_1;587;
6029;final-crs_11;587;787
6137;gate-keeper;595;
6138;gate-keeper;596;
6139;vege_0;595;
6139;gate-keeper;597;
6140;frui_1;596;
6140;gate-keeper;598;
6141;gate-keeper;599;
6142;gate-keeper;600;
6143;vege_1;597;
6143;gate-keeper;601;
6146;frui_1;601;
6148;vege_0;598;
6152;vege_1;600;
6156;final-crs_5;595;594
6168;meat_1;599;
6198;final-crs_9;596;1957
6219;final-crs_2;597;847
6229;final-crs_7;601;1602
6232;final-crs_8;598;437
6247;final-crs_11;600;1213
6280;final-crs_10;599;1771
6483;gate-keeper;631;
6484;gate-keeper;632;
6485;gate-keeper;633;
6486;gate-keeper;634;
6487;gate-keeper;635;
6489;frui_0;632;
6491;vege_0;631;
6493;vege_1;633;
6500;final-crs_11;632;303
6502;vege_0;634;
6502;vege_1;635;
6538;final-crs_10;631;895
6548;final-crs_0;633;582
6554;final-crs_4;634;436
6555;final-crs_3;635;355
6802;gate-keeper;659;
6803;gate-keeper;660;
6804;gate-keeper;661;
6805;frui_0;660;
6805;gate-keeper;662;
6806;vege_1;659;
6806;frui_1;662;
6806;gate-keeper;663;
6807;gate-keeper;664;
6808;gate-keeper;665;
6809;gate-keeper;666;
6810;vege_0;661;
6813;frui_0;663;
6813;frui_1;664;
6816;vege_1;666;
6837;meat_0;665;
6839;final-crs_1;660;808
6848;final-crs_5;659;390
6884;final-crs_2;662;747
6892;gate-keeper;675;
6894;vege_0;675;
6946;final-crs_9;661;476
6969;final-crs_7;663;803
6982;final-crs_8;664;78
6988;final-crs_11;666;1042
7001;final-crs_6;665;467
7004;final-crs_10;675;1005
7065;gate-keeper;692;
7072;vege_0;692;
7129;final-crs_2;692;670
7197;gate-keeper;703;
7198;gate-keeper;704;
7199;gate-keeper;705;
7203;frui_0;705;
7205;vege_1;703;
7217;final-crs_7;705;863
7219;meat_1;704;
7222;final-crs_8;703;1493
7225;final-crs_11;704;523
7654;gate-keeper;750;
7659;vege_1;750;
7671;final-crs_8;750;457
7728;gate-keeper;751;
7729;frui_1;751;
7729;gate-keeper;752;
7730;gate-keeper;753;
7731;meat_0;752;
7731;gate-keeper;754;
7732;gate-keeper;755;
7733;gate-keeper;756;
7734;final-crs_9;751;902
7734;gate-keeper;757;
7735;frui_0;755;
7735;gate-keeper;758;
7736;vege_0;753;
7738;final-crs_5;752;489
7739;final-crs_4;755;357
7740;vege_1;756;
7745;final-crs_1;753;1085
7746;vege_0;757;
7758;final-crs_10;756;263
7762;final-crs_0;757;1651
7762;meat_1;754;
7789;meat_0;758;
7799;final-crs_2;754;284
7867;final-crs_6;758;274
8044;gate-keeper;783;
8045;gate-keeper;784;
8046;gate-keeper;785;
8047;gate-keeper;786;
8048;meat_1;783;
8048;gate-keeper;787;
8049;vege_1;784;
8049;gate-keeper;788;
8050;vege_0;786;
8052;final-crs_2;783;265
8052;frui_0;787;
8057;vege_1;788;
8071;meat_0;785;
8078;final-crs_6;784;1735
8086;final-crs_11;786;907
8150;final-crs_8;787;1062
8161;final-crs_3;788;1103
8190;final-crs_9;785;951
8317;gate-keeper;809;
8318;gate-keeper;810;
8319;gate-keeper;811;
8320;meat_0;809;
8320;gate-keeper;812;
8321;gate-keeper;813;
8322;frui_1;813;
8322;gate-keeper;814;
8323;vege_0;810;
8323;gate-keeper;815;
8324;frui_0;814;
8325;vege_1;811;
8331;final-crs_11;809;158
8333;vege_0;812;
8335;vege_1;815;
8404;final-crs_7;813;234
8406;final-crs_8;810;1054
8419;final-crs_9;814;857
8435;final-crs_3;811;415
8449;final-crs_2;812;72
8452;final-crs_5;815;707
8623;gate-keeper;844;
8624;gate-keeper;845;
8625;frui_1;845;
8627;vege_1;844;
8666;final-crs_3;845;1145
8670;gate-keeper;846;
8671;final-crs_9;844;1188
8671;gate-keeper;847;
8672;gate-keeper;848;
8673;gate-keeper;849;
8674;frui_0;846;
8674;gate-keeper;850;
8676;vege_1;849;
8676;frui_1;847;
8678;vege_0;850;
8680;final-crs_1;846;688
8680;final-crs_7;849;757
8680;frui_0;848;
8693;final-crs_5;847;311
8707;final-crs_10;850;550
8710;final-crs_2;848;1098
8975;gate-keeper;879;
8976;gate-keeper;880;
8981;vege_1;880;
8986;meat_1;879;
8987;final-crs_4;880;591
9017;final-crs_6;879;397
9809;gate-keeper;962;
9826;meat_1;962;
9831;final-crs_1;962;156
10343;gate-keeper;1011;
10344;frui_1;1011;
10344;gate-keeper;1012;
10345;gate-keeper;1013;
10346;gate-keeper;1014;
10347;gate-keeper;1015;
10349;vege_0;1012;
10349;frui_0;1013;
10351;vege_1;1015;
10351;frui_1;1014;
10360;final-crs_10;1011;153
10389;final-crs_0;1012;957
10397;final-crs_8;1013;406
10440;final-crs_4;1015;180
