time;ckpt;id;money
252;gate-keeper;0;
253;gate-keeper;1;
254;vege_0;0;
254;gate-keeper;2;
255;frui_0;1;
255;gate-keeper;3;
256;gate-keeper;4;
257;final-crs_3;0;151
257;gate-keeper;5;
258;frui_1;2;
258;gate-keeper;6;
259;gate-keeper;7;
260;gate-keeper;8;
261;vege_1;3;
261;frui_0;6;
261;gate-keeper;9;
262;gate-keeper;10;
263;gate-keeper;11;
264;gate-keeper;12;
265;vege_0;4;
265;frui_1;9;
265;gate-keeper;13;
266;gate-keeper;14;
267;gate-keeper;15;
268;frui_0;10;
268;gate-keeper;16;
269;gate-keeper;17;
270;gate-keeper;18;
271;vege_1;8;
271;gate-keeper;19;
272;final-crs_7;1;224
272;frui_1;11;
272;gate-keeper;20;
273;gate-keeper;21;
274;vege_0;14;
274;gate-keeper;22;
275;frui_0;12;
275;gate-keeper;23;
279;frui_1;13;
283;final-crs_1;2;481
284;vege_0;16;
284;vege_1;17;
292;vege_0;19;
294;vege_1;20;
301;meat_0;5;
302;vege_0;22;
302;meat_1;7;
303;vege_1;23;
357;meat_0;15;
358;meat_1;18;
410;meat_0;21;
425;final-crs_6;3;1603
439;final-crs_0;6;674
441;final-crs_4;4;1132
455;final-crs_2;9;855
457;final-crs_9;10;532
458;final-crs_11;8;1341
463;final-crs_5;11;1428
466;final-crs_10;14;399
480;final-crs_3;12;541
483;final-crs_8;13;900
487;final-crs_7;16;290
528;final-crs_1;17;276
532;gate-keeper;35;
533;gate-keeper;36;
534;gate-keeper;37;
535;gate-keeper;38;
536;vege_1;35;
536;gate-keeper;39;
537;frui_0;36;
537;gate-keeper;40;
538;frui_1;37;
538;gate-keeper;41;
539;gate-keeper;42;
540;meat_1;39;
540;gate-keeper;43;
541;gate-keeper;44;
542;gate-keeper;45;
543;frui_0;38;
543;gate-keeper;46;
544;vege_1;40;
544;frui_1;41;
544;gate-keeper;47;
545;gate-keeper;48;
546;vege_0;43;
546;gate-keeper;49;
547;gate-keeper;50;
548;gate-keeper;51;
550;frui_0;44;
551;frui_1;47;
554;vege_0;45;
554;vege_1;49;
558;frui_0;48;
559;frui_1;51;
594;meat_1;42;
602;meat_0;46;
653;meat_1;50;
659;final-crs_4;19;314
670;final-crs_0;20;898
675;final-crs_6;5;85
690;final-crs_3;22;246
698;final-crs_5;7;221
711;final-crs_2;23;92
716;final-crs_10;15;1123
733;final-crs_8;18;764
750;final-crs_9;21;438
754;final-crs_1;35;1016
757;final-crs_11;36;100
758;final-crs_7;37;1236
828;gate-keeper;70;
829;gate-keeper;71;
830;gate-keeper;72;
831;gate-keeper;73;
832;gate-keeper;74;
833;vege_1;70;
833;gate-keeper;75;
834;gate-keeper;76;
835;frui_0;74;
835;gate-keeper;77;
836;vege_0;71;
836;gate-keeper;78;
837;gate-keeper;79;
838;gate-keeper;80;
842;frui_0;78;
842;meat_0;73;
843;vege_1;72;
847;vege_0;75;
853;vege_1;76;
855;final-crs_0;39;1212
857;vege_0;77;
862;vege_1;80;
883;meat_1;79;
894;final-crs_4;38;698
898;final-crs_6;40;342
910;final-crs_3;41;1233
928;final-crs_9;43;285
939;final-crs_2;44;2167
949;final-crs_5;47;94
956;final-crs_10;45;200
965;final-crs_1;49;890
966;final-crs_8;48;92
1017;final-crs_7;51;1226
1023;final-crs_11;42;1247
