time;ckpt;id;money
553;gate-keeper;24;
557;vege_0;24;
672;final-crs_7;24;232
716;gate-keeper;30;
717;vege_1;30;
717;gate-keeper;31;
723;final-crs_9;30;1312
734;meat_0;31;
742;final-crs_6;31;1170
828;gate-keeper;35;
829;vege_1;35;
829;gate-keeper;36;
830;gate-keeper;37;
831;vege_0;36;
837;vege_1;37;
909;final-crs_11;35;228
920;final-crs_5;36;739
927;final-crs_10;37;457
1151;gate-keeper;49;
1152;gate-keeper;50;
1153;gate-keeper;51;
1154;gate-keeper;52;
1156;vege_0;51;
1161;final-crs_5;51;1105
1166;meat_1;49;
1175;final-crs_1;49;399
1212;meat_0;50;
1213;final-crs_8;50;1565
1236;meat_1;52;
1253;final-crs_6;52;1847
1441;gate-keeper;62;
1442;gate-keeper;63;
1443;gate-keeper;64;
1444;gate-keeper;65;
1445;meat_0;62;
1448;vege_1;63;
1449;vege_0;64;
1456;vege_1;65;
1462;final-crs_7;62;922
1466;final-crs_9;63;294
1478;final-crs_2;64;2179
1486;final-crs_0;65;1854
1506;gate-keeper;69;
1510;vege_0;69;
1534;final-crs_6;69;1148
1764;gate-keeper;80;
1766;vege_0;80;
1796;final-crs_6;80;899
2053;gate-keeper;92;
2054;gate-keeper;93;
2057;vege_0;93;
2059;final-crs_8;93;976
2111;meat_1;92;
2126;final-crs_10;92;1261
2322;gate-keeper;105;
2323;vege_0;105;
2333;final-crs_5;105;1466
2559;gate-keeper;116;
2561;vege_0;116;
2573;final-crs_10;116;2076
2612;gate-keeper;117;
2613;gate-keeper;118;
2653;meat_0;117;
2654;meat_1;118;
2675;final-crs_2;117;1960
2682;final-crs_3;118;391
3178;gate-keeper;143;
3183;frui_1;143;
3211;final-crs_1;143;993
3299;gate-keeper;147;
3300;gate-keeper;148;
3301;gate-keeper;149;
3306;vege_0;147;
3307;vege_1;149;
3320;meat_1;148;
3332;final-crs_7;147;380
3359;final-crs_11;149;140
3362;final-crs_9;148;356
3501;gate-keeper;156;
3502;gate-keeper;157;
3517;meat_0;156;
3519;final-crs_8;156;370
3548;meat_1;157;
3557;final-crs_5;157;1284
3780;gate-keeper;168;
3781;gate-keeper;169;
3782;gate-keeper;170;
3783;gate-keeper;171;
3785;vege_1;168;
3786;vege_0;169;
3793;meat_1;170;
3809;final-crs_8;168;1440
3817;final-crs_10;169;1013
3818;meat_0;171;
3825;final-crs_11;170;1904
3825;gate-keeper;172;
3826;gate-keeper;173;
3831;vege_1;172;
3848;final-crs_3;171;590
3850;final-crs_5;172;1302
3857;meat_1;173;
3882;final-crs_9;173;117
4358;gate-keeper;195;
4359;gate-keeper;196;
4360;gate-keeper;197;
4365;vege_0;195;
4365;vege_1;196;
4371;final-crs_6;195;812
4374;vege_0;197;
4395;final-crs_0;196;765
4398;final-crs_9;197;1701
4668;gate-keeper;209;
4669;gate-keeper;210;
4670;gate-keeper;211;
4671;frui_1;210;
4675;final-crs_2;210;1569
4677;vege_0;209;
4712;meat_1;211;
4739;final-crs_10;209;493
4785;final-crs_11;211;558
5144;gate-keeper;233;
5145;vege_0;233;
5171;final-crs_10;233;318
5374;gate-keeper;243;
5375;vege_1;243;
5415;final-crs_10;243;458
5662;gate-keeper;255;
5663;gate-keeper;256;
5664;frui_1;255;
5665;vege_0;256;
5669;final-crs_10;255;1171
5708;final-crs_1;256;1738
6004;gate-keeper;272;
6035;meat_1;272;
6037;final-crs_0;272;247
6681;gate-keeper;300;
6682;gate-keeper;301;
6683;gate-keeper;302;
6684;gate-keeper;303;
6686;vege_1;302;
6693;final-crs_11;302;2174
6693;vege_0;303;
6703;meat_1;300;
6705;meat_0;301;
6735;final-crs_9;303;586
6739;final-crs_0;300;375
6740;final-crs_5;301;1737
6992;gate-keeper;315;
6993;gate-keeper;316;
6994;gate-keeper;317;
6995;vege_1;315;
6995;gate-keeper;318;
6996;frui_0;318;
6999;meat_1;316;
7000;vege_0;317;
7013;final-crs_2;315;1513
7018;final-crs_7;318;939
7026;final-crs_8;316;717
7063;final-crs_6;317;1153
7303;gate-keeper;328;
7304;gate-keeper;329;
7305;gate-keeper;330;
7306;vege_0;328;
7306;gate-keeper;331;
7310;vege_1;330;
7311;final-crs_10;328;1275
7314;meat_1;329;
7315;vege_0;331;
7327;final-crs_4;330;638
7375;gate-keeper;335;
7376;frui_1;335;
7385;final-crs_1;329;1338
7394;final-crs_3;331;67
7402;final-crs_9;335;1427
7608;gate-keeper;345;
7613;meat_1;345;
7619;final-crs_1;345;1412
7922;gate-keeper;359;
7941;meat_0;359;
7942;final-crs_5;359;727
8073;gate-keeper;366;
8079;vege_0;366;
8110;final-crs_4;366;115
8627;gate-keeper;390;
8628;gate-keeper;391;
8635;vege_0;391;
8637;final-crs_7;391;761
8640;meat_0;390;
8654;final-crs_6;390;1137
8936;gate-keeper;406;
8940;vege_0;406;
8943;final-crs_8;406;820
8984;gate-keeper;408;
8986;vege_1;408;
9004;final-crs_4;408;412
9243;gate-keeper;420;
9256;meat_1;420;
9263;final-crs_4;420;1304
9527;gate-keeper;433;
9552;meat_1;433;
9553;final-crs_2;433;822
9738;gate-keeper;443;
9750;meat_0;443;
9757;final-crs_6;443;490
9822;gate-keeper;446;
9828;vege_0;446;
9839;final-crs_7;446;1168
10574;gate-keeper;481;
10609;meat_1;481;
10630;final-crs_8;481;2346
10784;gate-keeper;489;
10785;gate-keeper;490;
10786;vege_1;489;
10791;vege_0;490;
10793;final-crs_7;489;154
10850;final-crs_5;490;1656
11007;gate-keeper;501;
11014;vege_0;501;
11040;final-crs_7;501;965
11493;gate-keeper;522;
11494;frui_1;522;
11509;final-crs_5;522;443
11631;gate-keeper;529;
11632;meat_1;529;
11642;final-crs_10;529;93
12456;gate-keeper;565;
12457;gate-keeper;566;
12458;gate-keeper;567;
12459;vege_0;565;
12461;vege_1;566;
12465;final-crs_1;565;379
12469;vege_0;567;
12541;final-crs_9;566;1846
12543;final-crs_10;567;576
13346;gate-keeper;606;
13347;gate-keeper;607;
13350;vege_0;607;
13350;frui_0;606;
13364;final-crs_3;607;488
13384;final-crs_4;606;142
13474;gate-keeper;611;
13475;gate-keeper;612;
13476;gate-keeper;613;
13478;meat_1;611;
13479;vege_1;612;
13513;final-crs_9;611;170
13526;final-crs_8;612;1022
13528;meat_0;613;
13537;final-crs_10;613;569
13715;gate-keeper;624;
13717;vege_0;624;
13724;final-crs_10;624;693
13827;gate-keeper;629;
13829;vege_1;629;
13835;final-crs_11;629;823
14038;gate-keeper;638;
14039;frui_0;638;
14039;gate-keeper;639;
14041;vege_1;639;
14046;final-crs_7;638;946
14069;final-crs_4;639;649
14312;gate-keeper;652;
14313;frui_0;652;
14340;final-crs_3;652;1209
14601;gate-keeper;663;
14602;gate-keeper;664;
14603;gate-keeper;665;
14610;vege_1;663;
14611;vege_0;664;
14620;vege_0;665;
14635;final-crs_6;663;1760
14666;final-crs_2;664;1042
14707;final-crs_7;665;561
15043;gate-keeper;686;
15045;vege_0;686;
15110;final-crs_6;686;326
15174;gate-keeper;692;
15177;vege_0;692;
15179;final-crs_0;692;884
15481;gate-keeper;705;
15482;gate-keeper;706;
15484;meat_1;705;
15485;final-crs_10;705;317
15509;meat_0;706;
15515;final-crs_4;706;2008
15818;gate-keeper;717;
15819;gate-keeper;718;
15820;meat_0;718;
15820;gate-keeper;719;
15821;gate-keeper;720;
15822;gate-keeper;721;
15823;gate-keeper;722;
15824;vege_1;717;
15827;vege_0;719;
15829;final-crs_11;718;483
15829;meat_1;721;
15835;vege_1;720;
15837;final-crs_6;717;921
15846;final-crs_1;719;595
15853;final-crs_3;721;368
15859;final-crs_2;720;1326
15864;gate-keeper;724;
15866;vege_0;724;
15878;meat_0;722;
15915;final-crs_7;724;2458
15917;final-crs_0;722;1382
16450;gate-keeper;752;
16456;vege_1;752;
16493;final-crs_10;752;1748
16955;gate-keeper;775;
17004;meat_1;775;
17015;final-crs_1;775;148
17270;gate-keeper;790;
17274;vege_1;790;
17285;final-crs_11;790;1437
17523;gate-keeper;800;
17524;gate-keeper;801;
17527;vege_0;800;
17530;final-crs_5;800;789
17540;meat_1;801;
17546;final-crs_8;801;1582
17711;gate-keeper;809;
17712;vege_1;809;
17718;final-crs_7;809;878
18114;gate-keeper;826;
18115;gate-keeper;827;
18116;gate-keeper;828;
18123;vege_0;828;
18135;meat_1;826;
18140;meat_0;827;
18157;final-crs_10;828;138
18193;final-crs_1;826;1382
18214;final-crs_7;827;626
18432;gate-keeper;884;
18499;meat_1;884;
18507;final-crs_2;884;193
18997;gate-keeper;948;
18998;gate-keeper;949;
18999;gate-keeper;950;
19000;gate-keeper;951;
19001;gate-keeper;952;
19002;vege_1;948;
19002;gate-keeper;953;
19003;gate-keeper;954;
19004;gate-keeper;955;
19005;gate-keeper;956;
19006;frui_0;955;
19006;gate-keeper;957;
19007;vege_0;950;
19007;gate-keeper;958;
19008;gate-keeper;959;
19009;gate-keeper;960;
19010;final-crs_4;948;906
19010;gate-keeper;961;
19011;final-crs_5;955;431
19011;gate-keeper;962;
19012;gate-keeper;963;
19013;vege_1;951;
19013;gate-keeper;964;
19014;gate-keeper;965;
19015;gate-keeper;966;
19016;vege_0;952;
19016;gate-keeper;967;
19017;gate-keeper;968;
19018;frui_0;965;
19018;gate-keeper;969;
19019;gate-keeper;970;
19020;gate-keeper;971;
19021;gate-keeper;972;
19022;vege_1;953;
19022;gate-keeper;973;
19023;gate-keeper;974;
19024;gate-keeper;975;
19025;vege_0;956;
19025;gate-keeper;976;
19026;gate-keeper;977;
19027;gate-keeper;978;
19028;gate-keeper;979;
19029;gate-keeper;980;
19030;frui_0;978;
19030;gate-keeper;981;
19031;gate-keeper;982;
19032;gate-keeper;983;
19033;gate-keeper;984;
19034;vege_1;957;
19034;gate-keeper;985;
19035;meat_0;949;
19035;gate-keeper;986;
19036;vege_0;958;
19036;gate-keeper;987;
19038;meat_1;954;
