time;ckpt;id;money
308;gate-keeper;13;
312;vege_0;13;
416;final-crs_0;13;1280
588;gate-keeper;26;
589;frui_1;26;
643;final-crs_0;26;2221
760;gate-keeper;32;
761;gate-keeper;33;
762;gate-keeper;34;
763;vege_0;32;
768;vege_1;33;
772;meat_1;34;
856;final-crs_0;32;1042
902;final-crs_5;33;616
904;final-crs_7;34;355
935;gate-keeper;41;
936;gate-keeper;42;
948;meat_1;41;
949;final-crs_10;41;170
974;meat_0;42;
991;final-crs_1;42;1276
2395;gate-keeper;106;
2396;gate-keeper;107;
2397;gate-keeper;108;
2398;vege_1;106;
2399;frui_0;108;
2403;vege_0;107;
2421;final-crs_9;106;1735
2483;final-crs_7;108;162
2499;final-crs_11;107;927
2705;gate-keeper;121;
2706;gate-keeper;122;
2708;vege_0;122;
2710;meat_0;121;
2711;final-crs_7;122;638
2752;final-crs_2;121;1177
3038;gate-keeper;137;
3043;vege_0;137;
3065;final-crs_3;137;600
3189;gate-keeper;144;
3190;vege_1;144;
3210;final-crs_2;144;752
3617;gate-keeper;162;
3618;gate-keeper;163;
3619;vege_1;162;
3621;final-crs_10;162;630
3636;meat_1;163;
3638;final-crs_9;163;385
3867;gate-keeper;174;
3868;gate-keeper;175;
3873;vege_1;174;
3875;vege_0;175;
3889;final-crs_4;174;602
3916;final-crs_7;175;652
4124;gate-keeper;183;
4125;gate-keeper;184;
4126;gate-keeper;185;
4127;gate-keeper;186;
4128;gate-keeper;187;
4129;vege_0;183;
4130;vege_1;184;
4136;vege_0;185;
4141;vege_1;186;
4145;vege_0;187;
4161;final-crs_3;183;118
4167;final-crs_4;184;1053
4173;final-crs_7;185;2165
4176;final-crs_1;186;72
4231;final-crs_0;187;983
5011;gate-keeper;227;
5013;vege_0;227;
5019;final-crs_9;227;568
5092;gate-keeper;231;
5095;vege_1;231;
5098;final-crs_10;231;418
5296;gate-keeper;240;
5300;vege_1;240;
5326;final-crs_0;240;879
5539;gate-keeper;251;
5541;vege_0;251;
5580;final-crs_8;251;1627
5871;gate-keeper;266;
5875;vege_1;266;
5878;final-crs_2;266;1170
6490;gate-keeper;292;
6491;vege_1;292;
6491;gate-keeper;293;
6492;gate-keeper;294;
6496;vege_0;293;
6498;vege_1;294;
6514;final-crs_7;292;784
6517;final-crs_4;293;454
6529;final-crs_10;294;480
7112;gate-keeper;323;
7117;meat_1;323;
7119;final-crs_5;323;433
7457;gate-keeper;336;
7458;gate-keeper;337;
7459;gate-keeper;338;
7460;frui_1;337;
7463;vege_0;338;
7464;meat_1;336;
7493;final-crs_7;337;1499
7510;final-crs_10;338;175
7513;gate-keeper;339;
7514;gate-keeper;340;
7515;gate-keeper;341;
7520;vege_0;339;
7520;vege_1;340;
7522;final-crs_2;336;1527
7529;vege_0;341;
7541;final-crs_6;339;1527
7543;final-crs_4;340;1239
7545;final-crs_8;341;649
7740;gate-keeper;348;
7741;gate-keeper;349;
7742;gate-keeper;350;
7743;vege_0;348;
7746;meat_1;349;
7763;final-crs_10;348;298
7775;meat_0;350;
7777;final-crs_11;349;270
7783;final-crs_8;350;660
8051;gate-keeper;365;
8061;meat_1;365;
8093;final-crs_0;365;532
8341;gate-keeper;377;
8342;vege_0;377;
8342;gate-keeper;378;
8351;meat_0;378;
8363;final-crs_0;377;801
8401;final-crs_5;378;112
9505;gate-keeper;431;
9506;gate-keeper;432;
9507;meat_0;432;
9510;vege_1;431;
9544;final-crs_3;432;809
9566;final-crs_0;431;2051
9847;gate-keeper;447;
9848;gate-keeper;448;
9854;vege_0;447;
9855;vege_1;448;
9874;final-crs_10;447;481
9879;final-crs_4;448;1847
10127;gate-keeper;460;
10128;gate-keeper;461;
10134;meat_1;460;
10139;final-crs_11;460;355
10182;meat_1;461;
10209;final-crs_1;461;1818
10414;gate-keeper;471;
10415;gate-keeper;472;
10416;gate-keeper;473;
10417;gate-keeper;474;
10418;vege_0;472;
10422;final-crs_1;472;801
10422;vege_1;473;
10426;vege_0;474;
10427;final-crs_2;473;901
10452;meat_0;471;
10459;final-crs_0;474;421
10463;final-crs_5;471;1456
10722;gate-keeper;488;
10724;vege_1;488;
10726;final-crs_0;488;1104
10983;gate-keeper;499;
10984;gate-keeper;500;
10988;vege_1;499;
10989;final-crs_9;499;963
10992;vege_0;500;
11016;final-crs_7;500;904
11279;gate-keeper;513;
11311;meat_0;513;
11333;final-crs_8;513;513
11355;gate-keeper;516;
11359;vege_0;516;
11364;final-crs_3;516;1706
11431;gate-keeper;519;
11444;meat_1;519;
11452;final-crs_7;519;1090
11580;gate-keeper;526;
11581;gate-keeper;527;
11585;vege_0;527;
11586;final-crs_3;527;1993
11595;meat_0;526;
11596;final-crs_4;526;1292
11864;gate-keeper;538;
11865;gate-keeper;539;
11867;frui_0;538;
11869;vege_0;539;
11875;final-crs_1;538;1492
11884;final-crs_7;539;645
12228;gate-keeper;553;
12229;gate-keeper;554;
12230;gate-keeper;555;
12231;gate-keeper;556;
12233;vege_1;553;
12237;vege_0;555;
12256;final-crs_8;553;397
12257;meat_1;554;
12284;final-crs_10;555;1007
12297;meat_0;556;
12305;final-crs_4;554;158
12314;final-crs_7;556;1548
12776;gate-keeper;576;
12777;gate-keeper;577;
12778;gate-keeper;578;
12779;gate-keeper;579;
12780;gate-keeper;580;
12781;gate-keeper;581;
12783;vege_0;577;
12784;vege_1;579;
12788;meat_1;576;
12791;final-crs_10;577;353
12793;vege_1;580;
12794;vege_0;581;
12799;final-crs_3;579;1265
12801;final-crs_1;576;630
12812;final-crs_2;580;1145
12816;final-crs_4;581;150
12841;meat_0;578;
12876;final-crs_9;578;885
13132;gate-keeper;598;
13152;meat_1;598;
13215;final-crs_8;598;551
13419;gate-keeper;610;
13427;vege_1;610;
13437;final-crs_8;610;2132
14049;gate-keeper;640;
14050;vege_0;640;
14070;final-crs_0;640;385
14364;gate-keeper;654;
14365;gate-keeper;655;
14366;vege_0;654;
14372;vege_1;655;
14394;final-crs_8;654;549
14416;final-crs_2;655;91
14971;gate-keeper;683;
15004;meat_0;683;
15007;final-crs_4;683;1761
15127;gate-keeper;688;
15128;gate-keeper;689;
15129;gate-keeper;690;
15133;vege_0;688;
15135;final-crs_8;688;2480
15137;vege_1;689;
15139;meat_1;690;
15173;final-crs_7;689;1356
15201;final-crs_1;690;1538
15569;gate-keeper;709;
15570;gate-keeper;710;
15571;gate-keeper;711;
15575;vege_0;711;
15580;meat_0;709;
15599;final-crs_2;711;518
15608;final-crs_6;709;672
15614;meat_1;710;
15626;final-crs_8;710;785
16162;gate-keeper;738;
16163;vege_1;738;
16249;final-crs_3;738;925
16506;gate-keeper;753;
16507;gate-keeper;754;
16508;frui_1;753;
16515;final-crs_8;753;296
16515;vege_0;754;
16535;final-crs_2;754;363
16665;gate-keeper;762;
16671;vege_1;762;
16720;final-crs_7;762;930
16802;gate-keeper;768;
16808;meat_1;768;
16817;final-crs_11;768;2351
17403;gate-keeper;793;
17404;gate-keeper;794;
17405;gate-keeper;795;
17416;meat_0;793;
17454;final-crs_3;793;674
17459;meat_1;794;
17466;final-crs_0;794;317
17470;meat_0;795;
17488;final-crs_7;795;217
17613;gate-keeper;804;
17614;gate-keeper;805;
17616;frui_1;804;
17617;vege_0;805;
17645;final-crs_0;804;617
17664;final-crs_10;805;967
17694;gate-keeper;808;
17697;vege_1;808;
17701;final-crs_2;808;1384
17994;gate-keeper;820;
17995;gate-keeper;821;
17996;gate-keeper;822;
17997;meat_1;822;
18000;vege_1;820;
18003;vege_0;821;
18023;final-crs_9;822;165
18030;final-crs_4;820;724
18036;final-crs_6;821;878
18302;gate-keeper;876;
18303;gate-keeper;877;
18304;vege_1;876;
18304;gate-keeper;878;
18308;vege_0;877;
18313;vege_1;878;
18339;final-crs_0;876;185
18347;final-crs_10;877;525
18394;final-crs_1;878;1064
18546;gate-keeper;888;
18547;gate-keeper;889;
18550;frui_0;888;
18570;meat_0;889;
18586;final-crs_0;888;1491
18601;final-crs_8;889;1526
18607;gate-keeper;892;
18618;meat_0;892;
18625;final-crs_3;892;490
18923;gate-keeper;907;
18945;meat_1;907;
18950;final-crs_9;907;483
19610;gate-keeper;1020;
19615;vege_0;1020;
19626;gate-keeper;1021;
19647;final-crs_9;1020;1235
19667;meat_1;1021;
19674;final-crs_8;1021;987
19912;gate-keeper;1076;
19915;vege_1;1076;
19916;final-crs_4;1076;236
20183;gate-keeper;1088;
20184;vege_0;1088;
20212;final-crs_3;1088;1122
20465;gate-keeper;1102;
20469;meat_0;1102;
20509;final-crs_5;1102;905
20553;gate-keeper;1147;
20554;gate-keeper;1148;
20555;gate-keeper;1149;
20556;gate-keeper;1150;
20557;gate-keeper;1151;
20558;gate-keeper;1152;
20559;gate-keeper;1153;
20560;gate-keeper;1154;
20561;gate-keeper;1155;
20562;vege_0;1148;
20562;gate-keeper;1156;
20563;vege_1;1152;
20563;gate-keeper;1157;
20564;gate-keeper;1158;
20565;gate-keeper;1159;
20566;gate-keeper;1160;
20567;gate-keeper;1161;
20568;frui_0;1157;
20568;gate-keeper;1162;
20569;frui_1;1159;
20569;gate-keeper;1163;
20570;gate-keeper;1164;
20571;vege_0;1153;
20571;vege_1;1154;
20571;gate-keeper;1165;
20572;gate-keeper;1166;
20573;gate-keeper;1167;
20574;gate-keeper;1168;
20575;frui_1;1168;
20575;gate-keeper;1169;
20576;final-crs_7;1148;883
20576;gate-keeper;1170;
20577;gate-keeper;1171;
20578;gate-keeper;1172;
20579;meat_0;1147;
20579;gate-keeper;1173;
20580;gate-keeper;1174;
20581;vege_0;1158;
20581;vege_1;1160;
20581;gate-keeper;1175;
20582;gate-keeper;1176;
20583;gate-keeper;1177;
20584;gate-keeper;1178;
20585;gate-keeper;1179;
20586;gate-keeper;1180;
20587;gate-keeper;1181;
20588;gate-keeper;1182;
20589;gate-keeper;1183;
20590;vege_0;1162;
20590;vege_1;1166;
20590;gate-keeper;1184;
20591;gate-keeper;1185;
20592;gate-keeper;1186;
20598;vege_1;1167;
20598;meat_1;1149;
20599;vege_0;1173;
20608;vege_1;1174;
20610;vege_0;1177;
20612;final-crs_11;1152;1051
20616;vege_1;1178;
