time;ckpt;id;money
306;gate-keeper;24;
308;frui_0;24;
430;final-crs_0;24;445
619;gate-keeper;50;
621;vege_1;50;
667;final-crs_0;50;98
845;gate-keeper;70;
852;vege_0;70;
858;final-crs_0;70;806
1280;gate-keeper;105;
1281;gate-keeper;106;
1282;frui_1;106;
1321;final-crs_9;106;169
1335;meat_1;105;
1388;final-crs_3;105;1107
1563;gate-keeper;127;
1564;gate-keeper;128;
1565;gate-keeper;129;
1566;frui_0;129;
1566;gate-keeper;130;
1567;frui_1;130;
1578;meat_1;127;
1579;final-crs_9;129;868
1579;meat_0;128;
1642;final-crs_0;130;806
1652;final-crs_4;127;424
1655;final-crs_10;128;699
1760;gate-keeper;146;
1781;meat_0;146;
1814;final-crs_9;146;294
1893;gate-keeper;156;
1894;gate-keeper;157;
1898;frui_0;156;
1904;final-crs_7;156;650
1931;meat_1;157;
2002;final-crs_6;157;1266
2155;gate-keeper;176;
2156;gate-keeper;177;
2157;frui_1;177;
2157;gate-keeper;178;
2158;gate-keeper;179;
2159;frui_0;178;
2166;final-crs_7;177;715
2169;final-crs_8;178;244
2191;meat_0;176;
2214;final-crs_6;176;298
2216;meat_1;179;
2275;final-crs_10;179;1029
2519;gate-keeper;208;
2520;frui_1;208;
2520;gate-keeper;209;
2521;gate-keeper;210;
2527;vege_1;209;
2528;vege_0;210;
2530;final-crs_0;208;197
2561;final-crs_8;209;989
2581;final-crs_4;210;216
2827;gate-keeper;235;
2828;gate-keeper;236;
2829;frui_1;235;
2830;final-crs_8;235;1642
2832;meat_0;236;
2835;final-crs_2;236;372
3163;gate-keeper;262;
3164;gate-keeper;263;
3165;frui_1;262;
3166;final-crs_1;262;1056
3169;frui_0;263;
3198;final-crs_9;263;487
3586;gate-keeper;299;
3605;meat_0;299;
3613;final-crs_6;299;615
3750;gate-keeper;312;
3753;frui_0;312;
3862;final-crs_4;312;1365
4068;gate-keeper;336;
4069;gate-keeper;337;
4070;gate-keeper;338;
4071;vege_0;337;
4075;frui_0;336;
4076;frui_1;338;
4103;final-crs_6;337;207
4105;final-crs_3;336;1363
4129;final-crs_9;338;740
4362;gate-keeper;359;
4363;gate-keeper;360;
4364;vege_1;359;
4364;gate-keeper;361;
4365;frui_0;361;
4365;gate-keeper;362;
4370;final-crs_9;359;223
4373;vege_0;360;
4374;vege_1;362;
4382;final-crs_10;361;342
4395;final-crs_11;360;673
4400;final-crs_1;362;486
4631;gate-keeper;383;
4632;frui_0;383;
4632;gate-keeper;384;
4633;gate-keeper;385;
4635;vege_0;384;
4642;final-crs_10;383;1169
4642;gate-keeper;386;
4643;frui_0;386;
4652;final-crs_9;384;499
4653;meat_1;385;
4656;final-crs_1;386;1150
4659;final-crs_8;385;1002
4883;gate-keeper;398;
4884;gate-keeper;399;
4885;vege_1;399;
4885;frui_0;398;
4885;gate-keeper;400;
4886;vege_0;400;
4886;gate-keeper;401;
4887;gate-keeper;402;
4888;gate-keeper;403;
4889;frui_1;402;
4889;gate-keeper;404;
4890;gate-keeper;405;
4892;frui_0;403;
4895;vege_0;401;
4895;vege_1;405;
4896;frui_1;404;
4913;final-crs_4;399;1282
4925;final-crs_8;398;603
4945;final-crs_0;400;173
4946;final-crs_6;402;765
4982;final-crs_3;403;1341
4986;final-crs_5;401;995
5073;final-crs_2;405;459
5093;final-crs_11;404;173
5228;gate-keeper;433;
5229;gate-keeper;434;
5230;frui_0;433;
5256;meat_1;434;
5318;final-crs_9;433;853
5351;final-crs_10;434;1115
5522;gate-keeper;458;
5523;gate-keeper;459;
5525;vege_1;458;
5535;meat_1;459;
5544;final-crs_9;458;1745
5593;final-crs_11;459;662
5884;gate-keeper;488;
5885;gate-keeper;489;
5886;vege_1;488;
5888;final-crs_7;488;1773
5909;meat_0;489;
5912;final-crs_4;489;892
6170;gate-keeper;514;
6171;frui_0;514;
6182;final-crs_3;514;1185
6296;gate-keeper;524;
6323;meat_0;524;
6339;final-crs_5;524;98
6457;gate-keeper;537;
6458;vege_0;537;
6498;final-crs_2;537;361
6765;gate-keeper;551;
6766;gate-keeper;552;
6767;gate-keeper;553;
6768;frui_0;553;
6768;gate-keeper;554;
6769;gate-keeper;555;
6770;gate-keeper;556;
6771;vege_0;551;
6771;frui_1;555;
6771;gate-keeper;557;
6772;gate-keeper;558;
6773;vege_1;552;
6773;gate-keeper;559;
6774;gate-keeper;560;
6775;gate-keeper;561;
6776;frui_0;556;
