time;ckpt;id;money
571;gate-keeper;46;
577;vege_0;46;
631;final-crs_5;46;1204
833;gate-keeper;69;
836;vege_0;69;
857;gate-keeper;71;
858;vege_1;71;
884;final-crs_7;69;460
889;final-crs_5;71;627
1460;gate-keeper;119;
1461;gate-keeper;120;
1462;gate-keeper;121;
1463;vege_1;119;
1465;final-crs_11;119;558
1466;vege_0;121;
1473;final-crs_1;121;263
1513;meat_0;120;
1587;final-crs_10;120;670
1663;gate-keeper;132;
1664;gate-keeper;133;
1665;gate-keeper;134;
1666;frui_0;132;
1666;gate-keeper;135;
1667;frui_1;134;
1667;gate-keeper;136;
1668;gate-keeper;137;
1669;gate-keeper;138;
1672;frui_0;135;
1672;frui_1;136;
1674;final-crs_1;132;638
1678;frui_1;137;
1679;frui_0;138;
1681;final-crs_0;134;1251
1690;meat_0;133;
1701;final-crs_6;135;1599
1708;final-crs_3;136;780
1718;final-crs_11;137;1456
1724;final-crs_4;138;359
1804;final-crs_10;133;777
1903;gate-keeper;158;
1904;vege_1;158;
1924;final-crs_0;158;296
2216;gate-keeper;183;
2217;gate-keeper;184;
2218;gate-keeper;185;
2220;vege_1;184;
2220;frui_0;183;
2221;vege_0;185;
2225;final-crs_11;184;446
2245;final-crs_3;183;896
2287;final-crs_10;185;730
2486;gate-keeper;205;
2487;gate-keeper;206;
2488;gate-keeper;207;
2489;vege_1;205;
2493;vege_0;207;
2503;final-crs_3;205;886
2513;meat_0;206;
2544;final-crs_10;207;883
2601;final-crs_9;206;945
2810;gate-keeper;231;
2811;gate-keeper;232;
2812;gate-keeper;233;
2813;frui_0;231;
2813;frui_1;232;
2813;gate-keeper;234;
2819;frui_1;233;
2821;vege_1;234;
2827;final-crs_8;231;1471
2840;final-crs_9;232;1068
2844;final-crs_2;233;247
2846;final-crs_7;234;586
2898;gate-keeper;238;
2899;gate-keeper;239;
2900;gate-keeper;240;
2901;vege_1;238;
2901;frui_1;239;
2901;gate-keeper;241;
2902;gate-keeper;242;
2904;vege_0;241;
2905;frui_0;240;
2908;final-crs_4;238;730
2917;final-crs_1;239;398
2937;meat_0;242;
2943;final-crs_11;241;938
2962;final-crs_6;240;282
2976;final-crs_10;242;351
3137;gate-keeper;257;
3138;gate-keeper;258;
3139;gate-keeper;259;
3140;gate-keeper;260;
3141;vege_1;258;
3141;frui_0;259;
3141;gate-keeper;261;
3142;final-crs_4;258;242
3144;frui_1;261;
3148;meat_1;257;
3162;final-crs_11;259;1087
3183;meat_0;260;
3197;final-crs_6;261;137
3203;final-crs_10;257;1021
3231;final-crs_3;260;1652
3733;gate-keeper;310;
3734;gate-keeper;311;
3736;frui_1;310;
3750;final-crs_9;310;1627
3778;meat_1;311;
3800;final-crs_5;311;1620
3868;gate-keeper;319;
3869;gate-keeper;320;
3870;gate-keeper;321;
3871;frui_0;321;
3871;gate-keeper;322;
3873;vege_0;319;
3875;frui_1;322;
3878;vege_1;320;
3884;final-crs_6;321;283
3885;final-crs_0;319;398
3933;final-crs_11;322;1079
3954;final-crs_9;320;769
4024;gate-keeper;329;
4025;gate-keeper;330;
4026;gate-keeper;331;
4027;gate-keeper;332;
4028;gate-keeper;333;
4029;gate-keeper;334;
4030;frui_1;330;
4030;gate-keeper;335;
4031;frui_0;332;
