time;ckpt;id;money
326;gate-keeper;22;
330;vege_1;22;
439;final-crs_9;22;1349
634;gate-keeper;44;
639;vege_1;44;
671;final-crs_1;44;1163
944;gate-keeper;66;
945;frui_1;66;
945;gate-keeper;67;
946;vege_0;67;
959;final-crs_3;66;1835
961;final-crs_11;67;560
1548;gate-keeper;112;
1554;vege_1;112;
1601;final-crs_8;112;1328
1806;gate-keeper;130;
1811;vege_0;130;
1833;final-crs_8;130;2643
2152;gate-keeper;153;
2153;gate-keeper;154;
2154;gate-keeper;155;
2155;frui_1;154;
2159;meat_0;155;
2160;vege_0;153;
2169;final-crs_11;154;2013
2216;final-crs_2;155;1280
2218;final-crs_5;153;90
2447;gate-keeper;176;
2452;frui_1;176;
2463;final-crs_4;176;189
2610;gate-keeper;188;
2612;frui_1;188;
2623;final-crs_6;188;2275
2716;gate-keeper;195;
2717;frui_1;195;
2717;gate-keeper;196;
2724;vege_0;196;
2736;final-crs_5;195;611
2761;final-crs_0;196;1116
3462;gate-keeper;251;
3496;meat_1;251;
3521;final-crs_8;251;831
3545;gate-keeper;255;
3546;gate-keeper;256;
3547;gate-keeper;257;
3549;frui_0;256;
3553;vege_0;255;
3553;vege_1;257;
3593;final-crs_0;256;787
3634;final-crs_6;255;2220
3643;final-crs_4;257;1140
3830;gate-keeper;276;
3831;gate-keeper;277;
3832;gate-keeper;278;
3833;vege_0;277;
3836;meat_0;276;
3840;vege_1;278;
3850;final-crs_6;277;1660
3884;final-crs_9;276;2169
3912;final-crs_2;278;3022
4102;gate-keeper;298;
4103;vege_0;298;
4125;final-crs_9;298;218
4431;gate-keeper;321;
4434;frui_1;321;
4451;final-crs_10;321;469
4543;gate-keeper;328;
4544;gate-keeper;329;
4545;gate-keeper;330;
4549;vege_0;328;
4551;vege_1;329;
4559;final-crs_7;328;2509
4564;meat_1;330;
4584;final-crs_1;329;900
4621;final-crs_2;330;66
5055;gate-keeper;367;
5059;frui_0;367;
5068;final-crs_1;367;1253
5271;gate-keeper;383;
5273;vege_1;383;
5290;final-crs_1;383;2424
5373;gate-keeper;391;
5408;meat_0;391;
5422;final-crs_9;391;138
5691;gate-keeper;413;
5692;gate-keeper;414;
5697;vege_1;413;
5701;meat_1;414;
5704;final-crs_10;413;2385
5712;final-crs_11;414;147
6014;gate-keeper;434;
6015;gate-keeper;435;
6016;gate-keeper;436;
6017;gate-keeper;437;
6018;vege_1;434;
6019;final-crs_4;434;378
6020;vege_0;435;
6028;meat_0;436;
6044;final-crs_1;435;545
6052;meat_1;437;
6062;final-crs_3;436;1404
6121;final-crs_9;437;298
6168;gate-keeper;447;
6169;gate-keeper;448;
6171;vege_0;447;
6172;vege_1;448;
6187;final-crs_2;447;1970
6214;final-crs_10;448;2339
6989;gate-keeper;507;
7019;meat_1;507;
7024;final-crs_3;507;2050
7136;gate-keeper;518;
7140;frui_0;518;
7160;final-crs_2;518;1051
7290;gate-keeper;530;
7335;meat_1;530;
7350;final-crs_0;530;2892
7565;gate-keeper;547;
7566;gate-keeper;548;
7567;gate-keeper;549;
7568;vege_0;549;
7574;meat_1;547;
7585;meat_0;548;
7594;final-crs_8;549;2511
7609;final-crs_0;547;208
7610;final-crs_11;548;1942
7824;gate-keeper;559;
7825;gate-keeper;560;
7826;vege_1;560;
7826;gate-keeper;561;
