time;ckpt;id;money
307;gate-keeper;19;
308;gate-keeper;20;
309;gate-keeper;21;
313;frui_0;20;
313;meat_1;19;
355;meat_0;21;
429;final-crs_9;20;125
445;final-crs_1;19;1525
450;final-crs_3;21;1789
585;gate-keeper;41;
620;meat_1;41;
648;final-crs_1;41;539
888;gate-keeper;63;
893;vege_0;63;
894;final-crs_3;63;465
1172;gate-keeper;84;
1179;vege_1;84;
1180;final-crs_7;84;2173
1436;gate-keeper;90;
1437;gate-keeper;91;
1438;gate-keeper;92;
1439;frui_1;92;
1439;gate-keeper;93;
1440;gate-keeper;94;
1441;vege_1;94;
1441;gate-keeper;95;
1442;gate-keeper;96;
1443;gate-keeper;97;
1444;gate-keeper;98;
1445;final-crs_0;92;2514
1445;frui_0;95;
1445;gate-keeper;99;
1446;final-crs_5;94;2629
1446;frui_1;99;
1446;gate-keeper;100;
1447;final-crs_6;95;2049
1447;gate-keeper;101;
1448;vege_0;96;
1448;gate-keeper;102;
1449;vege_1;97;
1449;gate-keeper;103;
1458;vege_1;98;
1459;vege_0;103;
1468;meat_0;90;
1488;meat_1;91;
1535;meat_0;93;
1557;meat_1;100;
1591;meat_0;101;
1611;final-crs_3;99;207
1618;meat_1;102;
1628;final-crs_1;96;612
1633;final-crs_11;97;951
1636;final-crs_8;98;1545
1643;final-crs_6;103;1664
1644;final-crs_4;90;1809
1673;final-crs_7;91;1684
1677;final-crs_10;93;772
1678;final-crs_0;100;2544
1681;final-crs_5;101;1684
1702;final-crs_2;102;2078
1772;gate-keeper;128;
1774;frui_0;128;
1820;final-crs_3;128;1689
2076;gate-keeper;147;
2077;gate-keeper;148;
2078;vege_0;147;
2078;gate-keeper;149;
2079;gate-keeper;150;
2080;frui_0;150;
2084;vege_1;149;
2097;final-crs_5;147;2481
2098;meat_1;148;
2125;final-crs_4;150;1899
2132;final-crs_1;149;1088
2136;final-crs_6;148;2555
2422;gate-keeper;175;
2423;vege_0;175;
2425;final-crs_2;175;682
2693;gate-keeper;194;
2694;frui_1;194;
2710;final-crs_8;194;369
2995;gate-keeper;212;
2996;vege_0;212;
2996;gate-keeper;213;
2997;gate-keeper;214;
2998;frui_1;213;
2998;gate-keeper;215;
2999;gate-keeper;216;
3000;vege_1;214;
3000;gate-keeper;217;
3003;vege_0;217;
3014;gate-keeper;218;
3018;vege_1;218;
3019;meat_0;215;
3036;final-crs_3;212;1437
3044;meat_1;216;
3052;final-crs_5;213;1972
3074;final-crs_11;214;1847
3077;final-crs_1;217;1261
3106;final-crs_6;218;1256
3106;final-crs_10;215;2719
3107;final-crs_0;216;141
3262;gate-keeper;233;
3263;gate-keeper;234;
3264;frui_0;234;
3264;gate-keeper;235;
3265;gate-keeper;236;
3266;meat_0;233;
3268;frui_1;235;
3271;frui_0;236;
3300;final-crs_2;234;178
3308;final-crs_11;233;1174
3320;final-crs_1;235;685
3326;final-crs_6;236;1243
3562;gate-keeper;258;
3564;vege_1;258;
3571;final-crs_0;258;2802
3925;gate-keeper;281;
3926;gate-keeper;282;
3927;vege_1;282;
3927;gate-keeper;283;
3928;frui_1;283;
3928;gate-keeper;284;
3929;gate-keeper;285;
3930;vege_0;284;
3937;final-crs_7;282;1432
3937;vege_1;285;
3945;meat_1;281;
3959;final-crs_5;283;1860
3969;final-crs_11;284;2314
4009;final-crs_3;285;1620
4021;final-crs_6;281;1438
4556;gate-keeper;331;
4558;frui_1;331;
4560;final-crs_0;331;1895
5206;gate-keeper;373;
5207;gate-keeper;374;
5208;frui_0;374;
5208;gate-keeper;375;
5209;gate-keeper;376;
5210;gate-keeper;377;
5211;gate-keeper;378;
5212;gate-keeper;379;
5213;frui_1;375;
5213;meat_0;373;
5215;vege_1;376;
5215;frui_0;377;
5217;vege_0;378;
5225;final-crs_6;374;2758
5225;vege_0;379;
5250;final-crs_7;375;1790
5274;final-crs_9;373;1557
5287;final-crs_0;376;147
5288;final-crs_2;377;1637
5303;final-crs_1;378;3151
5343;final-crs_8;379;1184
5503;gate-keeper;392;
5504;gate-keeper;393;
5505;frui_0;393;
5505;gate-keeper;394;
5506;vege_1;392;
5506;gate-keeper;395;
5507;gate-keeper;396;
5508;gate-keeper;397;
5509;final-crs_2;393;2038
5509;gate-keeper;398;
5510;gate-keeper;399;
5511;frui_1;398;
5511;gate-keeper;400;
5513;vege_0;394;
5514;vege_1;396;
5518;final-crs_0;392;1983
5522;vege_0;397;
5523;vege_1;400;
5531;final-crs_1;398;975
5532;final-crs_9;394;413
5565;meat_0;395;
5565;meat_1;399;
5596;final-crs_8;396;1965
5626;final-crs_5;397;1104
5628;final-crs_4;400;537
5649;final-crs_3;395;532
5661;final-crs_10;399;384
5766;gate-keeper;416;
5767;gate-keeper;417;
5768;frui_1;416;
5768;gate-keeper;418;
5769;frui_0;418;
5769;gate-keeper;419;
5770;gate-keeper;420;
5771;vege_1;417;
5773;final-crs_9;416;1539
5804;meat_0;419;
5805;meat_1;420;
5854;final-crs_8;418;2117
5866;final-crs_5;417;2313
5884;final-crs_2;419;1036
5892;final-crs_7;420;544
6076;gate-keeper;438;
6077;gate-keeper;439;
6078;gate-keeper;440;
6079;frui_1;440;
6079;gate-keeper;441;
6080;gate-keeper;442;
6082;vege_1;439;
6086;final-crs_3;440;1171
6098;meat_1;438;
6100;meat_0;441;
6119;final-crs_2;439;1312
6125;final-crs_4;438;375
6127;final-crs_6;441;2972
6147;meat_0;442;
6168;final-crs_10;442;438
6327;gate-keeper;457;
6328;gate-keeper;458;
6329;gate-keeper;459;
6330;frui_1;457;
6330;meat_0;459;
6330;gate-keeper;460;
6332;vege_1;460;
6332;frui_0;458;
6359;final-crs_4;457;681
6361;final-crs_2;459;384
6362;final-crs_6;460;1304
6374;final-crs_7;458;465
6430;gate-keeper;464;
6431;gate-keeper;465;
6432;gate-keeper;466;
6433;gate-keeper;467;
6434;vege_1;465;
6435;frui_1;464;
6436;frui_0;466;
6441;frui_1;467;
6505;gate-keeper;473;
6506;final-crs_11;465;2118
6508;vege_0;473;
6526;final-crs_0;464;1867
6535;final-crs_3;466;1713
6548;final-crs_9;467;1529
6560;final-crs_4;473;2568
6732;gate-keeper;487;
6733;gate-keeper;488;
6734;frui_1;487;
6734;gate-keeper;489;
6741;vege_0;488;
6747;final-crs_0;487;2729
6749;meat_0;489;
6758;final-crs_11;488;1192
6782;final-crs_9;489;2696
6994;gate-keeper;508;
7002;vege_1;508;
7021;final-crs_4;508;2363
7877;gate-keeper;571;
7882;vege_1;571;
7885;final-crs_9;571;2463
8053;gate-keeper;581;
8054;gate-keeper;582;
8055;frui_0;581;
8055;gate-keeper;583;
8056;gate-keeper;584;
8057;vege_0;582;
8058;frui_1;583;
8060;vege_1;584;
8116;final-crs_10;581;1094
8118;final-crs_8;582;485
8119;final-crs_2;583;1322
8120;final-crs_7;584;1712
8139;gate-keeper;589;
8140;gate-keeper;590;
8144;frui_1;590;
8148;meat_1;589;
8156;final-crs_1;590;930
8188;final-crs_0;589;2129
8442;gate-keeper;611;
8443;gate-keeper;612;
8444;gate-keeper;613;
8445;vege_1;612;
8448;meat_0;611;
8453;final-crs_11;612;2462
8467;meat_1;613;
8487;final-crs_4;611;431
8488;final-crs_5;613;814
8733;gate-keeper;633;
8734;gate-keeper;634;
8738;vege_0;633;
8739;vege_1;634;
8784;final-crs_2;633;2341
8802;final-crs_9;634;1282
9041;gate-keeper;657;
9044;frui_0;657;
9068;final-crs_7;657;2406
9256;gate-keeper;671;
9257;vege_0;671;
9257;gate-keeper;672;
9273;meat_1;672;
9281;final-crs_8;671;502
9326;final-crs_6;672;227
9329;gate-keeper;676;
9330;gate-keeper;677;
9331;gate-keeper;678;
9333;vege_1;677;
9334;vege_0;678;
9335;final-crs_1;677;308
9346;meat_1;676;
9347;final-crs_7;678;287
9417;final-crs_10;676;1103
9559;gate-keeper;691;
9560;frui_0;691;
9560;gate-keeper;692;
9561;frui_1;692;
9561;gate-keeper;693;
9562;vege_1;693;
9562;gate-keeper;694;
9563;gate-keeper;695;
9571;vege_0;695;
9572;meat_0;694;
9588;final-crs_6;691;1575
9588;final-crs_7;692;292
9632;final-crs_4;693;761
9661;final-crs_0;695;2283
9669;final-crs_11;694;2580
