time;ckpt;id;money
273;gate-keeper;14;
280;vege_0;14;
432;final-crs_2;14;368
528;gate-keeper;29;
530;frui_1;29;
616;final-crs_5;29;322
1120;gate-keeper;61;
1121;gate-keeper;62;
1122;vege_1;62;
1124;meat_1;61;
1136;final-crs_5;62;761
1160;final-crs_4;61;63
1441;gate-keeper;79;
1446;vege_0;79;
1500;final-crs_0;79;243
1513;gate-keeper;84;
1544;meat_1;84;
1599;final-crs_2;84;1002
2073;gate-keeper;115;
2075;vege_0;115;
2098;final-crs_5;115;951
2361;gate-keeper;130;
2362;gate-keeper;131;
2365;vege_0;130;
2375;final-crs_8;130;417
2405;meat_0;131;
2426;final-crs_9;131;493
2606;gate-keeper;145;
2634;meat_1;145;
2635;final-crs_7;145;1356
2931;gate-keeper;163;
2938;vege_1;163;
2955;final-crs_0;163;1669
3009;gate-keeper;166;
3010;gate-keeper;167;
3051;meat_1;166;
3061;meat_0;167;
3074;final-crs_5;166;654
3109;final-crs_1;167;563
3455;gate-keeper;193;
3456;vege_0;193;
3467;final-crs_4;193;760
4105;gate-keeper;229;
4155;meat_1;229;
4173;final-crs_8;229;679
4512;gate-keeper;250;
4513;meat_1;250;
4513;gate-keeper;251;
4514;frui_0;251;
4514;gate-keeper;252;
4515;final-crs_3;250;883
4536;final-crs_5;251;851
4569;meat_1;252;
4575;final-crs_0;252;1201
4709;gate-keeper;261;
4710;vege_1;261;
4710;gate-keeper;262;
4713;final-crs_4;261;1685
4719;vege_1;262;
4748;final-crs_1;262;1376
5341;gate-keeper;297;
5349;vege_1;297;
5358;gate-keeper;298;
5366;meat_1;298;
5424;final-crs_8;297;1060
5445;final-crs_6;298;1293
5643;gate-keeper;313;
5655;meat_1;313;
5662;final-crs_4;313;974
5899;gate-keeper;328;
5908;meat_1;328;
5912;final-crs_1;328;714
6265;gate-keeper;347;
6280;meat_0;347;
6297;final-crs_9;347;60
6558;gate-keeper;364;
6568;meat_1;364;
6596;final-crs_8;364;1184
7202;gate-keeper;400;
7204;vege_0;400;
7286;final-crs_9;400;256
7485;gate-keeper;413;
7486;gate-keeper;414;
7487;gate-keeper;415;
7488;frui_1;414;
7490;vege_1;413;
7510;final-crs_9;414;1567
7522;meat_1;415;
7543;final-crs_6;413;176
7549;final-crs_8;415;260
8023;gate-keeper;444;
8024;gate-keeper;445;
8069;meat_1;444;
8081;meat_0;445;
8140;final-crs_7;444;1647
8143;final-crs_4;445;1773
8183;gate-keeper;451;
8184;frui_1;451;
8184;gate-keeper;452;
8185;gate-keeper;453;
8187;vege_1;453;
8190;final-crs_10;451;1022
8190;meat_1;452;
8193;final-crs_6;453;726
8194;final-crs_0;452;933
8612;gate-keeper;476;
8613;frui_0;476;
8613;gate-keeper;477;
8630;final-crs_7;476;1572
8634;meat_0;477;
8665;final-crs_9;477;418
9180;gate-keeper;508;
9188;vege_1;508;
9198;final-crs_5;508;1103
9829;gate-keeper;544;
9865;meat_0;544;
9872;final-crs_9;544;631
10011;gate-keeper;555;
10050;meat_0;555;
10065;final-crs_1;555;983
10395;gate-keeper;576;
10402;vege_0;576;
10439;final-crs_4;576;188
10664;gate-keeper;589;
10665;gate-keeper;590;
10666;gate-keeper;591;
10668;vege_1;590;
10673;final-crs_4;590;930
10693;meat_1;589;
10713;final-crs_8;589;287
10722;meat_0;591;
10758;final-crs_6;591;827
10938;gate-keeper;606;
10952;meat_0;606;
10997;final-crs_0;606;91
11048;gate-keeper;612;
11051;vege_1;612;
11059;final-crs_1;612;438
11257;gate-keeper;623;
11270;gate-keeper;624;
11271;vege_0;624;
11275;meat_1;623;
11286;final-crs_6;624;295
11326;final-crs_5;623;204
11572;gate-keeper;641;
11578;vege_0;641;
11596;final-crs_5;641;585
11884;gate-keeper;657;
11885;gate-keeper;658;
11888;vege_0;657;
11915;gate-keeper;659;
11916;gate-keeper;660;
11923;vege_1;659;
11925;vege_0;660;
11938;meat_0;658;
11943;final-crs_8;657;1000
11954;final-crs_0;659;314
11965;final-crs_10;660;882
12013;final-crs_7;658;101
12223;gate-keeper;678;
12229;frui_0;678;
12257;final-crs_7;678;704
12506;gate-keeper;689;
12507;gate-keeper;690;
12508;gate-keeper;691;
12509;gate-keeper;692;
12510;gate-keeper;693;
12511;frui_0;690;
12512;vege_0;689;
12512;frui_1;691;
12514;vege_1;692;
12518;meat_0;693;
12522;final-crs_6;690;605
12526;final-crs_11;689;115
12549;final-crs_9;691;681
12555;final-crs_4;692;1755
12573;final-crs_3;693;1809
12796;gate-keeper;709;
12802;vege_0;709;
12819;final-crs_4;709;450
12839;gate-keeper;710;
12840;vege_0;710;
12840;gate-keeper;711;
12841;gate-keeper;712;
12843;vege_1;711;
12845;final-crs_5;710;499
12849;vege_0;712;
12880;final-crs_10;711;1624
12938;final-crs_0;712;503
13422;gate-keeper;744;
13448;meat_0;744;
13459;final-crs_0;744;170
13819;gate-keeper;766;
13820;frui_1;766;
13820;gate-keeper;767;
13823;vege_1;767;
13851;final-crs_10;766;1226
13869;final-crs_9;767;1605
14139;gate-keeper;785;
14151;meat_1;785;
14201;final-crs_8;785;2000
14596;gate-keeper;811;
14599;vege_0;811;
14611;final-crs_0;811;592
14620;gate-keeper;812;
14626;meat_0;812;
14662;final-crs_6;812;928
14746;gate-keeper;817;
14747;gate-keeper;818;
14748;gate-keeper;819;
14749;meat_0;817;
14749;gate-keeper;820;
14751;vege_0;819;
14752;vege_1;820;
14762;final-crs_11;817;169
14792;meat_1;818;
14805;final-crs_10;819;65
14808;final-crs_1;820;410
14813;final-crs_2;818;444
15041;gate-keeper;835;
15042;gate-keeper;836;
15046;vege_1;835;
15047;vege_0;836;
15065;final-crs_0;835;560
15068;final-crs_1;836;1133
15361;gate-keeper;852;
15362;vege_0;852;
15362;gate-keeper;853;
15368;vege_1;853;
15396;final-crs_4;852;1506
15399;final-crs_6;853;1629
15470;gate-keeper;859;
15472;vege_0;859;
15485;final-crs_9;859;1035
15704;gate-keeper;872;
15708;vege_0;872;
15756;final-crs_0;872;1806
16034;gate-keeper;890;
16035;gate-keeper;891;
16039;vege_0;890;
16040;vege_1;891;
16053;final-crs_1;890;621
16062;final-crs_7;891;94
16323;gate-keeper;907;
16337;meat_0;907;
16342;gate-keeper;908;
16347;final-crs_8;907;1477
16347;frui_1;908;
16365;final-crs_5;908;1101
17132;gate-keeper;952;
17140;meat_0;952;
17143;final-crs_4;952;2080
18037;gate-keeper;1051;
18038;vege_0;1051;
18055;final-crs_10;1051;151
18127;gate-keeper;1053;
18128;gate-keeper;1054;
18129;gate-keeper;1055;
18130;vege_1;1053;
18130;gate-keeper;1056;
18131;frui_0;1054;
18135;vege_0;1055;
18149;meat_0;1056;
18150;final-crs_0;1053;978
18198;final-crs_5;1054;910
18228;final-crs_9;1055;950
18240;final-crs_1;1056;689
18369;gate-keeper;1067;
18370;gate-keeper;1068;
18371;vege_0;1067;
18371;gate-keeper;1069;
18372;frui_0;1069;
18372;gate-keeper;1070;
18386;meat_0;1068;
18422;meat_1;1070;
18423;final-crs_0;1067;1040
18423;final-crs_5;1069;1506
18468;final-crs_9;1068;787
18494;final-crs_10;1070;421
18663;gate-keeper;1083;
18664;gate-keeper;1084;
18665;gate-keeper;1085;
18666;gate-keeper;1086;
18667;vege_0;1084;
18667;vege_1;1085;
18667;gate-keeper;1087;
18669;meat_1;1083;
