time;ckpt;id;money
262;gate-keeper;0;
263;gate-keeper;1;
264;frui_1;0;
264;gate-keeper;2;
265;frui_0;1;
265;gate-keeper;3;
266;gate-keeper;4;
267;vege_0;2;
267;gate-keeper;5;
268;gate-keeper;6;
269;gate-keeper;7;
270;gate-keeper;8;
271;gate-keeper;9;
272;vege_1;3;
272;gate-keeper;10;
273;gate-keeper;11;
274;gate-keeper;12;
275;gate-keeper;13;
276;gate-keeper;14;
277;vege_0;5;
277;gate-keeper;15;
278;frui_1;12;
278;gate-keeper;16;
279;gate-keeper;17;
280;gate-keeper;18;
281;gate-keeper;19;
282;vege_1;6;
285;final-crs_2;0;627
289;final-crs_4;1;424
289;vege_0;7;
291;vege_1;8;
294;meat_1;4;
301;vege_0;9;
301;vege_1;10;
303;meat_0;14;
304;final-crs_10;2;601
310;vege_0;11;
310;vege_1;13;
320;vege_1;15;
321;vege_0;16;
328;vege_1;17;
331;vege_0;18;
338;vege_1;19;
435;final-crs_11;3;60
443;final-crs_1;5;361
445;final-crs_8;12;600
464;final-crs_0;6;1031
470;final-crs_9;7;798
474;final-crs_3;8;2095
481;final-crs_6;4;455
488;final-crs_4;9;961
488;final-crs_7;10;1260
490;final-crs_5;14;842
565;final-crs_2;11;603
574;final-crs_10;13;518
609;gate-keeper;46;
613;vege_1;46;
678;final-crs_11;15;1087
683;final-crs_0;16;1564
685;final-crs_8;17;394
705;final-crs_4;18;581
708;final-crs_5;19;85
710;final-crs_3;46;1540
923;gate-keeper;71;
925;frui_0;71;
937;final-crs_0;71;613
1474;gate-keeper;113;
1475;gate-keeper;114;
1477;vege_1;113;
1478;vege_0;114;
1505;final-crs_2;113;752
1513;final-crs_10;114;274
1750;gate-keeper;135;
1753;vege_0;135;
1788;final-crs_11;135;548
2050;gate-keeper;158;
2051;gate-keeper;159;
2052;frui_1;158;
2058;vege_0;159;
2096;final-crs_0;158;252
2112;final-crs_1;159;86
2381;gate-keeper;183;
2382;gate-keeper;184;
2383;gate-keeper;185;
2384;frui_0;184;
2386;vege_0;183;
2387;final-crs_8;184;636
2405;final-crs_4;183;1211
2410;meat_0;185;
2411;final-crs_7;185;1037
2667;gate-keeper;208;
2669;vege_1;208;
2697;final-crs_6;208;356
2959;gate-keeper;230;
2960;gate-keeper;231;
2963;vege_0;230;
2965;vege_1;231;
2976;final-crs_11;230;520
3000;final-crs_2;231;1392
3250;gate-keeper;254;
3251;vege_1;254;
3262;final-crs_5;254;294
3471;gate-keeper;270;
3472;gate-keeper;271;
3473;vege_0;270;
3474;final-crs_2;270;623
3480;vege_1;271;
3527;final-crs_3;271;248
3810;gate-keeper;298;
3814;vege_1;298;
3829;final-crs_8;298;1076
4034;gate-keeper;315;
4035;gate-keeper;316;
4037;vege_0;315;
4037;frui_0;316;
4093;final-crs_11;315;1166
4120;final-crs_7;316;97
4319;gate-keeper;339;
4329;vege_0;339;
4336;final-crs_11;339;545
4508;gate-keeper;350;
4509;gate-keeper;351;
4510;gate-keeper;352;
4511;gate-keeper;353;
4514;vege_1;350;
4515;vege_0;352;
4524;vege_1;353;
4526;meat_1;351;
4527;final-crs_4;350;274
4535;final-crs_0;352;848
4558;final-crs_3;353;1859
4564;final-crs_5;351;296
4578;gate-keeper;359;
4584;vege_0;359;
4640;final-crs_1;359;1312
4923;gate-keeper;384;
4924;gate-keeper;385;
4928;vege_0;384;
4928;vege_1;385;
4929;final-crs_9;384;604
4970;final-crs_8;385;1917
5236;gate-keeper;410;
5237;frui_0;410;
5243;final-crs_4;410;173
5432;gate-keeper;419;
5433;gate-keeper;420;
5434;gate-keeper;421;
5435;gate-keeper;422;
5436;frui_0;419;
5436;gate-keeper;423;
5437;vege_1;420;
5437;gate-keeper;424;
5438;gate-keeper;425;
5442;vege_0;421;
5445;meat_0;424;
5447;vege_1;422;
5452;final-crs_2;419;218
5452;vege_0;423;
5461;final-crs_8;420;1229
5464;final-crs_0;421;711
5486;final-crs_4;424;261
5490;meat_1;425;
5555;final-crs_1;422;407
5561;final-crs_5;423;587
5577;final-crs_11;425;851
6088;gate-keeper;476;
6089;meat_1;476;
6099;final-crs_6;476;1689
6284;gate-keeper;490;
6285;gate-keeper;491;
6286;vege_1;490;
6289;frui_1;491;
6323;final-crs_1;490;292
6329;final-crs_5;491;782
6997;gate-keeper;547;
7000;frui_1;547;
7022;final-crs_1;547;1479
7245;gate-keeper;565;
7246;gate-keeper;566;
7249;vege_1;565;
7254;vege_0;566;
7256;final-crs_9;565;277
7257;final-crs_8;566;884
7265;gate-keeper;567;
7266;gate-keeper;568;
7268;vege_1;567;
7275;vege_0;568;
7300;final-crs_3;567;289
7302;final-crs_5;568;1345
7406;gate-keeper;574;
7407;frui_0;574;
7407;gate-keeper;575;
7408;gate-keeper;576;
