time;ckpt;id;money
284;gate-keeper;0;
288;frui_0;0;
427;final-crs_0;0;515
594;gate-keeper;1;
595;frui_1;1;
595;gate-keeper;2;
627;meat_1;2;
672;final-crs_2;1;2374
694;final-crs_0;2;2245
756;gate-keeper;3;
757;vege_0;3;
762;final-crs_6;3;1715
1126;gate-keeper;4;
1127;gate-keeper;5;
1131;vege_0;4;
1134;vege_1;5;
1154;final-crs_2;4;225
1170;final-crs_1;5;1955
1442;gate-keeper;6;
1443;vege_1;6;
1533;final-crs_5;6;2634
1622;gate-keeper;7;
1624;vege_1;7;
1664;final-crs_0;7;820
1732;gate-keeper;8;
1737;vege_0;8;
1765;final-crs_6;8;1652
2071;gate-keeper;9;
2072;gate-keeper;10;
2073;vege_0;10;
2075;frui_1;9;
2149;final-crs_2;10;871
2152;final-crs_0;9;532
2421;gate-keeper;11;
2422;vege_0;11;
2452;final-crs_3;11;558
2569;gate-keeper;12;
2572;frui_0;12;
2628;final-crs_2;12;979
2725;gate-keeper;13;
2726;vege_0;13;
2748;final-crs_6;13;785
3025;gate-keeper;14;
3030;vege_1;14;
3035;final-crs_4;14;613
3278;gate-keeper;15;
3279;frui_0;15;
3279;gate-keeper;16;
3282;final-crs_4;15;4083
3284;vege_0;16;
3287;final-crs_6;16;2399
3497;gate-keeper;17;
3500;frui_1;17;
3565;final-crs_6;17;888
3860;gate-keeper;18;
3861;vege_1;18;
3861;gate-keeper;19;
3863;vege_0;19;
3867;final-crs_2;18;862
3889;final-crs_1;19;1492
4162;gate-keeper;20;
4163;gate-keeper;21;
4166;frui_0;20;
4175;meat_1;21;
4177;final-crs_5;20;1844
4214;final-crs_0;21;1641
4474;gate-keeper;22;
4475;gate-keeper;23;
4477;vege_0;22;
4481;vege_1;23;
4492;final-crs_4;22;416
4519;final-crs_6;23;2066
4707;gate-keeper;24;
4708;vege_0;24;
4755;final-crs_6;24;63
5033;gate-keeper;25;
5034;gate-keeper;26;
5037;vege_0;25;
5037;vege_1;26;
5105;final-crs_3;25;2056
5112;final-crs_5;26;2698
5330;gate-keeper;27;
5331;gate-keeper;28;
5336;frui_0;28;
5337;vege_1;27;
5351;final-crs_3;28;2042
5352;final-crs_5;27;982
5573;gate-keeper;29;
5578;vege_0;29;
5584;final-crs_5;29;1848
5657;gate-keeper;30;
5660;frui_1;30;
5666;final-crs_2;30;3013
5942;gate-keeper;31;
5946;vege_1;31;
5982;final-crs_4;31;1391
6267;gate-keeper;32;
6268;gate-keeper;33;
6269;vege_0;32;
6278;vege_1;33;
6305;final-crs_1;32;2347
6313;final-crs_3;33;773
6549;gate-keeper;34;
6550;gate-keeper;35;
6551;vege_0;34;
6554;final-crs_3;34;138
6558;vege_1;35;
6637;final-crs_6;35;714
6880;gate-keeper;36;
6881;gate-keeper;37;
6883;vege_1;37;
6885;final-crs_5;37;529
6904;meat_0;36;
6916;final-crs_6;36;1347
7183;gate-keeper;38;
7187;vege_0;38;
7217;final-crs_4;38;2100
7448;gate-keeper;39;
7449;gate-keeper;40;
7450;frui_0;40;
7451;vege_0;39;
7456;final-crs_1;40;961
7462;final-crs_4;39;2804
7725;gate-keeper;41;
7728;frui_1;41;
7731;final-crs_3;41;481
7993;gate-keeper;42;
7994;gate-keeper;43;
8001;vege_0;42;
8002;vege_1;43;
8052;final-crs_2;42;1602
8126;final-crs_6;43;578
8299;gate-keeper;44;
8303;vege_1;44;
8354;final-crs_6;44;722
8436;gate-keeper;45;
8474;meat_1;45;
8547;final-crs_2;45;1425
8567;gate-keeper;46;
8569;vege_0;46;
8588;final-crs_0;46;1548
8864;gate-keeper;47;
8865;vege_0;47;
8865;gate-keeper;48;
8866;vege_1;48;
8899;final-crs_4;47;1203
8901;final-crs_1;48;739
9136;gate-keeper;49;
9140;vege_0;49;
9177;final-crs_3;49;264
9407;gate-keeper;50;
9408;gate-keeper;51;
9410;vege_0;50;
9415;vege_1;51;
9436;final-crs_3;50;2772
9446;final-crs_6;51;2081
9694;gate-keeper;52;
9699;vege_0;52;
9783;final-crs_2;52;2143
10005;gate-keeper;53;
10006;gate-keeper;54;
10010;vege_1;53;
10014;final-crs_2;53;168
10016;vege_0;54;
10055;final-crs_0;54;1710
10284;gate-keeper;55;
10285;vege_1;55;
10334;final-crs_5;55;1654
10362;gate-keeper;56;
10363;frui_1;56;
10396;final-crs_3;56;504
10534;gate-keeper;57;
10536;vege_1;57;
10580;final-crs_5;57;2307
10857;gate-keeper;58;
10860;vege_0;58;
10863;final-crs_4;58;2063
11197;gate-keeper;59;
11198;gate-keeper;60;
11215;meat_0;59;
11222;final-crs_0;59;481
11223;meat_1;60;
11302;final-crs_5;60;2996
11434;gate-keeper;61;
11436;vege_0;61;
11489;final-crs_0;61;1241
11536;gate-keeper;62;
11542;vege_0;62;
11543;final-crs_5;62;2740
11848;gate-keeper;63;
11849;gate-keeper;64;
11852;frui_1;63;
11853;frui_0;64;
11867;final-crs_2;63;80
11891;final-crs_3;64;2909
12122;gate-keeper;65;
12124;vege_1;65;
12128;final-crs_2;65;2114
12277;gate-keeper;66;
12284;vege_1;66;
12332;final-crs_1;66;154
12446;gate-keeper;67;
12452;vege_1;67;
12473;final-crs_4;67;238
12716;gate-keeper;68;
12720;vege_1;68;
12721;final-crs_6;68;1125
12996;gate-keeper;69;
12997;gate-keeper;70;
12999;vege_0;69;
13001;frui_0;70;
13024;final-crs_1;69;200
13048;final-crs_2;70;891
13277;gate-keeper;71;
13281;vege_1;71;
13328;final-crs_0;71;349
13522;gate-keeper;72;
13523;gate-keeper;73;
13524;frui_0;73;
