time;ckpt;id;money
313;gate-keeper;0;
314;gate-keeper;1;
316;frui_0;0;
319;vege_1;1;
415;final-crs_9;0;1205
419;final-crs_2;1;606
587;gate-keeper;2;
588;gate-keeper;3;
589;gate-keeper;4;
590;frui_1;4;
594;vege_1;2;
595;vege_0;3;
639;final-crs_2;4;673
648;final-crs_5;2;1278
674;final-crs_9;3;1538
886;gate-keeper;5;
887;frui_0;5;
887;gate-keeper;6;
888;gate-keeper;7;
891;vege_0;7;
894;final-crs_2;5;317
920;final-crs_9;7;404
936;meat_1;6;
942;final-crs_3;6;535
1163;gate-keeper;8;
1164;gate-keeper;9;
1165;vege_1;8;
1170;vege_0;9;
1173;final-crs_7;8;595
1174;final-crs_11;9;325
1429;gate-keeper;10;
1430;gate-keeper;11;
1433;vege_0;10;
1435;vege_1;11;
1441;final-crs_8;10;412
1449;final-crs_6;11;932
1726;gate-keeper;12;
1727;gate-keeper;13;
1728;gate-keeper;14;
1731;vege_0;12;
1732;vege_1;13;
1745;final-crs_0;12;1409
1752;meat_0;14;
1768;final-crs_1;13;1197
1797;gate-keeper;15;
1802;frui_1;15;
1806;final-crs_12;14;600
1829;final-crs_2;15;1157
2035;gate-keeper;16;
2036;gate-keeper;17;
2040;frui_0;16;
2044;meat_1;17;
2065;final-crs_1;16;191
2069;final-crs_2;17;1344
2319;gate-keeper;18;
2320;gate-keeper;19;
2321;vege_1;18;
2323;final-crs_9;18;1451
2323;meat_0;19;
2327;final-crs_4;19;936
2598;gate-keeper;20;
2599;vege_1;20;
2599;gate-keeper;21;
2600;gate-keeper;22;
2601;frui_1;21;
2605;final-crs_4;20;726
2611;final-crs_7;21;1603
2623;meat_0;22;
2634;final-crs_3;22;80
2730;gate-keeper;23;
2733;frui_0;23;
2740;final-crs_12;23;1408
2891;gate-keeper;24;
2892;gate-keeper;25;
2895;frui_0;25;
2907;meat_1;24;
2923;final-crs_6;25;971
2957;final-crs_11;24;976
3206;gate-keeper;26;
3207;gate-keeper;27;
3208;frui_0;26;
3208;gate-keeper;28;
3212;frui_1;27;
3214;vege_1;28;
3215;final-crs_0;26;104
3220;final-crs_2;27;645
3231;final-crs_12;28;63
3430;gate-keeper;29;
3431;gate-keeper;30;
3432;frui_0;30;
3438;vege_0;29;
3457;final-crs_2;30;1786
3491;final-crs_12;29;731
3711;gate-keeper;31;
3712;gate-keeper;32;
3717;vege_0;31;
3719;vege_1;32;
3741;final-crs_2;31;513
3742;final-crs_9;32;822
3757;gate-keeper;33;
3758;frui_0;33;
3764;final-crs_7;33;633
4052;gate-keeper;34;
4053;gate-keeper;35;
4054;gate-keeper;36;
4057;vege_1;34;
4057;frui_1;35;
4058;vege_0;36;
4065;final-crs_4;34;464
4076;final-crs_3;35;1993
4080;final-crs_1;36;1477
4404;gate-keeper;37;
4405;frui_1;37;
4405;gate-keeper;38;
4406;gate-keeper;39;
