time;ckpt;id;money
282;gate-keeper;0;
298;meat_1;0;
429;final-crs_8;0;389
546;gate-keeper;1;
547;gate-keeper;2;
548;vege_1;1;
549;vege_0;2;
669;final-crs_8;1;595
671;final-crs_6;2;767
769;gate-keeper;3;
774;vege_0;3;
783;final-crs_4;3;1287
957;gate-keeper;4;
958;gate-keeper;5;
961;vege_0;4;
967;vege_1;5;
976;final-crs_2;4;999
979;final-crs_3;5;1921
1334;gate-keeper;6;
1335;gate-keeper;7;
1343;vege_0;7;
1343;meat_0;6;
1352;final-crs_11;7;1310
1389;final-crs_6;6;573
1583;gate-keeper;8;
1591;meat_0;8;
1614;final-crs_0;8;583
1876;gate-keeper;9;
1877;gate-keeper;10;
1879;vege_1;10;
1889;final-crs_8;10;983
1913;meat_1;9;
1919;final-crs_10;9;141
2150;gate-keeper;11;
2151;gate-keeper;12;
2153;vege_1;11;
2156;final-crs_12;11;597
2159;vege_0;12;
2193;final-crs_1;12;1544
2457;gate-keeper;13;
2458;frui_0;13;
2458;gate-keeper;14;
2459;final-crs_5;13;496
2465;vege_1;14;
2481;final-crs_11;14;105
2728;gate-keeper;15;
2729;gate-keeper;16;
2731;vege_1;15;
2731;frui_0;16;
2793;final-crs_0;15;488
2806;final-crs_2;16;1066
3025;gate-keeper;17;
3049;meat_1;17;
3064;final-crs_3;17;220
3331;gate-keeper;18;
3332;gate-keeper;19;
3333;vege_1;19;
3341;final-crs_6;19;410
3347;meat_1;18;
3383;final-crs_1;18;1146
3555;gate-keeper;20;
3556;gate-keeper;21;
3558;vege_0;20;
3560;vege_1;21;
3565;final-crs_6;20;1536
3621;final-crs_1;21;1399
3737;gate-keeper;22;
3742;vege_0;22;
3750;final-crs_10;22;1366
3950;gate-keeper;23;
3951;meat_1;23;
3961;final-crs_10;23;870
4243;gate-keeper;24;
4244;gate-keeper;25;
4264;meat_0;24;
4273;final-crs_6;24;747
4278;meat_1;25;
4297;final-crs_2;25;1145
4414;gate-keeper;26;
4452;meat_1;26;
4476;final-crs_12;26;178
4576;gate-keeper;27;
4578;meat_0;27;
4591;final-crs_3;27;1404
4872;gate-keeper;28;
4873;gate-keeper;29;
4875;vege_0;28;
4881;vege_1;29;
4914;final-crs_0;28;79
4919;final-crs_5;29;258
5178;gate-keeper;30;
5179;frui_1;30;
5179;gate-keeper;31;
5184;frui_0;31;
5188;final-crs_12;30;2055
5203;final-crs_5;31;805
5446;gate-keeper;32;
5447;gate-keeper;33;
5452;vege_0;33;
5456;final-crs_12;33;2047
5473;meat_1;32;
5506;final-crs_2;32;773
5760;gate-keeper;34;
5761;gate-keeper;35;
5768;vege_0;35;
5774;final-crs_10;35;203
5788;meat_1;34;
5790;final-crs_1;34;2148
6097;gate-keeper;36;
6098;gate-keeper;37;
6099;vege_0;36;
6101;vege_1;37;
6111;final-crs_8;36;876
6133;final-crs_3;37;482
6392;gate-keeper;38;
6393;gate-keeper;39;
6400;vege_1;39;
6405;meat_0;38;
6466;final-crs_2;39;892
6474;final-crs_1;38;985
