time;ckpt;id;money
258;gate-keeper;0;
282;meat_0;0;
287;final-crs_2;0;606
563;gate-keeper;1;
564;vege_0;1;
564;gate-keeper;2;
565;frui_0;2;
634;final-crs_9;1;517
671;final-crs_7;2;1041
804;gate-keeper;3;
805;gate-keeper;4;
806;frui_1;3;
808;frui_0;4;
848;final-crs_9;3;618
877;final-crs_7;4;1486
877;gate-keeper;5;
880;vege_1;5;
902;final-crs_4;5;1764
1133;gate-keeper;6;
1134;gate-keeper;7;
1136;frui_0;6;
1137;vege_1;7;
1151;final-crs_4;6;580
1162;final-crs_11;7;477
1393;gate-keeper;8;
1394;gate-keeper;9;
1399;vege_0;8;
1401;vege_1;9;
1422;final-crs_1;8;3850
1437;final-crs_8;9;2646
1629;gate-keeper;10;
1630;gate-keeper;11;
1634;frui_1;10;
1654;meat_0;11;
1660;final-crs_12;10;3515
1677;final-crs_3;11;2825
1729;gate-keeper;12;
1731;vege_1;12;
1764;final-crs_0;12;815
2017;gate-keeper;13;
2018;gate-keeper;14;
2019;frui_1;13;
2023;meat_0;14;
2049;final-crs_10;13;1727
2068;final-crs_12;14;1955
2297;gate-keeper;15;
2298;frui_1;15;
2298;gate-keeper;16;
2300;final-crs_1;15;2008
2300;frui_0;16;
2370;final-crs_5;16;1216
2506;gate-keeper;17;
2507;vege_1;17;
2507;gate-keeper;18;
2508;final-crs_1;17;269
2512;vege_0;18;
2596;final-crs_5;18;500
2596;gate-keeper;19;
2616;meat_1;19;
2629;final-crs_8;19;1342
2895;gate-keeper;20;
2896;vege_0;20;
2896;gate-keeper;21;
2899;final-crs_7;20;1081
2909;meat_1;21;
2934;final-crs_9;21;1525
3197;gate-keeper;22;
3198;gate-keeper;23;
3204;vege_1;23;
3206;meat_1;22;
3239;final-crs_5;23;1772
3290;final-crs_4;22;282
3452;gate-keeper;24;
3453;gate-keeper;25;
3455;frui_0;25;
3459;final-crs_5;25;150
3461;vege_1;24;
3511;gate-keeper;26;
3513;final-crs_4;24;1749
3515;frui_1;26;
3562;final-crs_11;26;1732
3771;gate-keeper;27;
3772;gate-keeper;28;
3776;vege_1;27;
3780;vege_0;28;
3789;final-crs_11;27;323
3817;final-crs_12;28;640
4066;gate-keeper;29;
4067;gate-keeper;30;
4070;vege_0;29;
4070;frui_0;30;
4074;final-crs_12;29;483
4096;final-crs_9;30;1103
4326;gate-keeper;31;
4327;frui_1;31;
4327;gate-keeper;32;
4332;frui_0;32;
4362;final-crs_10;31;3947
4368;final-crs_9;32;107
4696;gate-keeper;33;
4697;gate-keeper;34;
4698;gate-keeper;35;
4701;frui_0;33;
4703;frui_1;35;
4711;final-crs_4;33;1017
4714;meat_1;34;
4715;final-crs_1;35;4834
4776;final-crs_3;34;1328
4925;gate-keeper;36;
4926;gate-keeper;37;
4930;vege_0;37;
4930;frui_0;36;
4942;final-crs_1;37;105
4963;final-crs_4;36;2405
5236;gate-keeper;38;
5237;gate-keeper;39;
5240;frui_1;39;
5254;final-crs_8;39;777
5273;meat_0;38;
5278;final-crs_11;38;259
5413;gate-keeper;40;
5414;vege_0;40;
5421;final-crs_4;40;970
5553;gate-keeper;41;
5554;vege_1;41;
5563;final-crs_0;41;3174
5843;gate-keeper;42;
5844;frui_1;42;
5844;gate-keeper;43;
5845;meat_0;43;
5851;final-crs_12;42;1000
5868;final-crs_3;43;1249
6077;gate-keeper;44;
6078;gate-keeper;45;
6081;frui_0;44;
6082;vege_0;45;
6099;final-crs_5;44;377
6102;final-crs_3;45;145
6244;gate-keeper;46;
6245;vege_0;46;
6245;gate-keeper;47;
6254;final-crs_8;46;250
6278;meat_1;47;
6299;final-crs_7;47;1342
6608;gate-keeper;48;
6609;gate-keeper;49;
6610;vege_1;49;
6610;gate-keeper;50;
6611;frui_0;48;
6617;vege_0;50;
6620;final-crs_1;49;1944
6650;final-crs_3;48;1804
6653;final-crs_4;50;3904
6902;gate-keeper;51;
6903;gate-keeper;52;
6906;vege_1;51;
6908;vege_0;52;
6920;final-crs_2;51;951
6930;final-crs_4;52;264
7190;gate-keeper;53;
7191;gate-keeper;54;
7194;frui_0;53;
7197;frui_1;54;
7205;final-crs_7;53;1624
7212;final-crs_8;54;1956
7314;gate-keeper;55;
7318;vege_1;55;
7340;final-crs_1;55;2682
7501;gate-keeper;56;
7503;frui_0;56;
7519;final-crs_9;56;1639
7841;gate-keeper;57;
7842;gate-keeper;58;
7843;frui_1;58;
7843;gate-keeper;59;
7844;final-crs_6;58;1746
7845;vege_0;57;
7847;vege_1;59;
7881;final-crs_0;57;854
7884;final-crs_3;59;1874
8114;gate-keeper;60;
8115;gate-keeper;61;
8116;vege_0;60;
8117;final-crs_6;60;353
8150;meat_1;61;
8156;final-crs_2;61;3078
8435;gate-keeper;62;
8436;gate-keeper;63;
8437;gate-keeper;64;
8438;frui_1;62;
8440;vege_1;63;
8441;frui_0;64;
8446;final-crs_5;62;2503
8474;final-crs_9;63;3724
8500;final-crs_1;64;2393
8726;gate-keeper;65;
8727;gate-keeper;66;
8731;frui_1;65;
8742;final-crs_11;65;1875
8764;meat_0;66;
8767;final-crs_7;66;2893
9034;gate-keeper;67;
9035;gate-keeper;68;
9038;frui_0;67;
9043;vege_0;68;
9066;final-crs_4;67;3044
9087;final-crs_2;68;769
9155;gate-keeper;69;
9162;vege_1;69;
9170;final-crs_11;69;1397
9327;gate-keeper;70;
9328;gate-keeper;71;
9331;vege_0;70;
9335;vege_1;71;
9349;final-crs_3;70;1940
9393;final-crs_10;71;525
9670;gate-keeper;72;
9671;gate-keeper;73;
9672;vege_0;72;
9675;frui_1;73;
9679;final-crs_11;72;1197
9687;final-crs_0;73;1591
9975;gate-keeper;74;
9976;gate-keeper;75;
9977;gate-keeper;76;
9980;frui_1;75;
9982;vege_1;74;
9982;frui_0;76;
10008;final-crs_9;75;1275
10032;final-crs_6;74;606
10091;final-crs_3;76;145
10192;gate-keeper;77;
10213;meat_0;77;
10232;final-crs_12;77;1074
10328;gate-keeper;78;
10329;frui_1;78;
10359;final-crs_1;78;1042
10639;gate-keeper;79;
10640;gate-keeper;80;
10641;gate-keeper;81;
10647;vege_1;81;
10652;meat_1;79;
10653;final-crs_11;81;430
10686;final-crs_0;79;2120
10689;meat_0;80;
10713;final-crs_9;80;490
10758;gate-keeper;82;
10762;vege_1;82;
10789;final-crs_6;82;1085
10954;gate-keeper;83;
10957;vege_0;83;
10967;final-crs_9;83;608
11042;gate-keeper;84;
11048;vege_1;84;
11057;final-crs_3;84;220
11278;gate-keeper;85;
11279;vege_0;85;
11279;gate-keeper;86;
11283;vege_1;86;
11308;final-crs_8;85;1453
11314;final-crs_7;86;1565
11556;gate-keeper;87;
11557;gate-keeper;88;
11560;frui_0;87;
11560;frui_1;88;
11568;final-crs_2;87;2114
11585;final-crs_4;88;2474
11874;gate-keeper;89;
11875;gate-keeper;90;
11876;frui_0;89;
11878;vege_1;90;
11888;final-crs_12;89;593
11894;final-crs_9;90;1313
12207;gate-keeper;91;
12208;frui_1;91;
12208;gate-keeper;92;
12214;frui_0;92;
12255;final-crs_6;91;647
12263;final-crs_5;92;1592
12525;gate-keeper;93;
12526;gate-keeper;94;
12527;gate-keeper;95;
12532;vege_0;93;
12532;frui_1;95;
12539;final-crs_11;93;2155
12541;meat_0;94;
12550;final-crs_8;95;547
12558;final-crs_2;94;1591
12819;gate-keeper;96;
12820;gate-keeper;97;
12824;vege_0;96;
12824;frui_1;97;
12835;final-crs_12;96;2545
12894;final-crs_0;97;810
13154;gate-keeper;98;
13155;frui_1;98;
13155;gate-keeper;99;
13156;gate-keeper;100;
13157;frui_0;100;
13170;final-crs_3;98;3483
13182;final-crs_7;100;254
13199;meat_1;99;
13209;final-crs_10;99;1129
13474;gate-keeper;101;
13475;gate-keeper;102;
13489;meat_0;101;
13501;meat_1;102;
13524;final-crs_5;101;589
13529;final-crs_11;102;384
13558;gate-keeper;103;
13559;frui_0;103;
13571;final-crs_8;103;2848
13770;gate-keeper;104;
13775;frui_0;104;
13783;final-crs_8;104;677
14062;gate-keeper;105;
14063;frui_1;105;
14063;gate-keeper;106;
14064;vege_1;106;
14064;gate-keeper;107;
14067;frui_0;107;
14088;final-crs_12;105;2775
14100;final-crs_3;106;352
14116;final-crs_10;107;568
14364;gate-keeper;108;
14365;gate-keeper;109;
14369;vege_1;108;
14370;final-crs_7;108;843
14372;frui_0;109;
14385;final-crs_10;109;2197
14470;gate-keeper;110;
14471;frui_1;110;
14477;final-crs_8;110;2285
14687;gate-keeper;111;
14688;frui_0;111;
14692;final-crs_1;111;1478
14956;gate-keeper;112;
14957;gate-keeper;113;
14963;vege_0;113;
14968;meat_1;112;
14973;final-crs_8;113;500
14979;final-crs_11;112;744
15113;gate-keeper;114;
15120;vege_1;114;
15125;final-crs_7;114;1753
15214;gate-keeper;115;
15215;frui_0;115;
15236;final-crs_9;115;1004
15540;gate-keeper;116;
15541;frui_0;116;
15541;gate-keeper;117;
15542;gate-keeper;118;
15550;vege_1;117;
15553;final-crs_12;116;1710
15566;meat_0;118;
15568;final-crs_4;117;1180
15571;final-crs_3;118;135
15814;gate-keeper;119;
15815;gate-keeper;120;
