time;ckpt;id;money
331;gate-keeper;0;
337;meat_0;0;
423;final-crs_2;0;1248
671;gate-keeper;1;
672;gate-keeper;2;
674;vege_0;1;
678;final-crs_2;1;203
679;vege_1;2;
703;final-crs_4;2;1052
944;gate-keeper;3;
945;gate-keeper;4;
946;vege_0;3;
951;vege_1;4;
982;final-crs_5;3;1389
997;final-crs_3;4;699
1219;gate-keeper;5;
1229;meat_1;5;
1235;final-crs_3;5;1484
1490;gate-keeper;6;
1491;gate-keeper;7;
1493;vege_1;7;
1497;meat_0;6;
1630;final-crs_0;7;107
1675;final-crs_2;6;386
1752;gate-keeper;8;
1755;vege_1;8;
1765;final-crs_5;8;600
1911;gate-keeper;9;
1912;vege_1;9;
1944;final-crs_2;9;828
2101;gate-keeper;10;
2108;vege_1;10;
2174;final-crs_3;10;954
2395;gate-keeper;11;
2396;gate-keeper;12;
2398;vege_0;11;
2398;frui_0;12;
2413;final-crs_2;11;770
2441;final-crs_5;12;1240
2591;gate-keeper;13;
2635;meat_0;13;
2650;final-crs_2;13;577
2666;gate-keeper;14;
2669;vege_1;14;
2686;final-crs_1;14;1031
2970;gate-keeper;15;
2971;gate-keeper;16;
2974;vege_0;15;
2975;vege_1;16;
3086;final-crs_0;15;1094
3122;final-crs_5;16;1215
3212;gate-keeper;17;
3245;meat_1;17;
3325;final-crs_0;17;668
3392;gate-keeper;18;
3397;vege_0;18;
3407;final-crs_1;18;391
3746;gate-keeper;19;
3747;gate-keeper;20;
3749;vege_0;20;
3774;meat_1;19;
3800;final-crs_0;20;1615
3838;final-crs_5;19;402
4067;gate-keeper;21;
4076;meat_1;21;
4083;final-crs_5;21;1623
4101;gate-keeper;22;
4108;vege_0;22;
4149;final-crs_4;22;548
4420;gate-keeper;23;
4462;meat_1;23;
4548;final-crs_2;23;808
4778;gate-keeper;24;
4779;gate-keeper;25;
4780;vege_1;24;
4805;final-crs_2;24;749
4810;meat_0;25;
4834;final-crs_0;25;1720
5109;gate-keeper;26;
5110;gate-keeper;27;
5113;vege_0;26;
5114;meat_0;27;
5230;gate-keeper;28;
5242;meat_1;28;
5257;final-crs_1;26;2239
5271;final-crs_0;27;303
5298;final-crs_2;28;736
5451;gate-keeper;29;
5454;meat_0;29;
5497;final-crs_1;29;472
5745;gate-keeper;30;
5747;frui_1;30;
5799;final-crs_3;30;2186
5995;gate-keeper;31;
5996;gate-keeper;32;
5999;meat_0;31;
6013;meat_1;32;
6025;final-crs_3;31;166
6055;final-crs_2;32;199
6300;gate-keeper;33;
6301;vege_0;33;
6301;gate-keeper;34;
6304;final-crs_5;33;1756
6304;frui_0;34;
6320;final-crs_4;34;302
6633;gate-keeper;35;
6634;gate-keeper;36;
6640;vege_0;35;
6654;meat_0;36;
6657;final-crs_1;35;629
6743;final-crs_4;36;1748
6903;gate-keeper;37;
6904;vege_1;37;
7010;final-crs_3;37;971
7189;gate-keeper;38;
7190;gate-keeper;39;
7192;vege_1;38;
7197;vege_0;39;
7246;final-crs_4;38;1792
7247;final-crs_3;39;1543
7436;gate-keeper;40;
7441;frui_1;40;
7486;final-crs_4;40;1103
7515;gate-keeper;41;
7520;meat_1;41;
7546;final-crs_0;41;2520
7808;gate-keeper;42;
7820;meat_0;42;
7861;final-crs_2;42;1393
8144;gate-keeper;43;
8145;gate-keeper;44;
8147;vege_0;43;
8154;vege_1;44;
8198;final-crs_3;43;937
8248;final-crs_5;44;2045
8425;gate-keeper;45;
8426;gate-keeper;46;
8428;frui_0;46;
8431;vege_0;45;
8491;final-crs_5;46;1252
8510;final-crs_2;45;1501
8703;gate-keeper;47;
8704;vege_1;47;
8724;final-crs_5;47;1984
9002;gate-keeper;48;
9003;gate-keeper;49;
9004;vege_0;48;
9010;vege_1;49;
9027;final-crs_0;48;792
9046;final-crs_1;49;1027
9276;gate-keeper;50;
9277;gate-keeper;51;
9278;vege_1;51;
9290;meat_0;50;
9302;final-crs_1;51;1384
9310;final-crs_4;50;1035
9496;gate-keeper;52;
9498;vege_1;52;
9500;final-crs_0;52;860
9844;gate-keeper;53;
9845;gate-keeper;54;
9853;meat_0;53;
9876;meat_1;54;
9903;final-crs_5;53;557
9911;final-crs_3;54;324
10165;gate-keeper;55;
10167;vege_1;55;
10175;final-crs_3;55;1522
10284;gate-keeper;56;
10288;meat_1;56;
10292;final-crs_1;56;971
10477;gate-keeper;57;
10478;vege_1;57;
10516;final-crs_1;57;937
10777;gate-keeper;58;
10778;gate-keeper;59;
10781;vege_0;58;
10782;frui_0;59;
10813;final-crs_2;58;300
10814;final-crs_1;59;604
11058;gate-keeper;60;
11059;gate-keeper;61;
11062;vege_0;60;
11065;final-crs_1;60;681
11068;meat_0;61;
11200;gate-keeper;62;
11204;meat_1;62;
