time;ckpt;id;money
334;gate-keeper;0;
337;vege_0;0;
413;final-crs_4;0;906
649;gate-keeper;1;
657;vege_1;1;
679;final-crs_2;1;1899
976;gate-keeper;2;
977;gate-keeper;3;
980;frui_1;2;
982;vege_1;3;
1000;final-crs_3;2;185
1145;final-crs_4;3;2118
1287;gate-keeper;4;
1288;frui_1;4;
1338;final-crs_2;4;2406
1605;gate-keeper;5;
1606;frui_1;5;
1710;final-crs_3;5;942
1920;gate-keeper;6;
1925;vege_0;6;
1957;final-crs_1;6;2395
2036;gate-keeper;7;
2043;meat_1;7;
2099;final-crs_2;7;770
2218;gate-keeper;8;
2222;vege_0;8;
2248;final-crs_1;8;1632
2517;gate-keeper;9;
2523;vege_0;9;
2526;final-crs_1;9;1458
2842;gate-keeper;10;
2850;vege_0;10;
2946;gate-keeper;11;
2954;vege_1;11;
3003;final-crs_2;10;1816
3004;final-crs_0;11;1444
3406;gate-keeper;12;
3409;frui_0;12;
3496;final-crs_3;12;306
3578;gate-keeper;13;
3581;vege_1;13;
3582;final-crs_4;13;510
3678;gate-keeper;14;
3679;meat_0;14;
3733;final-crs_3;14;1305
3939;gate-keeper;15;
3945;meat_1;15;
3976;final-crs_1;15;2250
4272;gate-keeper;16;
4275;frui_1;16;
4310;final-crs_4;16;2980
4567;gate-keeper;17;
4571;frui_0;17;
4579;final-crs_4;17;1049
4718;gate-keeper;18;
4724;vege_0;18;
4756;final-crs_4;18;1865
4905;gate-keeper;19;
4919;meat_0;19;
4932;final-crs_5;19;798
5221;gate-keeper;20;
5225;vege_1;20;
5230;final-crs_2;20;1605
5520;gate-keeper;21;
5521;gate-keeper;22;
5522;vege_1;22;
5522;frui_0;21;
5528;final-crs_0;22;1207
5551;final-crs_4;21;1520
5779;gate-keeper;23;
5781;frui_0;23;
5836;final-crs_1;23;2035
6083;gate-keeper;24;
6086;frui_1;24;
6090;final-crs_5;24;1164
6378;gate-keeper;25;
6381;meat_1;25;
6428;final-crs_3;25;1313
6559;gate-keeper;26;
6563;vege_1;26;
6570;final-crs_5;26;562
6710;gate-keeper;27;
6714;vege_1;27;
6764;final-crs_1;27;2060
7051;gate-keeper;28;
7054;vege_0;28;
7111;final-crs_3;28;217
7378;gate-keeper;29;
7384;vege_0;29;
7425;final-crs_2;29;3387
7494;gate-keeper;30;
7499;vege_0;30;
7544;final-crs_1;30;328
7651;gate-keeper;31;
7656;vege_0;31;
7700;final-crs_4;31;2850
7933;gate-keeper;32;
7938;vege_0;32;
7958;final-crs_0;32;630
8225;gate-keeper;33;
8227;vege_1;33;
8246;final-crs_1;33;967
8409;gate-keeper;34;
8438;meat_0;34;
8440;final-crs_4;34;1354
8870;gate-keeper;35;
8871;gate-keeper;36;
