time;ckpt;id;money
319;gate-keeper;0;
320;vege_1;0;
422;final-crs_0;0;2662
580;gate-keeper;1;
589;meat_1;1;
622;final-crs_0;1;161
889;gate-keeper;2;
895;meat_1;2;
904;final-crs_4;2;265
1208;gate-keeper;3;
1215;vege_1;3;
1233;final-crs_5;3;1448
1491;gate-keeper;4;
1493;frui_0;4;
1499;final-crs_5;4;1833
1803;gate-keeper;5;
1819;meat_1;5;
1842;final-crs_1;5;802
1876;gate-keeper;6;
1881;vege_0;6;
1883;final-crs_4;6;728
2142;gate-keeper;7;
2147;vege_0;7;
2150;final-crs_2;7;108
2426;gate-keeper;8;
2428;vege_1;8;
2446;final-crs_3;8;811
2635;gate-keeper;9;
2636;vege_1;9;
2670;final-crs_3;9;231
2958;gate-keeper;10;
2960;vege_0;10;
2961;final-crs_5;10;505
3236;gate-keeper;11;
3240;vege_0;11;
3291;final-crs_0;11;754
3556;gate-keeper;12;
3558;vege_1;12;
3621;final-crs_3;12;856
3855;gate-keeper;13;
3857;vege_0;13;
3867;final-crs_3;13;683
4147;gate-keeper;14;
4167;meat_0;14;
4212;final-crs_5;14;721
4417;gate-keeper;15;
4467;meat_0;15;
4483;final-crs_4;15;1108
4631;gate-keeper;16;
4636;vege_0;16;
4673;final-crs_5;16;1287
5018;gate-keeper;17;
5019;gate-keeper;18;
5024;vege_1;18;
5036;meat_0;17;
5038;final-crs_1;18;418
5070;final-crs_3;17;220
5320;gate-keeper;19;
5331;meat_0;19;
5375;final-crs_5;19;392
5520;gate-keeper;20;
5522;vege_0;20;
5543;final-crs_1;20;557
5906;gate-keeper;21;
5952;meat_0;21;
6016;final-crs_2;21;551
6251;gate-keeper;22;
6253;frui_0;22;
6277;final-crs_1;22;865
6429;gate-keeper;23;
6449;meat_1;23;
6490;final-crs_2;23;768
6778;gate-keeper;24;
6784;frui_0;24;
6880;final-crs_5;24;149
7055;gate-keeper;25;
7056;vege_1;25;
7103;final-crs_4;25;960
7346;gate-keeper;26;
7364;meat_1;26;
7384;final-crs_0;26;267
7696;gate-keeper;27;
7707;meat_1;27;
7722;final-crs_3;27;1018
8003;gate-keeper;28;
8032;meat_0;28;
8092;final-crs_0;28;741
8224;gate-keeper;29;
8274;meat_0;29;
8321;final-crs_0;29;718
8581;gate-keeper;30;
8582;vege_0;30;
8609;final-crs_1;30;209
8858;gate-keeper;31;
8862;vege_1;31;
8897;final-crs_2;31;738
9150;gate-keeper;32;
9155;frui_0;32;
9157;final-crs_2;32;401
9411;gate-keeper;33;
9444;meat_0;33;
9470;final-crs_5;33;1865
9652;gate-keeper;34;
9656;vege_0;34;
9722;final-crs_1;34;1408
9978;gate-keeper;35;
9979;gate-keeper;36;
9982;vege_0;35;
9983;final-crs_1;35;1153
9983;vege_1;36;
10003;final-crs_3;36;77
10276;gate-keeper;37;
10299;meat_1;37;
10311;final-crs_4;37;690
10552;gate-keeper;38;
10559;vege_1;38;
10617;final-crs_2;38;701
10847;gate-keeper;39;
10853;vege_0;39;
10869;final-crs_5;39;829
11103;gate-keeper;40;
11106;vege_1;40;
11121;final-crs_5;40;1234
11485;gate-keeper;41;
11486;gate-keeper;42;
11487;vege_1;41;
11495;vege_0;42;
11513;final-crs_4;41;290
11595;final-crs_1;42;231
11822;gate-keeper;43;
11855;meat_1;43;
11978;final-crs_2;43;2925
11981;gate-keeper;44;
11999;meat_0;44;
12001;final-crs_5;44;654
12347;gate-keeper;45;
12382;meat_0;45;
12445;final-crs_2;45;720
12666;gate-keeper;46;
12669;vege_0;46;
12677;final-crs_2;46;2124
12911;gate-keeper;47;
12914;frui_1;47;
12924;final-crs_4;47;328
13304;gate-keeper;48;
13305;gate-keeper;49;
13311;vege_1;48;
13313;vege_0;49;
13328;final-crs_1;48;115
13331;final-crs_3;49;242
13614;gate-keeper;50;
13635;meat_1;50;
13669;final-crs_5;50;750
13896;gate-keeper;51;
13902;vege_1;51;
13915;final-crs_2;51;584
14209;gate-keeper;52;
14214;vege_0;52;
14283;final-crs_1;52;127
14474;gate-keeper;53;
14478;vege_0;53;
14524;final-crs_1;53;920
14625;gate-keeper;54;
14660;meat_0;54;
14755;final-crs_3;54;1631
14834;gate-keeper;55;
14835;vege_0;55;
14842;final-crs_2;55;1313
15105;gate-keeper;56;
15117;meat_1;56;
15158;final-crs_4;56;1229
15415;gate-keeper;57;
15431;meat_1;57;
15462;final-crs_3;57;1094
15751;gate-keeper;58;
15752;frui_1;58;
15793;final-crs_0;58;164
16072;gate-keeper;59;
16073;gate-keeper;60;
16074;vege_1;59;
16078;vege_0;60;
16142;final-crs_4;59;243
16146;final-crs_2;60;207
16386;gate-keeper;61;
16401;meat_1;61;
16427;final-crs_1;61;822
16634;gate-keeper;62;
16640;vege_0;62;
16673;final-crs_1;62;979
16917;gate-keeper;63;
16921;vege_1;63;
16935;final-crs_0;63;433
17200;gate-keeper;64;
17242;meat_1;64;
17253;final-crs_5;64;991
17379;gate-keeper;65;
17380;frui_1;65;
17429;final-crs_0;65;1339
17799;gate-keeper;66;
17803;meat_1;66;
17819;final-crs_1;66;554
18057;gate-keeper;67;
18061;frui_1;67;
18062;final-crs_4;67;1299
18409;gate-keeper;68;
18410;gate-keeper;69;
18428;meat_0;68;
18430;meat_1;69;
18482;final-crs_2;68;2527
18499;final-crs_4;69;833
18708;gate-keeper;70;
18731;meat_1;70;
18734;final-crs_2;70;1828
19203;gate-keeper;71;
19241;meat_0;71;
19245;final-crs_5;71;892
19395;gate-keeper;72;
19396;gate-keeper;73;
19397;gate-keeper;74;
19398;vege_1;73;
19398;frui_1;74;
19407;meat_0;72;
19438;final-crs_5;73;773
19459;final-crs_2;74;289
19478;gate-keeper;75;
19479;gate-keeper;76;
19485;meat_1;75;
19499;final-crs_4;72;711
19519;meat_0;76;
19565;final-crs_1;75;303
19583;final-crs_3;76;918
19846;gate-keeper;77;
19847;gate-keeper;78;
19850;vege_0;77;
19852;final-crs_0;77;1791
19853;vege_1;78;
19934;final-crs_2;78;84
20131;gate-keeper;79;
20133;vege_0;79;
20160;final-crs_2;79;670
20369;gate-keeper;80;
20370;vege_1;80;
20399;final-crs_2;80;162
20723;gate-keeper;81;
20724;gate-keeper;82;
20725;gate-keeper;83;
20726;vege_1;81;
20727;vege_0;82;
20735;vege_1;83;
20773;final-crs_3;81;190
20850;final-crs_0;82;1581
20875;final-crs_5;83;671
21030;gate-keeper;84;
21031;gate-keeper;85;
21032;vege_1;84;
21032;gate-keeper;86;
21035;vege_0;85;
21040;vege_1;86;
21059;final-crs_2;84;916
21120;final-crs_0;85;206
21125;final-crs_5;86;575
