time;ckpt;id;money
252;gate-keeper;0;
253;gate-keeper;1;
257;frui_0;1;
259;final-crs_9;1;2309
288;meat_0;0;
422;final-crs_7;0;1209
573;gate-keeper;2;
574;gate-keeper;3;
575;gate-keeper;4;
576;vege_1;2;
578;vege_0;4;
582;meat_0;3;
646;final-crs_6;2;304
669;final-crs_7;4;1501
684;final-crs_12;3;710
841;gate-keeper;5;
842;gate-keeper;6;
843;gate-keeper;7;
845;vege_1;6;
849;vege_0;7;
862;meat_0;5;
863;final-crs_6;6;148
878;final-crs_7;7;894
924;final-crs_12;5;259
1177;gate-keeper;8;
1178;gate-keeper;9;
1179;meat_1;9;
1179;gate-keeper;10;
1181;frui_0;8;
1185;vege_1;10;
1195;final-crs_11;9;510
1196;final-crs_10;8;537
1227;final-crs_8;10;207
1512;gate-keeper;11;
1513;vege_0;11;
1513;gate-keeper;12;
1514;gate-keeper;13;
1521;vege_0;13;
1528;meat_1;12;
1582;final-crs_6;11;294
1594;gate-keeper;14;
1620;final-crs_7;13;290
1628;meat_0;14;
1630;final-crs_3;12;150
1638;final-crs_12;14;892
1777;gate-keeper;15;
1778;vege_1;15;
1778;gate-keeper;16;
1787;vege_0;16;
1821;final-crs_6;15;826
1849;final-crs_3;16;365
2081;gate-keeper;17;
2082;gate-keeper;18;
2083;gate-keeper;19;
2084;vege_1;17;
2089;vege_0;18;
2095;final-crs_7;17;108
2123;meat_1;19;
2129;final-crs_10;18;1543
2137;final-crs_8;19;1091
2379;gate-keeper;20;
2380;gate-keeper;21;
2381;gate-keeper;22;
2382;vege_0;20;
2413;final-crs_9;20;1520
2428;meat_0;21;
2431;meat_1;22;
2491;final-crs_4;21;707
2493;final-crs_5;22;1168
2655;gate-keeper;23;
2656;gate-keeper;24;
2657;frui_1;24;
2657;gate-keeper;25;
2660;vege_0;25;
2661;meat_0;23;
2723;final-crs_5;24;184
2754;final-crs_4;25;363
2759;final-crs_1;23;1450
2986;gate-keeper;26;
2987;gate-keeper;27;
2988;gate-keeper;28;
2989;frui_0;27;
2992;vege_0;26;
2992;vege_1;28;
2994;final-crs_1;27;83
3001;final-crs_4;26;1052
3010;final-crs_3;28;291
3272;gate-keeper;29;
3273;gate-keeper;30;
3274;gate-keeper;31;
3275;frui_0;30;
3276;vege_0;29;
3276;vege_1;31;
3307;final-crs_10;30;730
3315;final-crs_11;29;382
3320;final-crs_12;31;547
3552;gate-keeper;32;
3553;gate-keeper;33;
3559;vege_0;32;
3561;final-crs_9;32;1509
3571;meat_0;33;
3660;final-crs_0;33;1504
3831;gate-keeper;34;
3832;gate-keeper;35;
3833;gate-keeper;36;
3834;vege_1;35;
3835;frui_1;36;
3847;meat_1;34;
3858;final-crs_0;35;1235
3898;final-crs_6;36;1489
3937;final-crs_8;34;1057
4153;gate-keeper;37;
4154;gate-keeper;38;
4155;gate-keeper;39;
4160;vege_1;37;
4161;vege_0;39;
4163;meat_1;38;
4192;final-crs_8;37;831
4207;final-crs_1;39;399
4216;final-crs_2;38;1488
4287;gate-keeper;40;
4292;meat_0;40;
4379;final-crs_0;40;910
4514;gate-keeper;41;
4515;gate-keeper;42;
4520;vege_0;41;
4524;vege_1;42;
4537;final-crs_10;41;305
4538;final-crs_12;42;2140
4810;gate-keeper;43;
4811;gate-keeper;44;
4812;vege_1;44;
4812;gate-keeper;45;
