time;ckpt;id;money
280;gate-keeper;0;
281;vege_0;0;
281;gate-keeper;1;
289;vege_1;1;
428;final-crs_5;0;604
457;final-crs_4;1;206
650;gate-keeper;5;
652;vege_0;5;
669;final-crs_5;5;933
1258;gate-keeper;11;
1262;vege_1;11;
1322;final-crs_1;11;2432
1565;gate-keeper;14;
1571;frui_0;14;
1577;final-crs_1;14;896
1890;gate-keeper;17;
1891;gate-keeper;18;
1894;vege_1;17;
1912;meat_1;18;
1918;final-crs_3;17;622
1920;final-crs_4;18;1148
2185;gate-keeper;21;
2188;vege_0;21;
2209;final-crs_6;21;115
2483;gate-keeper;24;
2484;vege_0;24;
2540;final-crs_2;24;463
2811;gate-keeper;27;
2818;meat_1;27;
2836;final-crs_1;27;624
3056;gate-keeper;30;
3059;frui_1;30;
3065;final-crs_1;30;684
3228;gate-keeper;31;
3232;vege_0;31;
3278;final-crs_3;31;478
3378;gate-keeper;33;
3379;vege_0;33;
3392;final-crs_6;33;1033
3700;gate-keeper;36;
3725;meat_1;36;
3733;final-crs_3;36;608
4088;gate-keeper;41;
4091;vege_0;41;
4166;final-crs_6;41;636
4357;gate-keeper;43;
4358;vege_0;43;
4358;gate-keeper;44;
4365;vege_1;44;
4386;final-crs_6;43;1352
4435;final-crs_2;44;405
4622;gate-keeper;47;
4628;vege_0;47;
4641;final-crs_6;47;463
4885;gate-keeper;50;
4886;vege_1;50;
4934;final-crs_0;50;443
5420;gate-keeper;53;
5421;gate-keeper;54;
5422;frui_1;54;
5422;gate-keeper;55;
5425;vege_0;53;
5432;final-crs_0;54;1063
5459;meat_0;55;
5484;final-crs_4;53;1157
5552;final-crs_3;55;2059
5733;gate-keeper;57;
5734;gate-keeper;58;
5771;meat_1;57;
5782;meat_0;58;
5788;final-crs_3;57;538
5789;final-crs_1;58;648
5987;gate-keeper;59;
5988;gate-keeper;60;
5989;gate-keeper;61;
5990;frui_0;61;
6006;final-crs_1;61;658
6016;meat_1;59;
6031;final-crs_3;59;1005
6034;meat_0;60;
6047;final-crs_6;60;400
6348;gate-keeper;63;
6349;vege_1;63;
6349;gate-keeper;64;
6361;meat_1;64;
6436;final-crs_0;63;487
6454;final-crs_4;64;145
6657;gate-keeper;67;
6658;gate-keeper;68;
6663;vege_1;68;
6665;final-crs_0;68;479
6695;meat_0;67;
6711;final-crs_1;67;594
6871;gate-keeper;70;
6872;frui_1;70;
6882;final-crs_0;70;287
6978;gate-keeper;71;
6979;vege_1;71;
6984;final-crs_6;71;630
7202;gate-keeper;73;
7203;frui_1;73;
7221;final-crs_6;73;294
7504;gate-keeper;76;
7509;vege_0;76;
7599;final-crs_0;76;405
7791;gate-keeper;79;
7823;meat_0;79;
7863;final-crs_0;79;1558
7884;gate-keeper;80;
7890;frui_0;80;
7919;final-crs_1;80;1180
8130;gate-keeper;81;
8131;gate-keeper;82;
8133;vege_1;81;
8138;vege_0;82;
8155;final-crs_6;81;2059
8174;final-crs_1;82;1450
8728;gate-keeper;88;
8729;vege_1;88;
8729;gate-keeper;89;
8732;vege_0;89;
8823;final-crs_4;88;613
8845;final-crs_0;89;1056
9034;gate-keeper;91;
9035;gate-keeper;92;
9037;vege_0;91;
9039;vege_1;92;
9062;final-crs_0;91;1471
9072;final-crs_4;92;935
9385;gate-keeper;95;
9386;gate-keeper;96;
9387;vege_1;95;
9393;vege_0;96;
9403;final-crs_1;95;135
9406;final-crs_3;96;754
9596;gate-keeper;97;
9597;gate-keeper;98;
9599;vege_1;97;
9613;meat_1;98;
9636;final-crs_2;97;646
9648;final-crs_1;98;873
10005;gate-keeper;103;
10012;vege_0;103;
10027;final-crs_4;103;563
10276;gate-keeper;105;
10277;gate-keeper;106;
10278;frui_1;105;
10285;meat_1;106;
