time;ckpt;id;money
667;gate-keeper;5;
670;frui_1;5;
675;final-crs_3;5;501
994;gate-keeper;9;
997;vege_1;9;
1038;final-crs_4;9;2227
1522;gate-keeper;14;
1529;vege_0;14;
1537;final-crs_6;14;481
2416;gate-keeper;23;
2422;vege_0;23;
2431;final-crs_4;23;2402
2568;gate-keeper;24;
2572;frui_0;24;
2575;final-crs_5;24;2843
3412;gate-keeper;32;
3413;vege_1;32;
3466;final-crs_3;32;967
3704;gate-keeper;35;
3705;frui_1;35;
3720;final-crs_5;35;608
4111;gate-keeper;38;
4112;frui_1;38;
4112;gate-keeper;39;
4118;frui_0;39;
4130;final-crs_4;38;2274
4204;final-crs_5;39;578
4331;gate-keeper;41;
4332;meat_0;41;
4370;final-crs_4;41;2308
4375;gate-keeper;42;
4395;meat_0;42;
4434;final-crs_6;42;2217
4639;gate-keeper;44;
4641;vege_0;44;
4656;final-crs_6;44;1743
4936;gate-keeper;46;
4937;vege_1;46;
4937;gate-keeper;47;
4945;vege_1;47;
5018;final-crs_0;46;2430
5034;final-crs_2;47;385
5279;gate-keeper;51;
5284;frui_0;51;
5294;final-crs_2;51;614
5391;gate-keeper;52;
5394;vege_1;52;
5417;final-crs_5;52;577
5606;gate-keeper;53;
5607;gate-keeper;54;
5614;vege_0;53;
5618;vege_1;54;
5666;final-crs_6;53;674
5675;final-crs_5;54;4842
5896;gate-keeper;56;
5897;frui_1;56;
5897;gate-keeper;57;
5899;vege_1;57;
5908;final-crs_6;56;1691
5914;final-crs_0;57;1545
6233;gate-keeper;60;
6234;frui_1;60;
6280;final-crs_2;60;2536
6526;gate-keeper;61;
6527;frui_0;61;
6527;gate-keeper;62;
6528;gate-keeper;63;
6533;final-crs_2;61;1586
6533;vege_0;62;
6534;final-crs_4;62;176
6535;vege_1;63;
6585;final-crs_0;63;1723
6694;gate-keeper;64;
6695;gate-keeper;65;
6697;vege_0;64;
6702;vege_1;65;
6780;final-crs_2;64;1942
6781;final-crs_4;65;2113
6863;gate-keeper;66;
6867;vege_0;66;
6881;final-crs_6;66;248
7050;gate-keeper;68;
7056;frui_0;68;
7071;final-crs_0;68;782
7140;gate-keeper;69;
7141;vege_0;69;
7165;final-crs_1;69;1462
8372;gate-keeper;81;
8373;vege_1;81;
8382;final-crs_1;81;222
8785;gate-keeper;84;
8786;gate-keeper;85;
