time;ckpt;id;money
298;gate-keeper;0;
303;meat_1;0;
449;final-crs_3;0;889
592;gate-keeper;1;
593;gate-keeper;2;
600;vege_0;1;
600;vege_1;2;
655;final-crs_3;1;714
687;final-crs_5;2;354
959;gate-keeper;5;
965;vege_1;5;
1001;final-crs_0;5;567
1141;gate-keeper;6;
1142;frui_1;6;
1146;final-crs_5;6;347
1458;gate-keeper;7;
1459;gate-keeper;8;
1465;vege_1;7;
1467;vege_0;8;
1481;final-crs_4;7;492
1563;final-crs_6;8;1779
1776;gate-keeper;9;
1777;gate-keeper;10;
1778;frui_0;10;
1779;vege_1;9;
1823;final-crs_6;10;927
1828;final-crs_5;9;94
2085;gate-keeper;12;
2090;vege_1;12;
2096;final-crs_1;12;1555
2404;gate-keeper;13;
2405;gate-keeper;14;
2407;vege_0;14;
2415;final-crs_0;14;494
2433;meat_1;13;
2452;final-crs_4;13;1412
2711;gate-keeper;16;
2719;vege_0;16;
2815;final-crs_5;16;76
3344;gate-keeper;19;
3345;gate-keeper;20;
3347;vege_0;19;
3353;vege_1;20;
3378;final-crs_4;19;1199
3472;final-crs_1;20;698
3529;gate-keeper;21;
3532;vege_0;21;
3535;final-crs_5;21;1168
3646;gate-keeper;22;
3649;vege_1;22;
3661;final-crs_6;22;793
3898;gate-keeper;23;
3899;vege_0;23;
3915;final-crs_1;23;1419
4191;gate-keeper;25;
4199;vege_1;25;
4247;final-crs_5;25;165
4480;gate-keeper;27;
4481;frui_1;27;
4502;final-crs_0;27;585
4783;gate-keeper;29;
4785;vege_0;29;
4796;final-crs_4;29;888
5278;gate-keeper;32;
5283;frui_0;32;
5291;final-crs_5;32;247
5712;gate-keeper;34;
5713;gate-keeper;35;
5719;vege_1;34;
5720;vege_0;35;
5739;final-crs_3;34;372
5749;final-crs_0;35;877
5984;gate-keeper;36;
5989;vege_0;36;
5990;final-crs_3;36;1008
6183;gate-keeper;38;
6184;frui_0;38;
6205;final-crs_6;38;409
6343;gate-keeper;39;
6344;vege_1;39;
6357;final-crs_4;39;1364
6665;gate-keeper;40;
6666;gate-keeper;41;
6667;vege_1;40;
