time;ckpt;id;money
577;gate-keeper;3;
578;gate-keeper;4;
579;gate-keeper;5;
580;vege_1;5;
598;meat_0;3;
610;final-crs_5;5;900
620;meat_1;4;
665;final-crs_3;3;643
719;final-crs_0;4;1211
1152;gate-keeper;10;
1153;gate-keeper;11;
1154;gate-keeper;12;
1155;frui_1;10;
1158;frui_0;12;
1159;vege_1;11;
1178;final-crs_0;10;780
1194;final-crs_1;12;325
1236;final-crs_4;11;508
1428;gate-keeper;14;
1429;gate-keeper;15;
1430;gate-keeper;16;
1433;frui_0;15;
1437;vege_1;16;
1440;meat_0;14;
1452;final-crs_1;15;2922
1461;final-crs_4;16;908
1466;final-crs_2;14;2025
1661;gate-keeper;18;
1662;gate-keeper;19;
1664;vege_0;18;
1666;frui_0;19;
1675;final-crs_4;18;3259
1709;final-crs_2;19;4039
2022;gate-keeper;21;
2023;gate-keeper;22;
2024;gate-keeper;23;
2027;vege_0;23;
2041;meat_0;21;
2058;final-crs_3;23;3200
2069;final-crs_6;21;258
2085;meat_1;22;
2086;final-crs_0;22;451
2702;gate-keeper;32;
2708;frui_0;32;
2726;final-crs_1;32;1885
3007;gate-keeper;35;
3011;meat_0;35;
3023;final-crs_3;35;1822
3293;gate-keeper;39;
3303;meat_0;39;
3340;final-crs_2;39;1135
3595;gate-keeper;43;
3598;vege_0;43;
3610;final-crs_5;43;644
3861;gate-keeper;46;
3873;meat_1;46;
3881;final-crs_1;46;1681
4173;gate-keeper;50;
4177;meat_1;50;
4184;final-crs_4;50;2918
4407;gate-keeper;53;
4412;vege_1;53;
4416;final-crs_0;53;2070
4469;gate-keeper;54;
4475;meat_1;54;
4483;final-crs_5;54;645
4811;gate-keeper;58;
4837;meat_1;58;
4838;final-crs_1;58;724
5093;gate-keeper;62;
5095;vege_1;62;
5097;final-crs_4;62;1046
5310;gate-keeper;64;
5314;frui_0;64;
5354;final-crs_4;64;663
5443;gate-keeper;66;
5445;frui_0;66;
5455;final-crs_3;66;361
5749;gate-keeper;70;
5752;vege_0;70;
5770;final-crs_1;70;1371
6063;gate-keeper;74;
6064;frui_0;74;
6067;final-crs_4;74;426
6129;gate-keeper;75;
6132;vege_1;75;
6137;final-crs_0;75;2132
6221;gate-keeper;76;
6224;meat_0;76;
6232;final-crs_1;76;740
6348;gate-keeper;78;
6352;meat_0;78;
6412;final-crs_0;78;841
7292;gate-keeper;89;
7293;vege_0;89;
7294;final-crs_0;89;1012
7922;gate-keeper;97;
7925;frui_1;97;
7933;final-crs_6;97;618
8123;gate-keeper;98;
8124;vege_1;98;
8124;gate-keeper;99;
8126;vege_0;99;
8168;final-crs_5;98;2328
8183;final-crs_4;99;149
8425;gate-keeper;101;
8426;gate-keeper;102;
8427;gate-keeper;103;
8432;vege_0;101;
8433;final-crs_4;101;2022
8435;vege_1;102;
8451;final-crs_6;102;1722
8451;meat_1;103;
8467;final-crs_0;103;1373
8694;gate-keeper;105;
8695;frui_0;105;
8695;gate-keeper;106;
8696;gate-keeper;107;
8697;vege_0;106;
8703;final-crs_6;105;1767
8709;meat_0;107;
8722;final-crs_2;106;2439
8732;final-crs_1;107;1263
8859;gate-keeper;109;
8860;vege_1;109;
8887;final-crs_5;109;1708
8969;gate-keeper;110;
8971;vege_0;110;
8978;final-crs_1;110;163
9221;gate-keeper;113;
9226;frui_1;113;
9314;final-crs_3;113;154
9795;gate-keeper;120;
9796;vege_1;120;
9806;final-crs_6;120;1422
9830;gate-keeper;121;
9835;frui_0;121;
9838;final-crs_5;121;2591
10048;gate-keeper;124;
10051;frui_1;124;
10122;final-crs_1;124;155
10161;gate-keeper;125;
10183;meat_0;125;
10266;final-crs_6;125;873
10428;gate-keeper;129;
10434;vege_0;129;
10510;final-crs_6;129;821
10585;gate-keeper;131;
10589;vege_1;131;
10611;final-crs_0;131;282
10721;gate-keeper;132;
10734;meat_1;132;
10737;final-crs_6;132;1142
11033;gate-keeper;135;
11034;gate-keeper;136;
11036;frui_0;135;
11041;vege_1;136;
11043;final-crs_3;135;1097
11119;final-crs_1;136;751
11321;gate-keeper;140;
11326;frui_0;140;
11331;final-crs_1;140;2114
