time;ckpt;id;money
260;gate-keeper;0;
294;meat_1;0;
465;final-crs_5;0;362
572;gate-keeper;1;
575;vege_1;1;
701;final-crs_4;1;805
865;gate-keeper;2;
867;vege_1;2;
917;final-crs_1;2;1501
948;gate-keeper;3;
949;meat_0;3;
980;final-crs_3;3;483
1426;gate-keeper;4;
1427;frui_0;4;
1436;final-crs_1;4;505
1726;gate-keeper;5;
1727;gate-keeper;6;
1728;frui_0;5;
1731;vege_1;6;
1785;final-crs_2;5;442
1794;final-crs_0;6;1548
2028;gate-keeper;7;
2031;frui_1;7;
2102;final-crs_1;7;827
2328;gate-keeper;8;
2330;frui_0;8;
2377;final-crs_5;8;149
2617;gate-keeper;9;
2620;frui_1;9;
2626;final-crs_4;9;602
2640;gate-keeper;10;
2642;frui_0;10;
2700;final-crs_2;10;74
2893;gate-keeper;11;
2908;meat_0;11;
2935;final-crs_0;11;851
3242;gate-keeper;12;
3245;vege_1;12;
3248;final-crs_3;12;463
3548;gate-keeper;13;
3554;vege_1;13;
3572;final-crs_1;13;670
3855;gate-keeper;14;
3861;vege_0;14;
3863;final-crs_2;14;1447
4189;gate-keeper;15;
4190;gate-keeper;16;
4191;vege_1;15;
4209;meat_0;16;
4221;final-crs_1;15;1908
4260;final-crs_5;16;370
4494;gate-keeper;17;
4499;frui_0;17;
4574;final-crs_0;17;1328
4810;gate-keeper;18;
4811;frui_0;18;
4842;final-crs_0;18;1217
5070;gate-keeper;19;
5071;gate-keeper;20;
5072;vege_0;19;
5086;final-crs_3;19;231
5102;meat_0;20;
5128;final-crs_4;20;1426
5378;gate-keeper;21;
5382;frui_0;21;
5478;final-crs_0;21;1455
5670;gate-keeper;22;
5672;vege_0;22;
5745;final-crs_0;22;914
5955;gate-keeper;23;
5960;frui_1;23;
5973;final-crs_2;23;1469
6108;gate-keeper;24;
6132;meat_0;24;
6141;final-crs_4;24;1605
6577;gate-keeper;25;
6578;frui_0;25;
6578;gate-keeper;26;
6587;final-crs_3;25;835
6634;meat_1;26;
6731;final-crs_0;26;321
6863;gate-keeper;27;
6864;frui_0;27;
6878;final-crs_1;27;914
7097;gate-keeper;28;
7098;vege_0;28;
7110;final-crs_4;28;1076
7353;gate-keeper;29;
7357;frui_1;29;
7365;final-crs_3;29;658
7690;gate-keeper;30;
7726;meat_1;30;
7727;final-crs_0;30;322
7979;gate-keeper;31;
7980;frui_1;31;
7985;final-crs_0;31;762
8199;gate-keeper;32;
8203;vege_0;32;
8207;final-crs_5;32;370
8528;gate-keeper;33;
8531;meat_0;33;
8535;final-crs_3;33;1123
8825;gate-keeper;34;
8827;vege_1;34;
8900;final-crs_0;34;1403
9083;gate-keeper;35;
9085;frui_1;35;
9101;gate-keeper;36;
9102;frui_1;36;
9162;final-crs_0;35;561
9190;final-crs_5;36;84
9676;gate-keeper;37;
9678;frui_0;37;
9683;final-crs_5;37;2059
9976;gate-keeper;38;
9977;gate-keeper;39;
9979;vege_0;39;
9979;frui_0;38;
9987;final-crs_3;39;209
9991;final-crs_4;38;543
10249;gate-keeper;40;
10250;frui_0;40;
10334;final-crs_0;40;458
10597;gate-keeper;41;
10600;frui_0;41;
10660;final-crs_2;41;211
10820;gate-keeper;42;
10822;frui_0;42;
10832;final-crs_1;42;383
11024;gate-keeper;43;
11025;frui_0;43;
11036;final-crs_0;43;400
11189;gate-keeper;44;
11190;frui_0;44;
11290;final-crs_4;44;841
11444;gate-keeper;45;
11446;vege_0;45;
11504;final-crs_1;45;639
11769;gate-keeper;46;
11770;vege_0;46;
11789;final-crs_4;46;252
12051;gate-keeper;47;
12052;vege_0;47;
12053;final-crs_2;47;925
12390;gate-keeper;48;
12424;meat_1;48;
12474;final-crs_0;48;102
12734;gate-keeper;49;
12739;vege_1;49;
12745;final-crs_4;49;279
13042;gate-keeper;50;
13043;gate-keeper;51;
13044;frui_0;51;
13049;final-crs_3;51;1829
13073;meat_0;50;
13098;final-crs_1;50;1299
13325;gate-keeper;52;
13329;vege_1;52;
13330;final-crs_1;52;448
13912;gate-keeper;53;
13913;vege_1;53;
13913;gate-keeper;54;
13916;vege_0;54;
13924;final-crs_0;53;239
13945;final-crs_5;54;793
14143;gate-keeper;55;
14146;meat_1;55;
14172;final-crs_4;55;204
14549;gate-keeper;56;
14551;frui_1;56;
14633;final-crs_4;56;1009
14762;gate-keeper;57;
14789;meat_0;57;
14855;final-crs_4;57;871
15076;gate-keeper;58;
15086;meat_1;58;
15138;final-crs_0;58;837
15161;gate-keeper;59;
15163;vege_0;59;
15186;final-crs_1;59;680
15444;gate-keeper;60;
15451;vege_0;60;
15516;final-crs_5;60;148
15712;gate-keeper;61;
15717;vege_0;61;
15763;final-crs_5;61;2405
15899;gate-keeper;62;
15904;frui_1;62;
15934;final-crs_0;62;146
16299;gate-keeper;63;
16338;meat_0;63;
16354;final-crs_3;63;850
16635;gate-keeper;64;
16647;meat_0;64;
16649;final-crs_1;64;113
16830;gate-keeper;65;
16831;frui_1;65;
16831;gate-keeper;66;
16832;vege_0;66;
16832;gate-keeper;67;
16868;final-crs_1;65;103
16883;meat_1;67;
16905;final-crs_0;66;359
16922;gate-keeper;68;
16923;gate-keeper;69;
16924;gate-keeper;70;
16925;frui_1;68;
16927;vege_0;70;
16928;frui_0;69;
16996;final-crs_5;67;993
17024;final-crs_3;68;151
17041;final-crs_4;70;1654
17087;final-crs_2;69;568
17274;gate-keeper;71;
17279;vege_1;71;
17281;final-crs_3;71;1506
17570;gate-keeper;72;
17571;gate-keeper;73;
17572;gate-keeper;74;
17575;vege_1;73;
17576;frui_1;72;
17576;meat_0;74;
17582;final-crs_2;73;658
17595;final-crs_1;72;912
17598;final-crs_0;74;1054
17838;gate-keeper;75;
17839;gate-keeper;76;
17840;gate-keeper;77;
17841;frui_0;76;
17842;frui_1;77;
17868;gate-keeper;78;
17871;vege_0;78;
17876;meat_0;75;
17920;final-crs_5;76;947
17976;final-crs_3;77;893
17986;final-crs_4;78;210
18018;final-crs_0;75;72
18136;gate-keeper;79;
18137;frui_0;79;
18138;final-crs_5;79;2648
18428;gate-keeper;80;
18431;frui_0;80;
18466;final-crs_1;80;93
18702;gate-keeper;81;
18724;meat_1;81;
18731;final-crs_4;81;1302
18939;gate-keeper;82;
18940;gate-keeper;83;
18941;gate-keeper;84;
18943;frui_0;82;
18944;vege_1;83;
18945;frui_1;84;
18981;final-crs_4;82;1227
19004;final-crs_2;83;964
19021;final-crs_0;84;254
19252;gate-keeper;85;
19253;gate-keeper;86;
19254;vege_1;85;
19254;gate-keeper;87;
19256;frui_0;86;
19259;final-crs_0;85;1897
19259;frui_1;87;
19320;final-crs_1;86;1177
19366;final-crs_3;87;1179
19564;gate-keeper;88;
19566;frui_0;88;
19611;final-crs_3;88;277
19881;gate-keeper;89;
19882;frui_1;89;
19917;final-crs_4;89;391
20185;gate-keeper;90;
20186;gate-keeper;91;
20187;vege_1;91;
20189;meat_1;90;
20205;final-crs_2;91;147
20258;final-crs_1;90;1079
20502;gate-keeper;92;
20509;frui_0;92;
