time;ckpt;id;money
291;gate-keeper;0;
292;vege_1;0;
455;final-crs_0;0;1338
552;gate-keeper;1;
554;vege_0;1;
694;final-crs_4;1;1350
896;gate-keeper;2;
897;gate-keeper;3;
898;vege_1;2;
904;meat_1;3;
945;final-crs_3;2;186
951;final-crs_0;3;1545
1200;gate-keeper;4;
1208;vege_0;4;
1243;final-crs_2;4;144
1524;gate-keeper;5;
1536;meat_0;5;
1549;final-crs_4;5;1646
1817;gate-keeper;6;
1818;gate-keeper;7;
1823;vege_0;6;
1863;meat_1;7;
1881;final-crs_0;6;65
1889;final-crs_3;7;1158
2107;gate-keeper;8;
2110;vege_0;8;
2125;final-crs_3;8;440
2424;gate-keeper;9;
2441;meat_0;9;
2532;final-crs_4;9;404
2642;gate-keeper;10;
2643;vege_1;10;
2656;final-crs_1;10;627
2710;gate-keeper;11;
2731;meat_1;11;
2790;final-crs_4;11;294
3052;gate-keeper;12;
3055;vege_0;12;
3081;final-crs_0;12;733
3351;gate-keeper;13;
3352;gate-keeper;14;
3358;vege_1;14;
3380;final-crs_3;14;96
3385;meat_0;13;
3388;final-crs_5;13;388
3520;gate-keeper;15;
3525;vege_0;15;
3551;final-crs_0;15;202
3757;gate-keeper;16;
3758;vege_1;16;
3802;final-crs_0;16;549
4292;gate-keeper;17;
4293;gate-keeper;18;
4295;vege_0;17;
4300;vege_1;18;
4320;final-crs_0;17;84
4333;final-crs_1;18;1114
4407;gate-keeper;19;
4431;meat_0;19;
4467;final-crs_4;19;2596
4596;gate-keeper;20;
4603;vege_0;20;
4610;final-crs_3;20;881
4870;gate-keeper;21;
4872;frui_0;21;
4873;final-crs_2;21;1352
5135;gate-keeper;22;
5137;vege_0;22;
5190;final-crs_4;22;577
5369;gate-keeper;23;
5371;vege_1;23;
5380;final-crs_2;23;493
5720;gate-keeper;24;
5721;gate-keeper;25;
5728;vege_1;24;
5733;meat_1;25;
5807;final-crs_3;24;585
5850;final-crs_5;25;373
6014;gate-keeper;26;
6030;meat_1;26;
6056;final-crs_3;26;835
6178;gate-keeper;27;
6201;meat_1;27;
6291;final-crs_3;27;338
6329;gate-keeper;28;
6334;vege_0;28;
6405;final-crs_2;28;893
6597;gate-keeper;29;
6602;vege_0;29;
6646;final-crs_4;29;797
6922;gate-keeper;30;
