time;ckpt;id;money
352;gate-keeper;0;
356;vege_1;0;
430;final-crs_5;0;676
676;gate-keeper;1;
677;vege_0;1;
677;gate-keeper;2;
684;final-crs_5;1;1012
723;meat_0;2;
782;final-crs_2;2;473
949;gate-keeper;3;
950;vege_1;3;
957;final-crs_5;3;122
1214;gate-keeper;4;
1220;vege_0;4;
1261;final-crs_2;4;1250
1551;gate-keeper;5;
1552;vege_0;5;
1614;final-crs_1;5;1545
1811;gate-keeper;6;
1815;vege_0;6;
1822;final-crs_1;6;226
1904;gate-keeper;7;
1910;vege_0;7;
1954;final-crs_3;7;1928
2132;gate-keeper;8;
2135;frui_0;8;
2183;final-crs_2;8;241
2442;gate-keeper;9;
2447;frui_0;9;
2523;final-crs_1;9;497
2693;gate-keeper;10;
2701;vege_0;10;
2734;final-crs_1;10;737
3013;gate-keeper;11;
3014;meat_1;11;
3014;gate-keeper;12;
3015;vege_0;12;
3026;final-crs_5;11;1490
3100;final-crs_2;12;610
3283;gate-keeper;13;
3287;frui_1;13;
3360;final-crs_3;13;1288
3584;gate-keeper;14;
3591;meat_0;14;
3605;final-crs_4;14;416
3736;gate-keeper;15;
3738;frui_0;15;
3828;final-crs_0;15;1502
4203;gate-keeper;16;
4204;gate-keeper;17;
4205;meat_0;17;
4209;frui_1;16;
4233;final-crs_5;17;903
4316;final-crs_0;16;2058
4507;gate-keeper;18;
4544;meat_0;18;
4557;final-crs_3;18;367
4807;gate-keeper;19;
4847;meat_0;19;
4880;final-crs_2;19;87
5039;gate-keeper;20;
5043;vege_1;20;
5057;final-crs_0;20;935
5339;gate-keeper;21;
5342;vege_1;21;
5368;final-crs_1;21;114
5594;gate-keeper;22;
5598;vege_0;22;
5600;final-crs_1;22;1046
5925;gate-keeper;23;
5926;gate-keeper;24;
5935;vege_0;23;
5935;vege_1;24;
5970;final-crs_5;23;239
5985;final-crs_0;24;786
6200;gate-keeper;25;
6206;vege_0;25;
6214;final-crs_5;25;1263
6461;gate-keeper;26;
6462;frui_0;26;
6486;final-crs_3;26;1813
6774;gate-keeper;27;
6778;vege_0;27;
6837;final-crs_4;27;301
7135;gate-keeper;28;
7136;gate-keeper;29;
7159;meat_0;28;
7159;meat_1;29;
7256;final-crs_3;28;1477
7295;final-crs_2;29;1351
7368;gate-keeper;30;
7372;vege_0;30;
7465;final-crs_3;30;77
7690;gate-keeper;31;
7694;vege_1;31;
7706;final-crs_3;31;1493
8040;gate-keeper;32;
8044;vege_0;32;
8080;final-crs_5;32;1452
8236;gate-keeper;33;
8271;meat_0;33;
8317;final-crs_5;33;581
8319;gate-keeper;34;
8322;frui_1;34;
8338;final-crs_0;34;1087
8594;gate-keeper;35;
8595;vege_0;35;
8600;final-crs_3;35;630
8891;gate-keeper;36;
8898;vege_0;36;
8926;final-crs_0;36;1580
9143;gate-keeper;37;
9146;vege_0;37;
9190;final-crs_0;37;1492
9450;gate-keeper;38;
9456;meat_0;38;
9470;final-crs_3;38;1337
9796;gate-keeper;39;
9802;vege_1;39;
9842;final-crs_4;39;1696
10003;gate-keeper;40;
10011;meat_0;40;
10024;final-crs_5;40;997
10126;gate-keeper;41;
10128;frui_0;41;
10131;final-crs_3;41;2196
10416;gate-keeper;42;
10417;vege_1;42;
10420;final-crs_1;42;1445
10706;gate-keeper;43;
10709;vege_0;43;
10751;final-crs_5;43;1075
10980;gate-keeper;44;
10989;vege_0;44;
11008;final-crs_5;44;1228
11200;gate-keeper;45;
11227;meat_0;45;
11259;final-crs_5;45;589
11298;gate-keeper;46;
11308;vege_0;46;
11326;final-crs_4;46;250
11576;gate-keeper;47;
11580;vege_0;47;
11597;final-crs_4;47;1086
11910;gate-keeper;48;
11916;vege_1;48;
11991;final-crs_5;48;395
12119;gate-keeper;49;
12121;vege_1;49;
12169;final-crs_2;49;514
12503;gate-keeper;50;
12504;gate-keeper;51;
12505;vege_1;50;
12526;final-crs_5;50;808
12546;meat_0;51;
12548;final-crs_3;51;295
12769;gate-keeper;52;
12789;meat_0;52;
12847;final-crs_4;52;1328
13074;gate-keeper;53;
13081;vege_0;53;
13082;final-crs_4;53;2802
13386;gate-keeper;54;
13390;vege_0;54;
13445;final-crs_1;54;355
13501;gate-keeper;55;
13516;meat_0;55;
13531;final-crs_4;55;928
13750;gate-keeper;56;
13752;vege_0;56;
13757;final-crs_0;56;1610
13951;gate-keeper;57;
13971;meat_0;57;
14015;final-crs_0;57;1382
14230;gate-keeper;58;
14231;vege_1;58;
14254;final-crs_5;58;1238
14601;gate-keeper;59;
14609;vege_0;59;
14628;final-crs_3;59;889
14697;gate-keeper;60;
14702;vege_0;60;
14708;final-crs_5;60;436
14968;gate-keeper;61;
14975;vege_1;61;
15001;final-crs_2;61;543
15303;gate-keeper;62;
15306;vege_0;62;
15365;final-crs_3;62;480
15649;gate-keeper;63;
