time;ckpt;id;money
311;gate-keeper;0;
312;gate-keeper;1;
313;gate-keeper;2;
314;gate-keeper;3;
315;frui_1;0;
316;vege_1;1;
319;vege_0;2;
326;vege_1;3;
386;final-crs_1;0;1018
443;final-crs_3;1;200
459;final-crs_7;2;413
463;final-crs_8;3;445
566;gate-keeper;4;
567;gate-keeper;5;
568;gate-keeper;6;
569;frui_1;6;
569;gate-keeper;7;
571;vege_1;4;
572;vege_0;5;
599;meat_1;7;
616;final-crs_1;6;1447
681;final-crs_7;4;672
701;final-crs_3;5;733
704;final-crs_4;7;307
858;gate-keeper;8;
859;gate-keeper;9;
860;frui_0;8;
860;gate-keeper;10;
861;gate-keeper;11;
862;vege_0;10;
862;gate-keeper;12;
864;frui_1;11;
871;vege_0;12;
874;final-crs_7;8;712
882;meat_1;9;
904;final-crs_1;10;453
926;final-crs_4;11;414
933;final-crs_3;12;546
937;final-crs_2;9;321
1495;gate-keeper;17;
1496;gate-keeper;18;
1497;frui_0;17;
1497;frui_1;18;
1497;gate-keeper;19;
1498;gate-keeper;20;
1501;vege_0;19;
1507;vege_1;20;
1555;final-crs_7;17;448
1634;final-crs_1;18;1006
1636;final-crs_6;19;91
1641;final-crs_2;20;617
1766;gate-keeper;24;
1790;meat_1;24;
1815;final-crs_7;24;118
2103;gate-keeper;26;
2104;frui_1;26;
2104;gate-keeper;27;
2105;vege_0;27;
2105;gate-keeper;28;
2106;gate-keeper;29;
2108;vege_1;28;
2109;final-crs_1;26;558
2115;vege_0;29;
2128;final-crs_0;27;1057
2136;final-crs_4;28;1160
2137;final-crs_2;29;598
2631;gate-keeper;36;
2637;meat_1;36;
2638;final-crs_0;36;775
2756;gate-keeper;38;
2757;vege_1;38;
2787;final-crs_2;38;168
3070;gate-keeper;42;
3071;meat_1;42;
3071;gate-keeper;43;
3076;frui_1;43;
3077;final-crs_2;42;155
3084;final-crs_4;43;1149
3231;gate-keeper;44;
3232;gate-keeper;45;
3234;vege_1;44;
3245;meat_1;45;
3274;final-crs_7;44;708
3292;final-crs_1;45;833
3536;gate-keeper;50;
3565;meat_1;50;
