time;ckpt;id;money
614;gate-keeper;6;
617;frui_0;6;
638;final-crs_1;6;807
946;gate-keeper;10;
948;vege_1;10;
950;final-crs_7;10;688
1737;gate-keeper;18;
1738;gate-keeper;19;
1740;vege_1;19;
1741;frui_1;18;
1749;final-crs_3;19;2915
1800;final-crs_4;18;1282
2144;gate-keeper;24;
2147;vege_1;24;
2167;final-crs_0;24;1512
2516;gate-keeper;28;
2524;vege_0;28;
2583;final-crs_1;28;2169
2585;gate-keeper;29;
2590;vege_0;29;
2603;final-crs_5;29;4792
3392;gate-keeper;38;
3395;vege_0;38;
3429;final-crs_6;38;1394
3587;gate-keeper;39;
3588;frui_1;39;
3588;gate-keeper;40;
3590;vege_0;40;
3596;final-crs_3;39;1869
3606;final-crs_2;40;960
3713;gate-keeper;42;
3721;vege_1;42;
3733;final-crs_7;42;1829
4601;gate-keeper;52;
4602;frui_0;52;
4610;final-crs_8;52;2361
4700;gate-keeper;53;
4702;frui_0;53;
4765;final-crs_2;53;1691
5193;gate-keeper;59;
5198;vege_0;59;
5252;final-crs_2;59;4191
5498;gate-keeper;62;
5504;vege_0;62;
5515;final-crs_4;62;1278
5694;gate-keeper;63;
5695;gate-keeper;64;
5699;vege_0;64;
5712;final-crs_2;64;3547
5731;meat_1;63;
5773;final-crs_0;63;2097
5785;gate-keeper;66;
5788;vege_1;66;
5829;final-crs_8;66;209
6401;gate-keeper;72;
6407;vege_0;72;
6430;final-crs_2;72;1018
6622;gate-keeper;73;
6623;meat_1;73;
6623;gate-keeper;74;
6624;gate-keeper;75;
6625;frui_1;75;
6628;vege_0;74;
6671;final-crs_2;73;1219
6690;final-crs_0;75;271
6719;final-crs_3;74;321
6733;gate-keeper;76;
6737;vege_0;76;
6787;final-crs_8;76;871
7050;gate-keeper;80;
7057;vege_1;80;
7071;final-crs_5;80;1486
7122;gate-keeper;81;
7125;frui_0;81;
7130;final-crs_2;81;1737
7330;gate-keeper;83;
7334;vege_0;83;
7340;final-crs_5;83;3042
7392;gate-keeper;84;
7400;vege_0;84;
7428;final-crs_3;84;905
7619;gate-keeper;86;
7620;gate-keeper;87;
7623;vege_0;86;
7625;final-crs_2;86;3633
7625;vege_1;87;
