time;ckpt;id;money
617;gate-keeper;4;
618;gate-keeper;5;
619;vege_0;4;
619;gate-keeper;6;
620;gate-keeper;7;
626;vege_1;5;
628;vege_0;7;
656;final-crs_4;4;1949
668;meat_1;6;
683;final-crs_8;5;590
685;final-crs_5;7;380
717;final-crs_2;6;3849
943;gate-keeper;9;
944;gate-keeper;10;
945;meat_0;9;
945;gate-keeper;11;
949;vege_0;10;
964;meat_1;11;
988;final-crs_6;9;1630
1017;final-crs_1;10;332
1019;final-crs_0;11;1368
1215;gate-keeper;13;
1216;gate-keeper;14;
1217;gate-keeper;15;
1218;vege_1;13;
1225;vege_0;14;
1227;vege_1;15;
1238;final-crs_7;13;1282
1256;final-crs_0;14;1039
1256;final-crs_1;15;1432
1531;gate-keeper;20;
1533;vege_0;20;
1548;final-crs_3;20;1907
1854;gate-keeper;22;
1855;gate-keeper;23;
1856;gate-keeper;24;
1859;vege_0;22;
1863;vege_1;23;
1865;final-crs_8;22;1636
1868;vege_0;24;
1942;final-crs_6;23;2043
1955;final-crs_2;24;1672
1977;gate-keeper;26;
1981;vege_1;26;
1992;final-crs_7;26;668
2158;gate-keeper;27;
2159;gate-keeper;28;
2160;frui_0;27;
2164;vege_1;28;
2173;final-crs_6;27;787
2184;final-crs_2;28;2262
2445;gate-keeper;32;
2446;vege_1;32;
2446;gate-keeper;33;
2453;vege_0;33;
2466;final-crs_7;32;2449
2495;final-crs_3;33;1623
2764;gate-keeper;34;
2765;gate-keeper;35;
2766;gate-keeper;36;
2767;gate-keeper;37;
2768;vege_1;35;
2768;frui_1;36;
2769;final-crs_4;35;544
2771;meat_1;34;
2797;meat_0;37;
2823;final-crs_5;36;1802
2830;final-crs_8;34;1491
2840;final-crs_0;37;1064
2856;gate-keeper;38;
2864;vege_0;38;
2872;final-crs_6;38;2497
3644;gate-keeper;46;
3645;gate-keeper;47;
3646;gate-keeper;48;
3647;vege_1;46;
3647;gate-keeper;49;
3650;vege_0;47;
3665;final-crs_2;46;1599
3672;meat_1;48;
3684;meat_0;49;
3684;gate-keeper;50;
3688;vege_0;50;
3709;final-crs_4;47;1251
3740;final-crs_7;48;1947
3759;final-crs_8;49;1363
3773;final-crs_0;50;919
3922;gate-keeper;53;
3927;frui_1;53;
3957;final-crs_7;53;579
4207;gate-keeper;54;
4208;gate-keeper;55;
4209;vege_0;54;
4209;frui_1;55;
4209;gate-keeper;56;
4210;gate-keeper;57;
4218;vege_0;57;
4219;final-crs_0;54;281
4222;final-crs_7;55;1320
4235;meat_0;56;
4244;final-crs_4;57;1392
4275;final-crs_8;56;2121
4502;gate-keeper;58;
4503;gate-keeper;59;
4504;gate-keeper;60;
4505;frui_1;59;
4505;gate-keeper;61;
4510;vege_1;58;
4511;vege_0;60;
4515;final-crs_8;59;2723
4516;final-crs_5;58;1482
4519;vege_1;61;
4585;final-crs_6;60;710
4597;final-crs_3;61;624
4646;gate-keeper;62;
4647;gate-keeper;63;
4680;meat_1;62;
4697;meat_0;63;
4738;final-crs_7;62;924
4758;final-crs_4;63;2578
5403;gate-keeper;71;
5404;gate-keeper;72;
5405;gate-keeper;73;
5407;vege_1;71;
5407;frui_1;73;
5412;vege_0;72;
5487;final-crs_8;71;73
5512;gate-keeper;75;
5516;vege_1;75;
5546;final-crs_4;73;2249
5557;final-crs_5;72;1341
5573;final-crs_2;75;1227
5712;gate-keeper;76;
5713;frui_1;76;
5713;gate-keeper;77;
5716;vege_0;77;
5765;final-crs_5;76;2531
5799;final-crs_4;77;2378
5924;gate-keeper;79;
5925;gate-keeper;80;
5926;vege_1;79;
5926;frui_0;80;
5970;final-crs_5;79;1355
6002;final-crs_4;80;2351
6169;gate-keeper;84;
6173;vege_0;84;
6217;final-crs_5;84;428
6426;gate-keeper;87;
6428;meat_1;87;
6431;final-crs_8;87;2029
6507;gate-keeper;88;
6514;vege_0;88;
