time;ckpt;id;money
311;gate-keeper;0;
312;gate-keeper;1;
313;gate-keeper;2;
314;gate-keeper;3;
315;gate-keeper;4;
319;vege_0;4;
339;meat_0;0;
364;meat_1;1;
399;meat_0;2;
406;final-crs_6;4;711
408;final-crs_7;0;983
423;meat_1;3;
449;final-crs_0;1;674
449;final-crs_8;2;173
451;final-crs_2;3;366
1015;gate-keeper;16;
1038;meat_0;16;
1066;final-crs_5;16;2562
1293;gate-keeper;20;
1305;meat_1;20;
1307;final-crs_5;20;1845
1630;gate-keeper;24;
1631;gate-keeper;25;
1632;gate-keeper;26;
1635;vege_0;25;
1672;meat_0;24;
1678;final-crs_2;25;201
1686;meat_1;26;
1716;final-crs_3;24;1529
1764;final-crs_8;26;713
1906;gate-keeper;30;
1907;gate-keeper;31;
1913;vege_1;31;
1933;final-crs_2;31;2799
1939;meat_1;30;
1963;final-crs_3;30;2221
1986;gate-keeper;32;
1988;vege_0;32;
2039;final-crs_7;32;1746
2200;gate-keeper;35;
2201;gate-keeper;36;
2202;vege_1;35;
2214;meat_0;36;
2238;final-crs_1;35;604
2280;final-crs_7;36;767
2882;gate-keeper;46;
2883;gate-keeper;47;
2886;vege_0;46;
2892;vege_1;47;
2912;final-crs_3;46;1045
2957;final-crs_2;47;891
3061;gate-keeper;50;
3062;meat_0;50;
3089;final-crs_4;50;1498
3371;gate-keeper;55;
3372;gate-keeper;56;
3375;frui_0;55;
3377;vege_1;56;
3407;final-crs_3;55;873
3416;final-crs_2;56;1058
3606;gate-keeper;60;
3610;frui_1;60;
3633;final-crs_3;60;441
3759;gate-keeper;61;
3760;gate-keeper;62;
3761;vege_1;61;
3761;gate-keeper;63;
3763;vege_0;63;
3782;meat_0;62;
3794;final-crs_1;61;365
3797;final-crs_4;63;219
3841;final-crs_3;62;1278
3973;gate-keeper;65;
3974;frui_1;65;
3974;gate-keeper;66;
3975;vege_0;66;
3976;final-crs_5;65;290
3982;final-crs_0;66;280
4334;gate-keeper;71;
4335;gate-keeper;72;
4336;vege_1;71;
4339;vege_0;72;
4346;final-crs_3;71;1652
4355;final-crs_4;72;1191
