time;ckpt;id;money
611;gate-keeper;7;
616;frui_0;7;
672;final-crs_4;7;1375
1186;gate-keeper;12;
1187;gate-keeper;13;
1188;gate-keeper;14;
1189;vege_1;12;
1190;final-crs_5;12;1264
1191;frui_0;13;
1193;vege_0;14;
1199;final-crs_4;13;686
1206;final-crs_7;14;750
1513;gate-keeper;19;
1517;frui_0;19;
1547;final-crs_1;19;691
1797;gate-keeper;23;
1800;vege_1;23;
1866;final-crs_3;23;1928
1998;gate-keeper;25;
2002;frui_1;25;
2017;final-crs_1;25;891
2670;gate-keeper;35;
2674;vege_1;35;
2690;final-crs_5;35;571
2846;gate-keeper;36;
2847;gate-keeper;37;
2849;frui_0;36;
2850;final-crs_3;36;215
2858;meat_0;37;
2876;final-crs_6;37;1088
2979;gate-keeper;39;
2982;frui_0;39;
3067;final-crs_2;39;989
3330;gate-keeper;44;
3352;meat_0;44;
3359;final-crs_0;44;463
3527;gate-keeper;47;
3529;frui_1;47;
3538;final-crs_0;47;1672
3707;gate-keeper;49;
3710;frui_0;49;
3744;final-crs_8;49;1238
3958;gate-keeper;51;
3959;vege_1;51;
3959;gate-keeper;52;
3987;final-crs_8;51;341
4008;meat_0;52;
4036;final-crs_2;52;69
4289;gate-keeper;55;
4290;frui_1;55;
4290;gate-keeper;56;
4291;gate-keeper;57;
4294;vege_0;56;
4295;vege_1;57;
4301;final-crs_0;55;770
4313;final-crs_5;56;1026
4316;final-crs_3;57;1314
4613;gate-keeper;61;
4623;meat_1;61;
4717;final-crs_6;61;252
4925;gate-keeper;64;
4926;gate-keeper;65;
4929;vege_0;64;
4934;meat_0;65;
4963;final-crs_7;64;924
4967;final-crs_2;65;1154
5261;gate-keeper;67;
5262;gate-keeper;68;
5263;gate-keeper;69;
5264;gate-keeper;70;
5265;vege_1;70;
5266;frui_0;69;
5280;final-crs_3;70;146
5309;meat_1;67;
5316;meat_0;68;
5430;final-crs_7;69;974
5456;final-crs_6;67;664
5458;gate-keeper;71;
5459;gate-keeper;72;
5460;final-crs_2;68;799
5460;frui_1;71;
5460;gate-keeper;73;
5462;frui_0;73;
5463;vege_0;72;
5473;final-crs_8;71;378
5487;final-crs_5;73;632
5496;final-crs_0;72;1102
5542;gate-keeper;74;
5546;vege_1;74;
5549;final-crs_3;74;445
5875;gate-keeper;76;
5876;gate-keeper;77;
5877;gate-keeper;78;
5878;vege_0;78;
5894;meat_0;76;
5908;final-crs_2;78;608
5928;meat_1;77;
5935;final-crs_4;76;486
5943;final-crs_7;77;1530
6213;gate-keeper;83;
6253;meat_0;83;
6255;final-crs_1;83;634
6380;gate-keeper;84;
6381;vege_0;84;
6381;gate-keeper;85;
6390;vege_0;85;
6407;final-crs_2;84;800
6408;final-crs_6;85;450
6540;gate-keeper;87;
6544;frui_1;87;
6634;gate-keeper;88;
6639;final-crs_7;87;911
6642;meat_1;88;
6649;final-crs_6;88;137
6826;gate-keeper;91;
6829;vege_0;91;
6864;final-crs_6;91;1337
7229;gate-keeper;96;
7234;vege_0;96;
7240;final-crs_1;96;868
7441;gate-keeper;99;
7448;vege_0;99;
7461;final-crs_1;99;832
8007;gate-keeper;104;
8008;gate-keeper;105;
8009;gate-keeper;106;
8010;gate-keeper;107;
8011;vege_0;104;
8011;vege_1;105;
8019;vege_0;106;
8020;vege_1;107;
8032;final-crs_6;104;490
8040;final-crs_2;105;623
8129;gate-keeper;108;
8136;frui_0;108;
8142;final-crs_0;106;1835
8149;final-crs_5;107;1119
8169;final-crs_7;108;468
8284;gate-keeper;109;
8285;gate-keeper;110;
8286;vege_1;109;
8289;vege_0;110;
8299;final-crs_2;109;1599
8327;final-crs_0;110;250
8597;gate-keeper;112;
8598;gate-keeper;113;
8599;meat_0;113;
8599;gate-keeper;114;
8600;frui_0;112;
8602;vege_0;114;
8643;final-crs_7;113;937
8670;final-crs_4;112;936
8678;final-crs_1;114;1568
8888;gate-keeper;117;
8889;gate-keeper;118;
8890;vege_0;117;
8890;gate-keeper;119;
8891;frui_0;118;
8894;vege_1;119;
8916;final-crs_4;117;64
8933;final-crs_1;118;814
8947;final-crs_3;119;877
8973;gate-keeper;120;
8978;vege_0;120;
9004;final-crs_6;120;1065
9173;gate-keeper;121;
9174;gate-keeper;122;
9181;vege_0;121;
9181;vege_1;122;
9183;final-crs_3;121;1641
9223;final-crs_8;122;1209
9516;gate-keeper;124;
9517;gate-keeper;125;
9518;gate-keeper;126;
9519;gate-keeper;127;
9522;vege_0;124;
9523;vege_1;126;
9534;meat_0;125;
9541;meat_1;127;
9555;final-crs_0;124;1076
9595;final-crs_7;126;238
9603;final-crs_4;125;1190
9660;final-crs_2;127;260
9819;gate-keeper;129;
9820;gate-keeper;130;
9821;gate-keeper;131;
9823;vege_0;129;
9823;meat_1;131;
9826;vege_1;130;
9836;final-crs_7;129;772
9843;final-crs_4;131;333
9880;final-crs_3;130;1502
10120;gate-keeper;133;
10121;gate-keeper;134;
10122;frui_1;133;
10122;gate-keeper;135;
10124;final-crs_1;133;1796
10127;meat_1;134;
10130;final-crs_2;134;357
10168;meat_0;135;
10212;final-crs_5;135;723
10419;gate-keeper;137;
10420;gate-keeper;138;
10421;vege_1;138;
10421;gate-keeper;139;
10424;frui_0;137;
10426;frui_1;139;
10505;final-crs_7;138;1145
10533;final-crs_6;137;1224
10575;final-crs_0;139;709
10843;gate-keeper;145;
10849;vege_0;145;
10852;final-crs_2;145;285
10994;gate-keeper;146;
10995;gate-keeper;147;
11003;vege_0;146;
11003;vege_1;147;
11007;final-crs_4;146;166
11078;final-crs_3;147;375
11277;gate-keeper;149;
11278;frui_1;149;
11278;gate-keeper;150;
11279;vege_1;150;
11279;gate-keeper;151;
11286;vege_0;151;
11298;final-crs_3;149;699
11333;final-crs_2;150;1417
11356;final-crs_0;151;1110
11513;gate-keeper;153;
11514;gate-keeper;154;
11516;vege_1;154;
11550;meat_0;153;
11556;final-crs_0;154;986
11562;final-crs_1;153;1097
11799;gate-keeper;158;
11800;frui_1;158;
11844;final-crs_2;158;1457
12089;gate-keeper;161;
12092;vege_1;161;
12115;final-crs_5;161;661
12447;gate-keeper;166;
12454;frui_0;166;
12460;final-crs_8;166;813
12536;gate-keeper;167;
12541;frui_1;167;
12556;final-crs_5;167;1142
12742;gate-keeper;169;
12743;gate-keeper;170;
12748;frui_0;169;
12748;frui_1;170;
12787;final-crs_5;169;261
12812;final-crs_1;170;1448
13052;gate-keeper;173;
13053;gate-keeper;174;
13054;vege_0;173;
13063;final-crs_4;173;474
13104;meat_0;174;
13154;final-crs_3;174;163
13509;gate-keeper;178;
13510;gate-keeper;179;
13511;vege_0;179;
13511;gate-keeper;180;
13512;final-crs_1;179;796
13516;frui_0;178;
13517;frui_1;180;
13567;final-crs_6;178;316
13586;final-crs_3;180;1032
13898;gate-keeper;182;
13899;gate-keeper;183;
13900;gate-keeper;184;
13901;gate-keeper;185;
13904;frui_0;184;
13904;frui_1;185;
13905;meat_1;182;
13931;final-crs_0;184;91
13956;meat_0;183;
13976;final-crs_5;185;195
14009;final-crs_1;182;664
14021;final-crs_8;183;730
14260;gate-keeper;190;
14261;frui_1;190;
14269;final-crs_8;190;671
14433;gate-keeper;191;
14434;gate-keeper;192;
14437;vege_0;192;
14443;final-crs_5;192;869
14488;meat_0;191;
14492;final-crs_8;191;1000
14683;gate-keeper;193;
14684;gate-keeper;194;
14685;gate-keeper;195;
14686;vege_0;194;
14686;frui_1;193;
14686;gate-keeper;196;
14687;gate-keeper;197;
14688;frui_0;195;
14688;gate-keeper;198;
14689;gate-keeper;199;
14690;gate-keeper;200;
14691;gate-keeper;201;
14692;vege_1;198;
14692;gate-keeper;202;
14693;frui_1;196;
14693;gate-keeper;203;
14694;frui_0;201;
14694;gate-keeper;204;
14695;vege_0;200;
14699;frui_0;203;
14699;frui_1;204;
14701;vege_1;202;
14712;final-crs_8;194;652
