time;ckpt;id;money
323;gate-keeper;2;
326;vege_0;2;
425;final-crs_1;2;875
622;gate-keeper;5;
625;vege_0;5;
637;final-crs_1;5;784
752;gate-keeper;6;
753;frui_1;6;
753;gate-keeper;7;
755;vege_0;7;
794;final-crs_7;6;755
882;final-crs_1;7;655
900;gate-keeper;8;
903;frui_0;8;
932;final-crs_0;8;798
1144;gate-keeper;9;
1145;gate-keeper;10;
1146;vege_0;9;
1146;gate-keeper;11;
1150;frui_1;11;
1151;vege_1;10;
1189;final-crs_0;9;874
1195;final-crs_3;11;1342
1215;final-crs_2;10;477
1428;gate-keeper;12;
1429;vege_0;12;
1429;gate-keeper;13;
1430;gate-keeper;14;
1431;vege_1;13;
1439;vege_0;14;
1461;final-crs_2;12;1130
1462;final-crs_0;13;246
1471;final-crs_5;14;606
1692;gate-keeper;15;
1693;gate-keeper;16;
1694;gate-keeper;17;
1695;vege_1;15;
1698;vege_0;16;
1699;final-crs_5;15;1186
1702;vege_1;17;
1714;final-crs_1;16;287
1719;final-crs_3;17;961
2028;gate-keeper;21;
2036;vege_1;21;
2055;final-crs_6;21;402
2518;gate-keeper;25;
2519;gate-keeper;26;
2520;frui_1;25;
2520;gate-keeper;27;
2522;vege_1;26;
2526;vege_0;27;
2528;final-crs_4;25;786
2534;final-crs_6;26;392
2622;gate-keeper;28;
2624;final-crs_3;27;1050
2628;vege_1;28;
2656;final-crs_1;28;856
2896;gate-keeper;31;
2905;vege_0;31;
2926;final-crs_1;31;1201
3183;gate-keeper;34;
3208;meat_1;34;
3231;final-crs_0;34;1870
3378;gate-keeper;35;
3379;gate-keeper;36;
3381;frui_1;36;
3382;vege_0;35;
3403;final-crs_8;36;164
3431;final-crs_1;35;995
4189;gate-keeper;44;
4191;vege_1;44;
4237;final-crs_4;44;469
4336;gate-keeper;45;
4337;gate-keeper;46;
4341;vege_0;45;
4344;final-crs_3;45;1428
4344;vege_1;46;
4360;final-crs_0;46;888
4494;gate-keeper;47;
4496;vege_0;47;
4503;final-crs_6;47;1454
4802;gate-keeper;50;
4845;meat_1;50;
4847;final-crs_8;50;355
5124;gate-keeper;53;
5125;gate-keeper;54;
5128;frui_0;53;
5130;vege_0;54;
5136;final-crs_2;53;507
5136;final-crs_7;54;192
5241;gate-keeper;55;
5244;vege_0;55;
5257;final-crs_0;55;1134
5440;gate-keeper;57;
5441;frui_0;57;
5471;final-crs_0;57;939
5707;gate-keeper;60;
5711;meat_0;60;
5723;final-crs_0;60;163
6046;gate-keeper;64;
6047;frui_1;64;
6063;final-crs_4;64;615
6662;gate-keeper;70;
6663;gate-keeper;71;
6666;frui_1;70;
6694;meat_1;71;
6701;final-crs_8;70;590
6740;final-crs_5;71;283
6968;gate-keeper;74;
6970;vege_1;74;
7004;final-crs_5;74;777
7062;gate-keeper;75;
7063;frui_0;75;
7082;final-crs_0;75;381
7281;gate-keeper;76;
7282;gate-keeper;77;
7284;vege_0;76;
7289;vege_1;77;
7314;final-crs_0;76;1109
7322;final-crs_6;77;707
7532;gate-keeper;80;
7536;vege_1;80;
7563;final-crs_0;80;1100
7795;gate-keeper;83;
7798;frui_1;83;
7800;final-crs_8;83;753
8062;gate-keeper;84;
8063;gate-keeper;85;
8064;gate-keeper;86;
8066;frui_1;85;
8071;vege_1;86;
8078;meat_0;84;
8114;final-crs_7;85;815
8162;final-crs_4;86;250
8170;final-crs_2;84;350
8332;gate-keeper;89;
8333;vege_1;89;
8395;final-crs_4;89;1368
9044;gate-keeper;96;
9045;frui_0;96;
9074;final-crs_2;96;196
9245;gate-keeper;99;
9246;frui_0;99;
9272;final-crs_0;99;130
9550;gate-keeper;102;
9553;frui_0;102;
9611;final-crs_6;102;846
9848;gate-keeper;103;
9849;gate-keeper;104;
9850;vege_1;103;
9850;gate-keeper;105;
9851;frui_0;104;
9858;vege_0;105;
9859;final-crs_7;103;275
9862;final-crs_4;104;496
9871;final-crs_6;105;1533
10170;gate-keeper;109;
10173;vege_1;109;
