time;ckpt;id;money
327;gate-keeper;0;
361;meat_0;0;
449;final-crs_1;0;753
596;gate-keeper;1;
597;frui_0;1;
687;final-crs_1;1;1232
827;gate-keeper;2;
830;frui_1;2;
917;final-crs_6;2;617
1179;gate-keeper;3;
1181;frui_0;3;
1188;final-crs_1;3;1056
1502;gate-keeper;4;
1503;gate-keeper;5;
1505;vege_1;4;
1509;vege_0;5;
1511;final-crs_4;4;973
1564;final-crs_3;5;731
1737;gate-keeper;6;
1740;vege_0;6;
1830;final-crs_3;6;68
2077;gate-keeper;7;
2080;vege_0;7;
2092;final-crs_0;7;186
2351;gate-keeper;8;
2352;frui_1;8;
2352;gate-keeper;9;
2371;final-crs_6;8;653
2373;meat_1;9;
2383;final-crs_3;9;373
2652;gate-keeper;10;
2685;meat_1;10;
2735;final-crs_0;10;1245
2956;gate-keeper;11;
2958;vege_1;11;
2976;final-crs_0;11;294
3296;gate-keeper;12;
3297;frui_1;12;
3297;gate-keeper;13;
3300;frui_0;13;
3313;final-crs_5;12;1358
3334;final-crs_2;13;705
3547;gate-keeper;14;
3582;meat_1;14;
3605;final-crs_2;14;153
3815;gate-keeper;15;
3816;meat_1;15;
3830;final-crs_2;15;852
4098;gate-keeper;16;
4101;vege_0;16;
4137;final-crs_1;16;638
4438;gate-keeper;17;
4439;gate-keeper;18;
4441;frui_1;17;
4446;vege_1;18;
4504;final-crs_5;17;284
4506;final-crs_6;18;1484
4789;gate-keeper;19;
4793;vege_0;19;
4882;final-crs_0;19;153
5098;gate-keeper;20;
5105;meat_0;20;
5116;final-crs_0;20;1767
5385;gate-keeper;21;
5386;vege_0;21;
5386;gate-keeper;22;
5387;final-crs_0;21;708
5397;meat_0;22;
5439;final-crs_1;22;457
5713;gate-keeper;23;
5715;frui_0;23;
5723;final-crs_5;23;510
6035;gate-keeper;24;
6038;frui_0;24;
6061;final-crs_4;24;292
6351;gate-keeper;25;
6352;gate-keeper;26;
6355;frui_0;26;
6358;vege_0;25;
6365;final-crs_1;26;1109
6371;final-crs_0;25;1329
6619;gate-keeper;27;
6622;vege_0;27;
6642;final-crs_3;27;1599
6918;gate-keeper;28;
6920;vege_0;28;
6962;final-crs_2;28;1102
7243;gate-keeper;29;
7244;gate-keeper;30;
7245;vege_0;29;
7250;meat_1;30;
7272;final-crs_3;29;671
7297;final-crs_4;30;69
7565;gate-keeper;31;
7584;meat_0;31;
7609;final-crs_5;31;891
7853;gate-keeper;32;
7858;vege_1;32;
7883;final-crs_1;32;763
7907;gate-keeper;33;
7926;meat_1;33;
7974;final-crs_2;33;542
8165;gate-keeper;34;
8169;frui_0;34;
8196;final-crs_3;34;137
8447;gate-keeper;35;
8448;vege_1;35;
8467;final-crs_3;35;1456
8725;gate-keeper;36;
8727;frui_1;36;
8728;final-crs_2;36;664
9012;gate-keeper;37;
9040;meat_1;37;
9044;final-crs_6;37;1179
9294;gate-keeper;38;
9297;frui_1;38;
9378;final-crs_1;38;454
9714;gate-keeper;39;
9715;frui_0;39;
9715;gate-keeper;40;
9718;frui_1;40;
9719;final-crs_4;39;966
9733;final-crs_6;40;190
9992;gate-keeper;41;
9997;vege_0;41;
10087;final-crs_2;41;745
10269;gate-keeper;42;
10273;vege_1;42;
10344;final-crs_1;42;1762
10584;gate-keeper;43;
10586;vege_0;43;
10593;final-crs_2;43;1419
10878;gate-keeper;44;
10879;gate-keeper;45;
10880;vege_1;44;
10883;vege_0;45;
10910;final-crs_6;44;502
