time;ckpt;id;money
296;gate-keeper;0;
329;meat_0;0;
430;final-crs_0;0;1358
617;gate-keeper;1;
618;frui_0;1;
649;final-crs_0;1;1354
916;gate-keeper;2;
920;frui_1;2;
965;final-crs_1;2;158
1105;gate-keeper;3;
1106;vege_0;3;
1136;final-crs_2;3;1022
1469;gate-keeper;4;
1477;vege_0;4;
1570;final-crs_5;4;585
1770;gate-keeper;5;
1771;gate-keeper;6;
1775;vege_0;6;
1800;meat_1;5;
1802;final-crs_5;6;211
1862;final-crs_1;5;235
2117;gate-keeper;7;
2118;vege_1;7;
2125;final-crs_2;7;110
2444;gate-keeper;8;
2465;meat_1;8;
2524;final-crs_6;8;1311
2731;gate-keeper;9;
2734;vege_1;9;
2763;final-crs_6;9;729
3037;gate-keeper;10;
3039;vege_0;10;
3070;final-crs_2;10;791
3149;gate-keeper;11;
3151;frui_1;11;
3175;final-crs_3;11;312
3575;gate-keeper;12;
3576;frui_0;12;
3577;final-crs_0;12;505
3709;gate-keeper;13;
3711;frui_0;13;
3753;final-crs_6;13;93
3924;gate-keeper;14;
3928;vege_0;14;
3961;final-crs_4;14;1015
4207;gate-keeper;15;
4211;vege_0;15;
4213;final-crs_4;15;145
4489;gate-keeper;16;
4490;vege_1;16;
4505;final-crs_2;16;151
4690;gate-keeper;17;
4751;meat_0;17;
4772;final-crs_0;17;587
5097;gate-keeper;18;
5109;meat_1;18;
5120;final-crs_5;18;301
5354;gate-keeper;19;
5357;vege_1;19;
5389;final-crs_3;19;880
5586;gate-keeper;20;
5587;frui_0;20;
5627;final-crs_2;20;291
5963;gate-keeper;21;
5966;vege_1;21;
6013;final-crs_1;21;479
6242;gate-keeper;22;
6263;meat_1;22;
6283;final-crs_2;22;340
6483;gate-keeper;23;
6497;meat_0;23;
6523;final-crs_2;23;1482
6783;gate-keeper;24;
6785;vege_0;24;
6790;final-crs_2;24;933
7090;gate-keeper;25;
7091;vege_1;25;
7173;final-crs_3;25;648
7358;gate-keeper;26;
7364;meat_0;26;
7376;final-crs_3;26;138
7624;gate-keeper;27;
7629;meat_1;27;
7631;final-crs_0;27;568
7912;gate-keeper;28;
7917;meat_0;28;
7930;final-crs_4;28;355
8125;gate-keeper;29;
8126;frui_0;29;
8202;final-crs_2;29;1067
8595;gate-keeper;30;
8596;gate-keeper;31;
8600;vege_0;30;
8614;final-crs_0;30;297
8653;meat_0;31;
8676;final-crs_2;31;2000
8879;gate-keeper;32;
8880;frui_1;32;
8910;final-crs_2;32;617
9247;gate-keeper;33;
9250;frui_1;33;
9296;final-crs_0;33;969
9538;gate-keeper;34;
9540;frui_1;34;
9548;final-crs_0;34;494
9827;gate-keeper;35;
9832;frui_0;35;
9879;final-crs_4;35;235
10157;gate-keeper;36;
10161;frui_1;36;
10201;final-crs_2;36;914
10427;gate-keeper;37;
10429;frui_0;37;
10435;final-crs_5;37;637
10518;gate-keeper;38;
10520;vege_1;38;
10537;final-crs_0;38;1226
10784;gate-keeper;39;
10813;meat_1;39;
10890;final-crs_4;39;401
11374;gate-keeper;40;
11375;gate-keeper;41;
11380;frui_1;41;
11388;meat_1;40;
11395;final-crs_4;41;715
11402;final-crs_2;40;997
11636;gate-keeper;42;
11645;vege_0;42;
11667;final-crs_0;42;2693
11902;gate-keeper;43;
11918;meat_1;43;
11985;final-crs_0;43;415
12163;gate-keeper;44;
12171;vege_1;44;
12199;final-crs_0;44;1183
12477;gate-keeper;45;
12479;frui_0;45;
12504;final-crs_6;45;379
12736;gate-keeper;46;
12738;vege_0;46;
12751;final-crs_6;46;729
13030;gate-keeper;47;
13037;vege_0;47;
13045;final-crs_3;47;172
13314;gate-keeper;48;
13315;meat_0;48;
13362;final-crs_2;48;589
13574;gate-keeper;49;
13575;vege_1;49;
13606;final-crs_4;49;127
13849;gate-keeper;50;
13852;frui_1;50;
13868;final-crs_2;50;355
14207;gate-keeper;51;
14209;vege_0;51;
14216;final-crs_6;51;115
14322;gate-keeper;52;
14327;meat_0;52;
14348;final-crs_2;52;1250
14738;gate-keeper;53;
14741;vege_0;53;
14747;final-crs_3;53;1086
15056;gate-keeper;54;
15057;frui_1;54;
15126;final-crs_2;54;856
15330;gate-keeper;55;
15331;gate-keeper;56;
15332;frui_1;55;
15335;vege_0;56;
15377;final-crs_3;55;311
15384;final-crs_2;56;439
15671;gate-keeper;57;
15676;meat_0;57;
15679;final-crs_1;57;614
15937;gate-keeper;58;
15941;frui_0;58;
16000;final-crs_5;58;1018
16191;gate-keeper;59;
16195;frui_1;59;
16253;final-crs_5;59;92
16468;gate-keeper;60;
16488;meat_1;60;
16502;final-crs_5;60;139
16788;gate-keeper;61;
16789;frui_0;61;
16804;final-crs_3;61;969
17114;gate-keeper;62;
17115;gate-keeper;63;
17116;frui_1;63;
17119;vege_0;62;
17158;final-crs_2;63;517
17214;final-crs_0;62;935
17416;gate-keeper;64;
17419;frui_1;64;
17434;final-crs_0;64;1505
17729;gate-keeper;65;
17730;frui_0;65;
17759;final-crs_3;65;349
18016;gate-keeper;66;
18021;meat_1;66;
18026;final-crs_3;66;699
18343;gate-keeper;67;
18364;meat_0;67;
18371;final-crs_2;67;146
18676;gate-keeper;68;
18677;gate-keeper;69;
18678;gate-keeper;70;
18684;vege_0;68;
18686;vege_1;69;
18691;final-crs_5;68;1622
18706;final-crs_3;69;780
18726;meat_0;70;
18828;final-crs_4;70;173
18949;gate-keeper;71;
18950;vege_0;71;
18950;gate-keeper;72;
18951;gate-keeper;73;
18954;frui_0;72;
18955;frui_1;73;
18977;gate-keeper;74;
18978;gate-keeper;75;
18979;gate-keeper;76;
18981;frui_1;74;
18982;vege_1;75;
18985;vege_0;76;
19029;final-crs_4;71;1085
19117;final-crs_2;72;682
19118;final-crs_0;73;659
19142;final-crs_5;74;1055
19146;final-crs_1;75;143
19188;final-crs_6;76;456
19260;gate-keeper;77;
19261;gate-keeper;78;
19262;gate-keeper;79;
19265;vege_0;79;
19265;frui_0;77;
19266;frui_1;78;
19272;final-crs_4;79;334
19289;final-crs_0;77;293
19353;final-crs_5;78;1843
19516;gate-keeper;80;
19518;frui_1;80;
19526;final-crs_4;80;970
19772;gate-keeper;81;
19774;frui_0;81;
19848;final-crs_1;81;225
20148;gate-keeper;82;
20155;frui_0;82;
20222;final-crs_0;82;1022
20403;gate-keeper;83;
20404;frui_0;83;
20444;final-crs_0;83;1786
20676;gate-keeper;84;
20681;vege_0;84;
20684;final-crs_0;84;786
20973;gate-keeper;85;
21009;meat_1;85;
21039;final-crs_1;85;488
21250;gate-keeper;86;
21251;gate-keeper;87;
21253;vege_1;86;
21254;frui_0;87;
21268;final-crs_1;86;1400
21296;final-crs_3;87;615
21520;gate-keeper;88;
21521;gate-keeper;89;
21522;gate-keeper;90;
21523;gate-keeper;91;
21524;frui_1;88;
21525;frui_0;89;
21530;frui_1;90;
21531;frui_0;91;
21546;final-crs_3;88;1003
21561;gate-keeper;92;
21562;frui_0;92;
21586;final-crs_6;89;1408
21633;final-crs_5;90;1068
21652;final-crs_0;91;1853
21662;final-crs_2;92;1108
21833;gate-keeper;93;
21834;frui_1;93;
21895;final-crs_0;93;1173
22117;gate-keeper;94;
22118;gate-keeper;95;
22119;gate-keeper;96;
22120;vege_1;94;
22120;frui_1;95;
22124;vege_0;96;
22167;final-crs_5;94;159
22173;final-crs_0;95;931
22175;final-crs_2;96;406
22427;gate-keeper;97;
22428;gate-keeper;98;
22429;gate-keeper;99;
22430;vege_0;97;
22432;frui_1;99;
22433;vege_1;98;
22448;final-crs_3;97;437
22454;final-crs_1;99;656
22467;gate-keeper;100;
22468;gate-keeper;101;
22469;gate-keeper;102;
22470;frui_0;100;
22471;vege_1;101;
22500;final-crs_6;98;65
22513;meat_1;102;
22649;final-crs_0;100;1117
22657;final-crs_5;101;1078
22664;final-crs_4;102;523
22766;gate-keeper;103;
22767;gate-keeper;104;
22768;gate-keeper;105;
22771;vege_0;103;
22775;vege_1;104;
22780;vege_0;105;
22841;final-crs_5;103;506
22883;final-crs_0;104;743
22908;final-crs_2;105;826
23042;gate-keeper;106;
23043;gate-keeper;107;
23044;gate-keeper;108;
23049;frui_0;107;
23049;frui_1;108;
23051;final-crs_5;107;639
23051;vege_1;106;
23134;final-crs_2;108;75
23139;final-crs_0;106;254
23322;gate-keeper;109;
23323;gate-keeper;110;
23324;gate-keeper;111;
23335;meat_1;109;
23350;meat_0;110;
23373;final-crs_3;109;589
23374;final-crs_0;110;265
23396;meat_1;111;
23402;final-crs_4;111;1136
23465;gate-keeper;112;
23466;gate-keeper;113;
23467;gate-keeper;114;
23472;vege_1;112;
23473;vege_0;113;
23481;vege_1;114;
23484;final-crs_6;112;685
23503;final-crs_5;113;702
23579;final-crs_2;114;1417
23610;gate-keeper;115;
23611;frui_1;115;
23611;gate-keeper;116;
23612;gate-keeper;117;
23620;final-crs_0;115;900
23620;vege_0;116;
23620;vege_1;117;
23634;final-crs_3;116;926
23668;final-crs_4;117;1016
23915;gate-keeper;118;
23916;vege_1;118;
23916;gate-keeper;119;
23917;gate-keeper;120;
23921;frui_0;119;
23927;vege_0;120;
23959;final-crs_5;118;273
23999;final-crs_6;119;953
24121;final-crs_0;120;200
24242;gate-keeper;121;
24243;gate-keeper;122;
24244;frui_1;121;
24244;gate-keeper;123;
24247;frui_0;123;
24252;meat_1;122;
24254;final-crs_6;121;681
24320;final-crs_2;123;527
24349;final-crs_1;122;172
24420;gate-keeper;124;
24421;gate-keeper;125;
24422;gate-keeper;126;
24426;vege_1;124;
24426;frui_1;125;
24427;frui_0;126;
24441;final-crs_5;124;404
24442;final-crs_4;125;1210
24502;final-crs_6;126;1689
24608;gate-keeper;127;
24609;vege_1;127;
24609;gate-keeper;128;
24610;vege_0;128;
24610;gate-keeper;129;
24618;vege_1;129;
24680;final-crs_4;127;177
24683;final-crs_5;128;416
24758;final-crs_6;129;330
24919;gate-keeper;130;
24920;gate-keeper;131;
24921;frui_0;130;
24921;gate-keeper;132;
24925;vege_0;132;
24925;frui_1;131;
24996;gate-keeper;133;
24997;vege_1;133;
25022;final-crs_0;130;667
25024;final-crs_2;132;1047
25031;final-crs_6;131;649
25049;final-crs_1;133;91
25492;gate-keeper;134;
25493;frui_1;134;
25556;final-crs_6;134;357
25563;gate-keeper;135;
25569;vege_1;135;
25579;final-crs_3;135;145
25886;gate-keeper;136;
25892;vege_1;136;
25893;final-crs_0;136;1261
26207;gate-keeper;137;
26212;vege_1;137;
26265;final-crs_6;137;677
26420;gate-keeper;138;
26425;frui_0;138;
26507;final-crs_6;138;419
26835;gate-keeper;139;
26836;frui_0;139;
26836;gate-keeper;140;
26837;vege_0;140;
26889;final-crs_1;139;867
26977;final-crs_5;140;813
27144;gate-keeper;141;
27146;vege_0;141;
27193;final-crs_5;141;651
27393;gate-keeper;142;
27398;vege_0;142;
27410;final-crs_1;142;434
27731;gate-keeper;143;
27733;meat_0;143;
27753;final-crs_0;143;1405
28005;gate-keeper;144;
28010;vege_1;144;
28015;final-crs_0;144;1334
28151;gate-keeper;145;
28152;vege_1;145;
28175;final-crs_5;145;686
28583;gate-keeper;146;
28585;frui_0;146;
28620;final-crs_1;146;602
28899;gate-keeper;147;
28903;vege_1;147;
28921;final-crs_0;147;513
29055;gate-keeper;148;
29068;meat_0;148;
29077;final-crs_1;148;1443
29230;gate-keeper;149;
29239;meat_0;149;
29331;final-crs_1;149;344
29524;gate-keeper;150;
29533;vege_0;150;
29555;final-crs_1;150;887
29821;gate-keeper;151;
29827;vege_1;151;
29829;final-crs_6;151;729
30144;gate-keeper;152;
30183;meat_1;152;
30259;final-crs_6;152;271
30461;gate-keeper;153;
30487;meat_1;153;
30506;final-crs_6;153;987
30774;gate-keeper;154;
30776;frui_0;154;
30809;gate-keeper;155;
30812;frui_0;155;
30838;final-crs_1;154;86
30847;final-crs_0;155;786
31366;gate-keeper;156;
31367;gate-keeper;157;
31368;frui_0;156;
31374;vege_0;157;
31377;final-crs_2;156;712
31438;final-crs_6;157;452
31689;gate-keeper;158;
31693;vege_1;158;
31711;final-crs_6;158;292
31977;gate-keeper;159;
31984;vege_0;159;
32042;final-crs_2;159;84
32313;gate-keeper;160;
32323;vege_0;160;
32389;final-crs_4;160;1392
32594;gate-keeper;161;
32596;vege_1;161;
32664;final-crs_6;161;833
32774;gate-keeper;162;
32793;meat_0;162;
32871;final-crs_6;162;1092
33244;gate-keeper;163;
33245;gate-keeper;164;
33246;frui_0;163;
33249;vege_0;164;
33306;final-crs_5;163;1500
33315;final-crs_6;164;126
33485;gate-keeper;165;
33490;frui_0;165;
33535;final-crs_5;165;871
33767;gate-keeper;166;
33768;frui_1;166;
