time;ckpt;id;money
288;gate-keeper;0;
293;frui_0;0;
302;final-crs_6;0;309
610;gate-keeper;1;
617;vege_0;1;
679;final-crs_4;1;1256
896;gate-keeper;2;
902;frui_1;2;
918;final-crs_4;2;870
1256;gate-keeper;3;
1257;gate-keeper;4;
1258;vege_0;4;
1258;frui_0;3;
1281;final-crs_6;4;335
1393;final-crs_2;3;1410
1531;gate-keeper;5;
1559;meat_1;5;
1610;final-crs_2;5;415
1813;gate-keeper;6;
1831;meat_0;6;
1850;final-crs_2;6;314
2131;gate-keeper;7;
2134;meat_0;7;
2139;final-crs_5;7;996
2412;gate-keeper;8;
2414;frui_0;8;
2456;final-crs_3;8;504
2684;gate-keeper;9;
2688;vege_1;9;
2738;final-crs_6;9;1674
3006;gate-keeper;10;
3007;frui_0;10;
3007;gate-keeper;11;
3008;frui_1;11;
3013;final-crs_3;10;576
3016;final-crs_1;11;305
3321;gate-keeper;12;
3322;vege_0;12;
3363;final-crs_0;12;357
3617;gate-keeper;13;
3620;frui_0;13;
3639;final-crs_2;13;991
3953;gate-keeper;14;
3956;vege_0;14;
3967;final-crs_3;14;243
4280;gate-keeper;15;
4281;gate-keeper;16;
4283;vege_1;15;
4307;meat_0;16;
4316;final-crs_2;15;983
4321;final-crs_6;16;769
4580;gate-keeper;17;
4581;vege_1;17;
4598;final-crs_5;17;230
4899;gate-keeper;18;
4902;vege_0;18;
4947;final-crs_2;18;836
5212;gate-keeper;19;
5215;meat_0;19;
5245;final-crs_3;19;557
5493;gate-keeper;20;
5494;frui_1;20;
5494;gate-keeper;21;
5512;final-crs_6;20;636
5538;meat_1;21;
5544;final-crs_5;21;225
6076;gate-keeper;22;
6077;vege_0;22;
6077;gate-keeper;23;
6085;vege_1;23;
6105;final-crs_4;22;676
6120;final-crs_2;23;1297
6379;gate-keeper;24;
6417;meat_0;24;
6469;final-crs_6;24;702
6592;gate-keeper;25;
6594;frui_0;25;
6605;final-crs_2;25;366
6933;gate-keeper;26;
6934;vege_0;26;
6958;final-crs_6;26;1041
7311;gate-keeper;27;
7312;gate-keeper;28;
7314;frui_0;28;
7315;meat_0;27;
7352;final-crs_4;28;1145
7358;final-crs_3;27;1169
7461;gate-keeper;29;
7463;frui_1;29;
7483;final-crs_1;29;775
7972;gate-keeper;30;
7973;gate-keeper;31;
7974;vege_1;30;
7977;final-crs_1;30;1189
8009;meat_0;31;
8013;final-crs_0;31;504
8260;gate-keeper;32;
8266;vege_0;32;
8292;final-crs_0;32;757
8570;gate-keeper;33;
8571;vege_0;33;
8578;final-crs_4;33;549
8855;gate-keeper;34;
8865;vege_0;34;
8934;final-crs_1;34;476
9161;gate-keeper;35;
9163;frui_0;35;
9207;final-crs_5;35;109
9457;gate-keeper;36;
9459;frui_0;36;
9468;final-crs_5;36;1608
9859;gate-keeper;37;
9860;gate-keeper;38;
9867;vege_1;38;
9883;meat_0;37;
9929;final-crs_1;38;364
9962;final-crs_6;37;1010
10124;gate-keeper;39;
10125;vege_1;39;
10165;final-crs_1;39;877
10407;gate-keeper;40;
10408;vege_0;40;
10423;final-crs_1;40;747
10657;gate-keeper;41;
10661;frui_0;41;
10669;final-crs_1;41;632
10932;gate-keeper;42;
10961;meat_1;42;
10969;final-crs_5;42;1227
11214;gate-keeper;43;
11221;vege_0;43;
11224;final-crs_5;43;1370
11548;gate-keeper;44;
11573;meat_0;44;
11609;final-crs_6;44;468
11678;gate-keeper;45;
11700;meat_1;45;
11715;final-crs_5;45;2130
11858;gate-keeper;46;
11860;frui_0;46;
11892;final-crs_1;46;1799
12168;gate-keeper;47;
12174;vege_0;47;
12181;final-crs_0;47;318
12492;gate-keeper;48;
