time;ckpt;id;money
310;gate-keeper;0;
314;frui_1;0;
423;final-crs_4;0;2976
578;gate-keeper;1;
579;vege_1;1;
671;final-crs_4;1;884
921;gate-keeper;2;
922;gate-keeper;3;
926;vege_0;3;
928;meat_0;2;
960;final-crs_2;3;1597
965;final-crs_3;2;2197
1197;gate-keeper;4;
1210;meat_1;4;
1242;final-crs_2;4;2187
1500;gate-keeper;5;
1505;vege_0;5;
1511;final-crs_1;5;1210
1696;gate-keeper;6;
1701;frui_1;6;
1702;final-crs_0;6;577
2112;gate-keeper;7;
2113;gate-keeper;8;
2117;vege_0;8;
2120;meat_0;7;
2143;final-crs_5;8;1086
2158;final-crs_6;7;194
2439;gate-keeper;9;
2440;gate-keeper;10;
2441;vege_0;10;
2449;meat_1;9;
2481;final-crs_2;10;2007
2505;final-crs_3;9;576
2690;gate-keeper;11;
2696;frui_1;11;
2716;final-crs_2;11;2103
3032;gate-keeper;12;
3036;meat_1;12;
3091;final-crs_0;12;2002
3311;gate-keeper;13;
3317;frui_1;13;
3338;final-crs_0;13;1762
3559;gate-keeper;14;
3563;vege_1;14;
3573;final-crs_0;14;2179
3590;gate-keeper;15;
3591;frui_1;15;
3598;final-crs_6;15;294
3835;gate-keeper;16;
3839;frui_1;16;
3862;final-crs_6;16;484
4154;gate-keeper;17;
4155;frui_0;17;
4188;final-crs_1;17;1660
4499;gate-keeper;18;
4501;vege_0;18;
4528;final-crs_5;18;961
4770;gate-keeper;19;
4771;gate-keeper;20;
4772;vege_1;19;
4778;final-crs_0;19;2059
4792;meat_1;20;
4822;final-crs_3;20;1338
5114;gate-keeper;21;
5148;meat_0;21;
5219;final-crs_5;21;1736
5331;gate-keeper;22;
5332;vege_0;22;
5416;final-crs_0;22;1437
5651;gate-keeper;23;
5655;vege_1;23;
5666;final-crs_0;23;1551
5950;gate-keeper;24;
5954;vege_0;24;
5975;final-crs_1;24;1714
6224;gate-keeper;25;
6225;frui_1;25;
6225;gate-keeper;26;
6229;final-crs_3;25;752
6232;vege_1;26;
6233;final-crs_5;26;2446
6488;gate-keeper;27;
6489;frui_0;27;
6492;final-crs_6;27;980
6757;gate-keeper;28;
6760;frui_0;28;
6883;final-crs_1;28;3011
7075;gate-keeper;29;
7078;frui_0;29;
7112;final-crs_1;29;1595
7378;gate-keeper;30;
7379;gate-keeper;31;
7381;vege_1;30;
7382;final-crs_2;30;3040
7383;vege_0;31;
7384;final-crs_5;31;235
7682;gate-keeper;32;
