time;ckpt;id;money
264;gate-keeper;0;
272;vege_0;0;
424;final-crs_4;0;586
561;gate-keeper;1;
565;vege_1;1;
666;final-crs_4;1;1077
885;gate-keeper;2;
886;gate-keeper;3;
891;vege_0;2;
894;meat_0;3;
911;final-crs_4;2;1284
933;final-crs_3;3;1071
1166;gate-keeper;4;
1177;meat_0;4;
1180;final-crs_3;4;946
1433;gate-keeper;5;
1435;vege_1;5;
1489;final-crs_1;5;422
1723;gate-keeper;6;
1724;vege_1;6;
1724;gate-keeper;7;
1729;frui_0;7;
1732;final-crs_5;6;1297
1733;final-crs_1;7;2115
1903;gate-keeper;8;
1909;vege_1;8;
1940;final-crs_3;8;1491
2345;gate-keeper;9;
2353;meat_1;9;
2356;final-crs_2;9;485
2616;gate-keeper;10;
2617;gate-keeper;11;
2620;vege_0;10;
2654;meat_0;11;
2662;final-crs_5;10;1810
2670;final-crs_1;11;693
2776;gate-keeper;12;
2782;vege_0;12;
2839;final-crs_6;12;1380
3259;gate-keeper;13;
3260;gate-keeper;14;
3261;vege_0;13;
3265;vege_1;14;
3328;final-crs_6;13;2805
3331;final-crs_5;14;1871
3559;gate-keeper;15;
3581;meat_1;15;
3588;final-crs_1;15;457
3657;gate-keeper;16;
3672;meat_0;16;
3685;final-crs_3;16;640
3842;gate-keeper;17;
3844;vege_1;17;
3858;final-crs_1;17;545
4133;gate-keeper;18;
4136;vege_0;18;
4142;final-crs_3;18;702
4386;gate-keeper;19;
4389;meat_1;19;
4565;final-crs_1;19;567
4592;gate-keeper;20;
4594;vege_0;20;
4595;final-crs_5;20;1681
4928;gate-keeper;21;
4929;gate-keeper;22;
4932;vege_0;21;
4935;vege_1;22;
4992;final-crs_1;21;1562
5082;final-crs_2;22;881
5229;gate-keeper;23;
5234;vege_0;23;
5307;final-crs_2;23;559
5508;gate-keeper;24;
5509;gate-keeper;25;
5515;vege_0;24;
5517;vege_1;25;
5541;final-crs_2;24;1998
5600;final-crs_5;25;274
5847;gate-keeper;26;
5850;vege_0;26;
5873;final-crs_0;26;129
6173;gate-keeper;27;
6174;gate-keeper;28;
6178;vege_0;27;
6186;final-crs_1;27;2021
6186;meat_0;28;
6291;final-crs_2;28;230
6429;gate-keeper;29;
6435;vege_0;29;
6463;final-crs_1;29;1492
6775;gate-keeper;30;
6776;gate-keeper;31;
6779;vege_1;30;
6781;final-crs_5;30;1456
6782;vege_0;31;
6862;final-crs_3;31;1577
7051;gate-keeper;32;
7093;meat_1;32;
7151;final-crs_4;32;1569
7333;gate-keeper;33;
7335;vege_1;33;
7355;final-crs_4;33;1987
7404;gate-keeper;34;
7451;meat_0;34;
7460;final-crs_6;34;274
7642;gate-keeper;35;
7649;vege_1;35;
7670;final-crs_1;35;1296
7936;gate-keeper;36;
7938;vege_1;36;
7946;final-crs_1;36;834
8272;gate-keeper;37;
8273;gate-keeper;38;
8275;vege_1;37;
8276;vege_0;38;
8281;final-crs_4;37;883
8298;final-crs_3;38;87
8584;gate-keeper;39;
8586;vege_1;39;
8645;final-crs_1;39;776
8846;gate-keeper;40;
8848;frui_1;40;
8857;final-crs_1;40;632
9048;gate-keeper;41;
9051;vege_0;41;
9072;final-crs_1;41;1123
9177;gate-keeper;42;
9185;vege_0;42;
9203;final-crs_6;42;1221
9471;gate-keeper;43;
9478;vege_0;43;
9479;final-crs_5;43;123
9778;gate-keeper;44;
9781;vege_0;44;
9789;final-crs_1;44;714
10028;gate-keeper;45;
10029;gate-keeper;46;
10033;vege_1;45;
10036;vege_0;46;
10197;final-crs_4;45;742
10209;final-crs_0;46;1345
10413;gate-keeper;47;
10425;meat_1;47;
10439;final-crs_4;47;1280
10721;gate-keeper;48;
10722;vege_0;48;
10722;gate-keeper;49;
10725;vege_1;49;
10732;final-crs_5;48;736
10779;final-crs_1;49;385
11009;gate-keeper;50;
11012;vege_0;50;
11021;final-crs_1;50;2270
11088;gate-keeper;51;
11094;meat_0;51;
11125;final-crs_4;51;1049
11339;gate-keeper;52;
11341;vege_1;52;
11353;final-crs_4;52;555
11676;gate-keeper;53;
11677;gate-keeper;54;
11678;vege_0;53;
11681;final-crs_3;53;369
11685;vege_1;54;
11691;final-crs_1;54;1395
11953;gate-keeper;55;
11954;vege_1;55;
12069;final-crs_6;55;301
12276;gate-keeper;56;
12286;meat_1;56;
12312;final-crs_6;56;199
12590;gate-keeper;57;
12591;gate-keeper;58;
12595;vege_0;58;
12615;final-crs_0;58;91
12627;meat_1;57;
12632;final-crs_1;57;1063
12911;gate-keeper;59;
12912;vege_1;59;
12963;final-crs_5;59;1146
13214;gate-keeper;60;
13215;gate-keeper;61;
13217;vege_0;60;
13218;vege_1;61;
13309;final-crs_4;60;416
13319;final-crs_1;61;1190
13507;gate-keeper;62;
13522;meat_1;62;
13527;final-crs_4;62;86
13665;gate-keeper;63;
13669;meat_0;63;
13718;final-crs_6;63;1625
14108;gate-keeper;64;
14109;gate-keeper;65;
14116;vege_0;64;
14117;vege_1;65;
14188;final-crs_6;64;905
14203;final-crs_4;65;346
14372;gate-keeper;66;
14414;meat_0;66;
14441;final-crs_5;66;738
14590;gate-keeper;67;
14600;meat_0;67;
14637;final-crs_6;67;1456
14657;gate-keeper;68;
14718;meat_0;68;
14746;final-crs_3;68;772
14997;gate-keeper;69;
14999;vege_0;69;
15004;final-crs_2;69;1044
15077;gate-keeper;70;
15080;vege_0;70;
15142;final-crs_0;70;170
15467;gate-keeper;71;
15472;vege_0;71;
