time;ckpt;id;money
333;gate-keeper;3;
346;meat_0;3;
417;final-crs_7;3;1223
571;gate-keeper;6;
572;frui_1;6;
648;final-crs_7;6;907
833;gate-keeper;7;
834;gate-keeper;8;
835;gate-keeper;9;
838;frui_0;9;
882;meat_0;7;
890;final-crs_7;9;83
893;final-crs_2;7;1481
894;meat_1;8;
923;final-crs_1;8;1834
1127;gate-keeper;12;
1128;vege_1;12;
1128;gate-keeper;13;
1133;vege_0;13;
1167;final-crs_1;12;512
1174;final-crs_3;13;134
1451;gate-keeper;14;
1452;gate-keeper;15;
1453;vege_0;15;
1453;frui_0;14;
1453;gate-keeper;16;
1454;gate-keeper;17;
1458;vege_1;16;
1462;vege_0;17;
1464;final-crs_0;15;187
1472;final-crs_9;14;1231
1482;final-crs_6;16;1269
1495;final-crs_4;17;60
1717;gate-keeper;19;
1718;gate-keeper;20;
1719;gate-keeper;21;
1721;frui_0;19;
1723;vege_0;21;
1723;frui_1;20;
1728;final-crs_10;19;1168
1735;final-crs_2;21;870
1741;final-crs_6;20;1795
1767;gate-keeper;22;
1804;meat_1;22;
1864;final-crs_3;22;1601
2064;gate-keeper;25;
2065;gate-keeper;26;
2067;frui_1;26;
2085;final-crs_3;26;565
2101;meat_0;25;
2149;final-crs_5;25;649
2358;gate-keeper;28;
2359;gate-keeper;29;
2360;gate-keeper;30;
2362;vege_0;28;
2363;vege_1;29;
2370;vege_0;30;
2386;final-crs_1;28;763
2387;final-crs_11;29;828
2397;final-crs_8;30;1181
2637;gate-keeper;32;
2638;gate-keeper;33;
2639;vege_0;33;
2639;gate-keeper;34;
2640;vege_1;34;
2651;final-crs_11;33;653
2652;meat_0;32;
2697;final-crs_9;34;576
2737;final-crs_2;32;540
3323;gate-keeper;43;
3325;frui_0;43;
3347;final-crs_1;43;486
3695;gate-keeper;48;
3718;meat_1;48;
3722;final-crs_9;48;286
3779;gate-keeper;49;
3786;vege_1;49;
3820;final-crs_8;49;1102
3843;gate-keeper;50;
3845;vege_0;50;
3850;final-crs_0;50;254
4154;gate-keeper;54;
4157;vege_0;54;
4173;final-crs_9;54;537
4637;gate-keeper;58;
4638;gate-keeper;59;
4639;gate-keeper;60;
4641;vege_0;58;
4642;frui_1;60;
4643;vege_1;59;
4647;final-crs_9;58;566
4672;final-crs_7;60;1741
4677;final-crs_4;59;364
5381;gate-keeper;70;
5385;frui_0;70;
5407;final-crs_7;70;501
5505;gate-keeper;71;
5513;vege_0;71;
5527;final-crs_8;71;297
5688;gate-keeper;73;
5689;gate-keeper;74;
5690;vege_1;74;
5692;final-crs_11;74;1088
5694;meat_1;73;
5721;final-crs_2;73;83
5996;gate-keeper;77;
5997;gate-keeper;78;
5998;vege_1;77;
6000;vege_0;78;
6009;final-crs_8;77;669
6048;final-crs_6;78;824
6298;gate-keeper;82;
6352;meat_0;82;
6360;final-crs_7;82;796
6620;gate-keeper;85;
6621;gate-keeper;86;
6629;vege_1;85;
6630;vege_0;86;
6648;final-crs_3;85;705
6652;final-crs_10;86;900
6934;gate-keeper;89;
6935;gate-keeper;90;
6937;frui_1;89;
6940;frui_0;90;
6972;final-crs_0;89;395
6978;final-crs_5;90;655
6979;gate-keeper;91;
6997;meat_1;91;
7004;final-crs_2;91;835
7217;gate-keeper;93;
7218;meat_0;93;
7220;final-crs_0;93;432
7505;gate-keeper;96;
7506;gate-keeper;97;
7507;vege_1;96;
7507;frui_0;97;
7577;final-crs_4;96;330
7585;final-crs_7;97;1203
7811;gate-keeper;100;
7812;gate-keeper;101;
7813;frui_0;101;
7815;vege_0;100;
7820;final-crs_4;101;1869
7838;final-crs_7;100;319
7993;gate-keeper;104;
8001;vege_0;104;
8017;final-crs_4;104;596
8169;gate-keeper;105;
8170;gate-keeper;106;
8174;vege_1;105;
8178;vege_0;106;
8195;final-crs_6;105;734
8232;final-crs_4;106;163
8451;gate-keeper;109;
8452;gate-keeper;110;
8459;vege_0;109;
8459;vege_1;110;
8544;final-crs_10;109;830
8552;final-crs_1;110;84
8721;gate-keeper;113;
8729;vege_0;113;
8787;final-crs_10;113;972
8822;gate-keeper;115;
8823;frui_0;115;
8828;final-crs_8;115;153
9024;gate-keeper;116;
9025;gate-keeper;117;
9026;vege_0;116;
9026;vege_1;117;
9037;final-crs_1;116;92
9045;final-crs_10;117;639
9335;gate-keeper;120;
9336;gate-keeper;121;
9338;frui_0;120;
9339;frui_1;121;
9340;final-crs_0;120;1171
9342;final-crs_5;121;1091
9627;gate-keeper;124;
9628;vege_1;124;
9628;gate-keeper;125;
9632;final-crs_6;124;115
9633;vege_0;125;
9650;final-crs_11;125;259
9737;gate-keeper;126;
9739;vege_0;126;
9743;final-crs_1;126;510
9903;gate-keeper;128;
9911;vege_1;128;
9915;final-crs_8;128;262
10201;gate-keeper;131;
