time;ckpt;id;money
343;gate-keeper;3;
353;meat_0;3;
392;final-crs_11;3;926
581;gate-keeper;4;
582;gate-keeper;5;
583;gate-keeper;6;
587;vege_1;4;
587;meat_0;6;
589;vege_0;5;
614;final-crs_3;4;1326
637;final-crs_0;6;1207
666;final-crs_11;5;727
780;gate-keeper;8;
781;frui_0;8;
820;final-crs_0;8;814
921;gate-keeper;9;
925;frui_0;9;
926;final-crs_11;9;1507
1202;gate-keeper;11;
1203;gate-keeper;12;
1204;frui_1;12;
1204;gate-keeper;13;
1205;vege_1;13;
1205;meat_1;11;
1210;final-crs_4;12;1953
1213;final-crs_10;13;331
1230;final-crs_2;11;1118
1496;gate-keeper;15;
1497;frui_0;15;
1497;gate-keeper;16;
1498;gate-keeper;17;
1502;meat_0;16;
1516;meat_1;17;
1553;final-crs_3;15;1597
1596;final-crs_7;16;860
1625;final-crs_1;17;112
1830;gate-keeper;20;
1831;frui_0;20;
1831;gate-keeper;21;
1836;frui_1;21;
1844;final-crs_7;20;1615
1846;final-crs_9;21;1205
2103;gate-keeper;23;
2104;gate-keeper;24;
2105;frui_0;23;
2108;frui_1;24;
2113;final-crs_11;23;654
2115;final-crs_1;24;234
2342;gate-keeper;27;
2343;gate-keeper;28;
2344;frui_0;28;
2350;meat_1;27;
2381;final-crs_4;28;814
2385;final-crs_5;27;197
2894;gate-keeper;34;
2895;gate-keeper;35;
2896;frui_1;35;
2899;final-crs_4;35;1389
2902;vege_0;34;
2907;final-crs_6;34;1224
3228;gate-keeper;38;
3229;gate-keeper;39;
3232;vege_0;39;
3238;final-crs_1;39;586
3248;meat_1;38;
3268;final-crs_7;38;470
3439;gate-keeper;42;
3460;meat_0;42;
3474;final-crs_10;42;951
3811;gate-keeper;46;
3812;gate-keeper;47;
3813;frui_0;46;
3816;vege_0;47;
3840;final-crs_0;46;525
3841;final-crs_8;47;76
4083;gate-keeper;50;
4088;vege_0;50;
4132;final-crs_3;50;1385
4276;gate-keeper;51;
4277;gate-keeper;52;
4278;gate-keeper;53;
4283;vege_1;51;
4286;vege_0;52;
4289;final-crs_6;51;615
4294;vege_0;53;
4301;final-crs_8;52;646
4349;final-crs_3;53;118
4948;gate-keeper;61;
4950;vege_0;61;
4960;final-crs_8;61;323
5264;gate-keeper;64;
5265;gate-keeper;65;
5267;vege_0;64;
5276;final-crs_11;64;750
5315;meat_0;65;
5330;final-crs_5;65;372
5577;gate-keeper;68;
5578;frui_0;68;
5578;gate-keeper;69;
5583;frui_1;69;
5584;final-crs_9;68;91
5603;final-crs_4;69;1393
5838;gate-keeper;72;
5842;frui_0;72;
