time;ckpt;id;money
317;gate-keeper;4;
322;vege_0;4;
418;final-crs_10;4;1289
596;gate-keeper;5;
597;frui_1;5;
597;gate-keeper;6;
598;gate-keeper;7;
599;gate-keeper;8;
600;frui_0;6;
600;meat_1;7;
600;gate-keeper;9;
601;frui_1;8;
604;frui_0;9;
659;final-crs_0;5;1371
668;final-crs_11;6;672
677;final-crs_5;7;796
679;final-crs_10;8;426
687;final-crs_3;9;286
902;gate-keeper;15;
905;frui_0;15;
917;final-crs_11;15;539
1025;gate-keeper;16;
1026;gate-keeper;17;
1029;vege_0;16;
1035;vege_1;17;
1143;final-crs_0;16;860
1157;final-crs_10;17;106
1199;gate-keeper;18;
1200;gate-keeper;19;
1201;vege_0;19;
1201;gate-keeper;20;
1203;meat_1;18;
1204;frui_1;20;
1208;final-crs_7;19;1690
1254;final-crs_1;18;415
1260;final-crs_9;20;97
1476;gate-keeper;21;
1477;gate-keeper;22;
1478;gate-keeper;23;
1479;gate-keeper;24;
1480;gate-keeper;25;
1482;vege_1;21;
1485;vege_0;22;
1490;meat_1;23;
1493;vege_1;24;
1500;final-crs_1;21;1227
1508;meat_0;25;
1514;final-crs_9;22;655
1608;final-crs_0;23;508
1612;final-crs_4;24;1261
1613;final-crs_8;25;2188
1857;gate-keeper;31;
1858;frui_0;31;
1858;gate-keeper;32;
1860;vege_0;32;
1864;final-crs_5;31;198
1894;final-crs_0;32;118
2059;gate-keeper;33;
2060;frui_0;33;
2060;gate-keeper;34;
2061;vege_0;34;
2061;gate-keeper;35;
2062;gate-keeper;36;
2065;vege_1;35;
2074;final-crs_8;33;1511
2080;final-crs_4;34;928
2084;final-crs_3;35;804
2099;meat_0;36;
2101;final-crs_0;36;967
3064;gate-keeper;54;
3067;vege_0;54;
3075;final-crs_0;54;278
3319;gate-keeper;59;
3320;gate-keeper;60;
3322;frui_1;60;
3325;final-crs_0;60;337
3327;vege_0;59;
3377;final-crs_7;59;782
3543;gate-keeper;61;
3544;vege_1;61;
3544;gate-keeper;62;
3545;gate-keeper;63;
3546;gate-keeper;64;
3548;frui_0;63;
3549;frui_1;64;
3562;final-crs_6;61;599
3582;meat_1;62;
3600;final-crs_7;63;129
3619;final-crs_5;64;136
3657;final-crs_2;62;448
3839;gate-keeper;69;
3849;meat_0;69;
3862;gate-keeper;70;
3863;vege_0;70;
3867;final-crs_7;69;288
3868;final-crs_5;70;179
4387;gate-keeper;75;
4388;vege_1;75;
4388;gate-keeper;76;
4389;gate-keeper;77;
4390;final-crs_3;75;1602
4390;gate-keeper;78;
4391;frui_0;76;
4391;gate-keeper;79;
4392;gate-keeper;80;
4394;vege_0;77;
4398;vege_1;78;
4404;vege_0;79;
4409;vege_1;80;
4419;final-crs_11;76;1127
4442;final-crs_4;77;1175
4445;final-crs_9;78;575
4477;final-crs_10;79;863
4491;final-crs_1;80;294
5010;gate-keeper;91;
5038;meat_0;91;
5054;final-crs_6;91;510
5275;gate-keeper;96;
5278;vege_0;96;
5307;final-crs_2;96;1135
5344;gate-keeper;97;
5348;vege_1;97;
5360;final-crs_10;97;612
5568;gate-keeper;98;
