time;ckpt;id;money
267;gate-keeper;0;
268;gate-keeper;1;
269;gate-keeper;2;
270;gate-keeper;3;
271;vege_0;1;
273;frui_1;3;
274;vege_1;2;
279;meat_1;0;
283;final-crs_4;1;175
285;final-crs_8;3;109
289;final-crs_2;2;394
432;final-crs_10;0;590
866;gate-keeper;10;
867;gate-keeper;11;
868;vege_0;10;
868;gate-keeper;12;
869;gate-keeper;13;
870;gate-keeper;14;
872;vege_1;11;
874;meat_1;14;
877;vege_0;12;
880;vege_1;13;
919;final-crs_3;10;72
927;final-crs_1;11;895
951;final-crs_7;14;674
952;final-crs_10;12;834
954;final-crs_0;13;872
1592;gate-keeper;26;
1593;gate-keeper;27;
1594;vege_1;26;
1599;vege_0;27;
1632;final-crs_7;26;1047
1636;final-crs_5;27;1701
1749;gate-keeper;28;
1750;gate-keeper;29;
1751;vege_0;28;
1751;gate-keeper;30;
1753;vege_1;29;
1754;frui_0;30;
1764;final-crs_2;28;576
1766;final-crs_4;29;830
1855;final-crs_5;30;678
2344;gate-keeper;37;
2345;gate-keeper;38;
2346;frui_0;38;
2346;gate-keeper;39;
2347;gate-keeper;40;
2348;gate-keeper;41;
2350;final-crs_8;38;418
2350;vege_0;37;
2352;frui_1;41;
2354;vege_1;40;
2363;meat_0;39;
2369;final-crs_3;37;1154
2378;final-crs_1;41;115
2385;final-crs_0;40;479
2391;final-crs_10;39;990
2640;gate-keeper;42;
2641;gate-keeper;43;
2642;gate-keeper;44;
2643;gate-keeper;45;
2644;vege_1;43;
2644;gate-keeper;46;
2645;final-crs_9;43;473
2645;gate-keeper;47;
2647;vege_0;46;
2649;frui_0;45;
2653;vege_1;47;
2662;final-crs_0;46;553
2677;meat_0;42;
2682;meat_1;44;
2698;final-crs_6;45;119
2707;gate-keeper;48;
2708;final-crs_4;47;1444
2728;final-crs_2;42;74
2739;meat_0;48;
2761;final-crs_5;44;1231
2832;final-crs_7;48;720
2992;gate-keeper;49;
2993;frui_1;49;
2993;gate-keeper;50;
2994;gate-keeper;51;
2995;vege_1;50;
2995;gate-keeper;52;
2996;frui_0;51;
2996;gate-keeper;53;
2997;final-crs_2;49;132
3001;vege_0;52;
3005;vege_1;53;
3020;final-crs_1;50;667
3030;final-crs_11;51;1496
3048;final-crs_7;52;362
3102;final-crs_10;53;182
3248;gate-keeper;55;
3249;gate-keeper;56;
3250;gate-keeper;57;
3251;vege_0;57;
3251;gate-keeper;58;
3255;frui_0;56;
3262;final-crs_2;57;698
3266;meat_1;55;
3273;final-crs_7;56;381
3278;final-crs_1;55;1142
3280;meat_0;58;
3312;final-crs_11;58;1630
3664;gate-keeper;65;
3665;gate-keeper;66;
3666;vege_0;65;
3669;meat_1;66;
3686;final-crs_6;65;880
3705;final-crs_4;66;591
3746;gate-keeper;67;
3749;vege_0;67;
3770;final-crs_11;67;162
3795;gate-keeper;68;
3797;vege_0;68;
3812;final-crs_8;68;1213
4115;gate-keeper;71;
4116;gate-keeper;72;
4117;frui_1;72;
4117;gate-keeper;73;
4118;frui_0;73;
4118;gate-keeper;74;
4120;vege_1;71;
4124;frui_0;74;
4184;final-crs_7;72;1628
4186;final-crs_5;73;633
4188;final-crs_2;71;1618
4207;final-crs_4;74;237
4503;gate-keeper;81;
4504;gate-keeper;82;
4508;vege_0;81;
4512;final-crs_11;81;1297
4513;vege_1;82;
4516;final-crs_10;82;301
4674;gate-keeper;83;
4675;gate-keeper;84;
4676;gate-keeper;85;
4678;vege_1;84;
4682;vege_0;85;
4687;final-crs_1;84;1526
4699;meat_1;83;
4704;final-crs_3;85;158
4709;final-crs_5;83;205
4931;gate-keeper;86;
4932;gate-keeper;87;
4933;gate-keeper;88;
4934;gate-keeper;89;
4935;gate-keeper;90;
4936;vege_0;87;
4970;meat_0;86;
4983;meat_1;88;
4984;final-crs_8;87;1360
4986;final-crs_10;86;116
4994;final-crs_2;88;2364
5027;meat_0;89;
5036;final-crs_0;89;851
5049;meat_1;90;
5066;final-crs_4;90;264
5226;gate-keeper;92;
5227;gate-keeper;93;
5228;gate-keeper;94;
5229;gate-keeper;95;
5230;frui_0;93;
5233;vege_1;95;
5256;final-crs_11;93;460
5260;final-crs_2;95;1454
5267;meat_0;92;
5291;meat_1;94;
5298;final-crs_4;92;787
5316;final-crs_0;94;1391
6118;gate-keeper;107;
6119;gate-keeper;108;
6120;frui_0;108;
6120;gate-keeper;109;
6121;vege_1;107;
6121;gate-keeper;110;
6122;gate-keeper;111;
6124;vege_0;109;
6124;frui_1;110;
6132;vege_1;111;
6133;final-crs_8;108;1312
6146;final-crs_5;107;1149
6170;final-crs_2;109;1564
6180;final-crs_9;110;466
6184;final-crs_10;111;1000
6336;gate-keeper;112;
6337;gate-keeper;113;
6338;frui_0;112;
6338;frui_1;113;
6338;gate-keeper;114;
6339;gate-keeper;115;
6343;final-crs_3;112;218
6345;frui_0;115;
6346;meat_0;114;
6354;final-crs_8;113;954
6374;final-crs_6;115;655
6377;final-crs_5;114;485
6752;gate-keeper;117;
6753;gate-keeper;118;
6754;gate-keeper;119;
6755;gate-keeper;120;
6756;gate-keeper;121;
6757;gate-keeper;122;
6758;vege_1;122;
6758;frui_0;118;
6758;frui_1;121;
6784;meat_1;117;
6795;final-crs_4;122;643
6800;meat_0;119;
6821;final-crs_1;118;550
6828;final-crs_8;121;231
6831;final-crs_3;117;138
6841;meat_1;120;
6856;final-crs_6;119;1269
6860;final-crs_9;120;442
7066;gate-keeper;128;
7071;vege_0;128;
7094;final-crs_1;128;165
7152;gate-keeper;129;
7153;gate-keeper;130;
7155;vege_1;129;
7169;meat_0;130;
7191;final-crs_0;129;64
7237;gate-keeper;131;
7240;final-crs_11;130;1577
7265;meat_1;131;
7274;final-crs_8;131;1179
7431;gate-keeper;134;
7432;gate-keeper;135;
7434;vege_0;134;
7447;meat_0;135;
7483;final-crs_11;134;267
7485;final-crs_7;135;935
7690;gate-keeper;139;
7691;gate-keeper;140;
7692;vege_0;140;
7700;final-crs_0;140;76
7708;meat_1;139;
7713;final-crs_7;139;1263
7956;gate-keeper;144;
7957;gate-keeper;145;
7959;vege_1;144;
7961;final-crs_7;144;316
7968;meat_0;145;
7986;final-crs_8;145;271
8278;gate-keeper;150;
8279;gate-keeper;151;
8281;frui_1;151;
8285;meat_1;150;
8295;final-crs_10;151;906
8297;final-crs_9;150;442
8593;gate-keeper;155;
8594;gate-keeper;156;
8595;gate-keeper;157;
8598;vege_0;155;
8598;vege_1;156;
8605;vege_1;157;
8645;final-crs_11;155;150
8675;final-crs_7;156;80
8680;final-crs_0;157;565
8886;gate-keeper;162;
8892;vege_1;162;
8905;final-crs_7;162;223
8947;gate-keeper;163;
8949;frui_0;163;
8952;final-crs_5;163;318
9514;gate-keeper;174;
9517;vege_1;174;
9528;final-crs_2;174;1099
9806;gate-keeper;180;
9807;frui_1;180;
9810;final-crs_11;180;861
9979;gate-keeper;181;
9980;vege_0;181;
9980;gate-keeper;182;
9981;gate-keeper;183;
9983;meat_0;183;
9990;vege_0;182;
10018;final-crs_10;181;1176
10044;final-crs_2;183;273
10079;final-crs_5;182;170
10093;gate-keeper;185;
10125;meat_1;185;
10132;final-crs_4;185;235
10395;gate-keeper;191;
10400;frui_0;191;
10434;final-crs_9;191;1392
10690;gate-keeper;192;
10691;gate-keeper;193;
10692;gate-keeper;194;
10693;gate-keeper;195;
10694;gate-keeper;196;
10698;vege_0;192;
10701;vege_1;193;
10710;vege_0;194;
10710;vege_1;195;
10720;vege_0;196;
10742;final-crs_4;192;189
10756;final-crs_2;193;172
10777;final-crs_10;194;254
10800;final-crs_7;195;547
10813;final-crs_5;196;750
10885;gate-keeper;197;
10886;gate-keeper;198;
10887;gate-keeper;199;
10888;gate-keeper;200;
10889;vege_0;197;
10893;final-crs_1;197;712
10893;vege_1;200;
10909;final-crs_3;200;954
10932;meat_0;198;
10938;final-crs_6;198;1630
10942;meat_1;199;
10976;final-crs_4;199;429
11011;gate-keeper;202;
11017;vege_0;202;
11049;final-crs_7;202;369
11889;gate-keeper;214;
11890;gate-keeper;215;
11891;gate-keeper;216;
11892;gate-keeper;217;
11893;gate-keeper;218;
11894;vege_1;214;
11894;frui_0;218;
11895;vege_0;215;
11899;final-crs_2;214;1012
11901;vege_0;216;
11903;vege_1;217;
11910;final-crs_1;218;1290
11948;final-crs_10;215;1536
11952;final-crs_4;216;615
11990;final-crs_5;217;593
12211;gate-keeper;225;
12215;frui_0;225;
12221;final-crs_11;225;194
12868;gate-keeper;236;
12874;frui_0;236;
12879;final-crs_10;236;370
13225;gate-keeper;241;
13226;gate-keeper;242;
13230;vege_1;241;
13237;final-crs_3;241;227
13247;meat_1;242;
13260;final-crs_7;242;1612
13481;gate-keeper;246;
13482;gate-keeper;247;
13486;vege_0;246;
13488;vege_1;247;
13503;final-crs_8;246;594
13508;final-crs_6;247;1002
13735;gate-keeper;252;
13742;vege_1;252;
13748;final-crs_7;252;453
13842;gate-keeper;253;
13843;gate-keeper;254;
13849;frui_0;254;
13855;meat_0;253;
13880;final-crs_1;254;829
13888;final-crs_3;253;899
14114;gate-keeper;256;
14115;gate-keeper;257;
14116;gate-keeper;258;
14117;gate-keeper;259;
14118;vege_0;256;
14118;vege_1;257;
14121;final-crs_3;256;1455
14126;vege_1;258;
14127;vege_0;259;
14154;final-crs_5;257;670
14158;final-crs_11;258;305
14168;final-crs_2;259;1272
14507;gate-keeper;262;
14508;gate-keeper;263;
14509;gate-keeper;264;
14510;gate-keeper;265;
14511;frui_0;263;
14511;meat_1;262;
14511;gate-keeper;266;
14515;vege_0;264;
14518;vege_1;266;
14524;final-crs_4;263;857
14536;meat_0;265;
14564;final-crs_1;262;220
14593;final-crs_3;264;1179
14605;final-crs_9;266;635
14609;final-crs_11;265;1587
14792;gate-keeper;267;
14793;gate-keeper;268;
14794;gate-keeper;269;
14795;gate-keeper;270;
14796;vege_0;268;
14796;gate-keeper;271;
14800;vege_1;270;
14810;gate-keeper;272;
