time;ckpt;id;money
538;gate-keeper;4;
539;gate-keeper;5;
540;vege_1;5;
540;gate-keeper;6;
547;vege_0;6;
554;final-crs_9;5;121
589;meat_0;4;
662;final-crs_7;6;3289
682;final-crs_10;4;2114
1066;gate-keeper;12;
1070;frui_1;12;
1096;final-crs_7;12;607
1345;gate-keeper;14;
1346;gate-keeper;15;
1347;vege_1;14;
1347;gate-keeper;16;
1348;meat_0;15;
1351;vege_0;16;
1406;final-crs_10;14;1049
1414;final-crs_4;15;804
1422;final-crs_5;16;855
1918;gate-keeper;24;
1920;vege_0;24;
1923;final-crs_10;24;1048
2523;gate-keeper;29;
2524;gate-keeper;30;
2525;gate-keeper;31;
2526;gate-keeper;32;
2527;frui_0;30;
2528;vege_0;29;
2530;vege_1;31;
2537;vege_0;32;
2566;final-crs_8;30;288
2590;final-crs_4;29;2245
2607;final-crs_9;31;2113
2623;final-crs_0;32;123
3313;gate-keeper;41;
3314;gate-keeper;42;
3319;frui_0;42;
3334;meat_1;41;
3344;final-crs_2;42;1245
3349;final-crs_7;41;1632
3414;gate-keeper;43;
3415;gate-keeper;44;
3420;vege_0;43;
3420;vege_1;44;
3429;final-crs_11;43;183
3432;final-crs_1;44;1029
4038;gate-keeper;53;
4039;vege_1;53;
4044;final-crs_10;53;758
4160;gate-keeper;54;
4164;vege_0;54;
4180;final-crs_1;54;394
4330;gate-keeper;55;
4331;gate-keeper;56;
4334;vege_1;55;
4334;frui_1;56;
4339;final-crs_8;55;3232
4340;final-crs_4;56;650
4593;gate-keeper;60;
4595;meat_1;60;
4602;final-crs_0;60;3114
4881;gate-keeper;61;
4882;gate-keeper;62;
4883;gate-keeper;63;
4884;vege_0;61;
4884;gate-keeper;64;
4889;vege_1;62;
4893;vege_0;63;
4899;vege_1;64;
4920;final-crs_10;61;826
4937;final-crs_5;62;1146
4941;final-crs_11;63;243
4945;final-crs_1;64;2316
5141;gate-keeper;65;
5142;frui_1;65;
5142;gate-keeper;66;
5143;gate-keeper;67;
5144;gate-keeper;68;
5145;vege_0;66;
5145;vege_1;68;
5146;frui_0;67;
5149;final-crs_9;65;983
5150;final-crs_6;66;1009
5181;final-crs_11;68;843
5187;final-crs_1;67;2357
5460;gate-keeper;72;
5468;vege_0;72;
5496;final-crs_4;72;1444
5743;gate-keeper;74;
5744;gate-keeper;75;
5745;gate-keeper;76;
5750;vege_1;74;
5752;vege_0;75;
5760;vege_1;76;
5778;final-crs_0;74;3411
5781;final-crs_3;75;659
5818;final-crs_8;76;1470
5938;gate-keeper;78;
5941;frui_0;78;
5948;final-crs_7;78;1682
6040;gate-keeper;79;
6041;frui_0;79;
6086;final-crs_2;79;2443
6306;gate-keeper;83;
6308;vege_1;83;
6309;final-crs_0;83;1852
6609;gate-keeper;86;
6610;gate-keeper;87;
6619;vege_0;86;
6620;vege_1;87;
6632;final-crs_4;86;1028
6632;final-crs_5;87;845
6813;gate-keeper;90;
6816;vege_0;90;
6865;final-crs_5;90;1159
6900;gate-keeper;91;
6904;vege_0;91;
6922;final-crs_6;91;764
7179;gate-keeper;95;
7188;vege_1;95;
7200;final-crs_3;95;187
7241;gate-keeper;96;
7246;vege_0;96;
7268;final-crs_7;96;822
7487;gate-keeper;98;
7488;frui_1;98;
7488;gate-keeper;99;
7493;vege_0;99;
7540;final-crs_7;98;1786
7544;final-crs_10;99;1716
7791;gate-keeper;102;
7792;gate-keeper;103;
7793;frui_1;103;
7793;meat_1;102;
7806;final-crs_7;103;2569
7816;final-crs_4;102;122
8092;gate-keeper;107;
8098;vege_1;107;
8102;final-crs_10;107;1242
8342;gate-keeper;110;
8343;frui_1;110;
8373;final-crs_10;110;946
8621;gate-keeper;114;
8623;vege_1;114;
8642;final-crs_3;114;1036
8669;gate-keeper;115;
8673;frui_0;115;
8674;final-crs_1;115;580
8938;gate-keeper;118;
8941;vege_0;118;
8962;final-crs_9;118;3180
9223;gate-keeper;122;
9229;vege_0;122;
9237;final-crs_4;122;2130
9505;gate-keeper;126;
9510;vege_1;126;
9527;final-crs_11;126;608
9822;gate-keeper;131;
9825;vege_0;131;
9844;final-crs_6;131;764
10067;gate-keeper;134;
10068;frui_0;134;
10081;final-crs_6;134;1569
10263;gate-keeper;135;
10264;gate-keeper;136;
10271;vege_0;135;
10271;vege_1;136;
10278;final-crs_8;135;870
10280;final-crs_10;136;3048
10377;gate-keeper;138;
10407;meat_0;138;
10408;final-crs_3;138;1595
10471;gate-keeper;139;
10473;vege_1;139;
10489;final-crs_8;139;553
10719;gate-keeper;142;
10720;gate-keeper;143;
10721;vege_1;142;
10723;vege_0;143;
10734;final-crs_8;142;1444
10762;final-crs_6;143;997
11073;gate-keeper;147;
11074;frui_1;147;
11080;final-crs_0;147;1265
11193;gate-keeper;149;
11195;vege_0;149;
11214;final-crs_6;149;572
11374;gate-keeper;150;
11375;vege_0;150;
11375;gate-keeper;151;
11378;frui_0;151;
11384;final-crs_1;150;1689
11387;final-crs_4;151;1617
11952;gate-keeper;156;
11953;vege_1;156;
11953;gate-keeper;157;
11954;gate-keeper;158;
11955;vege_0;158;
11955;gate-keeper;159;
11956;frui_0;157;
11962;vege_1;159;
11992;final-crs_0;156;1393
12006;final-crs_6;158;132
12029;final-crs_10;157;1301
12048;final-crs_5;159;1639
12179;gate-keeper;160;
12180;gate-keeper;161;
12181;gate-keeper;162;
12184;vege_0;160;
12185;vege_1;161;
12194;vege_0;162;
12252;gate-keeper;163;
12258;vege_0;163;
12260;final-crs_6;160;2463
12271;final-crs_0;161;819
12291;final-crs_10;162;3160
12299;final-crs_7;163;801
12813;gate-keeper;169;
12814;gate-keeper;170;
12816;frui_0;169;
12843;meat_0;170;
12848;final-crs_11;169;172
12897;final-crs_8;170;635
13088;gate-keeper;173;
13089;gate-keeper;174;
13091;vege_0;173;
13092;vege_1;174;
13124;final-crs_8;173;782
13162;final-crs_3;174;1505
13477;gate-keeper;177;
13478;vege_0;177;
13478;gate-keeper;178;
13479;gate-keeper;179;
