time;ckpt;id;money
313;gate-keeper;0;
314;gate-keeper;1;
315;gate-keeper;2;
316;gate-keeper;3;
317;gate-keeper;4;
318;gate-keeper;5;
320;frui_0;2;
320;frui_1;5;
321;vege_1;3;
337;meat_1;0;
351;meat_0;1;
401;meat_1;4;
435;final-crs_3;2;630
454;final-crs_2;5;529
458;final-crs_10;3;1933
464;final-crs_8;0;357
469;final-crs_4;1;1028
471;final-crs_11;4;1422
619;gate-keeper;6;
620;gate-keeper;7;
621;gate-keeper;8;
622;vege_0;6;
622;gate-keeper;9;
623;vege_1;8;
623;gate-keeper;10;
624;gate-keeper;11;
627;frui_0;10;
627;frui_1;11;
631;vege_1;9;
644;meat_1;7;
685;final-crs_2;6;777
687;final-crs_3;8;724
711;final-crs_10;10;2459
719;final-crs_11;11;697
723;final-crs_8;9;514
736;final-crs_4;7;63
929;gate-keeper;17;
932;vege_1;17;
942;final-crs_8;17;705
1173;gate-keeper;20;
1174;gate-keeper;21;
1175;gate-keeper;22;
1177;frui_1;20;
1179;frui_0;22;
1182;meat_0;21;
1190;final-crs_10;20;480
1206;final-crs_2;22;605
1212;final-crs_8;21;1328
1464;gate-keeper;25;
1465;frui_0;25;
1465;gate-keeper;26;
1466;gate-keeper;27;
1469;frui_1;27;
1475;final-crs_7;25;210
1477;meat_0;26;
1478;final-crs_11;27;299
1484;final-crs_6;26;1228
1833;gate-keeper;34;
1837;vege_0;34;
1849;final-crs_4;34;67
2072;gate-keeper;36;
2073;gate-keeper;37;
2074;gate-keeper;38;
2075;gate-keeper;39;
2076;vege_0;36;
2076;vege_1;37;
2097;meat_0;38;
2123;meat_1;39;
2135;final-crs_3;36;295
2138;final-crs_4;37;316
2182;final-crs_6;38;458
2182;final-crs_11;39;453
2378;gate-keeper;42;
2379;gate-keeper;43;
2380;vege_0;42;
2380;gate-keeper;44;
2381;gate-keeper;45;
2384;vege_1;44;
2392;final-crs_3;42;991
2397;meat_0;43;
2404;final-crs_6;44;184
2427;final-crs_8;43;100
2436;meat_1;45;
2440;final-crs_10;45;703
2631;gate-keeper;48;
2632;gate-keeper;49;
2633;frui_0;49;
2633;gate-keeper;50;
2636;final-crs_3;49;545
2636;vege_0;50;
2638;meat_0;48;
2654;final-crs_8;50;1132
2655;final-crs_1;48;853
2764;gate-keeper;53;
2770;vege_1;53;
2786;final-crs_9;53;2074
2958;gate-keeper;54;
2959;gate-keeper;55;
2960;gate-keeper;56;
2961;gate-keeper;57;
2962;meat_1;57;
2965;final-crs_0;57;508
2966;vege_0;54;
2966;vege_1;55;
2976;vege_1;56;
3025;final-crs_9;54;1911
3050;final-crs_4;55;1145
3108;final-crs_6;56;832
3279;gate-keeper;58;
3280;gate-keeper;59;
3281;gate-keeper;60;
3282;gate-keeper;61;
3283;gate-keeper;62;
3285;frui_0;59;
3285;frui_1;61;
3289;meat_0;58;
3300;meat_1;60;
