time;ckpt;id;money
336;gate-keeper;5;
337;vege_1;5;
430;final-crs_10;5;745
846;gate-keeper;10;
847;gate-keeper;11;
848;vege_1;10;
848;gate-keeper;12;
849;vege_0;11;
849;gate-keeper;13;
850;gate-keeper;14;
853;frui_1;14;
857;vege_1;12;
859;vege_0;13;
907;final-crs_10;10;618
917;gate-keeper;15;
921;vege_1;15;
929;final-crs_6;11;1019
942;final-crs_5;14;712
946;final-crs_4;12;346
955;final-crs_0;13;188
955;final-crs_9;15;677
1640;gate-keeper;26;
1641;gate-keeper;27;
1642;gate-keeper;28;
1645;vege_1;26;
1645;frui_0;27;
1646;vege_0;28;
1659;final-crs_11;26;304
1690;final-crs_7;27;1880
1700;final-crs_9;28;1270
2153;gate-keeper;36;
2154;vege_0;36;
2154;gate-keeper;37;
2155;vege_1;37;
2208;final-crs_3;36;610
2210;final-crs_9;37;787
2450;gate-keeper;41;
2451;gate-keeper;42;
2453;vege_0;41;
2456;final-crs_3;41;875
2458;vege_1;42;
2499;final-crs_10;42;509
2570;gate-keeper;43;
2571;gate-keeper;44;
2573;frui_1;44;
2577;vege_0;43;
2585;final-crs_11;44;535
2605;final-crs_0;43;790
2739;gate-keeper;47;
2745;vege_0;47;
2761;final-crs_4;47;1063
3044;gate-keeper;52;
3047;frui_0;52;
3054;final-crs_11;52;866
3419;gate-keeper;56;
3420;gate-keeper;57;
3421;vege_1;56;
3421;frui_1;57;
3421;gate-keeper;58;
3422;gate-keeper;59;
3424;final-crs_3;56;644
3424;final-crs_5;57;235
3426;frui_0;58;
3428;vege_0;59;
3487;final-crs_7;58;304
3488;final-crs_10;59;436
3653;gate-keeper;62;
3654;gate-keeper;63;
3660;vege_0;62;
3660;vege_1;63;
3682;final-crs_3;62;615
3708;gate-keeper;64;
3712;meat_0;64;
3715;final-crs_4;63;1229
3730;final-crs_10;64;108
3975;gate-keeper;68;
3976;gate-keeper;69;
3977;vege_1;68;
3978;vege_0;69;
3986;final-crs_6;68;702
4007;final-crs_2;69;1159
4243;gate-keeper;73;
4250;meat_1;73;
4268;final-crs_2;73;1435
4416;gate-keeper;74;
4417;gate-keeper;75;
4418;frui_1;75;
4418;gate-keeper;76;
4420;vege_0;74;
4426;final-crs_6;75;1318
4444;final-crs_11;74;1255
4448;meat_0;76;
4451;final-crs_0;76;1363
4563;gate-keeper;79;
4567;vege_1;79;
4592;final-crs_8;79;97
4905;gate-keeper;85;
4915;meat_0;85;
4923;final-crs_11;85;64
5177;gate-keeper;90;
5185;vege_1;90;
5199;final-crs_0;90;350
5293;gate-keeper;91;
5295;frui_0;91;
5320;final-crs_8;91;828
5804;gate-keeper;100;
5806;frui_0;100;
5819;final-crs_9;100;343
6104;gate-keeper;105;
6105;gate-keeper;106;
6114;vege_0;105;
6114;vege_1;106;
6135;final-crs_7;105;954
6142;final-crs_1;106;938
6260;gate-keeper;107;
6261;gate-keeper;108;
6267;vege_0;107;
6268;vege_1;108;
6345;final-crs_7;107;551
6351;final-crs_4;108;1635
6423;gate-keeper;112;
6425;frui_0;112;
6426;final-crs_10;112;487
6584;gate-keeper;113;
6585;gate-keeper;114;
6586;gate-keeper;115;
6590;vege_0;113;
6590;vege_1;114;
6595;final-crs_4;113;680
6610;final-crs_6;114;540
6610;meat_1;115;
6632;final-crs_2;115;1512
6656;gate-keeper;116;
6659;vege_1;116;
6671;final-crs_0;116;331
6987;gate-keeper;120;
6988;gate-keeper;121;
6989;vege_1;121;
6989;gate-keeper;122;
6991;frui_0;120;
6994;frui_1;122;
7029;final-crs_6;121;934
7066;final-crs_8;120;779
7096;final-crs_7;122;790
7234;gate-keeper;126;
7236;vege_0;126;
7245;final-crs_5;126;670
7260;gate-keeper;127;
7263;vege_0;127;
7290;final-crs_6;127;391
7878;gate-keeper;137;
7879;gate-keeper;138;
7884;vege_1;137;
7886;vege_0;138;
7932;final-crs_11;137;341
7941;final-crs_3;138;798
8132;gate-keeper;142;
8135;vege_1;142;
8160;final-crs_4;142;519
8665;gate-keeper;152;
8689;meat_0;152;
8690;final-crs_7;152;584
9012;gate-keeper;158;
9015;frui_1;158;
9037;final-crs_8;158;292
9302;gate-keeper;163;
9305;vege_1;163;
9311;final-crs_0;163;1272
10001;gate-keeper;175;
10006;vege_1;175;
10053;final-crs_9;175;1222
10212;gate-keeper;176;
10213;gate-keeper;177;
10214;gate-keeper;178;
10215;vege_1;176;
10215;gate-keeper;179;
10219;frui_0;177;
10220;frui_1;178;
10239;meat_1;179;
10279;final-crs_9;176;853
10323;final-crs_5;177;1189
10354;final-crs_8;178;949
10359;final-crs_0;179;729
10534;gate-keeper;180;
10535;frui_0;180;
10535;gate-keeper;181;
10536;gate-keeper;182;
10537;gate-keeper;183;
10538;vege_1;181;
10538;gate-keeper;184;
