time;ckpt;id;money
342;gate-keeper;0;
343;gate-keeper;1;
344;vege_0;0;
344;frui_0;1;
416;final-crs_11;0;438
457;final-crs_8;1;232
550;gate-keeper;2;
551;gate-keeper;3;
555;frui_0;2;
557;vege_0;3;
621;final-crs_11;2;712
682;final-crs_4;3;510
852;gate-keeper;4;
853;frui_1;4;
853;gate-keeper;5;
854;frui_0;5;
944;final-crs_4;4;1654
959;final-crs_0;5;112
1166;gate-keeper;6;
1167;gate-keeper;7;
1169;vege_0;7;
1173;frui_0;6;
1211;final-crs_8;7;1607
1218;final-crs_0;6;646
1480;gate-keeper;8;
1481;gate-keeper;9;
1486;vege_1;8;
1487;frui_0;9;
1508;final-crs_9;8;681
1527;final-crs_11;9;532
1663;gate-keeper;10;
1664;meat_1;10;
1664;gate-keeper;11;
1685;final-crs_3;10;640
1706;meat_0;11;
1707;final-crs_10;11;106
1756;gate-keeper;12;
1757;vege_0;12;
1775;final-crs_4;12;588
2053;gate-keeper;13;
2054;gate-keeper;14;
2056;frui_0;13;
2062;final-crs_4;13;1193
2072;meat_1;14;
2094;final-crs_8;14;1150
2347;gate-keeper;15;
2348;gate-keeper;16;
2357;meat_0;15;
2366;meat_1;16;
2398;final-crs_0;15;1336
2402;final-crs_10;16;1433
2544;gate-keeper;17;
2545;gate-keeper;18;
2549;frui_1;18;
2550;vege_0;17;
2554;final-crs_8;18;465
2573;final-crs_4;17;515
2910;gate-keeper;19;
2911;gate-keeper;20;
2916;vege_0;19;
2916;vege_1;20;
2928;final-crs_1;19;955
2929;final-crs_11;20;453
3192;gate-keeper;21;
3193;vege_0;21;
3193;gate-keeper;22;
3210;final-crs_3;21;71
3212;meat_0;22;
3214;final-crs_7;22;585
3471;gate-keeper;23;
3472;gate-keeper;24;
3477;vege_1;24;
3478;meat_1;23;
3491;final-crs_8;24;934
3510;gate-keeper;25;
3512;frui_1;25;
3516;final-crs_4;23;2040
3565;final-crs_0;25;395
3768;gate-keeper;26;
3770;frui_1;26;
3786;final-crs_5;26;623
4047;gate-keeper;27;
4048;gate-keeper;28;
4049;gate-keeper;29;
4053;vege_1;27;
4057;vege_0;28;
4062;vege_1;29;
4123;final-crs_11;27;1138
4132;final-crs_2;28;636
4141;final-crs_1;29;1103
4345;gate-keeper;30;
4346;gate-keeper;31;
4356;meat_1;30;
4374;final-crs_11;30;1454
4383;meat_0;31;
4390;final-crs_1;31;381
4714;gate-keeper;32;
4715;gate-keeper;33;
4716;frui_0;32;
4718;frui_1;33;
4751;final-crs_9;32;182
4792;final-crs_0;33;1298
5060;gate-keeper;34;
5061;vege_1;34;
5061;gate-keeper;35;
5062;gate-keeper;36;
5065;vege_0;35;
5065;meat_1;36;
5069;final-crs_11;34;504
5118;final-crs_1;35;1211
5118;final-crs_10;36;128
5333;gate-keeper;37;
5339;meat_1;37;
5348;gate-keeper;38;
5354;frui_1;38;
5359;final-crs_1;37;808
5360;final-crs_10;38;258
5639;gate-keeper;39;
5640;vege_0;39;
5640;gate-keeper;40;
5643;final-crs_6;39;1112
5643;vege_1;40;
5646;final-crs_9;40;669
5888;gate-keeper;41;
5889;gate-keeper;42;
5893;frui_1;42;
5895;vege_0;41;
5926;final-crs_3;42;809
5990;final-crs_11;41;441
6142;gate-keeper;43;
6144;vege_0;43;
6159;final-crs_0;43;530
6319;gate-keeper;44;
6320;frui_0;44;
6320;gate-keeper;45;
6324;vege_1;45;
6348;final-crs_9;44;673
6360;final-crs_5;45;300
6440;gate-keeper;46;
6442;frui_0;46;
6456;final-crs_3;46;490
6733;gate-keeper;47;
6734;gate-keeper;48;
6741;vege_0;47;
6744;vege_1;48;
6747;final-crs_7;47;1476
6795;final-crs_9;48;534
7023;gate-keeper;49;
7024;gate-keeper;50;
7027;vege_1;49;
7031;vege_0;50;
7037;final-crs_9;49;1549
7040;final-crs_0;50;64
7199;gate-keeper;51;
7200;gate-keeper;52;
7206;vege_0;51;
7208;vege_1;52;
7243;final-crs_9;51;167
7250;final-crs_10;52;1255
7620;gate-keeper;53;
7621;gate-keeper;54;
7622;vege_0;54;
7622;gate-keeper;55;
7625;final-crs_8;54;1278
7626;frui_0;53;
7626;frui_1;55;
7631;final-crs_4;53;1110
7645;final-crs_11;55;1251
7898;gate-keeper;56;
7899;gate-keeper;57;
7900;frui_0;56;
7901;frui_1;57;
7918;final-crs_9;56;822
7954;final-crs_7;57;1214
8178;gate-keeper;58;
8179;gate-keeper;59;
8187;vege_0;58;
8188;vege_1;59;
8216;final-crs_0;58;333
8235;final-crs_10;59;696
8421;gate-keeper;60;
8422;vege_1;60;
8424;final-crs_7;60;187
8806;gate-keeper;61;
8807;gate-keeper;62;
8808;gate-keeper;63;
8812;vege_1;61;
