time;ckpt;id;money
306;gate-keeper;0;
307;gate-keeper;1;
308;vege_0;1;
355;meat_1;0;
411;final-crs_6;1;2412
430;final-crs_5;0;3290
586;gate-keeper;2;
587;gate-keeper;3;
591;vege_1;2;
596;vege_0;3;
636;final-crs_6;2;1316
678;final-crs_0;3;612
867;gate-keeper;4;
868;gate-keeper;5;
869;gate-keeper;6;
873;vege_0;6;
881;final-crs_6;6;1745
914;meat_1;4;
925;meat_0;5;
929;final-crs_4;4;1822
949;final-crs_5;5;1270
1165;gate-keeper;7;
1166;gate-keeper;8;
1202;meat_1;7;
1217;meat_0;8;
1231;final-crs_2;7;399
1238;final-crs_9;8;603
1470;gate-keeper;9;
1471;gate-keeper;10;
1472;gate-keeper;11;
1477;vege_0;9;
1477;vege_1;10;
1479;final-crs_8;9;139
1486;vege_0;11;
1491;final-crs_2;10;1934
1512;final-crs_9;11;1741
1708;gate-keeper;12;
1709;gate-keeper;13;
1715;vege_0;12;
1718;vege_1;13;
1732;final-crs_8;12;789
1751;final-crs_9;13;565
1989;gate-keeper;14;
1990;gate-keeper;15;
1991;meat_1;15;
1991;gate-keeper;16;
1996;vege_0;14;
1998;vege_1;16;
2024;final-crs_0;15;1618
2029;final-crs_7;14;2245
2076;final-crs_10;16;4031
2279;gate-keeper;17;
2280;vege_0;17;
2280;gate-keeper;18;
2288;vege_1;18;
2292;final-crs_7;17;1827
2298;final-crs_0;18;2094
2410;gate-keeper;19;
2416;vege_0;19;
2422;final-crs_4;19;353
2591;gate-keeper;20;
2594;vege_1;20;
2604;final-crs_10;20;1250
2757;gate-keeper;21;
2758;vege_1;21;
2758;gate-keeper;22;
2765;vege_0;22;
2787;final-crs_0;21;619
2822;final-crs_6;22;1722
2899;gate-keeper;23;
2901;vege_0;23;
2931;final-crs_5;23;864
3229;gate-keeper;24;
3230;gate-keeper;25;
3231;gate-keeper;26;
3235;meat_0;24;
3236;vege_1;25;
3237;final-crs_2;24;1472
3241;vege_0;26;
3253;final-crs_6;25;2061
3254;final-crs_0;26;1405
3415;gate-keeper;27;
3416;gate-keeper;28;
3424;vege_0;28;
3428;meat_0;27;
3439;final-crs_1;28;1855
3445;final-crs_5;27;2194
3812;gate-keeper;29;
3813;gate-keeper;30;
3814;gate-keeper;31;
3818;vege_0;29;
3819;final-crs_9;29;374
3819;vege_1;30;
3828;meat_1;31;
3830;final-crs_3;30;468
3842;final-crs_10;31;2201
4150;gate-keeper;32;
4151;gate-keeper;33;
4152;gate-keeper;34;
4169;meat_0;32;
4174;meat_1;33;
4177;final-crs_6;32;1443
4178;final-crs_2;33;632
4229;meat_0;34;
4230;final-crs_0;34;2048
4373;gate-keeper;35;
4374;gate-keeper;36;
4379;vege_0;36;
4388;meat_1;35;
4394;final-crs_8;36;1307
4399;final-crs_11;35;1075
4459;gate-keeper;37;
4463;vege_0;37;
4468;final-crs_0;37;3023
4745;gate-keeper;38;
4746;meat_0;38;
4746;gate-keeper;39;
4749;frui_1;39;
4766;final-crs_10;38;1754
4768;final-crs_7;39;1524
5092;gate-keeper;40;
5093;gate-keeper;41;
5094;gate-keeper;42;
5096;vege_1;40;
5100;vege_0;41;
5113;meat_0;42;
5141;final-crs_0;40;1291
5147;gate-keeper;43;
5177;meat_0;43;
5199;final-crs_2;41;1774
5205;final-crs_10;42;67
5207;final-crs_5;43;2635
5413;gate-keeper;44;
5414;gate-keeper;45;
5415;frui_0;44;
5417;vege_0;45;
5426;final-crs_10;44;4122
5446;final-crs_5;45;1774
5721;gate-keeper;46;
5722;gate-keeper;47;
5723;gate-keeper;48;
5726;meat_1;47;
5728;vege_0;46;
5728;vege_1;48;
5746;final-crs_4;47;1914
5757;final-crs_3;46;1035
5769;final-crs_7;48;755
6042;gate-keeper;49;
6043;gate-keeper;50;
6049;vege_0;49;
6050;vege_1;50;
6057;final-crs_1;49;512
6065;final-crs_9;50;182
6228;gate-keeper;51;
6229;gate-keeper;52;
6231;vege_1;52;
6269;meat_0;51;
6283;final-crs_0;52;836
6284;final-crs_11;51;1594
6363;gate-keeper;53;
6379;meat_1;53;
6380;final-crs_10;53;610
6701;gate-keeper;54;
6702;gate-keeper;55;
6703;vege_0;55;
6703;gate-keeper;56;
6709;vege_1;56;
6719;final-crs_0;55;119
6732;final-crs_11;56;1665
6748;meat_1;54;
6796;final-crs_4;54;2422
6928;gate-keeper;57;
6929;gate-keeper;58;
6931;meat_0;57;
6946;final-crs_0;57;1318
6981;meat_1;58;
7009;gate-keeper;59;
7015;vege_1;59;
7025;final-crs_1;58;2014
7025;final-crs_4;59;2629
7224;gate-keeper;60;
7225;gate-keeper;61;
7226;frui_0;61;
7227;vege_1;60;
7281;final-crs_4;61;2137
7301;final-crs_1;60;177
7552;gate-keeper;62;
7553;gate-keeper;63;
7554;gate-keeper;64;
7556;vege_0;63;
7558;vege_1;64;
7566;meat_1;62;
7567;final-crs_4;63;316
7575;final-crs_2;64;1030
7589;final-crs_10;62;930
7706;gate-keeper;65;
7709;vege_1;65;
7789;final-crs_4;65;1906
7881;gate-keeper;66;
7916;meat_1;66;
7928;final-crs_0;66;521
8206;gate-keeper;67;
8207;gate-keeper;68;
8208;gate-keeper;69;
8209;vege_0;67;
8210;vege_1;68;
8214;frui_1;69;
8261;final-crs_1;67;2571
8265;final-crs_2;68;1357
8272;final-crs_11;69;1807
8495;gate-keeper;70;
8496;gate-keeper;71;
8497;gate-keeper;72;
8502;vege_1;70;
8514;final-crs_9;70;1562
8516;meat_1;71;
8522;final-crs_11;71;79
8549;meat_0;72;
8576;final-crs_1;72;1238
8818;gate-keeper;73;
8819;gate-keeper;74;
8820;gate-keeper;75;
8823;frui_0;75;
8824;final-crs_6;75;323
8825;vege_0;74;
8829;meat_0;73;
8842;final-crs_8;74;365
8847;final-crs_10;73;1127
9124;gate-keeper;76;
9125;gate-keeper;77;
9126;vege_1;77;
9147;meat_0;76;
9188;final-crs_0;77;1411
9192;final-crs_2;76;1137
9405;gate-keeper;78;
9406;gate-keeper;79;
9407;frui_1;79;
9407;gate-keeper;80;
9411;vege_0;80;
9413;final-crs_9;79;518
9432;final-crs_11;80;356
9448;meat_1;78;
9461;final-crs_2;78;231
9512;gate-keeper;81;
9514;frui_0;81;
9527;final-crs_6;81;96
9739;gate-keeper;82;
9743;vege_1;82;
9793;final-crs_6;82;802
9935;gate-keeper;83;
9936;gate-keeper;84;
9937;frui_0;83;
9946;meat_0;84;
9953;final-crs_11;83;776
9966;final-crs_0;84;1147
10035;gate-keeper;85;
10053;meat_0;85;
10055;final-crs_8;85;4262
10351;gate-keeper;86;
10352;gate-keeper;87;
10353;gate-keeper;88;
10359;vege_0;88;
10361;final-crs_8;88;2216
10393;meat_0;86;
10403;meat_1;87;
10432;final-crs_0;86;2494
10434;final-crs_3;87;785
10495;gate-keeper;89;
10498;vege_0;89;
10500;final-crs_1;89;1892
10637;gate-keeper;90;
10639;frui_1;90;
10653;final-crs_3;90;1103
10988;gate-keeper;91;
10989;gate-keeper;92;
10990;gate-keeper;93;
10992;frui_1;91;
10994;vege_0;93;
11001;final-crs_6;91;60
11014;meat_0;92;
11020;final-crs_9;93;327
11033;final-crs_7;92;2609
11322;gate-keeper;94;
11323;gate-keeper;95;
11324;gate-keeper;96;
11325;vege_1;94;
11327;frui_0;95;
11332;vege_0;96;
11336;final-crs_3;94;723
11359;final-crs_8;95;91
11368;final-crs_0;96;1296
11616;gate-keeper;97;
11617;gate-keeper;98;
11620;vege_0;98;
11629;final-crs_0;98;889
11634;meat_1;97;
11653;final-crs_1;97;894
11919;gate-keeper;99;
11920;gate-keeper;100;
11921;gate-keeper;101;
11923;frui_0;99;
11926;frui_1;100;
11942;meat_1;101;
11948;final-crs_11;99;109
11970;final-crs_7;100;1426
11972;final-crs_4;101;427
12284;gate-keeper;102;
12285;gate-keeper;103;
12286;frui_1;103;
12286;gate-keeper;104;
12288;vege_1;102;
12290;vege_0;104;
12320;final-crs_2;103;1695
12342;final-crs_1;102;1891
12368;final-crs_8;104;620
12400;gate-keeper;105;
12402;vege_0;105;
12415;final-crs_5;105;648
12538;gate-keeper;106;
12541;vege_1;106;
12562;final-crs_1;106;2438
12861;gate-keeper;107;
12862;gate-keeper;108;
12863;gate-keeper;109;
12866;vege_0;108;
12887;meat_0;107;
12889;final-crs_7;108;2055
12899;meat_1;109;
12901;final-crs_11;107;611
12902;final-crs_5;109;5112
13154;gate-keeper;110;
13155;gate-keeper;111;
13156;gate-keeper;112;
13157;vege_1;110;
13158;vege_0;111;
13176;final-crs_4;110;983
13180;final-crs_2;111;887
13189;meat_0;112;
13190;final-crs_11;112;1771
13365;gate-keeper;113;
13377;meat_0;113;
13378;final-crs_5;113;2157
13466;gate-keeper;114;
13467;frui_0;114;
13526;final-crs_1;114;842
13755;gate-keeper;115;
13756;gate-keeper;116;
13758;vege_1;115;
13768;meat_1;116;
13770;final-crs_1;115;894
13781;gate-keeper;117;
13783;frui_0;117;
13793;final-crs_8;116;808
13809;final-crs_5;117;961
14025;gate-keeper;118;
14026;gate-keeper;119;
14031;vege_0;118;
14031;vege_1;119;
14037;final-crs_1;118;2847
14049;final-crs_7;119;3353
14253;gate-keeper;120;
14254;gate-keeper;121;
14257;frui_0;121;
14263;meat_0;120;
14279;final-crs_7;121;575
14320;final-crs_10;120;505
14656;gate-keeper;122;
14657;gate-keeper;123;
14658;gate-keeper;124;
14659;vege_1;124;
14664;frui_0;123;
14682;meat_0;122;
14689;final-crs_6;124;2086
14690;final-crs_9;123;2039
14699;final-crs_8;122;2644
14943;gate-keeper;125;
14944;gate-keeper;126;
14945;gate-keeper;127;
14948;vege_1;125;
14949;vege_0;126;
14957;vege_0;127;
14976;final-crs_4;125;844
14982;final-crs_8;126;365
14987;final-crs_1;127;2023
15122;gate-keeper;128;
15123;frui_1;128;
15123;gate-keeper;129;
15124;frui_0;129;
15139;final-crs_9;128;1169
15169;final-crs_3;129;710
15235;gate-keeper;130;
15242;vege_0;130;
15258;final-crs_10;130;1385
15553;gate-keeper;131;
15554;gate-keeper;132;
15555;gate-keeper;133;
15556;meat_0;131;
15557;vege_0;132;
15557;frui_0;133;
15576;final-crs_0;131;1784
15606;final-crs_6;132;564
15613;final-crs_8;133;887
15824;gate-keeper;134;
15825;gate-keeper;135;
15830;vege_0;134;
15831;vege_1;135;
15834;final-crs_2;134;132
15842;final-crs_0;135;1269
16098;gate-keeper;136;
16099;gate-keeper;137;
16102;vege_0;137;
16105;meat_1;136;
16117;final-crs_6;137;2140
16125;final-crs_8;136;346
16405;gate-keeper;138;
16406;vege_1;138;
16406;gate-keeper;139;
16407;gate-keeper;140;
16411;final-crs_4;138;462
16413;vege_0;139;
16415;vege_1;140;
16424;final-crs_7;139;615
16438;final-crs_10;140;2008
16687;gate-keeper;141;
16688;vege_0;141;
16688;gate-keeper;142;
16690;vege_1;142;
16722;final-crs_5;141;2153
16735;final-crs_9;142;1757
16799;gate-keeper;143;
16802;frui_1;143;
16820;final-crs_8;143;528
17057;gate-keeper;144;
17058;meat_0;144;
17058;gate-keeper;145;
17081;final-crs_6;144;1273
17093;meat_1;145;
17164;final-crs_4;145;3246
17345;gate-keeper;146;
17346;gate-keeper;147;
17347;meat_0;147;
17347;gate-keeper;148;
17351;vege_0;146;
17400;meat_0;148;
17437;final-crs_1;147;1163
17440;final-crs_7;146;504
17440;final-crs_10;148;110
17601;gate-keeper;149;
17602;gate-keeper;150;
17605;vege_1;149;
17609;vege_0;150;
17646;final-crs_7;149;2419
17652;final-crs_1;150;1546
17965;gate-keeper;151;
17966;gate-keeper;152;
17967;gate-keeper;153;
17970;meat_0;151;
17971;vege_0;153;
17977;final-crs_11;151;1306
17979;final-crs_2;153;2233
18009;meat_1;152;
18021;final-crs_3;152;457
18276;gate-keeper;154;
18277;gate-keeper;155;
18278;gate-keeper;156;
18279;gate-keeper;157;
18280;vege_0;154;
18280;vege_1;155;
18280;gate-keeper;158;
18281;gate-keeper;159;
18282;gate-keeper;160;
18286;frui_0;159;
18289;vege_0;157;
18290;vege_1;160;
18291;final-crs_1;154;828
18291;final-crs_3;155;1913
18314;final-crs_6;159;2003
18325;meat_1;156;
