time;ckpt;id;money
363;gate-keeper;0;
368;frui_0;0;
412;final-crs_4;0;743
653;gate-keeper;1;
654;frui_0;1;
654;gate-keeper;2;
656;vege_1;2;
660;final-crs_4;1;1086
666;final-crs_5;2;373
952;gate-keeper;3;
978;meat_1;3;
988;final-crs_2;3;439
1292;gate-keeper;4;
1295;frui_1;4;
1345;final-crs_6;4;173
1556;gate-keeper;5;
1562;vege_1;5;
1584;final-crs_8;5;1299
1863;gate-keeper;6;
1864;gate-keeper;7;
1871;vege_0;7;
1873;final-crs_1;7;432
1912;meat_0;6;
1918;final-crs_11;6;612
2172;gate-keeper;8;
2173;vege_0;8;
2192;final-crs_5;8;93
2438;gate-keeper;9;
2439;gate-keeper;10;
2441;vege_0;10;
2444;frui_1;9;
2459;final-crs_2;10;1178
2464;final-crs_10;9;1848
2719;gate-keeper;11;
2725;vege_0;11;
2733;final-crs_2;11;486
3075;gate-keeper;12;
3076;vege_1;12;
3076;gate-keeper;13;
3080;final-crs_3;12;694
3092;meat_1;13;
3103;final-crs_5;13;65
3362;gate-keeper;14;
3363;meat_0;14;
3395;final-crs_10;14;121
3659;gate-keeper;15;
3660;vege_1;15;
3660;gate-keeper;16;
3668;vege_0;16;
3680;final-crs_7;15;93
3705;final-crs_2;16;222
3971;gate-keeper;17;
3974;frui_0;17;
3984;final-crs_3;17;928
4265;gate-keeper;18;
4266;frui_1;18;
4266;gate-keeper;19;
4273;vege_0;19;
4294;final-crs_5;18;1367
4303;final-crs_10;19;1739
4580;gate-keeper;20;
4582;meat_0;20;
4593;final-crs_4;20;60
4778;gate-keeper;21;
4785;vege_0;21;
4786;final-crs_5;21;1013
4868;gate-keeper;22;
4870;frui_0;22;
4894;final-crs_9;22;1364
5181;gate-keeper;23;
5182;gate-keeper;24;
5183;vege_1;24;
5183;meat_0;23;
5186;final-crs_1;24;1693
5224;final-crs_6;23;373
5454;gate-keeper;25;
5455;vege_1;25;
5460;final-crs_7;25;1127
5730;gate-keeper;26;
5734;vege_0;26;
5742;final-crs_7;26;538
6018;gate-keeper;27;
6019;gate-keeper;28;
6020;vege_1;27;
6023;vege_0;28;
6051;final-crs_4;27;1430
6112;final-crs_9;28;522
6365;gate-keeper;29;
6368;frui_1;29;
6381;final-crs_3;29;612
6638;gate-keeper;30;
6639;frui_1;30;
6639;gate-keeper;31;
6642;vege_0;31;
6662;final-crs_2;30;812
6670;final-crs_10;31;70
6904;gate-keeper;32;
6906;frui_1;32;
6907;final-crs_2;32;90
7291;gate-keeper;33;
7292;gate-keeper;34;
7293;frui_0;34;
7319;final-crs_9;34;394
7327;meat_0;33;
7340;final-crs_5;33;1147
7579;gate-keeper;35;
7583;vege_1;35;
7612;final-crs_5;35;842
7874;gate-keeper;36;
7879;frui_0;36;
7894;final-crs_2;36;610
8171;gate-keeper;37;
8172;gate-keeper;38;
8179;vege_0;37;
8180;vege_1;38;
8241;final-crs_11;37;148
8258;final-crs_9;38;885
8432;gate-keeper;39;
8434;vege_0;39;
8471;final-crs_9;39;801
8773;gate-keeper;40;
8776;vege_1;40;
8790;final-crs_2;40;1714
9018;gate-keeper;41;
9024;vege_0;41;
9034;final-crs_2;41;273
9280;gate-keeper;42;
9281;gate-keeper;43;
9282;frui_1;43;
9285;final-crs_7;43;187
9286;vege_1;42;
9307;final-crs_5;42;745
9600;gate-keeper;44;
9601;meat_1;44;
9624;final-crs_0;44;784
9936;gate-keeper;45;
9937;gate-keeper;46;
9938;frui_0;46;
9950;meat_1;45;
9979;final-crs_3;46;500
9989;final-crs_5;45;921
10237;gate-keeper;47;
10241;vege_0;47;
