time;ckpt;id;money
339;gate-keeper;0;
340;gate-keeper;1;
341;frui_1;0;
344;vege_0;1;
429;final-crs_8;0;214
434;final-crs_1;1;463
642;gate-keeper;2;
643;gate-keeper;3;
644;frui_0;3;
644;meat_1;2;
690;final-crs_1;3;436
701;final-crs_5;2;845
918;gate-keeper;4;
919;gate-keeper;5;
921;vege_1;4;
932;meat_1;5;
953;final-crs_4;4;1692
961;final-crs_0;5;128
997;gate-keeper;6;
1001;frui_0;6;
1006;final-crs_6;6;1074
1206;gate-keeper;7;
1209;meat_0;7;
1218;final-crs_5;7;378
1541;gate-keeper;8;
1542;gate-keeper;9;
1543;gate-keeper;10;
1544;frui_0;9;
1544;frui_1;10;
1547;meat_1;8;
1621;final-crs_1;9;555
1621;final-crs_2;10;660
1624;final-crs_10;8;708
1811;gate-keeper;11;
1815;frui_0;11;
1835;final-crs_2;11;589
1859;gate-keeper;12;
1862;vege_0;12;
1889;final-crs_4;12;355
2127;gate-keeper;13;
2128;gate-keeper;14;
2147;meat_1;13;
2159;final-crs_6;13;568
2171;meat_0;14;
2172;final-crs_7;14;130
2382;gate-keeper;15;
2383;gate-keeper;16;
2387;frui_0;16;
2402;final-crs_7;16;621
2407;meat_0;15;
2419;final-crs_3;15;992
2666;gate-keeper;17;
2667;gate-keeper;18;
2668;frui_1;17;
2672;frui_0;18;
2727;final-crs_8;17;1040
2737;final-crs_9;18;767
3009;gate-keeper;19;
3010;gate-keeper;20;
3011;frui_0;19;
3012;final-crs_1;19;2238
3012;vege_0;20;
3023;final-crs_4;20;968
3318;gate-keeper;21;
3319;gate-keeper;22;
3320;vege_0;22;
3320;gate-keeper;23;
3324;frui_0;23;
3333;meat_0;21;
3346;final-crs_7;22;395
3348;final-crs_0;23;750
3363;final-crs_11;21;775
3460;gate-keeper;24;
3465;vege_1;24;
3473;final-crs_3;24;255
3598;gate-keeper;25;
3599;frui_1;25;
3604;final-crs_7;25;1196
3920;gate-keeper;26;
3921;frui_1;26;
3921;gate-keeper;27;
3924;frui_0;27;
3931;final-crs_4;26;1000
3943;final-crs_8;27;805
4158;gate-keeper;28;
4159;gate-keeper;29;
4168;meat_0;28;
4189;final-crs_8;28;250
4193;meat_1;29;
4200;final-crs_1;29;272
4343;gate-keeper;30;
4350;frui_0;30;
4354;final-crs_2;30;1357
4454;gate-keeper;31;
4462;vege_0;31;
4482;final-crs_1;31;415
4742;gate-keeper;32;
4743;frui_0;32;
4743;gate-keeper;33;
4744;frui_1;33;
4745;final-crs_1;32;831
4783;final-crs_7;33;1169
5022;gate-keeper;34;
5023;frui_0;34;
5071;final-crs_0;34;311
5192;gate-keeper;35;
5193;gate-keeper;36;
5198;vege_0;35;
5198;vege_1;36;
5199;final-crs_11;35;438
5232;final-crs_3;36;1079
5539;gate-keeper;37;
5540;gate-keeper;38;
5546;vege_1;37;
5569;final-crs_10;37;666
5586;meat_1;38;
5625;final-crs_6;38;714
5820;gate-keeper;39;
5821;gate-keeper;40;
5823;frui_1;39;
5824;final-crs_6;39;66
5827;frui_0;40;
5835;final-crs_9;40;1163
5912;gate-keeper;41;
5927;meat_1;41;
5930;final-crs_5;41;72
6125;gate-keeper;42;
6126;gate-keeper;43;
6131;vege_1;42;
6132;frui_1;43;
6136;final-crs_2;42;805
6139;final-crs_1;43;303
6438;gate-keeper;44;
6439;gate-keeper;45;
6440;vege_0;45;
6445;final-crs_3;45;804
6445;frui_0;44;
6479;final-crs_10;44;696
6776;gate-keeper;46;
6777;gate-keeper;47;
6779;vege_0;47;
6779;frui_0;46;
6793;final-crs_1;47;1271
6813;final-crs_7;46;755
6941;gate-keeper;48;
6947;frui_1;48;
6948;final-crs_11;48;408
7081;gate-keeper;49;
7112;meat_0;49;
7123;final-crs_6;49;550
7438;gate-keeper;50;
7439;gate-keeper;51;
7440;vege_1;50;
7440;frui_1;51;
7440;gate-keeper;52;
7445;vege_0;52;
7475;final-crs_7;50;358
7490;final-crs_0;51;948
7516;final-crs_5;52;153
7744;gate-keeper;53;
7745;gate-keeper;54;
7749;frui_0;54;
7752;vege_1;53;
7772;final-crs_5;54;2186
7773;final-crs_2;53;1056
7847;gate-keeper;55;
7850;frui_1;55;
7860;final-crs_10;55;283
8050;gate-keeper;56;
8065;gate-keeper;57;
8073;meat_0;56;
8086;final-crs_11;56;82
8110;meat_1;57;
8116;final-crs_10;57;867
8400;gate-keeper;58;
8401;gate-keeper;59;
8404;frui_0;58;
8407;frui_1;59;
8423;final-crs_3;58;1059
8441;final-crs_0;59;411
8712;gate-keeper;60;
8713;gate-keeper;61;
8717;frui_0;61;
8718;meat_1;60;
8739;final-crs_1;61;536
8753;final-crs_2;60;1037
9037;gate-keeper;62;
9038;gate-keeper;63;
9040;frui_0;62;
9046;final-crs_8;62;968
9080;meat_0;63;
9100;final-crs_7;63;716
9419;gate-keeper;64;
9420;gate-keeper;65;
9421;frui_0;65;
9421;gate-keeper;66;
9422;vege_0;64;
9424;meat_0;66;
9435;final-crs_4;65;426
9457;final-crs_11;64;684
9505;final-crs_5;66;1184
9683;gate-keeper;67;
9684;frui_0;67;
9684;gate-keeper;68;
9690;final-crs_0;67;212
9690;vege_1;68;
9731;final-crs_1;68;1185
10027;gate-keeper;69;
10028;gate-keeper;70;
10029;gate-keeper;71;
10032;vege_1;69;
10033;final-crs_9;69;376
10034;vege_0;70;
10039;final-crs_6;70;899
10041;vege_1;71;
10060;final-crs_10;71;905
10355;gate-keeper;72;
10356;gate-keeper;73;
10357;frui_0;73;
10362;meat_0;72;
10423;final-crs_1;73;578
10442;final-crs_5;72;758
10630;gate-keeper;74;
10631;gate-keeper;75;
10634;vege_0;75;
10639;meat_1;74;
10643;final-crs_1;75;780
10698;final-crs_10;74;655
10747;gate-keeper;76;
10758;meat_0;76;
10773;final-crs_8;76;930
11075;gate-keeper;77;
11076;gate-keeper;78;
11080;frui_1;77;
11082;final-crs_4;77;192
11083;vege_0;78;
11087;final-crs_5;78;199
11330;gate-keeper;79;
11331;gate-keeper;80;
11332;vege_1;79;
11334;vege_0;80;
11347;final-crs_3;79;743
11393;final-crs_1;80;1075
11553;gate-keeper;81;
11554;frui_1;81;
11580;final-crs_3;81;61
11607;gate-keeper;82;
11610;frui_0;82;
11631;final-crs_1;82;752
11923;gate-keeper;83;
11924;gate-keeper;84;
11928;vege_0;83;
11932;vege_1;84;
11957;final-crs_0;83;897
11958;final-crs_5;84;652
12209;gate-keeper;85;
12210;gate-keeper;86;
12213;vege_1;85;
12219;vege_0;86;
12222;final-crs_9;85;168
12223;final-crs_0;86;636
12398;gate-keeper;87;
12399;gate-keeper;88;
12404;vege_0;87;
12408;vege_1;88;
12411;final-crs_7;87;1175
12438;final-crs_0;88;87
12766;gate-keeper;89;
12767;gate-keeper;90;
12771;frui_1;89;
12811;meat_0;90;
12853;final-crs_1;89;1070
12872;final-crs_7;90;1218
13031;gate-keeper;91;
13032;gate-keeper;92;
13036;vege_1;92;
13053;meat_1;91;
13058;final-crs_1;92;1875
13071;final-crs_3;91;374
13288;gate-keeper;93;
13289;gate-keeper;94;
13290;vege_0;93;
13296;vege_1;94;
13304;final-crs_1;93;432
13313;final-crs_3;94;360
13564;gate-keeper;95;
13565;vege_1;95;
13565;gate-keeper;96;
13570;frui_1;96;
13584;final-crs_3;95;175
13596;final-crs_7;96;695
13948;gate-keeper;97;
13949;gate-keeper;98;
13950;gate-keeper;99;
13953;frui_0;97;
13955;frui_1;98;
13959;frui_0;99;
13968;final-crs_8;97;951
13978;final-crs_11;98;1723
13998;final-crs_1;99;1753
14183;gate-keeper;100;
14186;vege_1;100;
14202;final-crs_1;100;764
14273;gate-keeper;101;
14277;vege_0;101;
14283;final-crs_7;101;570
14574;gate-keeper;102;
14575;gate-keeper;103;
14576;vege_1;102;
14576;frui_1;103;
14582;final-crs_2;102;136
14625;final-crs_6;103;1254
14851;gate-keeper;104;
14852;gate-keeper;105;
14854;frui_0;104;
14856;vege_1;105;
14858;final-crs_5;104;73
14862;final-crs_0;105;1590
15150;gate-keeper;106;
15151;gate-keeper;107;
15152;vege_1;107;
15154;frui_0;106;
15157;final-crs_8;107;165
15203;final-crs_7;106;456
15495;gate-keeper;108;
15496;gate-keeper;109;
15504;vege_1;108;
15505;vege_0;109;
15534;final-crs_2;108;292
15543;final-crs_4;109;145
15787;gate-keeper;110;
15788;vege_0;110;
15788;gate-keeper;111;
15789;gate-keeper;112;
15790;gate-keeper;113;
15791;gate-keeper;114;
15792;gate-keeper;115;
15794;final-crs_6;110;220
15799;vege_0;113;
15799;vege_1;114;
15803;final-crs_3;113;2419
15809;vege_1;115;
15821;meat_0;111;
15825;meat_1;112;
15837;final-crs_8;114;245
15917;final-crs_10;115;1126
15918;final-crs_9;111;1116
15922;final-crs_7;112;288
16081;gate-keeper;116;
16082;frui_0;116;
16082;gate-keeper;117;
16083;gate-keeper;118;
16084;frui_1;118;
16084;gate-keeper;119;
16085;gate-keeper;120;
16086;gate-keeper;121;
16090;vege_0;117;
16090;frui_0;119;
16090;frui_1;120;
16096;frui_0;121;
16146;final-crs_9;116;921
16146;final-crs_10;118;777
16173;final-crs_7;117;591
16200;final-crs_4;119;1717
16203;final-crs_0;120;1340
16230;final-crs_2;121;352
16407;gate-keeper;122;
16408;gate-keeper;123;
16411;vege_0;122;
16413;vege_1;123;
16429;final-crs_7;122;1518
16435;final-crs_4;123;348
16669;gate-keeper;124;
16670;gate-keeper;125;
16671;frui_0;125;
16683;final-crs_1;125;467
16710;meat_0;124;
16730;final-crs_0;124;201
16959;gate-keeper;126;
16960;gate-keeper;127;
16962;vege_0;126;
16968;final-crs_0;126;903
16970;vege_1;127;
16973;final-crs_1;127;1112
17027;gate-keeper;128;
17028;vege_0;128;
17036;final-crs_11;128;182
17209;gate-keeper;129;
17216;vege_0;129;
17217;final-crs_1;129;1108
17531;gate-keeper;130;
17532;gate-keeper;131;
17533;frui_0;131;
17533;gate-keeper;132;
17535;frui_1;132;
17551;final-crs_9;131;148
17551;meat_0;130;
17570;final-crs_10;132;81
17592;final-crs_2;130;581
17810;gate-keeper;133;
17811;frui_1;133;
17811;gate-keeper;134;
17834;final-crs_10;133;632
17849;meat_1;134;
17861;final-crs_7;134;100
17940;gate-keeper;135;
17942;frui_1;135;
17948;final-crs_3;135;1052
18136;gate-keeper;136;
18139;vege_0;136;
18180;final-crs_3;136;376
18430;gate-keeper;137;
18431;meat_1;137;
18431;gate-keeper;138;
18434;vege_0;138;
18471;final-crs_11;137;205
18491;final-crs_1;138;566
18675;gate-keeper;139;
18676;vege_0;139;
18676;gate-keeper;140;
18677;gate-keeper;141;
18678;vege_1;140;
18678;gate-keeper;142;
18679;gate-keeper;143;
18680;final-crs_1;139;101
18680;gate-keeper;144;
18683;frui_1;143;
18684;vege_0;142;
18686;frui_0;144;
18706;final-crs_11;140;1071
18710;gate-keeper;145;
18711;gate-keeper;146;
18712;frui_0;145;
18712;frui_1;146;
18712;gate-keeper;147;
18714;vege_0;147;
18721;meat_0;141;
18773;final-crs_10;143;934
18776;final-crs_5;142;531
18778;final-crs_7;144;817
18808;final-crs_2;145;827
18821;final-crs_6;146;757
18829;final-crs_9;147;878
18833;final-crs_8;141;1393
19030;gate-keeper;148;
19031;gate-keeper;149;
19032;gate-keeper;150;
19033;gate-keeper;151;
19034;frui_0;149;
19034;gate-keeper;152;
19035;gate-keeper;153;
19036;vege_1;150;
19037;frui_1;152;
19041;frui_0;153;
19043;meat_1;148;
19060;final-crs_9;149;911
19071;final-crs_8;150;1439
19074;final-crs_6;152;1683
19075;meat_0;151;
19088;final-crs_2;153;1046
19108;final-crs_4;148;633
19115;final-crs_0;151;508
19326;gate-keeper;154;
19327;gate-keeper;155;
19328;frui_1;155;
19328;gate-keeper;156;
19329;gate-keeper;157;
19330;gate-keeper;158;
19331;vege_1;156;
19331;frui_0;157;
19331;meat_0;154;
19331;gate-keeper;159;
19332;vege_0;159;
19334;frui_1;158;
19338;final-crs_9;155;939
19343;final-crs_0;156;761
19353;final-crs_2;157;1372
19370;final-crs_3;154;1386
19370;final-crs_4;159;1383
19442;gate-keeper;160;
19443;meat_0;160;
19458;final-crs_11;158;689
19465;final-crs_7;160;1055
19631;gate-keeper;161;
19633;vege_0;161;
19642;final-crs_4;161;1679
19898;gate-keeper;162;
19899;frui_1;162;
19899;gate-keeper;163;
19903;frui_0;163;
19907;final-crs_4;162;384
19907;final-crs_11;163;1388
20158;gate-keeper;164;
20159;gate-keeper;165;
20160;frui_0;165;
20160;gate-keeper;166;
20161;gate-keeper;167;
20162;gate-keeper;168;
20163;gate-keeper;169;
20164;vege_0;166;
20168;vege_1;167;
20173;vege_0;168;
20176;vege_1;169;
20193;meat_0;164;
20239;final-crs_6;165;1086
20244;final-crs_3;166;1186
20254;final-crs_2;167;592
20256;final-crs_8;168;550
20261;final-crs_10;169;135
20267;final-crs_9;164;90
20294;gate-keeper;170;
20295;gate-keeper;171;
20296;gate-keeper;172;
20297;gate-keeper;173;
20298;vege_0;172;
20298;frui_1;170;
20301;frui_0;171;
20304;vege_1;173;
20316;final-crs_0;172;246
20373;final-crs_7;170;1051
20389;final-crs_1;171;620
20401;final-crs_11;173;1634
20479;gate-keeper;174;
20480;frui_1;174;
20481;final-crs_6;174;480
20767;gate-keeper;175;
20768;vege_1;175;
20768;gate-keeper;176;
20796;final-crs_0;175;323
20814;meat_1;176;
20851;final-crs_11;176;963
