time;ckpt;id;money
241;gate-keeper;0;
246;vege_0;0;
252;final-crs_3;0;709
556;gate-keeper;1;
557;vege_1;1;
557;gate-keeper;2;
568;meat_0;2;
664;final-crs_2;1;517
685;final-crs_10;2;791
820;gate-keeper;3;
821;gate-keeper;4;
824;vege_0;4;
825;meat_1;3;
893;final-crs_10;4;1079
897;final-crs_2;3;402
1150;gate-keeper;5;
1151;gate-keeper;6;
1153;vege_1;5;
1162;meat_1;6;
1165;final-crs_8;5;172
1168;final-crs_1;6;1242
1465;gate-keeper;7;
1466;gate-keeper;8;
1468;frui_1;7;
1468;meat_1;8;
1477;final-crs_6;7;802
1494;final-crs_0;8;1458
1669;gate-keeper;9;
1713;meat_1;9;
1717;final-crs_7;9;128
1808;gate-keeper;10;
1838;meat_1;10;
1867;final-crs_6;10;962
2052;gate-keeper;11;
2053;gate-keeper;12;
2054;vege_1;11;
2062;final-crs_2;11;1165
2062;vege_0;12;
2081;final-crs_6;12;505
2372;gate-keeper;13;
2373;gate-keeper;14;
2396;meat_0;13;
2399;final-crs_3;13;1114
2411;meat_1;14;
2452;final-crs_7;14;1400
2619;gate-keeper;15;
2620;gate-keeper;16;
2623;vege_1;15;
2624;vege_0;16;
2634;final-crs_0;15;1917
2650;final-crs_11;16;1278
2894;gate-keeper;17;
2901;meat_1;17;
2905;final-crs_11;17;707
3216;gate-keeper;18;
3217;gate-keeper;19;
3219;vege_0;18;
3227;vege_1;19;
3259;final-crs_2;18;482
3260;final-crs_8;19;1149
3382;gate-keeper;20;
3383;frui_0;20;
3389;final-crs_7;20;587
3490;gate-keeper;21;
3493;frui_0;21;
3510;final-crs_8;21;1141
3788;gate-keeper;22;
3789;gate-keeper;23;
3798;meat_1;22;
3808;meat_0;23;
3809;final-crs_0;22;193
3818;final-crs_1;23;725
4059;gate-keeper;24;
4060;gate-keeper;25;
4062;frui_0;24;
4062;frui_1;25;
4082;final-crs_5;24;932
4088;final-crs_4;25;1335
4340;gate-keeper;26;
4367;meat_1;26;
4369;final-crs_7;26;99
4609;gate-keeper;27;
4610;gate-keeper;28;
4612;vege_1;27;
4614;frui_0;28;
4615;final-crs_10;27;220
4624;final-crs_4;28;614
4921;gate-keeper;29;
4922;gate-keeper;30;
4924;frui_1;30;
4930;final-crs_8;30;892
4964;meat_1;29;
4978;final-crs_6;29;870
5165;gate-keeper;31;
5168;vege_1;31;
5184;final-crs_0;31;719
5409;gate-keeper;32;
5410;frui_0;32;
5410;gate-keeper;33;
5415;frui_1;33;
5454;final-crs_0;32;551
5460;final-crs_2;33;478
5521;gate-keeper;34;
5539;meat_1;34;
5562;final-crs_7;34;221
5687;gate-keeper;35;
5692;frui_0;35;
5695;final-crs_0;35;703
5972;gate-keeper;36;
5973;gate-keeper;37;
5974;frui_0;36;
5978;vege_1;37;
6004;final-crs_9;36;1102
6059;final-crs_5;37;437
6311;gate-keeper;38;
6312;gate-keeper;39;
6313;vege_0;38;
6317;frui_0;39;
6330;final-crs_5;38;236
6337;final-crs_11;39;163
6556;gate-keeper;40;
6557;gate-keeper;41;
6558;frui_1;40;
6560;vege_0;41;
6581;final-crs_1;40;662
6588;final-crs_6;41;250
6908;gate-keeper;42;
6909;gate-keeper;43;
6911;vege_0;42;
6914;final-crs_5;42;236
6918;vege_1;43;
6932;final-crs_0;43;521
7277;gate-keeper;44;
7278;gate-keeper;45;
7281;frui_1;44;
7283;frui_0;45;
7292;final-crs_6;44;109
7313;final-crs_1;45;594
7491;gate-keeper;46;
7498;vege_0;46;
7516;final-crs_11;46;1188
7568;gate-keeper;47;
7571;vege_1;47;
7583;final-crs_10;47;198
7822;gate-keeper;48;
7828;vege_0;48;
7846;final-crs_5;48;1409
8109;gate-keeper;49;
8110;gate-keeper;50;
8111;frui_1;50;
8113;vege_1;49;
8126;final-crs_0;50;469
8142;final-crs_7;49;838
8430;gate-keeper;51;
8431;gate-keeper;52;
8435;vege_0;51;
8440;vege_1;52;
8450;final-crs_1;51;989
8489;final-crs_5;52;61
8709;gate-keeper;53;
8711;frui_0;53;
8720;final-crs_9;53;341
8996;gate-keeper;54;
8997;vege_0;54;
8997;gate-keeper;55;
9001;vege_1;55;
9008;final-crs_3;54;715
9013;final-crs_5;55;369
9325;gate-keeper;56;
9326;gate-keeper;57;
9327;gate-keeper;58;
9328;frui_0;56;
9329;vege_1;57;
9330;frui_1;58;
9361;final-crs_1;56;636
9431;final-crs_2;57;1094
9460;final-crs_9;58;971
9553;gate-keeper;59;
9555;frui_0;59;
