time;ckpt;id;money
329;gate-keeper;0;
330;gate-keeper;1;
331;vege_1;0;
331;gate-keeper;2;
333;vege_0;1;
358;meat_0;2;
442;final-crs_1;0;76
460;final-crs_5;1;1734
472;final-crs_6;2;629
819;gate-keeper;7;
820;frui_0;7;
820;gate-keeper;8;
821;vege_0;8;
921;final-crs_1;7;370
925;final-crs_5;8;223
960;gate-keeper;10;
966;vege_0;10;
971;final-crs_6;10;1975
1617;gate-keeper;18;
1618;frui_0;18;
1639;final-crs_6;18;1044
2742;gate-keeper;30;
2743;gate-keeper;31;
2744;gate-keeper;32;
2748;frui_1;31;
2750;frui_0;32;
2760;meat_0;30;
2783;final-crs_0;31;133
2785;final-crs_5;32;84
2870;final-crs_1;30;890
3075;gate-keeper;33;
3076;gate-keeper;34;
3077;gate-keeper;35;
3081;vege_0;33;
3087;final-crs_1;33;584
3128;meat_1;34;
3134;meat_0;35;
3178;final-crs_4;34;479
3190;final-crs_3;35;631
3433;gate-keeper;39;
3434;gate-keeper;40;
3435;frui_1;39;
3437;meat_0;40;
3476;final-crs_2;39;1026
3495;final-crs_5;40;431
3664;gate-keeper;43;
3686;meat_0;43;
3717;final-crs_5;43;1775
3929;gate-keeper;44;
3930;gate-keeper;45;
3931;gate-keeper;46;
3934;vege_0;44;
3935;vege_1;45;
3943;vege_0;46;
3969;final-crs_5;44;883
3982;final-crs_0;45;293
4002;final-crs_6;46;1654
4210;gate-keeper;49;
4211;vege_0;49;
4227;final-crs_2;49;1246
4385;gate-keeper;51;
4390;frui_0;51;
4415;final-crs_0;51;577
4537;gate-keeper;52;
4538;vege_0;52;
4538;gate-keeper;53;
4541;frui_0;53;
4567;final-crs_5;52;65
4626;final-crs_4;53;1040
4838;gate-keeper;55;
4839;gate-keeper;56;
4841;vege_0;55;
4843;final-crs_4;55;1341
4844;vege_1;56;
4889;final-crs_1;56;652
5167;gate-keeper;59;
5168;gate-keeper;60;
5172;meat_1;59;
5173;final-crs_3;59;1256
5175;vege_1;60;
5177;final-crs_0;60;1055
5317;gate-keeper;61;
5318;gate-keeper;62;
5321;vege_0;61;
5322;vege_1;62;
5348;final-crs_4;61;585
5378;final-crs_0;62;279
5439;gate-keeper;63;
5452;meat_1;63;
5503;final-crs_6;63;1559
5743;gate-keeper;65;
5744;gate-keeper;66;
5750;vege_0;65;
5750;vege_1;66;
5784;final-crs_5;65;152
5808;final-crs_0;66;1995
6032;gate-keeper;69;
6033;gate-keeper;70;
6034;frui_1;70;
6037;final-crs_1;70;201
6050;meat_1;69;
6110;final-crs_3;69;1265
6319;gate-keeper;71;
6320;gate-keeper;72;
6321;gate-keeper;73;
6325;frui_0;71;
6331;final-crs_3;71;661
6336;meat_1;72;
6342;meat_0;73;
6345;gate-keeper;74;
6352;vege_1;74;
6371;final-crs_2;72;552
6406;final-crs_4;73;1114
6482;final-crs_5;74;899
6635;gate-keeper;75;
6636;vege_0;75;
6636;gate-keeper;76;
6637;gate-keeper;77;
6638;frui_0;77;
6640;vege_1;76;
6656;final-crs_6;75;568
6675;final-crs_5;77;713
6687;final-crs_1;76;957
7183;gate-keeper;83;
7189;vege_0;83;
7191;final-crs_0;83;88
7271;gate-keeper;84;
7320;meat_0;84;
7333;final-crs_2;84;1404
7496;gate-keeper;86;
7497;gate-keeper;87;
7510;meat_0;86;
7547;meat_1;87;
7563;final-crs_2;86;116
7572;final-crs_1;87;1954
7851;gate-keeper;91;
7852;vege_0;91;
7938;final-crs_4;91;541
8048;gate-keeper;93;
8049;vege_1;93;
8062;final-crs_5;93;1590
8163;gate-keeper;94;
8164;gate-keeper;95;
8165;vege_1;94;
8165;frui_1;95;
8215;final-crs_4;94;119
8232;final-crs_6;95;872
8457;gate-keeper;96;
8458;gate-keeper;97;
8459;frui_1;96;
8459;gate-keeper;98;
8460;final-crs_0;96;1254
8461;frui_0;98;
8463;final-crs_6;98;80
8463;vege_0;97;
8507;final-crs_3;97;316
8923;gate-keeper;103;
8924;gate-keeper;104;
8927;vege_1;103;
8938;meat_1;104;
8980;final-crs_3;103;623
9001;final-crs_1;104;687
9056;gate-keeper;105;
9058;vege_1;105;
9096;final-crs_2;105;848
9324;gate-keeper;107;
9325;gate-keeper;108;
9326;frui_1;108;
9326;gate-keeper;109;
9330;vege_0;107;
9347;meat_0;109;
9380;final-crs_2;108;652
9403;final-crs_4;107;401
9408;final-crs_6;109;747
9627;gate-keeper;112;
9629;frui_1;112;
9630;final-crs_4;112;1685
9914;gate-keeper;113;
9915;gate-keeper;114;
9916;gate-keeper;115;
9917;vege_1;113;
9918;final-crs_4;113;85
9918;vege_0;114;
9928;vege_0;115;
10000;final-crs_1;114;1136
10014;final-crs_5;115;838
10018;gate-keeper;117;
10026;vege_0;117;
10030;final-crs_2;117;491
10199;gate-keeper;118;
10200;gate-keeper;119;
10202;meat_0;118;
10203;frui_0;119;
10220;final-crs_1;118;530
10248;final-crs_5;119;534
10482;gate-keeper;122;
10484;vege_1;122;
10519;final-crs_5;122;246
10774;gate-keeper;124;
10775;vege_1;124;
10775;gate-keeper;125;
10776;gate-keeper;126;
10779;final-crs_2;124;973
10782;vege_0;125;
10782;frui_1;126;
10789;final-crs_0;125;273
10820;final-crs_6;126;954
10837;gate-keeper;127;
10840;vege_0;127;
10894;final-crs_3;127;669
10970;gate-keeper;128;
10972;meat_0;128;
11044;final-crs_0;128;1502
11078;gate-keeper;129;
11079;gate-keeper;130;
11086;vege_0;129;
11089;vege_1;130;
11125;final-crs_3;129;360
11158;final-crs_1;130;1764
11404;gate-keeper;134;
11408;vege_1;134;
11411;final-crs_1;134;1040
11713;gate-keeper;136;
11714;gate-keeper;137;
11717;frui_0;136;
11717;frui_1;137;
11744;final-crs_3;136;640
11783;final-crs_0;137;990
11820;gate-keeper;138;
11821;vege_1;138;
11821;gate-keeper;139;
11823;frui_1;139;
11829;final-crs_6;138;391
11899;final-crs_5;139;1453
11993;gate-keeper;140;
11994;gate-keeper;141;
11995;vege_1;140;
11995;frui_1;141;
12046;final-crs_2;140;1295
12052;final-crs_6;141;547
12260;gate-keeper;143;
12261;gate-keeper;144;
12264;frui_1;143;
12268;vege_0;144;
12281;final-crs_2;143;1229
12308;final-crs_5;144;1432
12553;gate-keeper;147;
12554;gate-keeper;148;
12555;vege_0;147;
12559;vege_1;148;
12570;final-crs_1;147;874
12570;final-crs_6;148;999
12754;gate-keeper;150;
12756;frui_1;150;
12782;final-crs_6;150;1315
12836;gate-keeper;151;
12838;vege_1;151;
12924;final-crs_3;151;1560
13133;gate-keeper;155;
13136;frui_1;155;
13179;final-crs_2;155;1758
13432;gate-keeper;159;
13471;meat_1;159;
13492;final-crs_4;159;1130
13563;gate-keeper;160;
13592;meat_1;160;
13604;final-crs_3;160;193
13706;gate-keeper;161;
13707;gate-keeper;162;
13708;vege_1;162;
13712;frui_0;161;
13715;final-crs_1;162;598
13740;final-crs_6;161;1469
14036;gate-keeper;163;
14037;gate-keeper;164;
14038;gate-keeper;165;
14039;vege_0;163;
14039;frui_1;165;
14039;gate-keeper;166;
14041;vege_1;164;
14049;vege_1;166;
14052;final-crs_5;163;1902
14115;final-crs_2;165;672
14122;final-crs_3;164;1506
14206;final-crs_0;166;857
14345;gate-keeper;167;
14346;gate-keeper;168;
14347;gate-keeper;169;
14349;vege_1;167;
14349;frui_0;168;
14351;vege_0;169;
14380;final-crs_3;167;625
14443;final-crs_0;168;768
14482;gate-keeper;171;
14483;frui_0;171;
14485;final-crs_6;169;404
14503;final-crs_1;171;717
14640;gate-keeper;172;
14641;gate-keeper;173;
14643;frui_0;172;
14644;frui_1;173;
14697;final-crs_0;172;552
14735;final-crs_6;173;678
15153;gate-keeper;179;
15155;vege_0;179;
15234;final-crs_1;179;489
15406;gate-keeper;182;
15429;meat_1;182;
15435;final-crs_6;182;240
15595;gate-keeper;184;
15597;vege_0;184;
15675;final-crs_6;184;702
15894;gate-keeper;187;
15895;gate-keeper;188;
15897;vege_0;187;
15900;final-crs_2;187;912
15900;vege_1;188;
15959;final-crs_4;188;226
16198;gate-keeper;191;
16199;frui_0;191;
